#Mode:;3
#Device:;6312kw
#Button:;21
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;28421;6463
1;30430;4717
2;34883;262
3;34080;1117
4;29753;5410
5;27833;6166
6;29811;3772
7;32781;829
8;30505;3169
9;32322;2845
10;32772;2377
11;31328;3889
12;30909;3025
13;39078;6589
14;33218;496
15;37887;7795
16;29554;5635
17;32055;3115
18;39887;7273
19;31845;2116
20;32908;766
21;29506;4195
22;33063;568
23;32933;2296
24;38868;8272
25;32060;3160
26;32972;2143
27;61051;8839
28;33244;487
29;31303;2341
30;38646;7039
31;30575;4618
32;33245;1945
33;32830;2359
34;29907;5284
35;32830;1036
36;30288;3394
37;37926;7732
38;30925;2719
39;30755;4357
40;28967;6220
41;31300;3844
42;31098;2764
43;27650;6013
44;29671;4006
45;30954;2692
46;38548;8587
47;30770;4474
48;29412;5707
49;34171;1000
50;32935;1027
51;29917;3781
52;31489;2161
53;30067;3574
54;39047;8101
55;30633;4501
56;38916;7075
57;30648;3007
58;32319;1360
59;32826;775
60;60937;8722
61;28501;5221
62;29374;5716
63;62287;8938
64;33179;1981
65;30125;5032
66;33827;118
67;32028;1567
68;30017;3664
69;28355;5320
70;28015;7120
71;32817;2323
72;40118;7030
73;33616;1459
74;38714;7174
75;37990;7642
76;29591;4051
77;34839;343
78;29137;6022
79;31290;3826
80;28954;6229
81;28799;5041
82;30918;2683
83;29534;4132
84;30358;3304
85;34231;964
86;30383;4798
87;28777;6418
88;38555;7354
89;38829;6850
90;28461;5248
91;31551;2053
92;38642;8488
93;29374;5788
94;29115;6112
95;31225;2665
96;29691;3979
97;31933;1675
98;33360;325
99;32852;2305
100;29312;5851
101;33264;1837
102;31956;3295
103;30498;3439
104;60860;8857
105;31138;2521
106;30134;3520
107;27863;5815
108;28524;6679
109;39163;8038
110;31503;3610
111;32349;1603
112;37421;8236
113;39414;6265
114;31672;1936
115;31767;3403
116;34200;955
117;28634;6535
118;31909;1963
119;27415;6256
120;31954;1747
121;32047;1639
122;29871;3745
123;29210;5914
124;38370;8866
125;30931;4258
126;27251;6661
127;33370;271
128;31090;2593
129;33001;631
130;29214;5968
131;39020;8092
132;62208;8956
133;31433;3718
134;30575;3349
135;39065;6652
136;30804;2890
137;28520;5140
138;28315;6913
139;28862;6247
140;33725;1486
141;32300;2872
142;31321;2566
143;29566;4087
144;31599;2089
145;38203;7453
146;29703;5473
147;30811;4402
148;32435;2791
149;29061;4924
150;27802;5842
151;32357;1297
152;33416;217
153;33078;2071
154;28228;6940
155;35082;109
156;31158;3943
157;30807;3142
158;37807;7804
159;31208;2485
160;39190;6508
161;29191;5923
162;39600;7543
163;38520;7462
164;32767;910
165;31503;2134
166;61450;8182
167;27926;5770
168;29173;4510
169;30839;4285
170;31837;3340
171;28354;6751
172;38490;7408
173;32349;1342
174;29362;4366
175;29536;4069
176;33593;1504
177;34444;784
178;34223;928
179;33053;2107
180;32662;1270
181;32085;1576
182;30549;3178
183;30877;2800
184;39668;7480
185;28273;6868
186;34475;649
187;28427;5491
188;37979;7696
189;28098;5572
190;29602;4123
191;34780;316
192;38553;8596
193;34266;937
194;29378;4519
195;61280;8389
196;33252;406
197;27958;5725
198;38408;7327
199;30553;4636
200;31744;3412
201;29123;6085
202;33272;1954
203;38816;7138
204;31264;2431
205;31652;2008
206;28293;5338
207;34021;1207
208;32870;2287
209;34781;361
210;34989;190
211;32847;1063
212;32138;1585
213;33389;280
214;32456;1171
215;31754;3367
216;29404;5833
217;34426;748
218;28552;5365
219;30401;3196
220;31942;1756
221;32834;865
222;32377;1252
223;31570;3547
224;28570;6634
225;28341;6841
226;27880;6004
227;31234;2458
228;30646;3016
229;38163;7534
230;28889;6274
231;33797;1378
232;32898;2251
233;32817;2314
234;33260;658
235;30414;3205
236;29454;4213
237;38340;7336
238;32186;2989
239;32228;2926
240;38755;8461
241;29505;4411
242;28952;4735
243;29466;4204
244;29970;3709
245;38494;8704
246;28292;6796
247;32309;2854
248;30541;4627
249;60898;8965
250;27284;6445
251;39347;6319
252;30421;3286
253;39758;7417
254;30153;4933
255;30735;4429
256;37843;8119
257;60774;8902
258;30891;2773
259;28722;4960
260;32032;1612
261;31874;1738
262;39947;7183
263;34776;451
264;34785;379
265;62163;9010
266;27944;6058
267;27662;6049
268;32249;1351
269;31142;2494
270;32145;3052
271;34906;253
272;33180;2017
273;39023;6931
274;29087;4573
275;28828;4834
276;39326;6301
277;34809;352
278;30866;4312
279;34693;442
280;39355;7831
281;29045;4825
282;61221;8515
283;28224;5428
284;28154;5545
285;39439;6283
286;32459;2710
287;39641;7516
288;28972;6202
289;30738;3214
290;28789;4861
291;28194;5482
292;29225;4456
293;38133;9028
294;29809;5302
295;33945;1189
296;30246;4879
297;38926;6994
298;61211;8470
299;32053;1621
300;28902;4780
301;60665;8992
302;31207;2476
303;29802;5374
304;31285;3907
305;31598;3502
306;62468;8632
307;28691;5266
308;28614;5095
309;61352;8326
310;28174;5500
311;30218;3457
312;30417;3187
313;33358;1783
314;30416;4762
315;38753;8416
316;27897;5995
317;33295;388
318;30685;2962
319;38929;6715
320;39086;8137
321;34613;541
322;31323;3835
323;30638;3313
324;37495;8155
325;61411;8299
326;31891;1801
327;29967;3691
328;28159;6949
329;32069;3106
330;31907;3268
331;28460;6688
332;30645;3277
333;37741;7885
334;60927;8740
335;30030;3628
336;38183;7489
337;29416;5743
338;31092;4042
339;29260;5941
340;31879;2035
341;33526;127
342;37672;7948
343;39284;6373
344;28436;6733
345;34325;856
346;29480;5689
347;32226;1666
348;30460;3250
349;28931;4753
350;28459;5176
351;39394;6310
352;38968;8191
353;31886;3241
354;29951;5203
355;37429;8524
356;39342;6364
357;28363;5275
358;30750;4384
359;29539;5626
360;30207;4969
361;37588;8335
362;30788;2836
363;28602;5068
364;38476;7192
365;28893;4789
366;31313;3817
367;29134;6040
368;33587;1594
369;29540;4348
370;31613;2044
371;29984;3673
372;28368;5293
373;34275;892
374;39908;7300
375;62264;8911
376;34499;604
377;38917;7066
378;31748;1909
379;39226;6454
380;28760;4897
381;28916;6292
382;33728;1477
383;28758;6427
384;30561;4609
385;38258;7723
386;37739;7939
387;29644;4060
388;30255;4915
389;39401;7759
390;34756;424
391;28550;6598
392;30258;3655
393;32815;874
394;32170;1549
395;32964;694
396;29039;6193
397;39654;7561
398;28593;6553
399;38338;7579
400;38073;7615
401;28974;4699
402;60822;8821
403;30918;2746
404;33281;1819
405;31724;3466
406;31838;3322
407;33261;1891
408;37737;8164
409;28937;4690
410;31741;1918
411;29444;4303
412;38738;8398
413;39507;7678
414;38708;7219
415;32246;1441
416;28689;4996
417;28636;4951
418;38219;7390
419;39895;7291
420;28299;6904
421;34092;1135
422;32307;1648
423;32174;1468
424;28029;5608
425;31257;2467
426;28994;6094
427;38499;8677
428;32577;2575
429;38624;7282
430;37704;7912
431;32677;973
432;38507;7165
433;39574;7633
434;29481;5653
435;32957;2197
436;62385;8731
437;29781;4114
438;27443;6238
439;39288;6391
440;38102;7651
441;33475;1702
442;33375;1828
443;33428;1792
444;32115;1873
445;27871;5797
446;37793;7867
447;31009;2701
448;39577;7606
449;29016;6157
450;30879;4294
451;31436;3727
452;31133;2728
453;61364;8353
454;30959;2629
455;29085;4582
456;32613;1081
457;30321;4771
458;32134;3043
459;34886;289
460;29121;6067
461;27453;6472
462;60904;8794
463;32108;1540
464;33506;154
465;32394;1261
466;31561;3592
467;32523;2602
468;29901;5329
469;29559;4339
470;28594;5050
471;33093;586
472;33043;595
473;27682;5977
474;28076;7102
475;34888;244
476;34088;1108
477;28522;5518
478;32459;1180
479;28032;5599
480;29250;4438
481;30215;4978
482;29728;5392
483;30287;4906
484;34017;1144
485;32154;1729
486;31489;2188
487;38809;6859
488;61732;7993
489;61353;8317
490;28583;5005
491;28434;6706
492;29300;5932
493;29972;5239
494;30052;5113
495;33385;478
496;60600;9037
497;32568;1126
498;28262;5437
499;30291;3331
500;38253;8920
501;30216;5014
502;39333;7858
503;29810;4105
504;38338;7372
505;28553;5149
506;31078;2620
507;38917;8281
508;33312;1855
509;38010;7966
510;31407;2269
511;31916;1765
512;37623;8020
513;61312;8344
514;38548;7093
515;32611;2512
516;30596;4591
517;34943;145
518;29049;4870
519;38555;7084
520;60870;8785
521;28993;4672
522;31668;1927
523;29669;5563
524;34781;415
525;32649;2584
526;32393;2818
527;28458;5446
528;60841;8776
529;29480;4186
530;29370;4267
531;29394;4276
532;31127;3997
533;39689;7426
534;40205;6985
535;30151;3754
536;32411;1225
537;39296;6400
538;30289;3376
539;32322;2899
540;28152;7021
541;32494;2656
542;30054;3871
543;37912;7750
544;33167;559
545;60583;9082
546;30823;2827
547;33201;1972
548;28699;6499
549;29636;5527
550;38887;6976
551;31989;1711
552;27770;5824
553;32356;1315
554;27627;6031
555;39444;7705
556;31664;3448
557;37692;8263
558;38994;6670
559;28082;5590
560;38451;7255
561;31549;3601
562;38893;8254
563;28253;6895
564;33408;1720
565;27436;6481
566;39181;6526
567;27751;5869
568;28107;7048
569;33899;1306
570;38406;8749
571;34012;1153
572;37843;8083
573;30042;3682
574;30806;2809
575;31872;3223
576;39648;7498
577;33670;1531
578;30716;4483
579;30050;3862
580;27827;5806
581;37628;8047
582;33053;613
583;38237;8983
584;28595;6580
585;34015;1162
586;29900;4015
587;39066;6607
588;33415;307
589;38862;6877
590;38250;8893
591;30613;4555
592;32724;2449
593;37896;8056
594;33127;532
595;29016;4681
596;31201;2503
597;28031;7057
598;28702;6490
599;29339;5779
600;30956;2908
601;28472;5185
602;30684;2881
603;32939;757
604;31759;1882
605;34943;226
606;32133;3034
607;40004;7147
608;28769;5167
609;60955;8713
610;32425;1234
611;60608;9055
612;60813;8830
613;28313;5347
614;28938;4744
615;31051;4168
616;28691;6409
617;29667;5536
618;32110;3079
619;27650;6337
620;38645;7003
621;38358;7237
622;38538;8578
623;39484;7660
624;39245;7921
625;30439;3493
626;31111;2557
627;27931;5734
628;28284;5356
629;34367;802
630;32990;2152
631;34108;1018
632;32342;2863
633;32982;919
634;29031;4645
635;29885;3808
636;31088;2530
637;38546;8659
638;39763;7345
639;62164;9073
640;39403;7741
641;27769;6076
642;27580;6103
643;29028;4663
644;32788;883
645;39816;7363
646;30854;4321
647;30449;4726
648;33192;703
649;61157;8506
650;28443;5230
651;30199;3484
652;28370;5311
653;28873;4807
654;34542;685
655;39345;7768
656;39682;7507
657;29932;3988
658;61052;8623
659;37577;8074
660;28267;5383
661;28883;4852
662;38203;8947
663;31004;4159
664;28626;6517
665;28564;5419
666;61322;8380
667;60770;8875
668;31473;2179
669;38129;7570
670;29802;3799
671;28725;6382
672;31695;3511
673;39219;7975
674;31680;3529
675;61263;8668
676;61281;8407
677;28613;5059
678;29461;4141
679;30295;3430
680;32207;1450
681;33082;2062
682;34492;712
683;32035;3088
684;32769;2413
685;60962;8974
686;38220;7444
687;39227;6436
688;31002;2674
689;30321;4816
690;31750;3421
691;39293;7903
692;38655;7264
693;37466;8146
694;31138;2539
695;39099;6643
696;34607;523
697;34937;181
698;30336;4888
699;33627;298
700;38654;7012
701;29083;4537
702;33269;460
703;31196;4024
704;39497;7687
705;62260;8929
706;28381;6769
707;32957;2206
708;39067;6832
709;31591;2098
710;38982;6724
711;33690;1423
712;29015;6211
713;31065;4096
714;32499;2611
715;33611;235
716;32358;1333
717;29518;4177
718;28590;5086
719;28454;6778
720;38663;8443
721;33829;1369
722;29694;5464
723;29319;4600
724;32455;1216
725;30711;2980
726;30848;2737
727;29460;5680
728;39406;7777
729;32245;2944
730;29979;3898
731;32249;1432
732;38072;7597
733;38760;6958
734;33940;1243
735;38663;8542
736;39959;7201
737;31500;2386
738;37441;8227
739;38537;7129
740;33867;1324
741;29627;5581
742;33638;1513
743;39245;7876
744;29746;4222
745;27684;5959
746;38396;7309
747;32256;1405
748;30730;4447
749;39135;8011
750;39189;7984
751;38342;7525
752;28047;5617
753;29804;3925
754;32093;1522
755;32086;3061
756;29527;5662
757;38714;8479
758;28246;5644
759;31387;2278
760;29365;4249
761;61435;8290
762;31380;2242
763;34548;622
764;32936;2233
765;30927;4231
766;34171;1009
767;38040;7849
768;61107;8560
769;38061;7552
770;37801;7894
771;34136;1072
772;34765;370
773;39344;7840
774;34061;1090
775;33327;577
776;61299;8371
777;61019;8650
778;38884;6814
779;38911;6742
780;39351;7786
781;29599;5509
782;38645;8533
783;31897;3259
784;38826;7111
785;31041;2647
786;31395;2332
787;30927;2782
788;30528;4654
789;38899;8218
790;31235;3934
791;27822;6121
792;27863;5752
793;37786;7813
794;32548;1099
795;28774;6346
796;62103;9019
797;32193;2998
798;30712;4393
799;28940;6175
800;62374;8812
801;33679;172
802;30781;2935
803;39372;6328
804;30490;3232
805;34764;397
806;29688;5455
807;30089;5104
808;31907;1990
809;37706;7930
810;39393;6355
811;32733;991
812;38420;8758
813;30107;5077
814;30037;5122
815;31568;2350
816;28786;4942
817;27778;5905
818;32600;1045
819;38268;7381
820;33619;1558
821;38440;8695
822;34363;838
823;29620;4240
824;27754;5896
825;61362;8362
826;29175;4492
827;61274;8434
828;32981;667
829;31594;3565
830;28603;6625
831;29769;5401
832;32177;2971
833;62474;8686
834;30303;3556
835;38447;7246
836;27691;5950
837;38133;7471
838;31553;3583
839;32984;2170
840;33758;1414
841;37870;8110
842;60852;8767
843;29910;3736
844;37600;8065
845;61441;8200
846;33208;505
847;32407;2755
848;62025;9091
849;33353;1810
850;39248;7957
851;34322;847
852;30029;3952
853;31677;1999
854;61241;8425
855;29548;4150
856;60641;9046
857;31040;2638
858;29089;6139
859;39209;8002
860;34276;901
861;38508;7435
862;30689;2917
863;32052;1630
864;32740;982
865;28372;6760
866;38944;8245
867;31617;3538
868;32930;2215
869;61283;8614
870;27794;5860
871;30026;3637
872;38328;7399
873;31380;2260
874;34932;208
875;30785;4420
876;32051;3097
877;31517;2440
878;30544;3133
879;61069;8551
880;27520;6184
881;31214;2422
882;29168;4528
883;39081;8173
884;28465;6697
885;31769;3385
886;32405;1495
887;38017;7588
888;33143;550
889;31070;2548
890;29269;5878
891;39793;7318
892;34789;334
893;39030;6922
894;38451;7228
895;39042;6562
896;29195;4465
897;29575;5671
898;33317;1846
899;30808;4375
900;31777;2125
901;29793;3880
902;32361;1279
903;28492;5194
904;27852;5761
905;34967;136
906;34912;199
907;34366;793
908;31529;2395
909;31893;1774
910;32688;1054
911;33055;676
912;32376;1288
913;34705;469
914;31032;4078
915;28623;6544
916;37632;8308
917;37540;8128
918;38849;6823
919;32921;739
920;33520;1657
921;28195;6967
922;29242;5887
923;30097;3853
924;29705;3961
925;31481;2224
926;30351;3358
927;32966;721
928;39538;7624
929;28292;6805
930;29551;5554
931;28889;5023
932;27492;6148
933;32312;1396
934;32458;1198
935;39493;7669
936;31472;3700
937;62146;9064
938;29975;5212
939;38115;7822
940;60828;8884
941;31976;1684
942;32020;1693
943;33193;433
944;28527;5158
945;28374;6787
946;30205;4987
947;62311;8848
948;29458;5698
949;38787;7156
950;37488;8209
951;28430;5257
952;60842;8803
953;27495;6130
954;61081;8605
955;39082;6571
956;32752;2368
957;34442;730
958;31244;3916
959;28824;5131
960;61163;8497
961;29674;4033
962;32858;811
963;31596;2080
964;29075;4546
965;31473;3646
966;39936;7210
967;32204;2953
968;29580;4330
969;27683;5986
970;30571;3124
971;32848;820
972;33353;1864
973;31439;3763
974;33755;1387
975;35055;100
976;31491;2404
977;37678;8029
978;32984;640
979;29169;4564
980;38154;9001
981;31165;3970
982;32089;3070
983;30447;3475
984;38819;6886
985;37901;7714
986;31636;2026
987;38721;8452
988;31321;3790
989;28522;6616
990;30327;4843
991;30282;3619
992;32731;946
993;61074;8569
994;31746;1900
995;33492;163
996;34637;514
997;30454;4708
998;38559;8641
