#Mode:;3
#Device:;adns5700
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;28264;4051
1;28858;3421
2;29668;8461
3;23831;1468
4;25313;1027
5;22220;7750
6;25124;4834
7;24006;5860
8;22629;7255
9;19837;9082
10;22455;7498
11;22563;1378
12;23087;6886
13;22688;1234
14;23407;478
15;24647;5302
16;21969;1945
17;21669;8254
18;21724;2197
19;20110;3799
20;21455;8443
21;23440;487
22;21173;2746
23;21581;2404
24;19678;4240
25;22163;7741
26;25288;4672
27;22726;1252
28;21749;2170
29;19545;3367
30;22920;7012
31;22473;1441
32;23749;6085
33;21362;2530
34;21285;2647
35;25300;4591
36;20088;2800
37;21223;2692
38;22282;1639
39;22108;1783
40;22466;1450
41;24531;5383
42;22618;1297
43;21119;7804
44;20485;3385
45;22617;1351
46;21069;8848
47;23575;343
48;23375;541
49;23557;6355
50;24446;5473
51;22629;7282
52;21822;8119
53;20861;9091
54;21670;2179
55;22571;7336
56;19890;9037
57;21139;8722
58;20825;3088
59;21812;8128
60;25779;4132
61;23202;667
62;20952;3016
63;23001;883
64;24712;5221
65;21352;8560
66;24315;5635
67;23325;6661
68;21811;2089
69;22358;514
70;24006;5905
71;23187;766
72;24946;4969
73;19894;3997
74;21900;7957
75;24799;5086
76;21411;2512
77;21062;2863
78;23723;6166
79;22233;1693
80;21554;2332
81;22686;1162
82;21415;2476
83;22483;1459
84;23067;6814
85;22590;7318
86;23590;6319
87;21308;8614
88;23025;6940
89;25074;4843
90;21911;7993
91;22168;1738
92;23511;442
93;24767;5194
94;22919;991
95;24134;4771
96;21235;8632
97;23746;6157
98;21205;8704
99;21395;2521
100;23429;6490
101;22427;7480
102;23495;361
103;21531;8407
104;24329;5545
105;20943;8965
106;20206;3709
107;22754;1090
108;22691;6211
109;22802;7120
110;20192;3718
111;20583;3268
112;22410;7435
113;20786;3043
114;25259;4636
115;24506;5392
116;23451;379
117;23598;325
118;20956;2998
119;20853;9064
120;25953;3961
121;25209;4717
122;24162;5716
123;22546;1306
124;19873;3988
125;22370;7534
126;20472;3448
127;21794;2152
128;21082;1837
129;19662;4249
130;23247;676
131;21876;8056
132;22478;1369
133;24328;5518
134;25431;4429
135;23016;856
136;22449;7507
137;20447;3484
138;23786;118
139;21999;1864
140;23748;6139
141;22841;1054
142;22921;6994
143;20958;8929
144;21499;2368
145;20226;3736
146;23545;406
147;23486;388
148;20227;8659
149;23059;6850
150;21272;8650
151;23255;6688
152;21737;8173
153;24725;5239
154;22577;1315
155;22490;7444
