#Mode:;3
#Device:;apple1152
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;34848;7030
1;33452;2503
2;34984;6949
3;30743;5176
4;33585;8389
5;35005;919
6;34076;1846
7;32108;3799
8;35480;442
9;31802;4105
10;29685;235
11;34663;1252
12;29608;6310
13;33098;2755
14;31402;4519
15;29904;6049
16;30963;4960
17;35700;181
18;33838;8101
19;34554;7336
20;32271;3637
21;34177;1738
22;35092;820
23;33271;2575
24;33097;8731
25;33861;2044
26;29054;883
27;32342;3574
28;29622;298
29;35088;865
30;33774;2116
31;29872;100
32;32038;3880
33;32771;3151
34;34417;1540
35;29998;5923
36;33089;2818
37;32608;3358
38;35286;622
39;34497;1414
40;34612;1315
41;33205;8659
42;29267;6562
43;33754;2170
44;34604;7318
45;32726;3169
46;30411;5428
47;29493;6346
48;33844;1999
49;33232;2611
50;30016;5824
51;33543;2332
52;34351;1567
53;32216;3700
54;35191;730
55;31589;4330
56;29892;6022
57;34960;964
58;32466;3448
59;34026;1873
60;35615;6301
61;29865;6067
62;35058;829
63;34867;1009
64;34805;1117
65;33369;2548
66;32749;3124
67;33618;2305
68;29471;6445
69;35153;766
70;31671;4240
71;31017;4906
72;29710;208
73;29685;6220
74;30455;5464
75;32368;3556
76;32667;3205
77;34123;1792
78;34706;1207
79;31622;4294
80;29428;496
81;34991;928
82;32993;2926
83;31698;4213
84;34049;1855
85;29778;1063
86;32882;9037
87;30421;5500
88;32278;3592
89;32525;3385
90;34540;1369
91;33360;2557
92;34148;1720
93;32726;3187
94;34580;1342
95;35465;6373
96;31700;4204
97;30927;4996
98;34116;7777
99;34005;1918
100;32947;8947
101;33021;8911
102;34509;7408
103;30838;5005
104;33983;7939
105;29809;145
106;33250;2638
107;34211;1702
108;34661;7255
109;30503;5419
110;32856;9064
111;34553;7390
112;33246;8677
113;29635;289
114;34413;1504
115;29316;6607
116;33221;8704
117;35538;6355
118;34319;1576
119;33089;8812
120;32172;3808
121;31260;4573
122;33690;2233
123;30625;5302
124;34217;7723
125;33366;8596
126;34744;1144
127;31821;4096
128;33955;7957
129;33998;7975
130;35047;793
131;29876;6040
132;33012;2872
133;32497;3421
134;30144;5752
135;33478;2440
136;29519;6454
