#Mode:;3
#Device:;arduino
#Button:;290
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12;4249
1;11;3727
2;9;1333
3;9;8065
4;1117;136
5;9;3574
6;9;1873
7;10;3943
8;10;5824
9;9;5212
10;9;1468
11;10;2332
12;9;4564
13;11;1711
14;9;6733
15;10;2251
16;500;478
17;875;109
18;8;8452
19;10;7345
20;9;1153
21;10;3682
22;9;6787
23;10;4996
24;11;6400
25;10;1144
26;10;4843
27;9;4573
28;10;8812
29;9;3340
30;9;3772
31;9;1630
32;9;2557
33;9;6022
34;9;5185
35;9;2764
36;737;766
37;10;5581
38;9;2368
39;596;496
40;9;1252
41;9;1207
42;9;2998
43;402;1036
44;15;5437
45;10;3502
46;10;7084
47;9;2197
48;9;6688
49;9;6436
50;9;2323
51;9;2863
52;601;1018
53;9;2350
54;10;4105
55;9;7696
56;9;3871
57;10;3016
58;10;1801
59;9;5113
60;9;1324
61;9;8335
62;9;6886
63;301;352
64;9;955
65;10;4060
66;9;4150
67;9;1351
68;8;7399
69;9;3520
70;10;8389
71;10;8002
72;10;8227
73;10;7804
74;10;4600
75;10;7201
76;9;1063
77;9;4861
78;1080;514
79;11;874
80;11;3097
81;9;5374
82;9;5401
83;833;685
84;9;5851
85;10;2872
86;302;883
87;9;4168
88;11;7147
89;1082;415
90;9;1558
91;9;5644
92;9;3628
93;9;7318
94;9;1171
95;9;7687
96;10;7426
97;9;8083
98;204;1108
99;8;6832
100;10;3322
101;9;1954
102;9;7192
103;9;5608
104;12;1495
105;9;4411
106;9;1477
107;9;6409
108;10;8893
109;889;721
110;9;3106
111;12;1603
112;14;6184
113;11;2620
114;9;1585
115;9;6166
116;10;5131
117;10;4807
118;9;4789
119;10;5032
120;398;901
121;9;3331
122;9;6499
123;11;6094
124;9;3583
125;1088;424
126;11;2026
127;10;5077
128;10;856
129;9;1666
130;9;5095
131;603;559
132;44;5257
133;15;2629
134;10;7300
135;9;4015
136;10;6940
137;10;1612
138;9;1369
139;9;5779
140;10;7759
141;9;1522
142;9;1918
143;9;7264
144;10;7633
145;9;5419
146;10;2242
147;598;433
148;9;7498
149;9;8731
150;11;5734
151;1177;334
152;9;4339
153;9;8299
154;10;2899
155;10;4357
156;9;7336
157;9;2548
158;9;7570
159;10;8650
160;9;4366
161;11;1891
162;11;784
163;10;8758
164;9;3214
165;9;5320
166;9;8722
167;9;4231
168;9;2647
169;9;3421
170;10;3961
171;9;1702
172;10;5554
173;9;7066
174;10;8704
175;400;658
176;9;8416
177;10;3412
178;985;226
179;738;127
180;9;6904
181;9;2215
182;9;8038
183;10;6751
184;12;8056
185;10;2125
186;9;4708
187;9;7957
188;692;613
189;9;4906
190;9;2278
191;10;2809
192;10;3178
193;9;6976
194;10;4762
195;11;6796
196;9;2656
197;10;2674
198;9;7489
199;10;7183
200;10;7003
201;9;3070
202;9;3385
203;9;2782
204;9;7885
205;1079;307
206;9;5869
207;9;2089
208;9;1567
209;690;217
210;9;3394
211;9;6913
212;10;3601
213;10;3475
214;9;2224
215;9;4195
216;11;5329
217;9;4186
218;9;5482
219;9;4096
220;10;6895
221;9;3664
222;9;4519
223;10;2908
224;9;1774
225;9;2017
226;9;2458
227;9;3556
228;11;7624
229;9;4924
230;9;1540
231;9;1261
232;592;316
233;9;3925
234;10;4735
235;10;6715
236;9;6139
237;9;3142
238;9;7507
239;9;5149
240;9;7237
241;10;5563
242;10;1387
243;9;1225
244;10;8263
245;9;1162
246;9;5887
247;9;7228
248;9;1855
249;11;3547
250;9;6562
251;43;5761
252;9;6643
253;107;1027
254;9;2737
255;12;5059
256;9;5986
257;46;973
258;9;8578
259;10;4285
260;10;5572
261;9;1306
262;9;4051
263;9;7354
264;10;4258
265;9;7561
266;207;523
267;9;3007
268;9;3655
269;9;3052
270;10;2890
271;10;4654
272;16;6652
273;10;8929
274;9;982
275;9;4528
276;9;2449
277;9;2953
278;9;2683
279;9;7813
280;10;4141
281;9;5122
282;9;7651
283;10;5914
284;598;739
285;10;8326
286;9;5959
287;11;4978
288;11;4438
289;10;2098
290;10;5041
291;11;6067
292;9;4744
293;10;7075
294;9;5500
295;9;8515
296;9;1279
297;9;2827
298;9;6625
299;54;5680
300;591;631
301;9;4492
302;9;2413
303;9;1378
304;9;8695
305;9;5392
306;10;2701
307;10;5455
308;11;8785
309;8;3565
310;886;541
311;15;8425
312;9;6373
313;9;4618
314;9;5239
315;9;2494
316;301;991
317;10;3151
318;9;5068
319;10;8740
320;10;8767
321;9;6967
322;9;3700
323;11;5968
324;10;8524
325;697;505
326;9;2773
327;10;5284
328;10;5050
329;9;6427
330;9;6445
331;11;2260
332;9;6274
333;9;3259
334;9;8920
335;10;2800
336;500;820
337;8;5518
338;398;487
339;10;1765
340;10;2521
341;10;3799
342;9;5446
343;10;7705
344;11;3403
345;9;3529
346;10;8254
347;203;1360
348;9;6346
349;206;811
350;9;7858
351;9;6949
352;9;7579
353;9;7111
354;10;5536
355;9;6742
356;1081;100
357;9;2386
358;9;1297
359;9;6670
360;51;5905
361;9;3376
362;11;7669
363;9;5752
364;10;8542
365;10;2008
366;9;4456
367;9;6517
368;10;3241
369;10;2035
370;9;3538
371;10;5473
372;9;6697
373;10;8884
374;10;793
375;10;3160
376;9;8200
377;11;8011
378;12;7876
379;10;6013
380;10;1531
381;9;6850
382;9;7174
383;9;5311
384;10;6841
385;9;6778
386;9;8947
387;9;8596
388;9;3889
389;10;4627
390;11;5491
391;1212;289
392;203;757
393;9;7867
394;9;4222
395;10;7975
396;10;6391
397;10;2422
398;9;4240
399;11;7984
400;128;1054
401;12;5005
402;589;604
403;9;8362
404;11;5635
405;9;7291
406;10;2152
407;1216;208
408;9;1963
409;9;6229
410;9;4555
411;9;6220
412;9;4465
413;9;8281
414;9;3358
415;9;6004
416;9;1945
417;9;3934
418;107;1009
419;9;6679
420;9;5248
421;495;550
422;9;2431
423;9;5725
424;10;5842
425;1269;163
426;9;6076
427;10;8866
428;10;5770
429;9;4123
430;9;8047
431;9;7588
432;1115;298
433;9;6481
434;10;8488
435;9;2917
436;10;7840
437;9;3268
438;500;946
439;9;8110
440;10;1810
441;9;6868
442;9;2746
443;9;5806
444;9;7444
445;205;847
446;11;2143
447;784;451
448;9;8749
449;9;6058
450;9;5671
451;9;3277
452;9;2602
