#Mode:;3
#Device:;bt58
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7591;7336
1;8767;1162
2;6318;8578
3;7508;7327
4;6630;8335
5;10227;4708
6;9622;334
7;6533;3322
8;7373;7507
9;6951;2917
10;10605;5329
11;6802;3142
12;8640;1324
13;6671;7255
14;8711;6148
15;8992;5950
16;8055;6895
17;9115;757
18;8666;1171
19;7649;2233
20;5721;4258
21;11289;4618
22;6062;8839
23;9413;5446
24;6965;2998
25;7731;7165
26;10198;4699
27;10084;4762
28;7228;2701
29;6031;3880
30;7874;2035
31;6206;7705
32;7728;1189
33;11046;3862
34;7680;2260
35;9865;5032
36;7262;2647
37;7532;2359
38;9143;5734
39;10759;4123
40;7356;7561
41;7065;2872
42;10957;8965
43;10566;4339
44;7361;2494
45;6347;8560
46;10922;3952
47;8591;1288
48;9031;847
49;8305;1576
50;9111;5770
51;9193;703
52;6784;3124
53;7407;7489
54;6963;7993
55;8661;6247
56;6355;3574
57;9680;235
58;6795;8092
59;9795;5158
60;9782;5104
61;7176;7687
62;6544;8326
63;10431;4483
64;7537;1315
65;6910;7975
66;9051;874
67;8471;1360
68;7375;7525
69;9842;5014
70;9597;5320
71;9830;118
72;9163;5788
73;7465;7453
74;6695;2215
75;6537;2350
76;11275;4645
77;7474;7417
78;5615;4249
79;6366;3547
80;7310;2620
81;6468;3430
82;5772;4150
83;9328;604
84;9410;469
85;10150;4726
86;8146;1774
87;9234;676
88;8343;2539
89;6578;3358
90;11031;8866
91;8931;1036
92;6443;8452
93;11024;3916
94;8894;1054
95;10076;4852
96;10566;4312
97;7927;6976
98;7133;2782
99;11047;8857
100;7935;2008
101;11026;4834
102;7711;2170
103;6125;8767
104;9673;5221
105;9327;5635
106;9574;343
107;9501;5464
108;6046;3835
109;8576;6373
110;9383;5518
111;9357;6580
112;8771;2161
113;8040;6913
114;8487;1423
115;8223;6688
116;8928;1009
117;5986;8902
118;8091;6814
119;7505;2377
120;8769;1099
121;6346;8569
122;7810;2125
123;8550;6355
124;9484;5428
125;7237;7741
126;9273;631
127;9621;5311
128;10169;4735
129;6013;8911
130;9789;163
131;7577;2278
132;9779;5140
133;8842;5995
134;7806;2098
135;8217;6742
136;6186;3700
137;6479;3421
138;6460;8416
139;8510;1405
140;6398;3511
141;7809;7093
142;8069;6796
143;9250;5626
144;9410;505
145;5693;4195
146;6544;3313
147;9375;5572
148;10525;4429
149;7339;2521
150;7541;2395
151;10825;4105
152;8729;6220
153;8063;1873
154;9749;5176
155;10520;4384
156;6236;3682
157;6795;3115
158;6956;7939
159;9383;496
160;8269;6634
161;6121;3727
162;9685;190
163;7324;2548
164;6864;3043
165;8486;1441
166;6286;7615
167;7664;7282
168;7044;7876
169;7342;2674
170;6982;2890
171;10447;4438
172;8499;1414
173;8332;1621
174;9331;613
175;10272;4600
176;8857;6067
177;6633;8281
178;8350;1558
179;7421;7516
180;6748;8236
181;6396;8506
182;6256;8722
183;5654;3178
184;5893;3997
185;10072;4798
186;5711;4177
187;9429;5491
188;8886;6058
189;7622;2287
190;7033;7885
191;8734;6184
192;5946;3970
193;7304;2584
194;6711;8182
195;8307;6616
196;7136;2764
197;7579;1279
198;7021;7894
199;10787;4087
200;9575;5275
201;6709;3205
202;7494;2458
203;9122;748
204;10774;4132
205;6743;3187
206;9465;5437
207;9331;559
208;8598;6301
209;6983;2962
210;7678;7237
211;6968;2944
212;9645;5257
213;7713;2197
214;8690;1198
215;10282;4627
216;6797;8128
217;9447;5473
218;6487;3466
219;6653;8254
220;9486;478
221;7714;2251
222;6786;3133
223;10523;4366
224;7566;7318
225;6973;2971
226;8796;1126
227;10024;4888
228;8210;1711
229;9532;415
230;7493;7381
231;6308;7579
232;7302;2566
233;5974;8893
234;9626;262
235;6387;3565
236;5860;4024
237;9270;658
238;9001;5932
239;5589;4330
240;7867;6994
241;7499;7372
242;8683;1234
243;8167;1657
244;7669;2242
245;9852;5041
246;6376;3538
247;7956;1981
248;7902;7048
249;5356;4546
250;9911;5005
251;6116;8776
252;9485;6427
253;8749;5131
254;6706;7210
255;8705;271
256;6908;8002
257;8662;6256
258;10776;4096
259;8650;1261
260;8272;6571
261;8756;6121
262;6957;2953
263;11024;3907
264;8598;6310
265;10340;4528
266;9783;5122
