#Mode:;3
#Device:;diamondback
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6134;3691
1;5177;5770
2;6154;3727
3;5294;2620
4;4914;7003
5;5720;4186
6;5848;4042
7;6512;7354
8;5692;6238
9;6820;1090
10;6154;1738
11;6091;1801
12;5806;136
13;6451;1468
14;5380;6391
15;6143;2800
16;5651;5257
17;6158;3754
18;5465;5419
19;5603;7201
20;5443;4366
21;5715;6103
22;5615;343
23;6328;8470
24;5770;5140
25;5241;2629
26;5996;2962
27;5912;3970
28;5606;4357
29;6137;7822
30;5940;7939
31;5125;793
32;5694;208
33;5906;2044
34;5968;6940
35;6022;856
36;5726;5230
37;6050;2836
38;5776;1054
39;5968;6895
40;6393;5500
41;5453;4438
42;6748;2161
43;5854;4069
44;4932;7921
45;6390;7498
46;5859;3070
47;5930;991
48;6049;7876
49;5451;2386
50;6069;2845
51;5877;2053
52;6259;1693
53;4979;5932
54;5978;1945
55;5702;4204
56;6478;5347
57;5883;4060
58;5010;4924
59;6118;1783
60;5902;7912
61;6526;3331
62;6414;523
63;5766;8164
64;6747;1171
65;6331;1612
66;5543;7363
67;6670;6301
68;5204;1630
69;5112;3718
70;5992;4906
71;5830;4033
72;5665;1243
73;6113;1747
74;5594;1252
75;5835;8038
76;6576;316
77;5373;7471
78;6476;8398
79;5799;7084
80;4967;5923
81;6085;1846
82;5487;8371
83;5769;1162
84;5566;8299
85;5371;514
86;6345;7462
87;5604;7336
88;5693;7156
89;6210;685
90;5287;604
91;5189;739
92;6058;1828
93;5224;7678
94;6608;6247
95;5574;5356
96;5302;568
97;6403;4510
98;5451;2431
99;5882;4087
100;6369;6562
101;6056;7903
102;5811;5086
103;6086;1873
104;5928;2989
105;6046;1882
106;5909;3988
107;6184;8758
108;6286;7579
109;5291;6634
110;5261;8632
111;5327;2575
112;5513;6418
113;6192;4753
114;5805;6049
115;6232;2593
116;5510;1396
117;5298;5536
118;5931;2998
119;5646;235
120;5216;4636
121;6161;2710
122;6352;3466
123;5182;1720
124;6326;8542
125;6068;3826
126;6610;1333
127;5889;5041
128;5442;1513
129;6189;2737
130;5617;8326
131;5271;1657
132;6060;838
133;5773;8092
134;5734;3178
135;5503;5437
136;6185;2683
137;4839;3997
138;6193;2719
139;5890;4015
140;6492;5392
141;6279;7624
142;5400;6499
143;5793;6067
144;5153;5716
145;5554;352
146;5497;5374
147;5834;8074
148;5779;3052
149;5182;1702
150;5897;3007
151;5456;3358
152;6193;7723
153;6591;8263
154;6410;2422
155;4848;5113
156;6174;2638
157;5581;1324
158;5418;1414
159;6797;3088
160;5935;4888
161;4908;919
162;6058;7786
163;6018;1918
164;6762;4141
165;5997;7966
166;5102;3772
167;6088;5788
168;5685;6175
169;6758;145
170;6283;2611
171;6093;5797
172;6684;5203
173;6236;3637
174;5348;7543
175;6079;4843
176;5086;7795
177;6174;6760
178;5486;433
179;5000;4915
180;5740;5095
181;5562;2314
182;6636;5239
183;5440;3403
184;5448;1405
185;7162;2755
186;6166;730
187;6201;694
188;6007;3889
189;6213;8677
190;5095;4744
191;6351;4564
192;5469;3448
193;5488;3430
194;6373;2584
195;6163;2656
196;5899;1990
197;5995;1927
198;5727;6184
199;5440;5446
200;6172;3745
201;5081;4825
202;5913;1981
203;5496;8335
204;8468;7480
205;5460;4483
206;6117;4717
207;6023;7867
208;6829;8128
209;6128;8776
210;5867;8974
211;5773;4123
212;5656;262
213;6594;8308
214;7197;4780
215;6765;2125
216;6662;3205
217;6170;4735
218;6070;3871
