#Mode:;3
#Device:;dragonrise_black
#Button:;291
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;17775;4105
1;15795;5122
2;14211;7687
3;19749;2161
4;18858;3052
5;17672;4231
6;16539;5383
7;16327;5536
8;19246;2665
9;20286;1612
10;20253;1648
11;15341;6625
12;15434;6508
13;19262;2638
14;18645;2260
15;19701;2233
16;16228;5671
17;20599;298
18;13743;8164
19;20527;1387
20;18661;2251
21;19014;2818
22;15670;6247
23;15559;6346
24;17344;4564
25;20241;1666
26;16383;5455
27;13816;8092
28;19010;2872
29;16883;5059
30;18158;3727
31;19787;2125
32;21192;694
33;15011;5878
34;14337;7570
35;20493;1459
36;18275;2629
37;19148;2764
38;20894;1036
39;16867;4051
40;16230;5662
41;19939;1972
42;20803;1108
43;16357;5518
44;21008;856
45;17984;3808
46;17527;4393
47;21586;316
48;20951;955
49;18403;3538
50;14679;7273
51;20594;1342
52;15607;5320
53;13321;8569
54;14137;7768
55;19683;1216
56;15833;6076
57;20395;1522
58;19696;1171
59;18028;3799
60;20764;1153
61;14837;7084
62;15472;6427
63;15566;6337
64;16269;5608
65;13681;8227
66;15303;6607
67;20018;1855
68;19015;2827
69;18200;3709
70;14684;7219
71;16353;4492
72;21688;217
73;18444;3430
74;11836;9073
75;17581;4321
76;15787;6103
77;16170;4771
78;18259;3646
79;16438;5428
80;20734;1234
81;15917;5995
82;13762;8110
83;16999;4870
84;19293;2620
85;19191;2728
86;21188;721
87;17017;4852
88;21393;550
89;15944;5968
90;19849;1054
91;17017;4879
92;14887;7021
93;20209;676
94;20464;1405
95;18308;3610
96;18619;2269
97;19448;2422
98;19425;2485
99;19972;1936
100;16357;5545
101;18416;3601
102;15345;6562
103;16881;5014
104;19696;2206
105;16741;5158
106;21059;793
107;17624;4276
108;16108;5698
109;13730;7210
110;18030;3898
111;17018;4816
112;13945;6922
113;17997;3934
114;17863;4042
115;18477;2476
116;14418;7489
117;18270;3637
118;13265;8623
119;13328;8596
120;13951;7930
121;17188;4672
122;20714;1252
123;16845;5050
124;17660;4240
125;14925;6985
126;15523;6382
127;19298;2683
128;18441;2368
129;19576;2305
130;15583;6328
131;18101;2773
132;19326;2593
133;17336;4573
134;12806;8128
135;19580;2323
136;21227;685
137;20226;1729
138;16718;5212
139;19802;2107
140;21278;622
141;21511;406
142;19681;2224
143;19169;2692
144;20431;1450
145;14187;7669
146;15127;6760
147;13355;7552
148;16715;5194
149;15179;6724
150;12999;7903
151;20829;1090
152;19252;2710
153;19994;937
154;14360;7543
155;17399;4501
156;17838;4069
157;13635;8272
158;13763;8155
159;13041;8785
160;12990;8920
161;21005;901
162;18424;3439
163;14283;7624
164;18696;3196
165;16028;5815
166;19041;1801
167;17383;4519
168;16425;5446
169;14588;6301
170;21432;460
171;20976;874
172;20003;892
173;16142;5770
174;16927;4987
175;18014;3817
176;15897;6013
177;13005;8902
178;12865;9037
179;20564;1351
180;21554;361
181;17594;4357
182;20797;1099
