#Mode:;3
#Device:;dragonrise_green
#Button:;290
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15740;6193
1;18376;3475
2;14649;6229
3;20536;388
4;20737;1180
5;19448;2512
6;20602;352
7;20729;163
8;21554;397
9;15123;6778
10;16033;5869
11;13487;7435
12;19086;2782
13;21478;496
14;17112;4780
15;12000;8974
16;16171;5770
17;18095;3736
18;16819;5050
19;15321;5626
20;14254;7651
21;17898;4042
22;20734;1225
23;20499;424
24;19119;2764
25;19169;2746
26;14590;7363
27;16090;4834
28;18956;2944
29;16184;5752
30;15550;6337
31;17688;3205
32;19662;1207
33;13379;8533
34;17382;4564
35;20409;505
36;20610;280
37;18596;3331
38;15779;6112
39;19003;1882
40;19921;964
41;21387;541
42;13017;8857
43;15247;5680
44;20028;874
45;20287;1693
46;17118;4879
47;14845;6148
48;15022;5878
49;17301;4600
50;18331;3565
51;13836;7138
52;11879;9082
53;14037;7867
54;13582;8389
55;13685;8209
56;16383;4474
57;20087;1810
58;17546;4384
59;20554;1342
60;12933;8020
61;17607;4285
62;19074;2845
63;21172;685
64;17302;3682
65;16756;5149
66;19703;2215
67;20873;1108
68;14142;6805
69;21667;271
70;20600;1315
71;15499;6436
72;19644;1270
73;14460;6445
74;18094;3781
75;15379;6526
76;13975;6886
77;15074;5815
78;13758;8173
79;18819;3160
80;19588;1324
81;12969;7939
82;17216;4627
83;14868;7129
84;14131;6706
85;20847;109
86;20958;910
87;21273;694
88;18969;1981
89;18413;2521
90;13868;8038
91;19393;2539
92;17948;2962
93;13978;6985
94;13123;8830
95;17246;4681
96;15953;5905
97;18224;2638
98;14017;7912
99;19603;2359
100;13563;8263
101;13385;7489
102;17567;4375
103;17096;4825
104;17671;4177
105;13885;7039
106;19610;2251
107;20601;1369
108;13733;8191
109;14286;6625
110;17990;3916
111;16980;4987
112;18362;3547
113;13443;7453
114;17966;2989
115;15712;6247
116;16312;5599
117;17817;3070
118;13434;7525
119;20180;1729
120;19903;2053
121;20195;640
122;16051;4888
123;17272;4672
124;14045;7930
125;15418;5491
126;17830;3043
127;19245;2665
128;13879;7984
129;18430;2440
130;14775;6175
131;14855;7048
132;21337;568
133;20016;892
134;14300;6616
135;20371;1567
136;13102;8812
137;13163;8821
138;15309;5608
139;16650;5311
140;21190;721
141;18440;3520
142;19044;1855
143;16739;5167
144;19646;2260
145;15537;6373
146;19297;1666
147;14449;7471
148;17416;4483
