#Mode:;3
#Device:;dualshock3_wired
#Button:;292
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16355;3565
1;12972;6940
2;7508;2413
3;11359;8578
4;17029;2926
5;8789;1090
6;8999;901
7;11576;8335
8;15953;3943
9;16795;3097
10;11727;8137
11;8445;1459
12;14904;4915
13;15848;4114
14;11591;8425
15;16563;3430
16;8067;1882
17;14231;5770
18;12970;6967
19;7784;2161
20;13888;6013
21;8500;1405
22;13986;5932
23;8213;1639
24;8124;1765
25;11972;7966
26;15003;4960
27;16396;3439
28;8828;1126
29;13431;6472
30;16525;3394
31;12729;7111
32;10905;8956
33;7311;2539
34;15202;4699
35;7761;2125
36;13222;6706
37;15586;4339
38;12560;7372
39;10961;8920
40;16661;3259
41;14123;5752
42;17047;2836
43;8122;1738
44;17285;2656
45;8713;1198
46;12811;7129
47;11532;8407
48;7473;2521
49;8281;1621
50;17329;2575
51;8246;1585
52;13801;6085
53;9337;622
54;15394;4447
55;8894;1072
56;8247;1666
57;9743;154
58;11913;8011
59;14050;5833
60;8309;1648
61;15938;3970
62;12274;7660
63;15931;4024
64;15204;4717
65;7864;2035
66;14115;5824
67;8534;1351
68;9415;496
69;9012;883
70;16304;3619
71;7991;1909
72;12616;7309
73;8814;1144
74;16059;3907
75;17337;2530
76;12285;7615
77;16721;3106
78;12507;7318
79;16427;3475
80;15458;4492
81;16842;2917
82;7522;2386
83;15948;3961
84;11229;8695
85;13164;6724
86;11769;8101
87;8045;1900
88;10818;9073
89;9587;334
90;16642;3331
91;17334;2548
92;16375;3547
93;17022;2881
94;15257;4654
95;13645;6292
96;9611;298
97;11958;7948
98;16689;3214
99;8154;1756
100;16608;3340
101;16817;3178
102;11197;8659
103;12225;7723
104;13698;6256
105;15261;4645
106;15160;4771
107;12745;7120
108;12249;7651
109;15038;4843
110;9207;694
111;14379;5527
112;9219;685
113;11238;8686
114;13640;6310
115;8542;1369
116;15299;4600
117;13548;6328
118;14261;5680
119;16094;3781
120;15637;4285
121;15330;4609
122;9196;721
123;17262;2647
124;8742;1171
125;12649;7255
126;8429;1477
127;15133;4816
128;14768;5059
129;13289;6634
130;6884;1981
131;14425;5473
132;7023;2854
133;16630;3322
134;15819;4096
135;13537;6382
136;15437;4483
