#Mode:;3
#Device:;dualshock4_wireless
#Button:;317
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3491;514
1;3579;4519
2;3828;8605
3;3956;1459
4;3592;1756
5;2541;325
6;3528;3295
7;2783;1045
8;3846;7192
9;2723;2584
10;3197;6499
11;2470;172
12;3712;8740
13;3978;4105
14;2715;2683
15;3636;4654
16;2878;1063
17;2714;6598
18;2433;3070
19;3042;973
20;3425;1936
21;3764;3124
22;2757;5491
23;3755;5923
24;2377;505
25;4732;3583
26;3601;6049
27;2706;5617
28;4417;982
29;3947;1504
30;2744;2647
31;2295;3214
32;3244;7759
33;3478;2044
34;3494;4789
35;3023;7984
36;2435;1729
37;3647;1747
38;3019;3619
39;3712;3097
40;3136;2395
41;3767;1675
42;3458;1927
43;3425;640
44;3204;5077
45;3207;3682
46;3326;3574
47;3465;8893
48;3940;2998
49;4122;6913
50;4054;4222
51;2843;1099
52;3400;3367
53;3661;1738
54;3785;5761
55;4086;1324
56;2799;1225
57;4035;8389
58;4025;1369
59;3503;4798
60;4255;6679
61;2962;3808
62;14501;5032
63;2807;4042
64;3708;559
65;3595;7435
66;4019;4258
67;2579;1558
68;3695;370
69;3949;8362
70;3363;4906
71;4539;6400
72;2881;6778
73;4514;2287
74;3368;6310
75;3427;7678
76;2411;5869
77;3619;1765
78;3719;8578
79;2857;1081
80;3261;2269
81;3547;4636
82;3607;6040
83;3003;5284
84;2553;289
85;3824;1603
86;3788;4456
87;3758;7165
88;3634;388
89;3346;2197
90;2861;5464
91;2319;4573
92;3827;2845
93;4588;6391
94;4471;5113
95;3115;946
96;3775;8587
97;3278;4888
98;4406;6463
99;2829;1144
100;2954;1234
101;4286;2566
102;3393;6256
103;3120;3655
104;3341;2008
105;2529;235
106;3754;3025
107;4400;7858
108;3307;7714
109;2606;7030
110;2504;5788
111;3378;8992
112;3888;8524
113;3873;7057
114;3129;3637
115;3265;757
116;3730;3169
117;3429;8938
118;3301;3601
119;3483;7552
120;3180;2305
121;3512;658
122;2785;8227
123;3050;5194
124;3161;3709
125;3109;3799
126;3839;8488
127;3647;1900
128;2743;5545
129;3484;6166
130;3463;4816
131;3012;5257
132;3074;2431
133;3336;9073
134;3802;3106
135;3635;424
136;3787;1639
137;3246;883
138;2974;8056
139;4226;8119
140;3341;6175
141;2520;8398
142;3717;1684
143;3880;1468
144;4048;6976
145;3248;865
146;3291;4996
147;3875;190
148;4054;5500
149;3729;4429
150;2688;6994
151;4677;6202
