#Mode:;3
#Device:;exxter
#Button:;45
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;20248;3403
1;18240;991
2;18117;7678
3;17795;3106
4;17158;559
5;19423;4249
6;18496;2620
7;19541;4357
8;19038;6643
9;19010;6670
10;17941;5923
11;17139;487
12;18083;7579
13;19003;172
14;19025;1882
15;18020;5869
16;18582;5284
17;18559;7102
18;18212;5734
19;19031;1891
20;19247;2701
21;17400;3718
22;17584;5311
23;19819;1063
24;18905;8263
25;18712;478
26;20241;6913
27;17794;8065
28;18624;7003
29;19649;3988
30;17973;1198
31;17751;8200
32;18166;2782
33;18120;4798
34;17878;7777
35;19075;1873
36;19246;4636
37;18372;793
38;18113;3763
39;18784;7111
40;16943;730
41;18158;2755
42;18901;6805
43;20055;7138
44;18320;3592
45;18730;2485
46;18020;4879
47;19661;3970
48;18325;766
49;18351;2827
50;19887;1018
51;20373;1576
52;17068;811
53;18010;2908
54;18933;1972
55;19386;2494
56;20032;3871
57;18559;532
58;19920;3997
59;17940;3979
60;18516;2674
61;18517;7201
62;18298;892
63;19578;4429
64;17951;2971
65;18597;8569
66;19538;1612
67;17539;127
68;17153;8497
69;17989;7660
70;17291;5599
71;19231;1693
72;18094;1090
73;19917;7174
74;17799;1297
75;19001;8101
76;18288;829
77;16923;8983
78;19591;4114
79;19238;4663
80;18160;5707
81;19994;910
82;19802;2107
83;18297;7633
84;17554;100
85;17152;469
86;18414;2503
87;18182;1036
88;19448;4465
89;17461;262
90;17622;8092
91;18676;9001
92;17020;694
93;16828;8884
94;18507;7147
95;17191;514
96;17219;8362
97;18885;4096
98;20169;3484
99;18503;2692
100;17747;5833
101;20049;3844
102;17489;3736
103;17230;442
104;18644;2260
105;17943;1261
106;19243;2656
107;18596;2530
108;20112;8848
109;18066;5878
110;18323;3583
111;16848;9055
112;19926;973
113;17650;1531
114;18462;7156
115;17972;3916
116;17228;631
117;19112;6526
118;18539;2359
119;19548;2314
120;19276;6634
121;18337;2575
122;18409;4438
123;17032;658
124;18896;4834
125;19143;4762
126;18278;8929
127;18855;253
128;18241;2854
129;17054;640
130;19856;3781
131;19583;4321
132;19452;4393
133;18686;2215
134;18897;6994
135;18058;2953
136;19623;1315
137;17730;1333
138;17376;6616
139;17914;7786
140;17661;6247
141;18826;2071
142;18623;604
143;18668;8515
144;18997;4906
145;18188;3628
146;19997;3952
147;19003;6922
148;17807;3079
149;20203;8659
150;17456;8416
151;17210;424
152;19396;6319
153;20043;919
154;18957;4951
155;17699;7993
156;19123;4726
157;17556;154
158;19891;3709
159;19226;4681
160;19896;7219
161;19835;4159
162;18440;8686
163;18334;5500
164;19699;2188
165;16737;1162
166;19611;4087
167;19617;2341
168;18471;2629
169;18669;8974
170;17535;8119
171;18516;5113
172;16908;9064
173;18956;6661
174;17158;451
175;17858;7750
176;18716;4195
177;18935;4717
178;18042;7831
179;19400;4231
180;18568;7291
181;19512;4123
182;17796;3394
183;18519;7165
184;19984;8875
185;18630;8182
186;19523;6058
187;17822;7849
188;19524;6148
189;17907;6049
190;18315;2665
191;17416;6436
192;19357;8317
193;18517;2368
194;19284;3619
195;19922;3700
196;19376;6589
197;17513;118
198;19646;1243
199;19649;3295
200;19072;4609
201;19363;4537
202;20321;1585
203;18445;7444
204;18707;2206
205;18021;1144
206;20178;6967
207;20493;6733
208;18726;5131
209;19025;8173
210;18709;397
211;17384;8470
212;17626;6040
213;19675;4285
214;17963;5968
215;19528;6112
216;19492;3421
217;19321;6382
218;20047;820
219;18437;5473
220;18895;3034
221;18906;244
222;17600;6310
223;20163;7030
224;17659;8227
