#Mode:;3
#Device:;g700
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3686;8092
1;3799;8047
2;4862;4960
3;3612;4222
4;5498;6355
5;4448;7354
6;3658;2053
7;4901;2989
8;4524;7309
9;3582;6265
10;5119;757
11;3702;8110
12;5296;6544
13;4658;5203
14;4777;8974
15;4474;5419
16;3536;2206
17;4729;3088
18;4532;3448
19;3808;4087
20;5195;6670
21;4858;4969
22;4017;5869
23;4733;1126
24;5470;8425
25;4695;3169
26;5189;8650
27;3618;4240
28;4288;3565
29;3851;5977
30;5275;8587
31;4774;1081
32;5257;6634
33;3766;4078
34;5025;856
35;4878;6976
36;3799;118
37;4631;7246
38;5020;865
39;3370;6337
40;4583;2584
41;3479;6436
42;3314;4564
43;4842;7021
44;4079;1729
45;3721;6130
46;4292;1576
47;4810;1072
48;3531;4339
49;3604;6292
50;5240;2683
51;4973;4933
52;3945;3943
53;5053;2809
54;4428;1432
55;4895;8992
56;5060;8812
57;4453;3340
58;4076;5653
59;3977;1891
60;4987;874
61;3935;3970
62;4200;1675
63;4023;1882
64;4483;1468
65;4776;1108
66;4641;1261
67;3856;2017
68;3497;4366
69;4736;5176
70;3953;3934
71;4875;991
72;3595;6301
73;3701;4186
74;3992;5923
75;5013;8866
76;3445;8407
77;5378;514
78;3880;7975
79;3641;8218
80;3858;8011
81;4279;5545
82;3995;7840
83;4616;7273
84;4628;3214
85;4910;4951
86;3960;3880
87;5352;505
88;4836;1009
89;4624;1180
90;4021;1837
91;4985;6886
92;5271;4555
93;4804;3043
94;5027;2836
95;3854;4006
96;4317;5518
97;4921;4843
98;3986;3889
99;3500;2305
100;5299;6517
101;3808;8038
102;5290;4528
103;3877;6058
104;5154;2692
105;5090;775
106;4763;1144
107;5271;4465
108;4651;3160
109;4106;5734
110;5265;6562
111;5247;604
112;3523;8191
113;3740;2125
114;5079;6787
115;4916;964
116;4380;7444
117;4379;5374
118;5238;4573
119;4724;3124
120;4123;3745
121;3662;2161
122;3787;2071
123;3868;1990
124;5070;4771
125;5272;6571
126;4037;7795
127;4413;7435
128;4741;5104
129;3720;6121
130;4044;3808
131;4124;7741
132;3575;307
133;3519;2350
134;4234;7624
135;3469;4393
136;5250;4699
137;5442;8416
138;4237;5572
139;4061;1792
140;5170;8695
141;5329;4510
142;5082;6769
143;5045;802
144;4742;3151
145;5224;8641
146;3620;145
147;4382;5491
148;4941;8929
149;3887;7948
150;5111;2737
151;4673;3142
152;5441;8461
153;4503;7372
154;5254;4618
155;3586;2269
156;5356;2467
157;3636;4231
158;5424;4447
159;4958;901
160;3863;6004
161;3822;4042
162;4136;1738
163;3656;4159
164;5228;550
165;4849;9001
166;5288;6508
167;5414;6463
168;4559;1288
169;5437;4402
170;3621;8164
171;4022;5950
172;4142;7696
173;3792;7993
174;3515;352
175;3626;6166
176;4870;5050
177;4294;3538
178;4329;7543
179;4198;1639
180;4746;5086
181;4615;7264
182;4528;5428
183;3821;6031
184;3630;8236
185;4816;5014
186;3630;253
187;3794;100
188;5383;4474
189;3631;6202
190;3603;334
191;3541;2314
192;4558;5320
193;4783;3079
194;4825;1027
195;3729;4096
196;3677;2143
197;3617;6238
198;4693;7147
199;4638;3205
200;3673;2170
201;4168;3691
202;4636;5194
203;5207;2674
204;4573;7282
205;3631;2179
206;5108;8740
207;5434;2395
208;4309;7525
209;3601;2242
210;4505;1315
211;3858;3988
212;5121;2755
213;3478;415
214;5045;6778
215;4873;5068
216;4799;4996
217;4782;3097
218;5032;4753
219;4033;3790
220;3866;1936
221;4946;8920
222;3962;3871
223;5186;4681
224;3953;3898
225;3662;2215
226;5092;2728
227;4056;7786
228;4531;1342
229;3678;8173
230;4980;2890
231;4689;5302
232;4984;4870
233;4864;6994
234;4856;4897
235;3539;2332
236;4693;5122
237;4145;7705
238;5446;4420
239;4173;3556
240;4645;3196
241;5279;2539
242;3633;4303
243;5213;640
244;5334;2512
245;5167;6706
246;4533;3358
247;4069;1747
248;5456;2386
249;4923;4915
250;3653;6157
251;5060;8767
252;5185;8623
253;5414;8452
254;4590;3259
255;5325;2503
256;4929;2944
257;3620;280
258;3595;244
259;5182;6661
260;4064;7759
261;4810;7066
262;4915;2935
263;5496;2377
264;3702;8146
265;5124;4834
266;4454;1405
267;4619;7228
268;4991;883
269;5527;6283
270;5429;424
271;3837;6040
272;4600;1279
273;4493;3331
274;5396;4429
275;4068;3763
276;5079;2746
277;4472;1378
278;3986;3862
279;4374;7480
280;5090;6742
281;3647;8227
282;4661;3187
283;4471;3385
284;3606;8263
285;3597;6229
286;4081;3754
287;4294;5554
288;4779;9046
289;4794;3106
290;3868;7957
291;4429;3439
292;4775;1054
293;5165;703
294;5452;8398
295;5400;6472
296;4692;7174
297;5350;2557
298;5171;694
299;3896;3979
300;5430;442
301;3760;6067
302;5177;8677
303;4230;3592
304;3692;2116
305;5020;811
306;5036;8794
307;5420;4483
308;4993;6859
309;5473;8362
310;3580;4267
311;4678;6967
312;4385;7498
313;3651;4204
314;3609;4249
315;5190;2629
316;4261;5581
317;3826;2008
318;5182;6643
319;4925;4924
320;4775;5077
321;4945;2926
322;5416;496
323;5451;451
324;5320;487
325;5265;6598
326;4033;1828
327;5167;4708
328;4215;5626
329;4541;5293
330;3783;6085
331;5488;2494
332;4922;8938
333;5234;658
334;3558;6310
335;5006;6823
336;5241;586
337;4224;7642
338;4833;1036
339;3584;6382
340;5168;2710
341;4050;3799
342;3542;8335
343;4550;7291
344;5014;2818
345;4185;3682
346;5009;6841
347;5264;622
348;5246;4627
349;3644;4168
350;4295;7552
351;4107;7858
352;5454;4411
353;4840;7039
354;3920;1945
355;5013;2863
356;4767;9091
357;3646;163
358;3616;208
359;4374;7489
360;4649;5167
361;3669;4177
362;5049;2782
363;5145;6733
364;5246;4654
365;4015;7849
366;4728;1117
367;5467;397
368;4152;7714
369;5272;8542
370;3675;4150
371;5554;2368
372;4104;1765
373;4504;5356
374;3935;7921
375;4238;3601
376;4754;5113
377;4410;5455
378;5142;8704
379;5044;2764
380;5176;667
381;4659;7156
382;3513;2341
383;4407;1450
384;3741;127
385;4075;7903
386;4270;7606
387;3833;4024
388;5182;4672
389;3547;289
390;4896;4987
391;4028;3844
392;5395;2458
393;4361;3502
394;5442;4384
395;3508;6346
396;4255;7579
397;5348;4501
398;4827;5041
399;4845;1018
400;5241;4609
401;3789;2080
402;3997;1846
403;4195;5662
404;3599;8182
405;3792;8056
406;3901;7966
407;3906;1954
408;4936;2908
409;3645;8200
410;5122;2827
411;3501;379
412;5407;2431
413;4514;1306
414;4557;3295
415;5244;8605
416;4631;5158
417;5451;406
418;4844;9010
419;3620;2251
420;4470;3394
421;4537;7327
422;3519;4330
423;4578;5266
424;5332;2611
425;5206;8668
426;3980;5887
427;5275;2548
428;5053;4789
429;5080;8785
430;5361;4492
431;4963;6913
432;4196;5689
433;4405;1486
434;5290;541
435;4268;1603
