#Mode:;3
#Device:;g700_wireless
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7344;2476
1;5710;2161
2;7093;4780
3;5981;3880
4;6408;1432
5;6423;5428
6;6034;3790
7;5742;2071
8;6044;1774
9;7536;2305
10;6685;3043
11;5650;2179
12;6839;1018
13;6656;3205
14;6671;3142
15;7028;838
16;6918;4906
17;6972;4861
18;6447;7390
19;6715;1117
20;7389;595
21;6153;1693
22;6428;5455
23;5897;3970
24;7458;406
25;6422;7372
26;6923;6967
27;7002;4870
28;6935;4996
29;6315;1549
30;6018;3835
31;6812;5041
32;6455;3412
33;6532;5320
34;7261;2593
35;7114;4744
36;7504;2377
37;6018;7840
38;6512;7336
39;7064;6805
40;6539;1234
41;7468;397
42;6311;5527
43;6438;1477
44;6048;1801
45;6855;7039
46;5903;8029
47;6814;9046
48;7341;6589
49;5861;1171
50;5499;3340
51;6047;5599
52;6050;1765
53;7494;8362
54;6405;7489
55;6402;2440
56;6301;4708
57;5438;7444
58;7343;4303
59;6114;6751
60;6204;6850
61;6209;2656
62;5930;7723
63;7829;1162
64;5278;3709
65;6407;8461
66;6164;6706
67;7010;3853
68;5887;8875
69;5455;5356
70;6261;586
71;5197;7660
72;6948;3898
73;5685;3124
74;6985;5815
75;6641;4222
76;7133;3718
77;6651;6229
78;6860;3952
79;7183;3682
80;5894;928
81;6367;4483
82;6232;6778
83;7042;7813
84;6075;8803
85;6487;6346
86;6602;8263
87;6466;370
88;6160;8713
89;6389;6481
90;6984;1873
91;7001;3862
92;5687;7120
93;5697;7183
94;7391;1342
95;5867;7696
96;7173;1657
97;6737;2134
98;7080;1783
99;6540;8380
100;6680;2224
101;5543;1324
102;6609;2620
103;5753;1864
104;8076;4213
105;7407;3772
106;5003;388
107;5721;6175
108;6741;5167
109;6409;3475
110;5897;1999
111;7085;4078
112;5730;1882
113;6655;3196
114;6864;2953
115;6461;8659
116;4952;631
117;6018;1855
118;5192;6634
119;6205;1666
120;5076;667
121;6575;7309
122;6899;3817
123;8524;4663
124;5231;8560
125;6578;1270
126;6323;5572
127;6928;4285
128;6550;3331
129;6800;1135
130;6130;5752
131;6954;4942
132;6793;3097
133;5299;550
134;6432;7507
135;5952;7957
136;6893;5005
137;6175;7768
138;6144;7759
139;5997;7894
140;6129;1720
141;5428;2395
142;5315;442
143;6615;7282
144;6497;3403
145;5850;6130
146;6970;4375
147;8548;6760
148;5340;2575
149;6184;5689
150;5552;4339
151;6924;4915
152;6814;7066
153;5159;8740
154;6824;1099
155;6823;9055
156;5486;4366
157;6176;5698
158;7152;2683
159;7080;6814
160;5870;6031
161;6551;3349
162;6658;7246
163;7072;2800
164;6022;7903
165;5754;163
166;6954;4933
167;5902;4006
168;6596;3286
169;5235;478
170;5819;8074
171;6231;3664
172;6713;7084
173;5491;8389
174;6793;5032
175;6764;7147
176;5707;199
177;6411;5473
178;6877;5023
179;5717;208
180;7338;4492
181;6725;5149
182;6301;5563
183;6390;5509
184;7296;4591
185;5844;6058
186;6920;2980
187;5718;4186
188;6033;5860
189;5497;4411
190;6214;1405
191;6660;7219
192;6023;3871
193;6874;973
194;6005;5806
195;5837;2080
196;7392;6472
197;9013;6112
198;6832;5068
199;6623;5248
200;7538;5671
201;5856;4042
202;7088;8812
203;5669;4249
204;6671;5230
205;5636;2251
206;5442;8452
207;6455;1180
208;7319;4573
209;8357;8794
210;5682;271
211;7307;2629
212;5869;8020
213;7051;4825
214;7263;8623
215;6549;3277
216;6356;3448
217;5848;6049
218;6502;3385
219;6965;6832
220;5856;8038
221;6505;5374
222;7044;829
223;5944;7939
224;6265;7615
225;5857;2044
226;6225;523
227;6939;6958
228;6352;5536
229;5676;190
230;6884;7030
231;6470;2521
232;6794;2296
233;5405;3511
234;5850;3826
235;6765;2449
236;5495;7399
237;6650;262
238;6381;2512
239;5960;937
240;5931;991
241;5840;3799
242;8669;6391
243;7968;4924
244;7064;1819
245;7826;5014
246;6081;3016
247;5237;1603
248;6997;3889
249;6447;2431
250;5668;3241
251;6382;8506
252;5249;3610
253;6112;2773
254;6396;2494
255;6121;8731
256;6472;2422
257;6357;6535
258;6340;4564
259;5016;7849
260;6343;6553
261;6285;8578
262;5970;739
263;6281;8677
264;6188;8641
265;5427;3466
266;5180;7714
267;6775;2116
268;5198;5707
269;5855;1036
270;6042;8821
271;6726;8191
272;6313;505
273;5502;5392
274;6832;4051
275;6435;721
276;6841;2818
277;6628;6265
278;5641;3232
279;6098;8776
280;6100;2764
281;6838;4060
282;6255;8902
283;6771;6895
284;7810;3322
285;5419;8245
286;5366;1441
287;6864;7975
288;5087;8848
289;4858;964
290;6457;3439
291;6504;2323
292;5886;1000
293;7918;7786
294;5619;8218
295;5356;6607
296;6410;1378
297;5937;2089
298;6014;3925
299;7043;8722
300;6922;4969
301;6344;1531
302;5298;8596
303;5878;6067
304;5855;6040
305;5093;6715
306;6835;3079
307;6895;2998
308;5794;127
309;5586;8308
310;6238;3592
311;5993;1909
312;6379;5500
313;6933;6949
314;7003;2836
315;6012;7858
316;5226;4681
317;5797;8119
318;5530;4294
319;6642;3187
320;6433;7480
321;6379;1567
322;6786;7129
323;5812;8083
324;6950;4978
325;5960;5842
326;7213;4672
327;5914;5977
328;6014;3916
329;5998;5923
330;5948;1837
331;6617;5176
332;7020;883
333;6663;3133
334;6886;6913
335;6196;5212
336;6865;1081
337;5765;145
338;6267;1621
339;6210;7705
340;5673;235
341;6294;3601
342;5810;4087
343;5401;6490
344;5760;8128
345;6539;1306
346;6626;5257
347;8744;3034
348;6881;7111
349;5815;8002
350;5457;4456
351;5356;2557
352;6937;8965
353;5681;6148
354;6816;5077
355;6544;5347
