#Mode:;3
#Device:;g9
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3598;280
1;3640;8299
2;4150;7705
3;3538;2278
4;2961;2872
5;4240;1594
6;3811;2125
7;3464;4501
8;4280;5671
9;3518;325
10;4363;3511
11;2966;8848
12;3623;8218
13;3564;2386
14;4174;7687
15;2994;6967
16;4728;3142
17;3242;631
18;4306;5581
19;4726;3115
20;3801;163
21;4648;3232
22;3335;6535
23;2865;1090
24;3939;7984
25;4635;3286
26;3007;6868
27;4293;5644
28;3407;6553
29;2963;937
30;4674;5185
31;3601;4312
32;2934;8956
33;3599;370
34;3330;6580
35;4598;7273
36;3206;2647
37;3918;1918
38;3660;6202
39;3332;4645
40;3817;4159
41;4197;3781
42;3248;2620
43;3086;2854
44;3646;2323
45;3569;2350
46;4030;3889
47;3803;8065
48;2866;7057
49;3875;1981
50;3803;2080
51;4589;3322
52;4376;5545
53;3389;8515
54;3395;4492
55;3473;4393
56;3171;730
57;4179;3718
58;3252;694
59;4276;3691
60;3785;4060
61;4692;1234
62;4708;1189
63;2873;7084
64;4842;1072
65;4747;5203
66;3055;802
67;3101;6787
68;3241;4600
69;4696;7219
70;4027;5905
71;3150;8803
72;4462;5500
73;4716;7147
74;3233;4627
75;4030;3844
76;4336;1612
77;2998;4942
78;4018;3907
79;4578;1351
80;3308;2530
81;3939;7957
82;3630;6292
83;3818;109
84;3240;2629
85;3388;2512
86;3154;6760
87;3422;541
88;3244;8659
89;3000;4915
90;3556;4366
91;4270;1603
92;3874;6067
93;3077;8821
94;4326;7570
95;4243;5572
96;3189;4753
97;3727;217
98;4607;3304
99;4397;1486
100;4654;5248
101;4211;1756
102;4469;5464
103;3360;568
104;3205;3601
105;4112;7795
106;3796;8056
107;3539;433
108;3177;8704
109;3002;901
110;3247;6625
111;4501;1396
112;4140;3799
113;3364;6499
114;3520;379
115;2841;6985
116;4229;7615
117;3004;6895
118;4060;1801
119;4789;7093
120;4498;7354
121;4459;1450
122;4150;3664
123;3090;4780
124;3527;4339
125;2917;2962
126;3703;2197
127;4309;7561
128;4031;1846
129;3589;4267
130;4040;7903
131;3175;2701
132;3684;6157
133;3886;1990
134;3180;4672
135;4340;1585
136;3708;2107
137;2923;4996
138;4152;7696
139;4769;5131
140;4320;7534
141;3540;8317
142;3691;4249
143;4164;7624
144;4144;3727
145;4867;1036
146;4326;1522
147;3884;4024
148;3816;8029
149;4261;7633
150;3904;3997
151;3314;8461
152;4738;3151
153;3856;8047
154;2955;955
155;4645;1261
156;3560;2296
157;3200;6688
158;3097;4807
159;3363;4564
160;3103;8857
161;3117;748
162;4578;5293
163;2973;2917
164;4601;1279
165;3913;3970
166;4832;9055
167;4587;5302
168;3024;8875
169;3704;2188
170;3885;5950
171;3846;6040
172;3534;352
173;4276;5608
174;3206;703
175;4820;5068
176;4446;7453
177;3159;4744
178;2916;2980
179;3525;8371
180;3030;6769
181;4497;3394
182;2962;6922
183;3936;5959
184;3555;4330
185;4384;7507
186;3578;2287
187;3086;2791
188;4321;3484
189;3522;2377
190;3854;2035
191;3217;658
192;4042;7840
193;4587;3313
194;4099;7759
195;3811;4096
196;3966;1927
197;4157;6931
198;5016;6814
199;4965;4879
200;3126;685
201;3431;4375
202;3545;8308
203;3273;4537
204;4133;5707
205;4252;5698
206;3101;4816
207;3919;2026
208;3574;6265
209;3118;775
210;4396;7462
211;4922;7102
212;3281;8614
213;3012;2836
214;3429;2458
215;3324;8551
216;2987;928
217;4348;7543
218;3489;4510
219;4202;3619
220;4054;3853
221;4770;7129
222;3665;2224
223;4381;5518
224;4266;1630
225;3715;2179
226;4332;5563
227;3530;361
228;4144;7831
229;4812;3079
230;3154;6733
231;3068;8830
232;3964;5932
233;3392;505
234;4182;7714
235;3894;3988
236;3474;2422
237;4634;5275
238;3595;6301
239;3302;8587
240;4572;7318
241;4595;1297
242;3258;6598
243;4548;1333
244;4025;5851
245;3392;8497
246;3154;2719
247;3896;5986
248;3368;2539
249;3992;3880
250;3030;4843
251;3775;2044
252;3056;8776
253;4054;5815
254;4596;7291
255;2957;6877
256;4882;982
257;4106;5824
258;2972;2899
259;4140;1747
260;4258;5626
261;4394;5482
262;4439;3457
263;3597;271
264;3113;4834
265;3876;5995
266;3994;3835
267;3394;8506
268;3786;4114
269;3416;487
270;3447;2431
271;4690;5194
272;4864;9037
273;2915;6976
274;3791;8101
275;3399;514
276;3979;3925
277;3572;2314
278;3613;6283
279;3274;4636
280;3337;2548
281;4450;7372
282;3974;7921
283;3341;4573
284;3907;5977
285;3351;8542
286;4302;7597
287;4520;5374
288;2983;8920
289;3556;8326
290;3843;4015
291;3477;4411
292;4480;5455
293;4524;5356
294;3381;8524
295;3565;4321
296;4813;9073
297;4882;7003
298;3720;154
299;3093;4798
300;3376;4519
301;3792;4105
302;3849;4042
303;4521;3358
304;3753;8128
305;3302;6571
306;3063;2818
307;2963;4906
308;4775;3088
309;3858;4006
310;4284;7579
311;4196;3682
312;4135;5761
313;4090;1792
314;3129;8686
315;3577;8281
316;3285;6589
317;3303;4582
318;4384;3475
319;3702;172
320;3852;2017
321;3588;8290
322;4614;7255
323;3481;415
324;4087;5806
325;4510;5383
326;4172;1711
327;3217;667
328;4355;1504
329;2971;6886
330;4633;5239
331;3278;2593
332;3080;8785
333;3068;8794
334;4363;1513
335;3393;4474
336;3223;4663
337;3987;1900
338;4016;1855
339;4345;5554
340;4759;1126
341;4583;7210
342;3065;2809
343;4937;2926
344;5545;7039
345;4809;7192
346;3820;8038
347;2841;1063
348;3058;6850
349;4861;6454
350;4682;7183
351;4071;3826
352;3789;4141
353;3121;793
354;3033;874
355;4471;1432
356;4090;5725
357;4552;2908
358;3010;856
359;4205;1684
360;4509;7363
361;3746;190
362;3066;8839
363;3980;3898
364;3527;6373
365;3000;4897
366;4458;7669
367;5042;2998
368;3315;523
369;3263;8650
370;3644;8245
371;4783;9082
372;5312;8596
373;5096;1099
374;3742;8146
375;3219;4654
376;3389;334
377;3414;2467
378;3514;4384
379;4532;1369
380;3154;2737
381;3249;4618
382;3975;3952
383;3837;2134
384;3707;6121
385;3740;2152
386;4060;1837
387;3944;5941
388;4083;5770
389;3701;6193
390;4633;3250
391;2928;991
392;4101;3772
393;3793;118
394;3629;8263
395;3683;4213
396;3717;6166
397;3713;2170
398;4390;5491
399;3068;820
400;3543;2341
401;3971;3916
402;4123;5743
403;2944;4870
404;4550;5338
405;4822;1081
406;4662;5221
407;3116;577
408;3318;4528
409;4634;5230
410;3944;5878
411;2841;3016
412;3580;298
413;3467;4456
414;4506;7345
415;4268;3565
416;4002;5842
417;3433;8416
418;3353;496
419;3812;4123
420;4748;5176
421;3512;424
422;4652;7282
423;3183;6742
424;4441;7408
425;3150;8731
426;4339;7588
427;3844;4033
428;4466;7390
429;4878;6958
430;4404;7498
431;3038;4888
432;3490;6355
433;4574;5347
434;4820;1144
435;4631;3277
436;4526;1423
437;4657;3259
438;4896;1018
439;4098;5833
440;3490;2368
441;4568;3331
442;3190;2728
443;3906;8011
444;3540;2404
445;3277;6643
446;3214;2665
447;2904;2971
448;4524;3403
449;3687;8209
450;4150;7768
451;4489;5419
452;4465;307
453;3232;8641
454;4757;7120
455;4711;5104
456;3470;397
457;4808;6139
458;3454;2440
459;3765;6112
460;3744;8137
461;5226;1693
462;4164;5635
463;4356;1558
464;3223;8668
465;4568;5311
466;4803;9028
467;3818;6031
468;3479;4402
469;4166;1729
470;3107;4789
471;4342;5599
472;4153;7651
473;3734;8182
474;3868;6022
475;3196;2656
476;3033;8893
477;4271;1666
478;4761;1153
479;3470;406
480;3551;6400
481;3358;532
482;4283;7525
483;3100;8758
484;4841;3106
485;3661;7642
486;3099;829
487;4059;1783
488;4695;7201
489;3104;8767
490;4531;1360
491;3010;8812
492;3275;6661
493;3386;6517
494;3717;2242
495;3604;316
496;3193;2692
497;4535;1387
498;3848;8083
499;3084;2827
500;2881;4960
501;3969;3862
502;4370;3583
503;3549;2395
504;3008;910
505;3593;208
506;4079;5752
507;3997;1891
508;4171;3745
509;3236;2683
510;4062;3808
511;4502;3430
512;2839;7048
513;4683;7237
514;3900;8002
515;4723;5158
516;3794;343
517;3622;2215
518;3944;7876
519;3991;7930
520;2926;5041
521;4676;7228
522;4596;3376
523;4814;5095
524;3547;2332
525;4003;7849
526;4418;3385
527;4746;3124
528;3613;2269
529;3747;6130
530;4162;5716
531;3473;2413
532;3459;2476
533;3724;8200
534;2937;1000
535;4743;5167
536;3624;8353
537;4550;3349
538;2838;1009
539;4327;5509
540;4237;5653
541;4136;1828
542;4780;5149
543;3710;8173
544;4307;1549
545;3887;3979
546;2920;946
547;3699;8155
548;3466;469
549;3448;6418
550;4159;5662
551;4655;3295
552;4236;5680
553;3532;8362
554;3743;2116
555;4708;1216
556;3442;4420
557;4175;1774
558;4061;7822
559;3798;8074
560;4269;1648
561;4607;5365
562;3084;6805
563;4111;1765
564;4162;1738
565;3275;8578
566;3018;8884
567;4410;1468
568;3291;649
569;4154;7732
570;4162;1657
571;4558;1315
572;3519;2305
573;3258;622
574;4858;1045
575;4294;3592
576;3005;2863
577;4062;7804
578;3626;8236
579;4332;5536
580;4806;9091
581;4348;3547
582;3294;586
583;4764;5113
584;4086;7741
585;2917;8965
586;3715;4258
587;3180;6724
588;4761;1180
589;4078;5797
590;3094;8866
591;4849;5032
592;3129;6697
593;3101;8749
594;3066;4825
595;4639;7309
596;3908;1945
597;3798;6094
598;2920;8929
599;2921;6994
600;4593;5284
601;3276;6607
602;3382;4438
603;4215;5617
604;3203;8677
605;3063;2953
606;3313;8569
607;3619;6274
608;4687;1207
609;3176;2710
610;3717;6175
611;4421;1459
612;4094;1720
613;3156;4735
614;4438;5257
615;3788;4078
616;4644;1198
617;4401;1441
618;2722;4357
619;3904;7867
620;4481;7435
621;3883;7993
622;4419;5473
623;4370;3529
624;3275;8632
625;3315;8380
626;3123;4168
627;4764;1135
628;4371;7516
629;3126;4762
630;4573;7300
631;3435;8452
632;3731;145
633;3451;7750
634;3951;3943
635;3706;6184
636;2965;4924
637;4382;3502
638;2865;7012
639;3789;2098
640;4471;1414
641;3595;6211
642;3037;6832
643;4451;5428
644;2921;2944
645;3118;2764
646;4565;7264
647;3388;8479
648;4925;964
649;3495;6391
650;4468;7381
651;4708;3169
652;4237;1621
653;4374;7417
654;3058;6823
655;4777;7111
656;3432;6427
657;4897;3007
658;4522;5329
659;3767;6103
660;3137;4726
661;4849;9019
662;3515;6364
663;3851;1999
664;4373;7480
665;3981;1864
666;3094;2800
667;3740;8164
668;3287;6562
669;3877;7912
670;4614;5266
671;4854;3025
672;3647;226
673;3258;4609
674;3162;8695
675;3621;6319
676;3744;8119
677;4747;5140
678;3533;6346
679;3518;2359
680;3047;838
681;4310;1567
682;4080;7786
683;3817;2062
684;3689;4150
685;4030;5860
686;3405;4465
687;3228;6634
688;4548;7327
689;4602;1270
690;4459;5410
691;3838;6058
692;4806;7066
693;3529;6328
694;3482;6382
695;2940;4933
696;3845;6013
697;4802;1054
698;4703;3160
699;3263;2602
700;3622;8254
701;4021;5779
702;3021;6859
703;3158;4699
704;4075;1810
705;3458;2521
706;4735;1117
707;4302;7660
708;2977;2890
709;3602;2260
710;4896;8974
711;4436;5446
712;4855;1027
713;3423;6463
714;3204;676
715;4118;3754
716;3187;4717
717;4464;3421
718;3451;8434
719;3755;4087
720;4911;973
721;4784;3268
722;4454;7426
723;2899;6940
724;4512;3241
725;2979;8911
726;3294;2575
727;3603;289
728;3555;6310
729;3598;1288
730;4227;5689
731;3660;6238
732;3368;8560
733;4483;3412
734;4154;5734
735;3814;2089
736;3992;5923
737;4708;5122
738;3633;6256
739;3791;2143
740;4477;5437
741;4739;1162
742;4329;1576
743;3907;1963
744;2825;3097
745;3851;6085
746;3186;640
747;4223;1252
748;3011;883
749;4283;3646
750;3705;136
751;2900;3052
752;4626;5320
753;2900;7030
754;4379;1531
755;4272;3637
756;3924;3961
757;4800;6715
758;2889;3061
759;2883;8947
760;4356;3520
761;3663;253
762;3414;2503
763;4670;613
764;4209;1639
765;3796;2071
766;3332;100
767;4578;2449
768;4027;7885
769;4711;4276
770;2887;3043
771;3231;6616
772;4761;7156
773;4305;3538
774;3449;8389
775;4302;5590
776;3687;6148
777;5248;1540
778;4820;5077
779;4066;1819
780;3041;4852
781;3476;4348
782;3536;8344
783;3785;8092
784;4097;3709
785;3357;4546
786;3346;550
787;3508;595
788;4800;5005
789;3550;8272
790;4058;3763
791;3271;6526
792;4847;4987
793;4922;6949
794;5102;721
795;4736;5086
796;4631;1171
797;3874;7966
798;4346;7471
799;5046;2755
800;3383;6436
801;3195;8623
802;5095;2746
803;4403;7399
804;4420;5392
805;4020;7813
806;4974;2845
807;4678;1108
808;4421;1378
809;3462;8335
810;3838;7948
811;3393;8425
812;4348;1495
813;4658;3223
814;4786;3034
815;3699;199
816;4406;1405
817;3566;2251
818;3551;4285
819;3832;1972
820;3354;4447
821;3567;262
822;4863;8938
823;4861;8992
824;3858;1954
825;5074;6796
826;4505;6679
827;3394;388
828;3959;7858
829;4766;3340
830;3338;604
831;3240;7444
832;3324;478
833;4571;1324
834;3305;8605
835;4590;1306
836;5633;2233
837;3170;8740
838;2904;5014
839;3013;8902
840;2976;6904
841;4146;7777
842;3525;8398
843;4284;3673
844;3829;8110
845;3705;4177
846;3379;559
847;3350;2566
848;3288;2611
849;3370;8533
850;4850;9046
851;3211;2674
852;4791;7075
853;3078;766
854;3064;4771
855;3591;6337
856;4692;7165
857;4054;5896
858;3150;4708
859;2972;4861
860;3479;442
861;4634;1225
862;3627;8191
863;3462;6409
864;3245;2638
865;3341;2584
866;3089;811
867;2919;2935
868;4791;5050
869;3385;8470
870;3095;6778
871;3136;739
872;3859;2008
873;3471;244
874;4817;8407
875;4007;7894
876;3221;4690
877;4430;1477
878;4291;3610
879;4534;3367
880;3338;4555
881;3994;5914
882;4350;7552
883;4758;3133
884;3742;4132
885;3416;4429
886;3869;6445
887;2953;4951
888;3323;6652
889;4720;9001
890;3350;6544
891;4175;3736
892;3592;4303
893;3600;6247
894;4824;9064
895;4490;1342
896;3600;4222
897;3880;6004
898;4639;1243
899;3417;6472
900;4325;3556
901;3372;6508
902;4553;5401
903;4242;3655
904;3069;784
905;4166;1702
906;3069;6841
907;4355;5527
908;2893;9010
909;4395;7489
910;4195;7678
911;3690;4204
912;2913;4969
913;3591;4294
914;3878;8020
915;2976;919
916;4662;5212
917;4427;3448
918;4750;7138
919;4606;3205
920;3932;7975
921;4260;7336
922;3958;7939
923;4082;5788
924;3189;4681
925;3196;712
926;4014;5869
927;3665;235
928;3649;4195
929;3418;4483
930;4282;3628
931;3834;6049
932;3176;4231
933;3871;5968
934;3671;2161
935;3781;4051
936;3695;8227
937;4036;1882
938;4817;3196
939;4803;2989
940;5183;8713
941;3912;3934
942;3623;6229
943;3760;4069
944;4604;7246
945;4160;1675
946;3956;1873
947;6343;3187
948;3409;2494
949;3240;6670
950;3946;1936
951;4715;7174
952;4029;5887
953;3417;6481
954;2834;5023
955;4268;7606
956;3391;8488
957;3186;6706
958;3636;4240
959;3422;460
960;3342;2557
961;4323;3574
962;3765;127
963;3295;4591
964;3397;8443
965;3103;2773
966;3945;1909
967;3479;6490
968;4151;7723
969;2997;757
970;3000;6913
971;3458;451
972;2920;8983
973;3679;6220
974;2975;2881
975;3939;2485
976;3104;6751
977;4675;3214
978;2900;4978
979;4421;3466
980;3636;2206
981;4170;3700
982;4089;3817
983;3025;865
984;3700;4186
985;4405;3493
986;3721;181
987;4087;3790
988;4032;3871
989;3839;2053
990;3033;847
991;4799;3070
992;3169;8722
993;3785;6076
994;4449;3439
995;4698;3178
996;4857;7021
997;4812;5059
998;3093;2782
999;2146;892
