#Mode:;3
#Device:;g300
#Button:;57
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;20501;379
1;20888;9055
2;19127;6499
3;19840;1054
4;20862;2791
5;20709;6517
6;21237;7660
7;21806;1864
8;21170;5959
9;20107;5572
10;21365;8263
11;20926;1990
12;22215;4717
13;20130;7030
14;21133;2512
15;20516;595
16;20955;8776
17;21415;5698
18;18949;6643
19;21736;1936
20;19442;1675
21;20359;6454
22;20028;7066
23;22315;1378
24;22105;7813
25;19458;3430
26;20862;2800
27;20900;8992
28;20280;667
29;20469;6670
30;19712;3916
31;20194;3718
32;19040;6634
33;21827;7894
34;20657;6463
35;19498;6121
36;21534;2053
37;19646;6076
38;20719;8956
39;19454;4456
40;21192;8497
41;19898;1234
42;21162;2467
43;19866;1288
44;21665;7291
45;20527;3052
46;20665;4951
47;21598;8056
48;21376;2476
49;19470;190
50;20148;712
51;21679;4051
52;20634;3025
53;22501;1180
54;20572;604
55;21343;1567
56;21857;5104
57;19094;4852
58;20915;8659
59;20954;208
60;21113;4564
61;20482;424
62;22237;1342
63;21909;1972
64;20661;8218
65;21371;2296
66;20333;829
67;21865;4978
68;20870;6229
69;20610;2989
70;20118;3790
71;20060;8875
72;21171;2593
73;20348;6742
74;20082;793
75;21422;2503
76;20360;5347
77;20784;2863
78;19581;145
79;21849;7723
80;19052;6616
81;21488;2089
82;21312;5842
83;20516;5149
84;21174;2440
85;19050;577
86;21694;7957
87;21441;4222
88;20235;694
89;20970;2953
90;22128;4807
91;19462;7714
92;21155;2494
93;19923;4060
94;21599;2062
95;20045;1144
96;20124;2719
97;19760;7093
98;20511;3439
99;21217;2377
100;20768;3088
101;22586;7129
102;20127;1027
103;21252;7696
104;19794;3862
105;19337;451
106;20200;3394
107;21933;883
108;22273;1414
109;19290;4609
110;21380;8299
111;19689;1477
112;21496;7408
113;21907;5041
114;20423;3520
115;22021;4888
116;21310;8524
117;19148;469
118;21416;2215
119;21662;2017
120;22011;5131
121;20118;8821
122;21458;5527
123;20013;3835
124;20110;5563
125;20251;6751
126;20601;2305
127;21403;2260
128;19279;1900
129;21070;2602
130;21103;2764
131;22408;4537
132;20244;6850
133;19025;631
134;21084;8623
135;19725;3160
136;22322;4600
137;22108;4987
138;21008;2755
139;20864;3043
140;21816;1801
141;21868;2035
142;19900;3781
143;21133;2827
144;19413;6310
145;22018;1666
146;19880;1297
147;21693;1918
148;21611;2287
149;19869;3799
150;19885;1207
151;20895;8830
152;21606;2368
153;19371;271
154;20079;3574
155;21307;4384
156;21914;1783
157;21822;2080
158;20597;3034
159;21445;5725
160;21162;2485
161;19865;7354
162;21619;2044
163;20673;3241
164;21373;4258
165;22182;1450
166;21779;5320
167;18872;6715
168;22002;1702
169;20953;7975
170;19880;3826
171;20212;5500
172;20431;3214
173;20644;3277
174;21948;1684
175;20956;235
176;20604;5014
177;21633;5266
178;21112;4465
179;20063;6805
180;21705;5419
181;21264;2413
182;20127;964
183;19440;6211
184;21425;8290
185;20221;2683
186;21090;2521
187;21674;2269
188;20805;2899
189;21056;2836
190;20869;4744
191;20966;2692
192;19906;5752
193;19840;1108
194;21515;1405
195;21135;2530
196;20385;8578
197;19775;3934
198;20928;181
199;21097;8569
200;21154;2737
201;21955;7048
202;22640;4177
203;20148;3709
204;21401;4339
205;21087;2584
206;19970;5743
207;21401;2188
208;20711;8173
209;20317;6598
210;19633;1558
211;21207;4492
212;19915;991
213;21523;2143
214;22311;7669
215;20698;2206
216;21877;1837
217;21119;4555
218;22380;4519
219;20338;6814
220;19888;5779
221;20202;3376
222;20830;4798
223;20097;3484
224;20412;3502
225;19891;1099
226;21483;2332
227;21334;2341
228;21340;8533
229;19319;370
230;22329;4582
231;21775;1162
232;19691;1171
233;21692;3961
234;21777;7885
235;20677;3250
236;19373;6301
237;20086;3601
238;20340;5329
239;20671;6256
240;21520;8344
241;18743;6913
242;21795;1873
243;22003;1612
244;21168;5986
245;20583;5077
246;21265;5590
247;21127;5977
248;21190;4402
249;21000;5905
250;20166;2773
251;21637;5203
252;21453;2458
253;20567;5005
254;19631;7300
255;21235;4438
256;20666;280
257;20893;4780
258;21724;5167
259;21339;5716
260;21015;8695
261;21681;8272
262;21480;5671
263;22136;4726
264;20352;757
265;22159;7471
266;22457;4636
267;20525;8389
268;22061;1594
269;22302;4969
270;20789;8785
271;21186;5878
272;19505;3403
273;21006;2674
274;21071;6049
275;22581;7039
276;19687;1423
277;18878;6769
278;20376;3259
279;21973;937
280;22253;1360
281;20112;1045
282;19924;6985
283;20301;6796
284;22095;7597
285;19659;4285
286;19296;3619
287;21340;8317
288;20049;7075
289;19766;3898
290;21860;5338
291;20929;2728
292;22508;4591
293;20503;5158
294;22347;1252
295;19552;1648
296;21104;8551
297;20338;838
298;21313;8398
299;20206;3655
300;20586;5140
301;21697;2008
302;20642;3268
303;21525;2116
304;21986;7948
305;21446;4240
306;21280;8335
307;21488;5653
308;20784;136
309;21928;5230
310;21294;8371
311;20373;784
312;21354;7588
313;19820;3808
314;19594;4276
315;20795;6130
316;20793;298
317;20252;640
318;21900;7984
319;19571;6103
320;21991;4924
321;20862;3061
322;20573;343
323;21184;5950
324;20519;9073
325;19571;7606
326;22101;1522
327;21361;5824
328;19542;1639
329;20561;6337
330;20673;442
331;21164;2548
332;20872;6247
333;22112;1630
334;20338;856
335;20352;5293
336;20745;172
337;20070;8857
338;19927;3691
339;20211;6931
340;21403;8236
341;22042;7867
342;21603;1306
343;19717;3925
344;20786;9091
345;20814;2908
346;21032;6139
347;20242;8668
348;20298;3358
349;21145;1738
350;21377;5446
351;19783;7336
352;19981;3727
353;21410;8506
354;21085;4618
355;20370;3295
356;19634;7570
357;19973;946
358;19829;7345
359;19616;6067
360;19425;4303
