#Mode:;3
#Device:;gembird
#Button:;57
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;19823;4051
1;20095;2809
2;21018;8695
3;20534;6670
4;20074;5590
5;21646;7993
6;21208;1711
7;20665;235
8;19044;6625
9;21653;2017
10;21051;6022
11;20722;3007
12;20982;217
13;20260;5410
14;20131;6760
15;19960;9019
16;19913;928
17;22045;7849
18;21842;7822
19;20925;6247
20;21640;3997
21;20645;3016
22;21032;2827
23;21159;8569
24;20060;1144
25;21501;2215
26;20823;271
27;20175;8722
28;20121;676
29;21563;7327
30;21077;2602
31;20040;7093
32;19298;388
33;19637;7219
34;21225;4429
35;20837;8785
36;19868;7255
37;20687;2944
38;20627;3250
39;20869;4762
40;22123;1513
41;21812;1099
42;22168;7570
43;20155;991
44;22296;4609
45;20283;820
46;19671;6031
47;20154;3592
48;20887;2746
49;21854;8065
50;20374;739
51;21573;5329
52;19641;1495
53;20570;6346
54;20631;487
55;21309;4312
56;21911;1801
57;21377;2296
58;22413;4735
59;21896;6976
60;21545;5464
61;19940;7246
62;21471;2233
63;21903;2089
64;21218;7750
65;19457;4150
66;21747;8164
67;21388;8227
68;21088;8821
69;20837;4879
70;22031;1603
71;19572;1621
72;19776;5878
73;21352;5563
74;21305;7633
75;20854;5977
76;21266;5887
77;20493;361
78;22091;5041
79;21330;8263
80;20355;6796
81;20057;8857
82;19435;6148
83;19856;1045
84;21063;2566
85;21903;5293
86;19327;6391
87;21893;1765
88;21611;1297
89;20435;6481
90;21521;2368
91;21064;2647
92;20997;2890
93;21077;4546
94;22025;1612
95;19922;8938
96;22720;4186
97;19829;7264
98;22013;1648
99;20913;280
100;19731;5896
101;19507;1369
102;20418;8479
103;22003;4897
104;19140;1963
105;22380;1189
106;20962;2953
107;20220;5446
108;21902;5032
109;20462;8533
110;22029;1594
111;21007;8929
112;21428;8173
113;21040;8920
114;20227;2674
115;22096;4807
116;22283;4861
117;20522;3151
118;19848;1270
119;20149;8740
120;20027;3700
121;19535;6085
122;20520;379
