#Mode:;3
#Device:;intelli_new
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6037;1819
1;6300;3637
2;5520;7381
3;5711;7165
4;6191;6688
5;5766;5113
6;6277;3619
7;5687;7210
8;6280;3646
9;5717;163
10;6305;6607
11;5865;5050
12;5526;5392
13;5609;1270
14;5603;2305
15;6282;649
16;5610;7219
17;5692;3268
18;6362;6472
19;6279;694
20;5865;3043
21;5804;5032
22;6270;3664
23;6264;658
24;6273;8605
25;5855;7057
26;6096;6823
27;6022;1900
28;5946;5023
29;5760;2143
30;5861;3034
31;6052;8857
32;6200;5662
33;5948;4960
34;5694;1234
35;6359;3547
36;6194;3700
37;5670;8236
38;5526;2395
39;5849;5086
40;5951;982
41;5523;7408
42;6115;4798
43;6456;1468
44;5949;1945
45;5798;1117
46;5934;1000
47;5773;1180
48;5605;6337
49;6423;7543
50;5754;181
51;5770;2134
52;6033;1864
53;6112;6805
54;5855;5068
55;6058;1792
56;5508;5374
57;5943;928
58;5855;5995
59;6426;4519
60;6435;6463
61;5505;415
62;5521;2314
63;5939;4924
64;5762;8092
65;6201;7642
66;6442;5410
67;5515;7399
68;6441;1477
69;6050;847
70;5856;3052
71;6259;604
72;5946;5959
73;5856;8020
74;6283;568
75;5755;3088
76;6444;3493
77;6266;613
78;6097;1846
79;6134;5788
80;5524;8344
81;6254;3655
82;5609;4240
83;6509;7372
84;5611;1279
85;5692;2179
86;6373;4501
87;5776;5149
88;5996;937
89;5941;946
90;5600;5329
91;6198;721
92;6305;6562
93;5859;6040
94;6523;2359
95;5856;1090
96;5693;8209
97;6115;7678
98;6301;2557
99;6180;739
100;5947;2026
101;5608;4285
102;5775;1135
103;6437;8452
104;5779;7129
105;6445;8389
106;6266;5608
107;6549;3358
108;6032;6814
109;6199;712
110;6016;2827
111;6367;3529
112;5613;361
113;6027;6877
114;5928;1918
115;6194;4708
116;6382;1504
117;6225;3682
118;6509;1414
119;6528;2350
120;5636;2269
121;5941;3979
122;5780;4141
123;6452;7426
124;5700;8182
125;6533;7345
126;6528;8416
127;6363;3538
128;6117;3772
129;5842;5041
130;5945;6949
131;6359;8551
132;6096;2818
133;5698;2170
134;6307;1612
135;6200;2683
136;6446;7471
137;5611;6274
138;5941;5941
139;5700;1216
140;6368;1540
141;6120;7759
142;5808;3079
143;6599;5320
144;6533;6364
145;5861;7066
146;5947;3925
147;6472;1486
148;6007;892
149;5666;4258
150;6247;8695
151;6250;1657
152;6160;3763
153;6459;1423
154;6496;6400
155;5773;8137
156;5931;1963
157;6561;6355
158;5744;7201
159;5728;3196
160;6650;4276
161;5718;5212
162;6255;3673
163;6337;7552
164;6422;2494
165;5659;2242
166;5714;199
167;6265;2629
168;6093;4816
169;6434;8461
170;5931;3970
171;6091;1810
172;6586;8362
173;5677;8227
174;6183;757
175;5843;2080
176;5853;8029
177;5856;9082
178;6191;8749
179;6706;1207
180;6605;2251
181;6526;6373
182;6270;8623
183;6377;7579
184;6295;3610
185;6307;2647
186;5934;1045
187;5924;2926
188;5960;6004
189;6605;7309
190;6601;307
191;6515;2386
192;6091;2854
193;5990;1927
194;6629;6247
195;6278;7570
196;6292;8596
197;5846;8074
198;6099;5752
199;5761;5140
200;6216;5680
