#Mode:;3
#Device:;intelli_og
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;9316;2341
1;10726;2125
2;9957;1639
3;10501;2404
4;17630;8290
5;19933;4969
6;9067;3853
7;11422;1720
8;11241;424
9;12012;892
10;18694;6229
11;19755;5167
12;19194;5707
13;17254;7615
14;11188;1702
15;9706;1909
16;17706;7192
17;12780;127
18;10288;1342
19;9277;3664
20;20266;4654
21;9767;3124
22;10188;2971
23;8510;3205
24;17521;7381
25;10359;2620
26;17608;7291
27;12518;451
28;11851;1243
29;20839;3997
30;18692;6211
31;18076;6796
32;16348;8569
33;19939;5689
34;16185;8695
35;11347;298
36;18533;6418
37;19529;6130
38;11286;379
39;19614;5275
40;9098;3862
41;10678;1036
42;9009;3880
43;20920;5041
44;16191;8776
45;9931;2989
46;17192;7921
47;20980;4636
48;10568;1072
49;20613;4267
50;18862;6022
51;11356;1540
52;17988;6859
53;19645;5302
54;12350;586
55;8296;3358
56;10494;2359
57;12853;325
58;16898;8056
59;12271;649
60;11782;1378
61;16913;7993
62;9802;3169
63;19014;5869
64;8127;3457
65;18936;5932
66;19831;5095
67;17922;7777
68;16804;8101
69;18589;6301
70;16869;8029
71;16639;8281
72;18904;6040
73;18014;7633
74;17397;7543
75;17478;7462
76;16576;8335
77;9045;3898
78;8724;2998
79;9108;3781
80;17082;8893
81;20303;4663
82;17980;6931
83;9806;3178
84;19346;6553
85;16566;8308
86;10430;1252
87;18567;6355
88;10265;2692
89;10514;2413
90;16903;8218
91;10696;2206
92;19453;5437
93;11061;1837
94;20559;5338
95;20665;4321
96;11390;1504
97;18428;6697
98;9632;3277
99;12104;847
100;16414;8767
101;17058;8614
102;10327;1351
103;9803;3142
104;19028;6805
105;19832;5014
106;9264;3700
107;8721;4429
108;17165;7750
109;12747;118
110;9970;3250
111;12017;919
112;17917;7201
113;10053;2836
114;19324;5590
115;12710;244
116;10300;2854
117;11666;1261
118;11984;1180
119;9637;3259
120;10999;2107
121;8387;3268
122;9391;3511
123;12254;955
124;10277;2602
125;9040;4051
126;17743;7156
127;17121;7768
128;11312;1603
129;17819;7129
130;19687;5194
131;10077;2845
132;19495;6436
133;20697;4177
134;18256;6661
135;8871;4006
136;9727;3403
137;18651;6220
138;10653;2224
139;17660;8245
140;15962;9001
141;11446;1495
142;9536;3628
143;7949;3637
144;19186;5770
145;20609;4339
146;18467;7183
147;8416;3232
148;18334;6571
149;10498;2440
150;8343;3349
151;12144;766
152;20308;5608
153;16421;8488
154;16852;8065
155;12387;559
156;11050;2098
157;16545;8362
158;16242;8722
159;18399;6517
160;10661;2278
161;11858;1063
162;16548;8524
163;18931;6769
164;8209;3475
165;12775;136
166;21031;4843
167;20860;4015
168;16805;8119
169;10936;1999
170;20952;4933
171;21120;3835
172;10043;1621
173;10694;2251
174;19672;5248
175;11760;1090
176;8613;4564
177;18079;6823
178;16826;8092
179;19768;5086
180;19788;5122
181;17505;8110
182;11307;388
183;17332;7606
184;10388;2494
185;20424;4474
186;9623;2026
187;12089;838
188;10618;1045
189;11233;1666
190;20754;4204
191;18516;6400
192;12626;280
193;20654;5257
194;21037;4897
195;19430;5491
196;11013;1945
197;12367;775
198;17460;7525
199;16118;8803
200;17213;7642
201;10534;2368
202;8515;3070
203;11698;1225
204;16185;8677
205;11107;541
206;17839;7030
207;12430;487
208;16303;8587
209;18962;5968
210;18376;6562
211;10029;2899
212;16764;8146
213;11106;1801
214;16749;8407
215;11331;1576
216;19525;5347
217;16037;8938
218;10427;2458
219;10871;793
220;17625;7282
221;19362;5473
222;11352;1585
223;20381;4492
224;20185;4744
225;20012;4915
226;20976;4681
227;21173;3745
228;20199;4717
229;17792;7102
230;9172;3763
231;19538;6427
232;10009;1648
233;9755;3223
234;8624;3097
235;10434;2485
236;9075;4096
237;9235;3691
238;20759;5158
239;11257;1900
240;19040;5878
241;16546;8371
242;12238;685
243;10704;946
244;9008;3907
245;17027;7894
246;9384;3502
247;20244;4924
248;20454;5212
249;8758;2980
250;11780;1153
251;20709;5185
252;17132;7759
253;19712;5203
254;19879;5050
255;10196;2719
256;20032;4807
257;10811;2161
258;16931;8200
259;9978;2917
260;9365;3466
261;20388;4771
262;9477;3412
263;17506;7408
264;10595;2323
265;12895;253
266;19323;5572
267;19587;5284
268;16958;7957
269;19801;5860
270;19706;5221
271;10681;2233
272;9859;3313
273;19552;5365
274;9283;3583
275;11691;1477
276;20646;4186
277;20416;4456
278;10123;2710
279;19881;5905
280;19437;5446
281;10621;2296
282;19028;6112
283;9198;3718
284;20146;4762
285;17205;7705
286;12633;271
287;8686;2962
288;20036;4879
289;8949;3925
290;15960;8947
291;20360;4555
292;19849;5068
293;10691;2179
294;10425;1171
295;10985;1927
296;16378;8542
297;16912;8038
298;11477;1423
299;11784;1360
300;9198;2431
301;9432;3484
302;19513;5410
303;20102;4816
304;10013;2926
305;12287;874
306;17550;7372
307;10202;2638
308;8615;4591
309;9876;3007
310;20126;5788
311;11232;442
312;16437;8497
313;20530;4393
314;8533;4384
315;16431;8479
316;20291;4573
317;8971;3916
318;21000;3826
319;11439;226
320;8765;4132
321;10856;811
322;10408;2521
323;19177;6751
324;18093;6832
325;9496;3421
326;20339;5581
327;20195;5725
328;20720;4276
329;20214;4645
330;19948;4942
331;16275;8641
332;8532;4366
333;19519;5401
334;20755;4168
335;16382;8452
336;9028;3943
337;15870;8965
338;20213;4708
339;17633;7318
340;15938;8983
341;18449;7264
342;19301;6616
343;11551;109
344;16890;8020
345;16236;8605
346;11263;1594
347;18171;6670
348;17539;7399
349;20457;4501
350;11028;1864
351;11897;1000
352;19933;5941
353;19932;5950
354;8217;3394
355;17340;7588
356;17477;7417
357;20207;5464
358;19407;5518
359;18074;6877
360;10764;2134
361;19847;6004
362;10364;1297
363;10382;2548
364;19097;6724
365;8464;3196
366;17974;6913
367;8619;4312
368;11504;208
369;9306;3673
370;20372;4537
371;10558;1108
372;12426;460
373;16059;8839
374;11085;613
375;10092;2791
376;10626;1027
377;11790;1126
378;16194;8704
379;9090;2584
380;15856;9064
381;18145;7516
382;17983;7939
383;17344;7579
384;17608;7363
385;10938;1981
386;9612;3592
387;9188;3727
388;18474;7426
389;10450;1216
390;11528;1387
391;11690;1396
392;18624;6292
393;11465;1414
394;8527;4627
395;17124;7741
396;9864;3052
397;9014;4159
398;11031;1873
399;12360;802
400;18939;5977
401;10113;2800
402;18629;7327
403;9581;2008
404;9609;3304
405;21242;3646
406;17609;7309
407;10724;2170
408;18383;7489
409;12611;478
410;19985;4861
411;20435;4483
412;12067;865
413;8264;3322
414;10374;2512
415;19506;5374
416;9696;1972
417;10695;2215
418;9593;2080
419;11595;1324
420;20469;4438
421;10943;730
422;18455;6445
423;17683;8011
424;19851;6094
425;19237;5671
426;19777;5140
427;11790;1099
428;12296;901
429;9366;3547
430;20721;5266
431;11515;154
432;16009;8857
433;17405;7453
434;18190;6643
435;20883;4834
436;18310;6634
437;11380;289
438;19587;5329
439;18486;7174
440;10200;1459
441;11181;1738
442;18653;7255
443;11459;217
444;17055;7858
445;18605;6310
446;10442;2476
447;11035;1810
448;19099;6103
449;18396;7336
450;10956;784
451;11116;1783
452;9781;1882
453;12600;235
454;18872;7084
455;17110;7831
456;18561;6337
457;11619;1306
458;9105;4042
459;17958;6958
460;17849;7066
461;9802;3088
462;18043;6868
463;19242;5653
464;18246;6679
465;9770;3151
466;11110;2044
467;16346;8578
468;11936;973
469;19091;5833
470;11076;1846
471;19020;6139
472;10365;2557
473;10256;2665
474;19544;5626
475;11376;1531
476;19383;5527
477;9870;3016
478;20328;5545
479;19034;5896
480;9450;3430
481;17214;7948
482;8677;4240
483;20659;4258
484;18457;6508
485;9679;3241
486;8016;3619
487;16067;8830
488;18714;6193
489;20798;4825
490;19722;5176
491;12373;514
492;17869;7219
493;10028;2863
494;11510;1432
495;17190;7975
496;8777;4150
497;12545;370
498;11704;1468
499;9991;2872
500;11202;1954
501;20129;4789
502;19070;5797
503;12065;829
504;20112;5851
505;19053;5842
506;10196;2674
507;9181;3961
508;20370;4510
509;20211;4672
510;9239;3655
511;18014;7912
512;16248;8632
513;18210;6688
514;11141;1819
515;10370;2764
516;12573;343
517;20596;5383
518;20848;5005
519;17896;6940
520;16332;8623
521;11238;1612
522;9240;3844
523;12763;100
524;17060;8866
525;12747;397
526;9201;3709
527;16816;9082
528;8347;3295
529;17880;6967
530;20132;4699
531;18676;7003
532;8837;4348
533;15922;8956
534;20405;4546
535;18543;6382
536;17222;8416
537;9768;1855
538;9194;3682
539;17699;8164
540;10771;883
541;11273;1693
542;20511;4411
543;20781;4123
544;18425;6526
545;20522;4402
546;10208;2701
547;9859;1774
548;19211;5752
549;12327;523
550;9039;2611
551;10232;2683
552;19969;4951
553;11758;1162
554;12999;172
555;8085;3574
556;18759;6166
557;17376;7534
558;18696;6976
559;15929;8992
560;19798;5104
561;18852;6067
562;12641;334
563;9602;2116
564;16095;8821
565;18520;6454
566;10962;1918
567;9535;3376
568;16894;8254
569;16933;8731
570;8780;2890
571;16531;8389
572;11174;1756
573;18121;6841
574;10337;2539
575;18569;6580
576;19730;5923
577;19744;6148
578;17691;7228
579;18222;6625
580;16393;8506
581;11176;1747
582;19202;5644
583;19625;5356
584;17477;7498
585;17325;7552
586;10938;1891
587;16466;8443
588;9353;3565
589;20716;5230
590;8186;3439
591;11694;1207
592;11354;1792
593;10354;2530
594;10526;2593
