#Mode:;3
#Device:;k120
#Button:;18
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16735;6895
1;17378;7822
2;18707;2458
3;17341;6625
4;17012;2701
5;16836;2845
6;17343;6355
7;17565;3529
8;17541;3619
9;13515;1612
10;17409;3790
11;17277;3907
12;16325;7633
13;16715;8452
14;12880;982
15;18191;1477
16;16192;7453
17;18567;2566
18;18742;5158
19;18735;946
20;16586;3016
21;17407;2269
22;18971;4744
23;14364;703
24;18338;5518
25;17025;2602
26;18270;2593
27;15794;5086
28;18438;1171
29;18450;5266
30;17252;3889
31;18198;2962
32;18333;6877
33;16893;4276
34;17165;3988
35;18624;2575
36;16787;7120
37;18188;5491
38;16330;8857
39;17495;3682
40;13593;325
41;17581;3556
42;13907;1270
43;19582;1513
44;17800;6076
45;13905;1207
46;18523;8623
47;19635;1306
48;16295;4888
49;18048;5869
50;19824;1108
51;19632;1531
52;19208;5689
53;18600;4357
54;17497;3421
55;12776;1126
56;18869;6283
57;18543;2638
58;19299;8605
59;12608;1333
60;18054;5608
61;18494;2710
62;16663;4429
63;17079;6553
64;17846;6058
65;16603;3070
66;12739;955
67;19814;5302
68;18389;1504
69;17674;5950
70;16756;8407
71;13646;334
72;16857;6814
73;17079;4105
74;17536;3628
75;13594;388
76;18467;5194
77;17405;6463
78;16345;7309
79;18058;7057
80;12466;1405
81;17723;3223
82;18593;2323
83;15545;4159
84;16315;3358
85;16988;6643
86;19602;5581
87;18951;2197
88;17989;3187
89;16822;7102
90;15766;7858
91;16999;6940
92;18517;2359
93;18548;5374
94;14178;991
95;19216;8632
96;18766;5167
97;16164;7498
98;14226;892
99;16822;7093
100;16422;7192
101;15473;8497
102;18156;5554
103;16653;4510
104;18668;6490
105;15362;8596
106;17440;7804
107;17711;3484
108;18940;2134
109;18725;6427
110;16685;7237
111;16274;4924
112;16154;4996
113;17639;3565
114;17554;2125
115;18277;5428
116;17768;7381
117;19492;1639
118;17194;3943
119;18386;5545
120;13137;568
121;13708;226
122;16836;6823
123;18875;2215
124;16578;3115
125;16771;6886
126;13261;649
127;18260;2953
128;18385;2818
129;17453;3655
130;18499;2683
131;14952;253
132;12442;1396
133;18005;3205
134;19326;5914
135;18676;5221
136;14037;1135
137;13301;676
138;17660;6013
139;13895;1198
140;17087;6787
141;18912;2278
142;18682;1018
143;18195;8740
