#Mode:;3
#Device:;logilink0043
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;25368;2548
1;25496;6409
2;25438;2557
3;24159;5743
4;24012;3916
5;25827;2062
6;24826;1090
7;25289;586
8;23564;388
9;24153;5752
10;24735;1180
11;23723;2134
12;24866;3007
13;24587;3277
14;25438;541
15;25244;6670
16;24325;5545
17;24630;5284
18;23957;3952
19;24549;5374
20;23883;4024
21;25370;4573
22;24387;5509
23;25770;4132
24;24945;4969
25;24817;3079
26;24419;4528
27;24040;1864
28;25265;6598
29;24593;3304
30;24887;1009
31;25468;8443
32;25423;550
33;25519;2377
34;25706;8254
35;24199;8713
36;24461;3511
37;24670;1234
38;25231;4771
39;23930;3979
40;24838;3052
41;23898;8011
42;25494;8407
43;25538;2359
44;26113;3790
45;24874;5023
46;23525;8425
47;24613;1288
48;25310;2638
49;24269;5572
50;25253;4735
51;24380;3529
52;24447;7453
53;23598;7327
54;24559;1342
55;25304;6571
56;24570;1306
57;23892;6013
58;25700;2197
59;25805;118
60;25449;8506
61;25062;8848
62;23622;7120
63;24703;3151
64;23829;6076
65;25222;4681
66;23706;6166
67;25561;6346
68;23980;5941
69;24500;1405
70;24959;6940
71;24761;6211
72;24377;1549
73;25273;6643
74;24297;1630
75;24468;7444
76;24079;7840
77;24979;4933
78;24773;1144
79;25298;8614
80;24317;3628
81;23405;4501
82;24733;7165
83;24745;5149
84;25499;433
85;24956;2944
86;25317;2629
87;24144;1765
88;24921;1036
89;24979;7894
90;23426;496
91;23827;100
92;25407;8497
93;25004;928
94;25715;8182
95;24111;7813
96;25930;3970
97;25595;2368
98;24755;8236
99;24265;3646
100;25106;8839
101;25193;2665
102;24475;1450
103;24661;3250
104;24153;7732
105;24135;1792
106;25712;2188
107;25581;4348
108;25015;1945
109;24915;4987
110;23835;2080
111;23973;5932
112;25242;2719
113;24024;7930
114;25237;4699
115;24530;3358
116;25861;8047
117;25103;7804
118;23557;8362
119;25272;8668
120;24562;3340
121;24623;1279
122;24213;3691
123;24901;5068
124;26059;7939
125;25403;514
126;24000;6949
127;25140;775
128;23568;8344
129;24887;1018
130;24048;1882
131;23705;6220
132;24983;937
133;24614;7300
134;24397;7516
135;25762;8155
136;23714;5194
137;24689;5221
138;23693;8128
139;24319;5581
140;24901;8992
141;25521;424
142;24410;5500
143;24636;5275
144;25627;253
145;23624;7264
146;24010;3871
147;25103;8785
148;25651;2278
149;25443;2476
150;25432;4456
151;25536;379
152;25260;8605
153;25842;2071
154;24977;4906
