#Mode:;3
#Device:;nixdorf
#Button:;38
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12167;6724
1;5367;3862
2;7288;1666
3;6776;2368
4;9798;7858
5;3511;5410
6;8531;388
7;12364;6769
8;6106;3061
9;10863;6805
10;7695;1432
11;4359;4492
12;7124;1828
13;10460;7192
14;8525;658
15;5698;3232
16;7113;1819
17;11179;7984
18;7847;1315
19;8665;307
20;4175;4744
21;12784;6382
22;8291;856
23;10713;6904
24;4447;4708
25;11645;5995
26;5452;3520
27;8715;208
28;5640;3565
29;8592;9073
30;8571;334
31;3447;5770
32;9613;8038
33;4342;4582
34;4692;4258
35;8127;1036
36;10035;7633
37;4348;4537
38;10191;8974
39;5974;3160
40;7367;1540
41;8622;9037
42;7650;1504
43;6372;2530
44;5704;3205
45;3513;5653
46;8859;8803
47;6366;2548
48;9291;8344
49;3858;5275
50;8234;667
51;6120;2800
52;11874;7300
53;8551;622
54;7457;1441
55;7292;1612
56;3529;5635
57;5442;3412
58;8708;8938
59;4444;4681
60;4694;4213
61;8092;820
62;4698;4519
63;5023;3961
64;4759;4078
65;6201;2638
66;6685;2485
67;5284;3637
68;6310;2620
69;10585;8542
70;11488;6436
71;7260;1657
72;10344;7318
73;7871;1270
74;6966;1936
75;7000;1990
76;7724;1414
77;6749;2152
78;3920;5014
79;8825;352
80;6780;2224
81;7013;1909
82;6471;2458
83;7119;2017
84;8919;8749
85;4871;4087
86;6953;2134
87;8636;298
88;5360;3601
89;11473;7705
90;10547;8623
91;11482;6499
92;8294;577
93;6034;3133
94;7542;1360
95;6972;1918
96;4112;4762
97;12210;6931
98;4862;4231
99;11601;6067
100;11442;7732
101;5115;4060
102;9810;7831
103;8550;370
104;3609;5536
105;9767;7903
106;10801;6841
107;5950;2944
108;12529;6643
109;4868;4357
110;10867;6796
111;3945;5932
112;12515;6625
113;4787;4447
114;8801;172
115;5783;3385
116;6285;2602
117;4105;4861
118;10205;8929
119;8494;676
120;6526;2386
121;3770;5167
122;3130;6031
123;4365;4573
124;5532;3376
125;5115;4033
126;3486;5455
127;4617;4285
128;11667;7480
129;3191;5941
130;4015;4924
131;10463;7201
132;10265;8902
133;4366;4771
134;10212;7426
135;10380;7291
136;2852;6319
137;7135;1837
138;4359;4618
139;7283;1882
140;5112;3799
141;6956;1999
142;5529;3619
143;6533;2359
144;11431;6157
145;5594;3367
146;11799;7363
147;5031;4141
148;4279;4609
149;6163;2989
150;9845;8119
151;5829;3079
152;9348;8353
153;11779;7408
154;6977;2179
155;5228;3628
156;11896;5725
157;8612;568
158;6342;2584
159;11798;5869
160;12558;6526
161;5723;3394
162;9486;8236
163;6431;2422
164;7744;1387
165;7114;1738
166;3806;5041
167;8200;964
168;5252;3592
169;5419;3457
170;11513;6211
171;11680;7462
172;9718;8191
173;3740;5185
174;10484;7219
175;7109;2062
176;10215;7444
177;4929;3970
178;4899;4312
179;6110;2809
180;4473;4465
181;11937;7255
182;6089;3034
183;3466;5446
184;8660;316
185;6514;2692
186;7445;1468
187;5658;3250
188;4648;4528
189;3540;5383
190;9655;8029
191;3692;5212
192;10712;8470
193;10988;7003
194;4780;4132
195;10820;8416
196;7204;1963
197;4272;4654
198;4554;4339
199;4855;4366
200;8287;631
201;10194;7471
202;7526;2404
203;2962;6166
204;10361;7309
205;7934;982
206;5683;3484
207;3295;5590
208;7202;1684
209;10959;8209
210;11091;8074
211;9600;8326
212;11593;6076
213;10097;9064
214;12113;7102
215;11508;6364
216;8423;514
217;4028;5122
218;5696;3223
219;9203;8524
220;10902;6832
221;8398;757
222;3604;5329
223;7340;1585
224;6916;2242
225;9461;8200
226;8045;883
227;6112;2845
228;3274;5887
229;5388;3511
230;4435;4474
231;5682;3439
232;4866;4051
233;7684;1234
234;10614;8578
235;8401;748
236;5023;3898
237;5094;3826
238;11543;7615
239;6616;2512
240;11447;6220
241;4360;4546
242;6925;2233
243;6508;2440
244;5804;3178
245;11476;7750
246;8900;9082
247;3943;4942
248;6223;3664
249;11295;7885
250;11232;6679
251;6864;2053
252;7477;1675
253;6783;2125
254;6790;2098
255;11427;7777
256;5277;3880
257;8179;739
258;10457;7174
259;6306;2836
260;4279;4645
261;8449;469
262;5944;3979
263;5522;3691
264;10626;7012
265;5696;3151
266;6254;2899
267;11739;5914
268;7083;1846
269;12278;6940
270;5945;3187
271;6082;2863
272;6168;2782
273;6540;2629
274;8120;802
275;6114;2773
276;5756;3403
277;11065;6598
278;4504;4420
279;4694;4195
280;7164;2008
281;5096;3817
282;4603;4303
283;2928;6247
284;11717;5950
285;4888;3997
286;12003;7138
287;5690;3475
288;7430;1486
289;10797;6850
290;3793;5338
291;5945;2980
292;10569;7093
293;4589;4294
294;3668;5491
295;10562;7111
296;11566;6085
297;5443;3763
298;10515;7147
299;9061;8596
300;4683;4249
301;9040;181
302;10455;7210
303;11853;5815
304;5444;3493
305;7701;1459
306;11779;5878
307;9441;8263
308;4617;4276
309;6846;2287
310;6859;2026
311;7715;1180
312;11708;7453
313;9693;8227
314;7520;1423
315;7196;2701
316;11752;7435
317;6389;2746
318;3689;5194
319;5194;4015
320;9121;8515
321;10152;7561
322;6609;2305
323;7865;1261
324;8363;604
325;8619;343
326;6284;2854
327;10522;7057
328;11413;6310
329;6106;2737
330;6030;3124
331;4107;4780
332;8029;838
333;6443;2665
334;9175;8497
335;6560;2323
336;8701;1189
337;3516;5617
338;8453;451
339;4520;4384
340;3869;5257
341;10539;7084
342;4183;4699
343;4273;4870
344;8284;640
345;4515;4456
346;11631;7552
347;4360;4735
348;9875;7804
349;3856;5050
350;3796;5419
351;3692;5293
352;7945;1027
353;3485;5752
354;3407;5527
355;11582;6094
356;10232;7516
357;3893;5230
358;3064;5833
359;3401;5509
360;10669;8506
361;7297;1864
362;3215;5689
363;10921;6760
364;6855;2314
365;8282;613
366;6801;2107
367;3154;6040
368;6174;2710
369;4312;4591
370;5155;3808
371;7127;1972
372;11843;5761
373;4416;4564
374;5842;3304
375;11593;6049
376;7780;1135
377;9536;8155
378;4258;4933
379;4498;4402
380;4811;4105
381;5600;3547
382;4647;4204
383;8436;478
384;4999;4159
385;9510;8137
386;9878;7786
387;10825;6868
388;4993;4150
389;8840;136
390;9017;8704
391;7821;1126
392;12798;6373
393;3873;5302
394;8806;8857
395;4196;5716
396;8760;424
397;9296;8362
398;7196;1702
399;8922;253
400;3773;5131
401;4017;4906
402;7618;1558
403;11101;6571
404;7204;1711
405;5028;3925
406;6455;2719
407;10155;7579
408;4448;4510
409;7873;1369
410;7033;1927
411;11729;6004
412;5590;3331
413;4427;4753
414;9702;7930
415;4438;4483
416;7191;1945
417;10582;7039
418;9925;7741
419;9775;7939
420;6444;2728
421;9337;8308
422;4944;3934
423;11122;6517
424;3858;5347
425;7119;1783
426;8382;532
427;7948;1288
428;9126;8614
429;6621;2341
430;4591;4330
431;3109;6103
