#Mode:;3
#Device:;nvidiashield
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5516;4195
1;4674;172
2;2633;2188
3;6179;8713
4;1919;7975
5;4314;5590
6;4504;424
7;6171;3718
8;2366;2539
9;3617;1243
10;2962;1882
11;2313;7597
12;3840;1009
13;5443;4483
14;5463;4366
15;4341;559
16;5606;4285
17;1598;8308
18;2220;7669
19;2319;2557
20;2605;2278
21;4276;577
22;1693;8218
23;6192;8695
24;4999;4834
25;5259;4636
26;3986;874
27;2905;6967
28;1714;8119
29;1337;3538
30;2527;7345
31;2790;7093
32;3631;6211
33;4184;937
34;1439;8407
35;4254;568
36;1875;2953
37;3427;6472
38;4248;640
39;3917;991
40;5987;3898
41;4060;5824
42;3763;6139
43;4100;793
44;3610;1270
45;3179;1675
46;6145;8776
47;6315;8623
48;4464;442
49;2535;7354
50;5390;4501
51;4034;5905
52;2973;1927
53;2589;7300
54;2430;2503
55;3690;1198
56;5731;4150
57;6075;3772
58;3251;6598
59;3332;6580
60;5615;4258
61;1500;3349
62;2589;2197
63;5992;3781
64;2278;2584
65;4207;658
66;3409;1441
67;1484;8371
68;2496;2350
69;3897;919
70;3355;1513
71;3918;5941
72;4654;253
73;4097;748
74;2484;2359
75;3245;6652
76;4380;532
77;3820;5896
78;3167;1702
79;1542;8416
80;1395;3457
81;2535;7408
82;2629;7264
83;5179;4744
84;5752;4096
85;4321;5617
86;2019;2881
87;3804;6058
88;4814;5032
89;6317;3547
90;1828;2989
91;5948;8956
92;2400;2458
93;2453;7399
94;4143;703
95;6233;8677
96;4554;5275
97;3358;1495
98;6166;3736
99;3076;1693
100;1840;3106
101;4577;5266
102;2328;2530
103;3785;1108
104;2222;7579
105;2505;7336
106;3371;1522
107;4226;631
108;3906;1000
109;5518;4384
110;4380;5473
111;2951;6805
112;3750;1153
113;5987;9091
114;2188;7678
115;2544;2260
116;3524;1342
117;4937;5023
118;5204;4645
119;3692;6157
120;3012;6841
121;2576;2305
122;3620;1252
123;4671;5203
124;4479;460
125;3197;1657
126;1538;3358
127;1620;3250
128;2019;7849
129;2958;7021
130;1783;3070
131;2518;2377
132;4904;4960
133;4710;208
134;4430;5500
135;2251;7606
136;5218;4681
137;1772;8182
138;5919;8938
139;3293;1540
140;6357;3466
141;1804;3043
142;2454;2413
143;4054;802
144;3493;1351
145;4653;199
146;1989;2926
147;4016;838
148;5801;4060
149;1785;3079
150;4093;5761
151;1714;3124
152;1958;8038
153;3915;6031
154;1808;3052
155;5444;4411
156;3628;1216
157;4123;757
158;2667;7183
159;4519;5374
160;2398;7543
161;5318;4492
162;4692;154
163;4206;676
164;6322;8587
165;1536;8272
166;1939;7867
167;3919;766
168;2496;7363
169;2608;2242
170;5458;4402
171;1905;2944
172;3647;1234
173;4101;5788
174;6271;8614
175;6441;3439
176;6177;8722
177;3540;6337
178;2926;7057
179;3052;6904
180;2435;2440
181;2799;7048
182;2438;2467
183;1902;7966
184;2349;7381
185;5109;4717
186;3394;1549
187;2623;2233
188;2284;2629
189;6437;8461
190;5099;4762
191;2678;2170
192;1974;7903
193;3892;955
194;2312;2548
195;3538;6328
196;4676;5185
197;2626;7273
198;1617;3277
199;1910;7957
200;1632;8281
201;2250;7660
202;6087;3754
203;2726;1999
204;6466;8452
205;6383;3421
206;4739;5131
207;1871;2980
208;3793;1063
209;6093;3799
210;4005;5842
211;4288;5572
212;5094;4753
213;4423;487
214;5909;3952
215;4764;136
216;6512;3403
217;4694;163
218;2019;2863
219;2118;2764
220;6251;3601
221;6659;8299
222;3534;6301
223;2915;6949
224;3346;6553
225;4142;712
226;5779;4123
227;5525;4078
228;1775;3025
229;4884;4951
230;3853;6004
231;2955;1864
232;5236;4609
233;5522;4339
234;4507;334
235;6365;8470
236;5252;4600
237;3241;6607
238;5561;4312
239;1865;3034
240;5859;4006
241;6000;3907
242;2189;2692
243;2661;7192
244;2799;7075
245;6172;8668
246;6406;8443
247;6545;3160
248;4133;721
249;2252;2647
250;4636;271
251;3894;5968
252;6185;8704
253;3136;1774
254;5299;4564
255;1838;3016
256;4638;280
257;3062;1783
258;2479;7372
259;6308;3556
260;5735;4213
261;2916;2098
262;5478;4429
263;6291;3574
264;2414;7444
265;5794;9073
266;4951;4915
267;1920;2935
268;6041;3862
269;1860;2998
270;2899;6958
271;3693;1162
272;5375;4528
273;3904;5986
274;1715;8128
275;5342;4555
276;5322;4537
277;1748;8155
278;4821;5041
279;3639;6220
280;6420;8560
281;3787;1018
282;5545;4249
283;4387;451
284;6535;3376
285;6537;3304
286;6078;3817
287;4854;5077
288;2892;1918
289;5873;4015
290;4456;5419
291;4606;5230
292;6105;8794
293;5071;4825
294;3846;5959
295;2732;7156
296;4916;4969
297;3514;6319
298;2805;2080
299;1918;7948
300;2795;7102
301;5777;4105
302;3118;6760
303;6225;8659
304;4642;217
305;4502;5302
306;5741;4114
307;3322;1531
308;4359;5536
309;5803;9064
310;2866;7030
311;5542;4330
312;3401;6454
313;2672;2179
314;1770;3097
315;1870;8146
316;3547;1279
317;3167;1729
318;5412;4420
319;6583;8245
320;1773;8083
321;5178;4672
322;4618;5293
323;2113;7759
324;2056;2773
325;2881;1981
326;4758;127
327;5531;4375
328;4226;667
329;2331;7570
330;1828;8047
331;3143;6814
332;5705;4159
333;3551;7939
334;2286;2521
335;4073;5779
336;4256;604
337;6634;8191
338;2534;7327
339;3827;1054
340;2685;7201
341;1797;8110
342;3978;5914
343;6530;3313
344;2333;2575
345;5670;4231
346;4632;5248
347;4896;4987
348;2846;2044
349;4686;5167
350;1782;3088
351;2806;2089
352;5129;4789
353;3926;883
354;4288;622
355;4170;586
356;3536;1315
357;5896;9019
358;6443;8479
359;5014;4852
360;5340;4546
361;1837;8011
362;2224;7687
363;6225;8605
364;3221;1684
365;6350;8515
366;6270;3592
367;6620;3268
368;3434;6427
369;3686;6094
370;2952;6877
371;4857;3997
372;4727;5140
373;2501;2368
374;4805;5068
375;5682;4222
376;3528;1306
377;3802;6067
378;911;3934
379;3147;6697
380;1682;3205
381;5448;4456
382;6000;4861
383;910;3943
384;1506;8398
385;1652;3241
386;4684;5194
387;2235;2602
388;2224;7633
389;5511;4393
390;1049;3844
391;1245;3610
392;1849;7984
393;4965;4870
394;1623;3259
395;3731;1135
396;3102;6796
397;4083;5815
398;2258;6661
399;2323;7561
400;1415;8497
401;5453;4438
402;4243;5680
403;1863;8029
404;2125;7786
405;931;8929
406;3530;1324
407;3718;1189
408;2304;2593
409;3364;6535
410;1576;8236
411;1207;8686
412;4610;298
413;4131;5734
414;4768;109
415;4532;5338
416;963;3871
417;4806;5050
418;3604;6229
419;5163;4690
420;1342;3520
421;2878;1990
422;2276;2611
423;5395;4465
424;4370;469
425;5091;4807
426;2409;7498
427;1912;3007
428;3544;6274
429;1634;8209
430;4329;5581
431;3226;6670
432;3145;6715
433;4654;235
434;3218;6679
435;2992;6895
436;2903;1963
437;3292;6562
438;2679;6175
439;1251;3619
440;2906;6922
441;2514;7282
442;4680;5212
443;5313;4591
444;5984;145
445;2723;2116
446;2529;7309
447;4617;226
448;1513;8362
449;1731;3142
450;5338;5320
451;4281;5563
452;1317;8524
453;5663;4240
454;3361;6526
455;2042;2791
456;2063;2836
457;3973;6913
458;4301;613
459;4763;100
460;1386;3475
461;4015;5887
462;3929;5923
463;3026;1891
464;2515;7390
465;6898;3961
466;2453;1450
467;3487;6373
468;992;3916
469;4422;415
470;4891;5005
471;2745;7165
472;3496;1405
473;3010;6886
474;4459;5392
475;3638;1261
476;1797;8056
477;2433;7426
478;4206;5698
479;3451;1459
480;4031;5851
481;5765;4087
482;2013;7813
483;3357;1567
484;4825;5086
485;2895;6994
486;3753;1045
487;4491;5329
488;3028;6868
489;3620;6283
490;4068;811
491;4925;4942
492;3078;1810
493;3705;6310
494;3463;6346
495;2179;2719
496;4547;5239
497;3395;6517
498;4902;4897
499;1630;3151
500;1456;8344
501;1153;3655
502;5875;9028
503;4397;5401
504;2369;2395
505;1499;8488
506;3568;1333
507;5610;4276
508;2258;7651
509;3909;973
510;4056;775
511;5597;8290
512;2544;7246
513;1197;8596
514;4416;5482
515;4957;4924
516;2169;7696
517;2624;2206
518;2400;7435
519;3458;1432
520;1366;3529
521;4056;5806
522;4610;244
523;4322;514
524;2916;7039
525;4403;5518
526;3774;1144
527;5341;4519
528;5226;4654
529;3009;6787
530;4128;5770
531;2158;7714
532;1810;8101
533;6054;8875
534;2128;7777
535;2982;6850
536;1300;3637
537;2095;2728
538;2604;7255
539;3699;6193
540;5201;4699
541;3157;6742
542;4617;5257
543;2515;2422
544;2318;2566
545;3152;6733
546;2874;2008
547;3472;1423
548;2157;7741
549;4888;4996
550;1758;8173
551;3991;5878
552;3263;1612
553;4525;397
554;2871;6022
555;4717;379
556;6105;7822
557;4408;496
558;4542;325
559;3279;1603
560;2397;2476
561;6961;7885
562;4007;847
563;1474;3394
564;2663;7228
565;1404;3448
566;2610;2287
567;1285;8641
568;5200;8902
569;1537;8326
570;2514;2332
571;3307;6499
572;2443;7489
573;3500;6391
574;5752;4303
575;6209;3691
576;5998;8920
577;3718;1171
578;5087;4843
579;2714;2143
580;1280;3646
581;3229;1666
582;3495;1414
583;3315;1486
584;2134;2755
585;4507;5383
586;2624;2269
587;5842;3988
588;1401;3484
589;6026;3970
590;3007;6823
591;4359;5527
592;2007;1846
593;3906;6013
594;3644;6238
595;4314;5464
596;2617;7210
597;2694;2152
598;5945;8947
599;1596;3286
600;2786;2062
601;3144;7768
602;4536;370
603;2142;2746
604;3434;6418
605;1392;8506
606;6080;4780
607;3759;6049
608;5550;4294
609;2761;7147
610;2349;2512
611;2018;7840
612;6152;3709
613;1393;8551
614;2757;2134
615;6132;3727
616;2898;1972
617;2076;2782
618;6216;3682
619;2328;7534
620;1451;3493
621;2352;7552
622;2911;6976
623;3585;6364
624;3031;6832
625;1441;3502
626;4254;5608
627;3484;6355
628;6201;3664
629;2547;2314
630;1947;7921
631;5277;4573
632;4667;190
633;4157;694
634;3503;6409
635;2353;2494
636;4688;5176
637;2539;2323
638;4022;5833
639;5994;2854
640;4443;5509
641;1916;7894
642;3257;1639
643;2534;7318
644;2812;2035
645;3254;1594
646;4246;5662
647;6383;3628
648;2789;2053
649;3960;5950
650;3141;1711
651;4438;433
652;5769;4141
653;1863;8020
654;6372;3583
655;3542;6292
656;3486;1369
657;3176;6724
658;3220;1720
659;5927;3889
660;1692;3214
661;1638;8353
