#Mode:;3
#Device:;nvidiashield_wireless
#Button:;310
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;14376;8119
1;4921;6337
2;14989;7543
3;13481;9082
4;4518;6769
5;15655;6778
6;10555;685
7;14821;7804
8;16090;6400
9;10995;334
10;13489;9064
11;7451;3736
12;15554;6949
13;17803;4645
14;9840;1459
15;8527;2800
16;15177;7363
17;7154;4114
18;10307;946
19;7170;4069
20;14994;7633
21;10488;802
22;10647;604
23;10592;631
24;6896;4402
25;9606;1630
26;15052;7507
27;19507;3088
28;8735;2467
29;8606;2692
30;9150;2080
31;10881;316
32;8171;3115
33;9915;217
34;10692;469
35;7349;3952
36;8034;3250
37;14601;7858
38;18580;2719
39;14953;7606
40;8015;3268
41;10312;991
42;16420;6094
43;5804;4285
44;16957;5536
45;14488;8011
46;8135;3124
47;15903;6607
48;9629;370
49;8102;3169
50;5818;5464
51;18282;4240
52;8356;2998
53;7100;2908
54;9542;1702
55;10111;1207
56;15819;6742
57;7944;3286
58;8519;1540
59;10093;1198
60;13368;9037
61;7869;3385
62;10148;1081
63;6985;3052
64;15133;7480
65;17544;4933
66;9650;1558
67;14113;8461
68;18223;3097
69;8389;2791
70;10205;1054
71;17621;4897
72;10187;1126
73;8366;2827
74;9470;1819
75;8765;2575
76;13723;8821
77;10524;775
78;9077;2269
79;10211;1090
80;10181;1063
81;15615;6904
82;14219;8272
83;10761;541
84;7357;3880
85;7241;4042
86;10393;874
87;7463;3763
88;7636;3709
89;10499;820
90;7815;3520
91;9956;1333
92;7127;4249
93;16478;6031
94;7041;4294
95;17814;4780
96;7553;3754
97;15168;7318
98;10803;397
99;11128;127
100;13863;8623
101;16307;6211
102;14279;8344
103;7184;4150
104;15545;6931
105;8615;2674
106;17982;4528
107;16729;4519
108;9747;1585
109;10781;514
110;16687;5914
111;14511;8074
112;17922;3367
113;13482;8983
114;14287;8173
115;8167;3133
116;15481;7093
117;6125;3970
118;16232;6292
119;7588;3628
120;9070;2278
121;15693;6796
122;8409;1675
123;14931;7660
124;8531;2647
125;6420;4825
126;17070;5455
127;13003;8434
128;9847;1414
129;15636;6877
130;10593;676
131;13795;8749
132;17345;3979
133;9097;2242
134;9061;2305
135;7940;3331
136;15664;6814
137;16958;4276
138;13704;8803
139;6776;4501
140;17271;5257
141;10873;451
142;9355;730
143;10572;784
144;16137;6391
145;7743;3601
146;15810;6751
147;17752;4735
148;7825;3457
149;5547;5734
150;7248;4033
151;9903;1342
152;17234;5293
153;6689;4564
154;17255;5320
155;15266;7273
156;14611;7948
157;5804;5482
158;10966;226
159;6949;4366
160;7601;3718
161;5513;5743
162;14225;8299
163;6720;4492
164;10417;865
165;15143;7435
166;8678;1432
167;6515;4924
168;9268;2044
