#Mode:;3
#Device:;px1800
#Button:;47
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3724;1351
1;4706;262
2;4014;6877
3;3394;4312
4;4158;3754
5;4091;3826
6;3201;8713
7;4805;4285
8;4351;514
9;4744;3115
10;3338;4546
11;3873;5266
12;3248;1603
13;3924;7705
14;5473;3502
15;3195;1666
16;3923;1189
17;4116;4762
18;2880;2044
19;5826;9082
20;5408;6319
21;4716;397
22;4402;4555
23;2706;5248
24;4237;3718
25;3488;5662
26;5689;5959
27;3251;4357
28;4271;4654
29;4301;3655
30;4692;136
31;4710;4132
32;5066;640
33;3910;3799
34;3562;5356
35;4700;208
36;5457;6391
37;4889;163
38;5006;2638
39;3368;1711
40;4238;604
41;4314;7417
42;5129;5842
43;4036;883
44;3658;1216
45;2887;8758
46;4213;7696
47;2727;2188
48;3810;1135
49;4299;6535
50;3553;5347
51;4402;685
52;3147;4474
53;3008;2152
54;3302;8668
55;3108;5869
56;3899;7291
57;3628;7300
58;2957;8650
59;3069;2098
60;4240;7678
61;4490;7129
62;3820;1036
63;5232;2386
64;3786;1153
65;3635;1306
66;4389;748
67;3179;1981
68;5268;6634
69;4240;4663
70;5425;5752
71;2887;2026
72;4595;6616
73;3180;2008
74;4131;1045
75;2882;2017
76;5744;1900
77;5492;2368
78;4976;109
79;3558;1360
80;4972;3934
81;3939;5212
82;4440;460
83;3660;3997
84;3449;8290
85;2802;8893
86;4594;325
87;5729;5851
88;4478;7435
89;5405;5410
90;3253;1621
91;3770;7912
92;3173;1963
93;2549;5374
94;3443;8461
95;5190;3772
96;5148;6013
97;3689;7957
98;4488;7426
99;5249;2395
100;3844;5311
101;3601;5320
102;3251;8362
103;4924;2683
104;5387;2530
105;2889;2314
106;2295;8866
107;5952;3196
108;5749;3151
109;2412;8731
110;3822;3781
111;3983;5203
112;4075;4852
113;4369;7372
114;3475;4249
115;3769;8200
116;4411;6544
117;2406;8434
118;4681;2980
119;4859;280
120;3784;1333
121;5793;5923
122;6099;8812
123;6285;2620
124;4635;3214
125;3364;1765
126;5425;2458
127;5667;3250
128;2637;9046
129;4902;6067
130;6200;5518
131;5634;3574
132;4836;3070
133;5183;6724
134;4407;7480
135;5697;5194
136;5667;5230
137;3823;7093
138;3843;3817
139;3589;1576
140;4622;3313
141;4761;433
142;3517;5329
143;5367;5563
144;3156;1756
145;4730;6985
146;4180;5023
147;3740;5140
148;3128;5797
149;4182;3421
150;3957;4933
151;4815;298
152;3841;7876
153;4633;4465
154;4478;4420
155;2716;2215
156;4360;7552
157;3357;4519
158;5062;6868
159;5292;3844
160;5821;3088
161;2278;2647
162;5409;2485
163;4533;3331
164;3566;8281
165;4404;739
166;5533;6364
167;6408;2764
168;3591;1387
169;3119;8749
170;5470;5671
171;5374;6274
172;4231;973
173;4326;865
174;3607;8065
175;5342;2305
176;5379;2242
177;5550;6373
178;6592;2593
179;2828;2080
180;4316;4591
181;4100;4789
182;6023;8920
183;3148;4753
184;3338;7489
185;4653;7021
186;3397;1702
187;4844;3097
188;3566;1549
189;4511;4438
190;4058;6841
191;5114;6580
192;2979;2179
193;3554;8164
194;4804;2854
195;3484;2224
196;2416;5293
197;3094;1999
198;4067;847
199;3560;8299
200;3469;1630
201;6548;2548
202;5661;1918
203;5454;5761
204;4941;5905
205;4655;190
206;5406;2584
207;5051;4060
208;4229;676
209;5951;8884
210;2989;7858
211;2773;8947
212;3755;5383
213;3529;8137
214;5209;2494
215;3428;7750
216;4595;7075
217;3728;1162
218;3737;1891
219;5916;8983
220;5495;6112
221;4111;802
222;3475;5392
223;5184;6004
224;5629;6022
225;4646;4510
226;3182;5716
227;4393;7264
228;5841;9055
229;2482;5158
230;2953;4888
231;4874;4258
232;6068;2863
233;4119;5032
234;4407;7210
235;6008;8848
236;5063;5833
237;3160;4501
238;3267;8632
239;4190;7768
240;5647;6247
241;5279;2431
242;3244;5689
243;4386;6805
244;5752;5977
245;3555;8353
246;3620;1612
247;2395;2503
248;4290;6832
249;5137;6481
250;4789;6103
251;3619;8092
252;6297;2890
253;3339;1504
254;3473;1639
255;4683;4177
256;2587;8308
257;2675;8245
258;5426;3520
259;5550;3358
260;3722;1234
261;3944;4960
262;3723;4114
263;3924;4033
264;6230;2917
265;2419;2512
266;4807;6814
267;5480;6148
268;3926;6922
269;3696;1198
270;4019;3700
271;3874;5284
272;5021;6661
273;3148;5995
274;3116;1783
275;4397;3538
276;3639;4321
277;5638;6256
278;4506;7327
279;3858;3853
280;2886;2737
281;3635;1225
282;4576;7138
283;4390;3178
284;4799;3106
285;3722;1459
286;5141;2755
287;5467;6427
288;2674;6220
289;4455;3448
290;5338;3880
291;3435;5428
292;2678;2278
293;2900;6049
294;4294;3610
295;5368;5878
296;5101;6490
297;5875;3376
298;3640;1279
299;2992;2674
300;3619;8047
301;3387;4330
302;3180;7921
303;4311;649
304;4697;6958
305;3717;8110
306;3692;3979
307;3653;8002
308;3331;7570
309;4232;631
310;4417;7255
311;4690;451
312;2892;8803
313;5243;2422
314;3060;4834
315;2585;8326
316;2998;8659
317;5543;3637
318;5020;6715
319;5816;5095
320;3923;3691
321;3815;4042
322;4009;7885
323;4770;352
324;3338;4582
325;2775;8902
326;4131;3493
327;5339;2566
328;4307;838
329;4195;4717
330;5429;6229
331;4521;4348
332;3539;5302
333;3157;1747
334;4048;7651
335;5557;3295
336;6005;9091
337;5599;3547
338;3109;8560
339;4951;5932
340;2409;5185
341;4607;7309
342;5634;6184
343;4045;7822
344;4211;3457
345;4711;4204
346;4234;892
347;3731;7894
348;4869;2782
349;4616;4537
350;3455;1450
351;4039;1090
352;5434;6238
353;4794;2908
354;2763;8209
355;5973;5680
356;5517;6346
357;5819;3322
358;4588;4375
359;3851;4015
360;4310;6895
361;3090;8533
362;3064;8785
363;4993;172
364;5118;3790
365;3469;5698
366;2697;2206
367;4032;4780
368;3819;1063
369;3589;1594
370;2540;8686
371;4400;4681
372;2739;2260
373;3498;4078
374;3905;964
375;2397;5491
376;4606;7039
377;3751;5473
378;4529;7066
379;4494;6409
380;5478;6292
381;4702;7192
382;3723;4024
383;4682;406
384;3097;7813
385;5353;3763
386;6307;8596
387;5429;2197
