#Mode:;3
#Device:;rapoo
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;25108;2494
1;48083;6877
2;26754;712
3;27020;514
4;17477;8776
5;21886;5617
6;26768;739
7;26621;883
8;22020;5482
9;22937;3313
10;22939;7066
11;47426;7579
12;26376;1135
13;26518;991
14;23612;2638
15;23709;5077
16;49419;5644
17;21784;8209
18;24392;3079
19;18600;8911
20;19282;8236
21;25549;4510
22;46115;8857
23;25583;1954
24;25403;2152
25;25852;1720
26;25530;3232
27;22113;5374
28;24539;2926
29;21518;6049
30;27006;496
31;23288;4213
32;23774;3736
33;21362;6103
34;26573;901
35;23177;4321
36;22431;5122
37;21530;6013
38;21257;7471
39;21723;5734
40;19204;8290
41;26244;1315
42;27086;388
43;20503;5716
44;21180;6310
45;27183;316
46;27356;154
47;24968;2521
48;19879;6373
49;24312;3169
50;46299;8731
51;25649;1837
52;23059;4591
53;19353;6895
54;23922;3655
55;26543;964
56;26460;1054
57;22879;4708
58;24807;2773
59;24644;2863
60;25814;1693
61;20716;6787
62;23433;4087
63;48458;6553
64;25576;4348
65;23306;4150
66;21380;6166
67;20681;6868
68;24953;5050
69;22963;4537
70;19151;8407
71;26588;928
72;23379;4105
73;24967;2593
74;25407;2143
75;25740;1801
76;23659;5149
77;48038;5680
78;23201;4402
79;25898;1540
80;21393;6085
81;25454;3340
82;44688;9037
83;23905;3610
84;46387;8695
85;24399;3088
86;22485;5005
87;22437;3817
88;26076;1495
89;27390;100
90;20118;7381
91;23756;3727
92;26824;667
93;25034;2485
94;23440;4051
95;25125;3673
96;26675;910
97;21366;6220
98;26119;1459
99;25968;1522
100;46855;8245
101;26139;1360
102;27342;136
103;24366;3133
104;19334;8164
105;27296;163
106;46850;8155
107;23283;4222
108;23823;3745
109;20461;6994
110;24875;3880
111;25314;946
112;27110;1684
113;24262;3286
114;20534;8182
115;23504;3979
116;24939;1297
117;26164;1333
118;25523;1981
119;46623;8353
120;46914;8146
121;25109;1189
122;26525;1072
123;19023;8560
124;23105;4375
125;24362;3142
126;21229;5014
127;25180;2323
128;23326;4186
129;25100;2386
130;27537;109
131;25931;1657
132;25354;2089
133;25187;2314
134;24649;2818
135;19126;8479
136;18593;8992
137;25437;1990
138;47246;7759
139;26673;802
140;24683;2854
141;24977;2548
142;26231;1252
143;24849;2647
144;23586;3907
145;17764;8452
146;25266;2206
147;23929;3574
148;25806;1702
149;25312;2197
150;49200;4555
151;22933;4573
152;27375;145
153;25213;2278
154;22483;4978
155;18566;7768
156;24152;5635
157;46103;8830
158;26573;973
159;21070;6427
160;18436;7723
161;20450;8308
162;25081;2530
163;24358;3187
164;26550;955
165;24492;4312
166;24193;3367
167;19048;8425
168;19983;7516
169;22184;6562
170;24408;3124
171;23800;3628
172;25593;1999
173;25551;2035
174;26418;1081
175;25620;1873
176;22025;5464
177;24405;3106
178;26800;703
179;25618;1882
180;23067;4420
181;48723;6364
182;22381;6418
183;47938;7039
184;23080;3160
185;24054;3448
186;26112;1369
187;21442;7300
188;23296;4195
189;18889;7363
190;21684;5788
191;22631;5986
192;48318;6679
193;26123;1378
194;44682;9073
195;46704;8281
196;48038;7057
197;25180;3538
198;46576;8380
199;21016;9055
200;24514;2989
201;26782;631
202;22522;4897
203;26288;1234
204;22416;5158
205;25806;1711
206;26006;2755
207;23629;4006
208;23717;3781
209;23593;3952
210;24715;2791
211;23118;4366
212;25640;1936
213;22923;4627
214;26411;1207
215;47444;7633
216;25255;2296
217;20359;7183
218;25463;784
219;26055;2674
220;24300;3178
221;26755;757
222;21233;6247
223;22290;3934
224;22246;7750
225;24789;2800
226;19273;8227
227;22092;5419
228;22920;4546
229;46315;8740
230;23715;3790
231;21188;6283
232;24789;2746
233;25134;1162
234;47857;7120
235;24875;2683
236;45934;9046
237;26346;1261
238;23975;3592
239;21776;5797
240;26100;1441
241;27103;424
242;23846;3619
243;21558;5896
244;26615;856
245;23749;3754
