#Mode:;3
#Device:;rival
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7714;1171
1;7982;1693
2;9078;3601
3;8709;5986
4;8365;3736
5;7966;6445
6;7753;7192
7;8956;2017
8;7865;289
9;9547;2350
10;7365;5581
11;7064;5356
12;9600;2251
13;7234;3115
14;9758;3124
15;8896;2476
16;8743;6904
17;6813;1918
18;7775;8650
19;6605;3781
20;9721;2935
21;7612;1792
22;7617;4069
23;7194;4996
24;9619;2305
25;8437;2944
26;8465;2971
27;7530;2404
28;6698;4231
29;9706;2683
30;8172;6787
31;7958;3871
32;8787;1612
33;8308;6085
34;7690;226
35;8034;406
36;8863;9055
37;6758;919
38;8121;3295
39;8105;1765
40;8800;6355
41;8878;8776
42;8547;1360
43;9632;2089
44;9380;2800
45;6095;1558
46;7782;8380
47;9543;604
48;7774;1405
49;7343;1513
50;8675;3196
51;7522;5437
52;9383;2782
53;9377;2521
54;9289;6634
55;8820;8578
56;6438;5473
57;7857;3304
58;8208;3691
59;9059;2638
60;9195;8731
61;7454;1378
62;7954;964
63;8531;2917
64;10360;2575
65;10199;1954
66;9818;3061
67;7481;433
68;8092;4798
69;7444;4213
70;9132;1702
71;8637;523
72;6450;7651
73;8149;3754
74;8916;8668
75;8543;550
76;9071;3034
77;9828;8758
78;6892;1270
79;8733;6130
80;9421;3421
81;9348;4780
82;8317;5896
83;6660;5302
84;6994;4942
85;9597;6049
86;10363;7795
87;6323;4618
88;7308;8362
89;8008;4096
90;9410;6256
91;8914;235
92;8341;6832
93;6226;6643
94;7199;4699
95;9412;5419
96;9013;2665
97;7168;8533
98;9036;2854
99;6893;7264
100;6727;1162
101;10359;4861
102;8470;8497
103;8975;1873
104;9171;7732
105;9062;7120
106;8027;7669
107;8534;1324
108;8464;4447
109;9117;5824
110;9994;5941
111;9186;1936
112;7219;4510
113;10704;1216
114;9333;5572
115;8344;343
116;7098;6814
117;7750;4186
118;7157;685
119;8809;6076
120;7434;8452
121;8614;3574
122;9805;820
123;8363;1549
124;9220;6688
125;7440;3466
126;7773;4933
127;6846;7273
128;10063;8164
129;7013;8083
130;8463;1657
131;9966;6976
132;8458;5518
133;7855;3025
134;7244;7642
135;6658;4969
136;8949;163
137;8195;7444
138;8209;5671
139;6103;2080
140;7784;4132
141;8564;4528
142;5596;5293
