#Mode:;3
#Device:;roccat
#Button:;107
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;9212;1657
1;8732;181
2;9612;3304
3;8683;4204
4;9181;3754
5;10449;8434
6;10524;6373
7;10452;6472
8;9132;3826
9;9201;1792
10;9832;3079
11;10260;4735
12;8568;271
13;8657;6265
14;8653;343
15;10187;730
16;9487;4420
17;9897;8929
18;10027;4861
19;8872;8038
20;8732;4177
21;8610;8272
22;10173;2728
23;9770;3151
24;9222;1648
25;9598;3232
26;9713;1243
27;9081;1783
28;8912;3970
29;8673;2305
30;8718;2161
31;10336;6544
32;9602;1252
33;8770;145
34;8910;1018
35;10560;2359
36;10468;451
37;9610;5257
38;9322;7606
39;10364;2530
40;9203;3700
41;8886;2017
42;9852;5059
43;8892;7966
44;8704;2188
45;8519;7183
46;10097;2809
47;8637;8974
48;9198;3781
49;8744;2179
50;8842;2062
51;8777;2881
52;10333;577
53;9133;5788
54;9274;7678
55;9334;4312
56;8839;6877
57;9659;5221
58;9616;5284
59;8920;2755
60;9218;2395
61;9190;4501
62;8436;7192
63;8926;5977
64;8561;5131
65;9258;433
66;9301;2404
67;9322;8362
68;9361;1585
69;8687;8155
70;9408;5545
71;8699;4132
72;9368;4240
73;8709;937
74;8456;5149
75;8650;9046
76;9463;3493
77;8890;8794
78;9641;7237
79;8932;4690
80;8578;5041
81;9629;5311
82;8472;3439
83;9572;1288
84;8924;1999
85;9093;6058
86;9304;5896
87;9080;4825
88;8936;1972
89;9142;2818
90;9712;3322
91;9603;3520
92;8970;6121
93;9098;7822
94;9415;6562
95;8633;928
96;8821;6085
97;9441;7669
98;9006;4942
99;9352;7570
100;8987;8101
101;9498;7651
102;9482;3664
103;9559;1639
104;9509;6418
105;9034;1900
106;9024;892
107;9376;6328
108;9268;1198
109;9058;2458
110;9166;2710
111;8939;5923
112;9787;1270
113;9782;7093
114;9084;8092
115;9699;5554
116;9012;2899
117;9577;5617
118;9690;1495
119;9959;5239
120;9125;1756
121;9736;1819
122;9181;5968
123;9628;1540
124;9397;2485
125;8782;5095
126;9415;469
127;9662;1513
128;9151;7993
129;9070;4087
130;9464;424
131;9364;2197
132;9398;2683
133;9822;4222
134;9419;3871
135;10077;3268
136;9326;739
137;9844;2206
138;10020;1315
139;9578;8488
140;9289;2746
141;9433;2602
142;9807;325
143;9411;5797
144;9380;4645
145;9731;298
146;9256;6787
147;9716;7516
148;9679;4357
149;9419;7768
150;9973;8056
151;9569;4510
152;9555;478
153;9781;1441
154;9818;3394
155;9750;280
156;10192;6850
157;10264;6949
158;10270;2962
159;10011;7210
160;9348;2665
161;9724;8326
162;10135;5140
163;9610;460
164;10160;7777
165;9279;6697
166;9251;757
167;9636;388
168;9652;5608
169;9855;7399
170;10042;1225
171;9431;3808
172;9955;4069
173;10281;1000
174;9225;4780
175;9566;1675
176;9634;4393
177;9568;3682
178;9982;3250
179;9207;2827
180;9956;2080
181;10116;4150
182;9556;1774
183;9261;784
184;9287;4762
185;10327;1909
186;9271;802
187;9870;3349
188;9560;5689
189;10376;8965
190;9487;4564
191;10232;7003
192;9860;8191
193;9654;7615
194;9607;7633
195;9761;7543
196;10078;3160
197;9472;8578
198;9758;5518
199;9503;4519
200;9433;4618
201;10077;1171
202;10163;1162
203;9747;3502
204;9310;6715
205;9682;5572
206;10012;4042
207;9809;8227
208;10413;6859
209;10135;1891
210;9380;2647
211;9995;2026
212;9898;2134
213;10456;8776
214;10134;2917
215;10492;6796
216;9674;8371
217;9330;3790
218;9329;2548
219;9183;7939
220;10050;1054
221;9580;4330
222;9684;8416
223;10013;3106
224;9974;3115
225;9426;2467
226;9541;3574
