#Mode:;3
#Device:;rx250
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13651;1234
1;11219;3727
2;13797;1045
3;13221;1684
4;10781;4078
5;8985;5932
6;12500;2377
7;14394;523
8;12129;2791
9;15503;6355
10;9730;5203
11;12130;2800
12;11143;3745
13;14098;820
14;13443;8461
15;13523;1468
16;9407;5545
17;12113;2773
18;11889;3052
19;14569;7354
20;12902;1927
21;17741;4195
22;12053;2782
23;8077;6823
24;9310;5626
25;10302;4582
26;10131;4717
27;12865;1972
28;10433;4483
29;12193;2710
30;12222;2629
31;12936;8983
32;8541;6337
33;10189;4690
34;8304;6634
35;13197;1729
36;14344;487
37;11904;2971
38;15046;6787
39;12675;2215
40;12290;2602
41;14513;7300
42;14432;460
43;11411;3511
44;13102;1738
45;12004;2881
46;16535;5356
47;13093;8812
48;9425;5446
49;13771;1126
50;14216;7723
51;14022;892
52;7197;712
53;12854;2080
54;11611;3304
55;8652;6238
56;13718;8245
57;14608;307
58;10262;4645
59;11320;3637
60;16857;5041
61;13197;1648
62;12883;1981
63;9211;5680
64;13249;1657
65;8614;6283
66;13928;982
67;8747;6157
68;12897;2026
69;6921;7984
70;7092;811
71;12753;2071
72;13511;8398
73;11036;3871
74;12757;2197
75;7472;514
76;11494;3538
77;13757;8101
78;12443;2287
79;11389;3475
80;13307;1531
81;10506;4339
82;11617;3223
83;13462;1405
84;11927;2908
85;15331;6508
86;14306;7543
87;13324;8524
88;8840;6031
89;12837;2035
90;15589;6229
91;14963;6913
92;13081;8830
93;11004;3817
94;13943;919
95;12946;1828
96;11985;2872
97;12664;2170
98;11600;3268
99;15235;6643
100;14927;6958
101;12310;2503
102;14187;7714
103;10746;4096
104;13177;8740
105;12052;2845
106;13558;1342
107;13138;1774
108;12660;2260
109;9201;5707
110;12495;2404
111;9877;5059
112;15855;6112
113;15308;6589
114;12455;2440
115;13017;8956
116;10009;4834
117;14741;118
118;12838;2062
119;12991;1900
120;11033;4474
121;17091;4789
122;15594;6346
123;10656;4204
124;13474;1990
125;10631;2854
126;13480;1423
127;13261;1630
128;9370;5518
129;14447;7462
130;11298;3673
131;11381;3385
132;14533;433
133;10704;4321
134;13262;1081
135;13539;8380
136;7344;7561
137;12431;2647
138;11347;3718
139;8337;6742
140;13961;955
141;8540;6526
142;10055;4969
143;9201;5653
144;16040;5851
145;12995;1909
146;11466;3430
147;11932;2926
148;10914;3961
149;12933;568
150;14109;7768
151;10275;4636
152;8316;6571
153;12123;2719
154;14013;784
155;12688;2206
156;7783;136
157;12055;2746
158;14407;388
159;12587;2296
160;14328;7507
161;12991;8875
162;15470;6409
163;8910;5977
164;12301;2584
165;10327;4573
166;16095;5815
167;11600;3286
168;13240;1522
169;13267;2044
170;16024;5869
171;12458;2368
172;14303;8200
173;13137;1963
174;14162;7921
175;10960;4159
176;10972;4069
177;11888;2953
178;11007;3835
179;7782;7084
180;13786;8047
181;11652;3178
182;13841;8020
183;12500;2350
184;14991;6868
185;14063;7795
186;10472;4411
187;11194;3646
188;11956;2890
189;12693;2179
190;12862;9010
191;12435;2431
192;11427;3421
193;13524;1315
194;9734;5149
195;12720;2143
196;10599;4141
197;13358;8497
198;14142;676
199;12611;2224
200;9998;4942
201;11266;3565
202;17363;4492
203;11118;3763
204;12594;2152
205;11453;3322
206;10580;4258
207;14615;7237
208;10810;4024
209;15180;6688
210;14871;6985
211;12422;2458
212;13482;1387
213;14717;145
214;14225;7651
215;9068;5797
216;13279;1576
217;12833;9028
218;13584;8902
219;17654;280
220;18639;6319
221;16007;1756
222;16945;1054
223;14822;3241
224;16728;5941
225;8365;6661
226;15251;6832
227;8462;6562
228;16450;5581
229;12195;2863
230;9553;5473
231;17121;4924
232;15362;6670
233;9653;5374
234;14201;7849
235;13783;8281
236;7524;478
237;11592;3448
238;18048;4006
239;16961;5086
240;16113;5905
241;15279;6715
242;14550;7471
243;13388;1639
244;14441;7453
245;10691;4150
246;12331;2521
247;9447;5509
248;12530;2314
249;17210;4708
250;15731;6148
251;11894;3016
252;15006;6877
253;14013;1594
254;16390;7948
255;13653;8272
256;13909;7993
257;18980;4663
258;13762;1144
259;10981;3934
260;12835;2557
261;14867;1279
262;10230;4654
263;14189;3106
264;13974;865
265;12409;2494
266;11113;3736
267;13078;1801
268;10007;4897
269;8469;6391
270;13370;8506
271;15724;7669
272;13310;2413
273;15491;6517
274;11817;3205
275;14175;7894
276;14342;415
277;13389;1000
278;11870;4303
279;14790;181
280;10816;4735
281;11215;5896
282;12616;2341
283;15352;6553
284;15644;6265
285;13234;8659
286;13059;8839
287;12856;9064
288;12656;2251
289;14564;7318
290;7313;7579
291;11517;3376
292;11093;3799
293;14856;6976
294;14668;217
295;12553;2305
296;12498;2395
297;10987;3898
298;17142;4771
299;16092;5752
300;10498;4357
301;14889;109
302;13310;8596
303;10980;3880
304;7371;541
305;7516;397
306;12936;1999
307;9454;5437
308;7771;199
309;9464;5428
310;14000;874
311;10335;4600
312;15692;6211
313;7195;667
314;10100;4762
315;6724;8227
316;11205;3592
317;13082;8776
318;10448;4366
319;11687;3232
320;15635;6490
321;10491;4375
322;10275;4618
323;10857;4114
324;14117;7732
325;10774;4105
326;16019;5833
327;13770;1180
328;7742;7156
329;7598;316
330;11130;3772
331;16654;5284
332;14416;7516
333;8472;6445
334;12910;9091
335;14475;7408
336;11357;3601
337;12783;9037
338;10086;4807
339;13629;8299
340;15863;6004
341;14516;442
342;14283;613
343;10209;4672
344;7452;7444
345;11591;3367
346;14576;352
347;13803;1108
348;13654;8308
349;14812;7093
350;7710;7138
351;14210;7687
352;14110;7777
353;9068;5824
354;14179;631
355;13781;1027
356;12932;1855
357;11854;3088
358;14431;7534
359;13874;1009
360;10853;4051
361;8630;6274
362;13870;8002
363;9890;5014
364;13718;8182
365;11586;3313
366;13329;8551
367;9753;5176
368;9186;5698
369;11459;3439
370;14870;7030
371;10020;4879
372;13829;1063
373;12134;2665
374;11767;3124
375;13689;1198
376;13129;8803
377;15734;6166
378;13778;8110
379;9399;5536
380;7675;253
381;11131;3754
382;8847;6085
383;14684;7264
384;12900;8965
385;13021;8929
386;16633;5248
387;11787;3160
388;9544;5311
389;9665;5221
390;14104;901
391;11048;3781
392;14576;8119
393;13136;8749
394;11376;3529
395;13445;1414
396;10997;3907
397;11585;3259
398;9894;4996
399;15694;6193
400;10446;4447
401;13726;1171
402;7394;7480
403;15305;6580
404;8213;6679
405;14999;6904
406;9504;5392
407;14204;748
408;9934;5032
409;13705;8146
410;10333;4564
411;9276;5617
412;9435;5455
413;12359;2611
414;10121;4726
415;14556;298
416;9107;5770
417;14085;838
418;10637;4249
419;9434;5464
420;13668;8263
421;9642;5239
422;8174;6769
423;10116;4780
424;14624;7183
425;14513;379
426;10321;4519
427;11411;3394
428;16243;5563
429;16678;5185
430;13795;1099
431;13885;964
432;7249;640
433;6669;1261
434;14487;7417
435;11872;2989
436;13494;1351
437;12086;2809
438;9006;5914
439;16700;5167
440;11039;3808
441;7661;7228
442;12447;2467
443;12206;2683
444;9702;5158
445;13726;1216
446;12979;8920
447;8245;6697
448;12638;2269
449;14783;7102
450;14873;6994
451;8645;6220
452;15485;6373
453;10142;4753
454;8295;6607
455;12104;2764
456;13016;8911
457;13031;8767
458;14856;7003
459;14765;163
460;13610;1297
461;13077;1810
462;15317;6598
463;13472;8425
464;10344;4438
465;10428;4384
466;12548;2422
467;7269;559
468;8587;6310
469;13832;1117
470;8011;6886
471;9999;4870
472;8941;5878
473;11847;3061
474;14063;847
475;6422;1486
476;10572;4330
477;13015;1873
478;11718;3169
479;11221;3700
480;12073;2836
481;15441;6418
482;14508;7372
483;10945;3979
484;6921;973
485;14779;7057
486;14751;7075
487;11361;3547
488;11736;3151
489;11768;3133
490;11326;3574
491;16986;4906
492;14946;6949
493;13871;8029
494;13928;991
495;13728;8173
496;13245;1666
497;17045;4861
498;11036;3826
499;9405;5401
500;12767;2134
501;10996;3916
502;15055;6751
503;14473;424
504;12438;2512
505;14109;802
506;7700;208
507;11824;3079
508;12962;1936
509;11806;3097
510;15077;6760
511;14107;7786
512;11323;3583
513;13957;7939
514;14773;7129
515;9251;5644
516;16640;5257
517;9796;5104
518;10895;3925
519;11708;3187
520;13117;1792
521;9185;5734
522;10410;4501
523;14360;550
524;9596;5230
525;13309;8515
526;11067;3853
527;8052;6850
528;14865;7021
529;10778;4087
530;16182;5716
531;11379;3520
532;9038;5860
533;11239;3655
534;16843;5068
535;12558;2323
536;11738;3142
537;6538;1360
538;11862;3043
539;13583;8317
540;15557;6364
541;9599;5383
542;16090;5779
543;10136;4798
544;14517;406
545;12161;2737
546;8645;6256
547;13511;8344
548;13491;1369
549;15005;6895
550;9297;5662
551;13478;8434
552;15064;6841
553;10384;4510
554;17037;4888
555;16578;5365
556;15279;6616
557;11348;3619
558;14740;7165
559;10920;3970
560;7700;7282
561;12938;1945
562;16761;5212
563;10304;4546
564;11142;4456
565;13647;1270
566;16551;5347
567;16415;5482
568;14518;7381
569;12685;2233
570;13159;1702
571;8677;6184
572;13775;1135
573;14210;685
574;7671;226
575;12002;2899
576;14671;7255
577;14240;721
578;13351;8533
579;13265;8605
580;10614;4240
581;9159;5761
582;13812;1090
583;6415;8416
584;7962;586
585;14506;7399
586;13008;8893
587;12978;1819
588;6683;1225
589;10056;4852
590;15896;6076
591;11123;3790
592;10484;4312
593;12962;8938
594;11457;3457
595;16944;4978
596;13224;8641
597;13817;8074
598;11861;3025
599;14027;7867
600;9365;5527
601;10887;4015
602;13763;8128
603;14278;595
604;13291;8632
605;14118;7759
606;13511;1378
607;8840;6103
608;13224;8686
609;16667;5275
610;8932;5968
611;12442;2386
612;13983;7840
613;7727;7174
614;15701;6139
615;7642;262
616;10812;4033
617;13380;1459
618;13331;8569
619;7467;7426
620;13880;8038
621;13248;8695
622;10813;4132
623;7621;343
624;13190;8704
625;14356;7525
626;11676;3214
627;13669;8254
628;9710;5122
629;13797;8056
630;13710;8164
631;7207;694
632;14847;7039
633;7650;7192
634;15500;6328
635;15247;6652
636;14278;7642
637;8104;6778
638;14294;7597
639;14744;172
640;13381;8560
641;15969;5950
642;8955;5959
643;14893;6967
644;15985;6013
645;12299;2593
646;16106;5788
647;16296;5491
648;12921;1918
649;15880;5995
650;16273;5635
651;12436;2449
652;13007;8848
653;10633;4276
654;14677;235
655;10066;4843
656;6817;8065
657;9693;5194
658;14698;190
659;14613;289
660;15511;6400
661;14620;7309
662;9788;5095
663;16322;5590
664;13453;8443
665;11251;3610
666;13257;8623
667;12824;2053
668;12222;2674
669;14080;7804
670;11503;3358
671;14965;6931
672;13097;8884
673;9355;5554
674;13696;1189
675;6865;8011
676;7549;325
677;13398;1495
678;17491;4420
679;14758;127
680;8709;6292
681;13069;8794
682;13158;8821
683;13304;8542
684;14240;649
685;11253;3556
686;12357;2575
687;13166;8713
688;13221;1747
689;8926;5986
690;17222;4627
691;15494;6463
692;10906;3997
693;13169;1720
694;6336;1513
695;14571;7912
696;14574;496
697;16073;6022
698;14694;7210
699;13574;1333
700;15204;6706
701;15384;6535
702;14598;334
703;14209;622
704;12435;2476
705;7378;532
706;7357;577
707;12755;2107
708;13428;1432
709;8845;6058
710;11918;3007
711;9957;4915
712;14594;7345
713;8879;6040
714;12377;2530
715;13264;1603
716;12580;2359
717;8644;6247
718;7079;883
719;11854;3070
720;15971;5923
721;14770;7120
722;11980;2917
723;14410;7498
724;13507;1396
725;9938;5023
726;14373;7588
727;13970;7975
728;10376;4537
729;11112;3844
730;13303;1585
731;8663;6301
732;13099;1765
733;12343;2548
734;10512;4393
735;15235;703
736;13236;8650
737;15405;6805
738;12761;2332
739;10519;4609
740;9645;5131
741;13831;1153
742;13126;928
743;14216;7741
744;13964;8614
745;12430;2692
746;11623;3493
747;8765;6094
748;13599;1252
749;13234;8587
750;12905;1954
751;11913;2962
752;9574;5293
753;10265;4555
754;14543;7327
755;12171;3250
756;14704;7201
757;9566;5338
758;14547;7336
759;13457;8389
760;11813;3034
761;16268;5572
762;13271;1621
763;13595;8353
764;14120;829
765;9140;5743
766;15798;6121
767;13974;7885
768;6354;1540
769;14223;7678
770;10805;4123
771;12311;2566
772;7074;7831
773;13285;1675
774;11858;2980
775;13974;7876
776;13719;8191
777;11172;3709
778;13903;8083
779;9022;5842
780;15106;6733
781;6585;1324
782;12805;2116
783;12793;2098
784;8384;6544
785;14984;6940
786;7435;505
787;6914;946
788;13432;1477
789;14250;7633
790;14545;361
791;7910;7048
792;13237;8758
793;13424;8470
794;10447;4429
795;12573;2242
796;9253;5599
797;13024;1882
798;13140;8785
799;13288;1612
800;9135;5806
801;15085;6814
802;13150;1783
803;14680;7219
804;10872;4042
805;13589;8335
806;14143;757
807;7293;7624
808;13221;8677
809;8728;6202
810;10980;3952
811;7763;7147
812;13038;8866
813;13525;8326
814;13243;8731
815;12017;2818
816;12115;2728
817;12868;8992
818;15474;6454
819;10232;5302
820;11227;5113
821;12071;2827
822;10510;4528
823;10858;5419
824;13731;8137
825;10851;6472
826;12919;3403
827;13696;8209
828;8445;6625
829;15316;7066
830;9487;5410
831;15621;6382
832;13316;1567
833;13327;8488
834;12749;2089
835;13167;8722
836;14542;370
837;9906;5005
838;11602;3295
839;14732;7246
840;9865;4960
841;11959;2944
842;7120;7813
843;14596;7291
844;10960;3943
845;16039;5887
846;15498;6436
847;13950;856
848;14322;7660
849;14147;793
850;12239;2656
851;8476;6481
852;12894;8974
853;14845;7012
854;13316;8578
855;10551;4348
856;13475;8407
857;14040;7858
858;14647;244
859;14102;775
860;10296;4591
861;11548;3349
862;12795;9055
863;14184;730
864;13657;8290
865;10635;4168
866;12753;2161
867;13764;1162
868;9318;5671
869;13964;937
870;10957;3862
871;7737;100
872;11473;3412
873;12225;2638
874;13873;7966
875;13802;1036
876;13697;8236
877;12795;2125
878;12999;1891
879;10062;4825
880;14826;7111
881;13344;1504
882;12161;2755
883;13083;1837
884;15074;6859
885;7145;766
886;11905;2935
887;14448;451
888;14200;7696
889;13840;1072
890;13461;1441
891;11873;2998
892;13595;8362
893;13454;8452
894;7550;7363
895;8790;6130
896;11793;3115
897;12652;2278
898;11453;3466
899;13594;1306
900;11579;3340
901;17637;4231
902;14388;7489
903;15491;6427
904;12897;9019
905;13454;8479
906;13899;910
907;9397;5500
908;12228;2701
909;12833;9001
910;6530;8371
911;15058;6922
912;10719;4186
913;16638;5266
914;13660;8218
915;14135;7705
916;10645;4267
917;10076;4816
918;9815;5077
919;14533;7390
920;13223;8668
921;11701;3196
922;6830;1018
923;13963;7930
924;14068;7750
925;8848;6049
926;7138;739
927;13431;1549
928;16931;4933
929;12837;9073
930;11579;3331
931;13610;1288
932;14059;7822
933;10606;4294
934;13186;1711
935;6794;8092
936;10237;4681
937;11018;3889
938;12665;2188
939;14511;7435
940;15765;6175
941;14375;7606
942;9870;5050
943;7481;469
944;12779;9082
945;9579;5320
946;16297;5608
947;10205;4699
948;11628;3277
949;13017;8857
950;13084;1846
951;9711;5140
952;11250;3691
953;6708;1207
954;14246;7615
955;10698;4213
956;13237;1693
957;13733;8155
958;12790;2008
959;9207;5725
960;14353;7552
961;15482;6499
962;12873;9046
963;9569;5329
964;11220;3682
965;12367;2539
966;12953;8947
967;12516;2485
968;10425;4465
969;6927;7957
970;13356;1558
971;10846;4060
972;8081;6796
973;15847;6067
974;11409;3502
975;7688;7273
976;7246;658
977;9234;5689
978;10658;4222
979;11324;3628
980;13650;1243
981;9923;4987
982;12896;2017
983;16955;4951
984;14347;7570
985;10619;4285
986;13482;1450
987;14711;154
988;14003;7903
989;11390;3484
990;17691;4177
991;12300;2620
992;13001;1864
993;10909;3988
994;8165;6724
995;7280;604
996;11236;3664
997;14645;271
998;10578;4402
999;10155;4744
