#Mode:;3
#Device:;sigma
#Button:;30
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;18198;2656
1;18177;6643
2;17430;5428
3;18370;5329
4;17097;4852
5;16741;2224
6;17978;1621
7;17667;1198
8;17161;4465
9;18254;8650
10;18039;7102
11;18270;1441
12;18010;6877
13;17776;3133
14;18353;4528
15;17916;2980
16;18254;3421
17;18184;6895
18;17119;2521
19;16916;3997
20;16557;6418
21;18124;1531
22;17495;1351
23;18054;1549
24;18383;2476
25;16580;4348
26;17258;2413
27;18612;4267
28;17059;550
29;18090;4789
30;17834;3070
31;17228;1657
32;18139;5545
33;17830;4069
34;17410;1522
35;17346;316
36;18245;1378
37;17126;6751
38;16789;127
39;17156;5752
40;17166;7723
41;17938;4951
42;18608;3115
43;17337;7525
44;17590;7282
45;18086;1837
46;18510;1162
47;18437;5410
48;17353;4546
49;17421;7507
50;18351;6481
51;17113;7993
52;17992;1630
53;16967;1900
54;16844;6076
55;18326;6571
56;18128;5572
57;18005;1855
58;17876;1738
59;18296;5491
60;19212;7615
61;16905;3016
62;18243;2665
63;18009;3610
64;16764;1126
65;18664;8191
66;16850;2053
67;17031;604
68;17718;3196
69;17290;7606
70;17859;3736
71;18609;487
72;18298;6904
73;17661;7201
74;17613;4060
75;17778;7363
76;18138;6661
77;18485;5221
78;17581;4375
79;18655;4303
80;18813;847
81;18341;3583
82;18633;4276
83;17280;3646
84;17524;5383
85;16949;4672
86;17414;1432
87;17335;2296
88;18188;730
89;18578;3097
90;17903;1000
91;17957;4924
92;16844;2827
93;17220;1666
94;18048;1612
95;17981;2872
96;17664;3943
97;18686;442
98;17671;4168
99;17927;1027
100;17861;9037
101;18062;820
102;17245;2431
103;18345;838
104;18444;1459
105;18349;2593
106;17254;2395
107;17861;5032
108;17267;5563
109;17542;5356
110;17979;2962
111;18082;6859
112;17564;154
113;16749;100
114;18175;1558
115;17816;1117
116;16679;8263
117;18255;4663
118;17556;118
119;17006;5887
120;17786;5203
121;17441;172
122;17056;5851
123;17908;6985
124;18869;6031
125;17575;1414
126;17779;5131
127;18572;1090
128;16743;2242
129;17274;7633
130;17747;5167
131;17127;3844
132;18269;3367
133;18157;2683
134;17208;523
135;17915;2998
136;17234;5671
137;18718;2881
138;18275;5599
139;16776;2134
140;18017;4960
141;17148;3718
142;17215;379
143;16951;7867
144;17868;991
145;18336;5392
146;18299;8758
147;18263;3322
148;18240;1675
149;17687;1963
150;17535;4366
151;17260;406
152;17882;6022
153;17393;6517
154;18392;8479
155;17048;6121
156;17846;3853
157;17460;1495
158;17410;4240
159;17877;1252
160;17222;7912
161;17675;7183
162;16888;4006
163;17492;4132
164;18548;2386
165;16933;3970
166;17018;5914
167;16835;6157
168;17332;4258
169;17395;1477
170;16642;937
171;18270;1306
172;17185;4771
173;17769;7156
174;17423;7489
175;18725;6175
176;18694;4222
177;17516;1387
178;17154;5698
179;17992;4933
180;17260;6346
181;18551;3376
182;17613;5347
183;17690;3259
184;17722;7138
185;16565;4312
186;17273;424
187;17201;2458
188;17843;4123
189;16875;4033
190;17031;5878
191;17924;5050
192;17419;208
193;17448;181
194;17950;8992
195;16779;1135
196;18415;1180
197;18107;5806
198;17645;2359
199;17141;3817
200;18054;8911
201;17879;1765
202;18610;541
203;18607;3313
204;18466;5446
205;18216;2629
206;16992;1873
207;17112;4510
208;18114;802
209;18388;4501
210;17545;2098
211;18422;6490
212;19034;145
213;17421;514
214;17657;3241
215;18216;3412
216;18265;3556
217;18347;4573
218;18156;2746
219;17194;3727
220;17251;2422
221;18398;8524
222;16636;1279
223;17997;2845
224;16835;892
225;17869;3808
226;18317;8884
227;17523;5464
228;18072;1540
229;18777;910
230;17124;2782
231;17356;343
232;16948;5941
233;18236;8731
234;16987;3898
235;17412;3466
236;18384;1288
237;17886;5041
238;18891;793
239;16943;919
240;17891;7003
241;17590;3232
242;17273;4384
243;17425;1468
244;18315;3331
245;17292;7795
246;18771;2944
247;17632;7336
248;18078;5770
249;18663;4249
250;18506;8434
251;17188;6724
252;18235;3682
253;18219;8686
254;17660;7534
255;16823;4087
256;17394;244
257;18487;8470
258;17238;3664
259;17183;5725
260;17089;2611
261;18450;6454
262;18893;7021
263;17093;811
264;18220;3484
265;17967;1918
266;17695;7246
267;17835;5077
268;17808;5194
269;17063;3925
270;18121;5518
271;17460;6445
272;17450;4519
273;17386;3565
274;18418;8542
275;18866;8065
276;16965;2863
277;17432;7435
278;17656;7228
279;18653;2323
280;18617;6283
281;17406;7390
282;16921;1972
283;18722;2953
284;18624;2251
285;18399;1315
286;18120;982
287;17733;2170
288;18577;8317
289;16632;6562
290;18467;8452
291;18830;8119
292;17614;5293
293;17321;1576
294;16529;6391
295;17761;7111
296;16973;5950
297;17383;7561
298;17842;9073
299;18004;8920
300;17569;5590
301;18504;3079
302;17060;4843
303;17874;5086
304;18706;8200
305;18906;6004
306;17309;7831
307;17038;667
308;17447;3430
309;17427;5527
310;17495;2161
311;18983;7939
312;17507;3385
313;18022;6823
314;16976;1927
315;17716;3907
316;18878;8020
317;18076;1783
318;18428;8488
319;17958;1999
320;18482;8569
321;17389;7759
322;18002;5716
323;17841;7237
324;16581;1072
325;18198;1450
326;17586;7273
327;18304;3538
328;16978;3961
329;17008;3880
330;18133;8767
331;17275;5644
332;18194;4654
333;17083;2566
334;18795;4150
335;17638;5275
336;17132;5860
337;17270;7651
338;18177;4726
339;16807;2062
340;16957;649
341;17453;253
342;17937;5995
343;17727;6139
344;16757;3151
345;16993;685
346;18803;4114
347;17989;4915
348;16515;2440
349;18413;3295
350;18635;8272
351;17654;4186
352;17411;1504
353;18396;4564
354;17498;4204
355;16644;8497
356;17785;7120
357;17348;5554
358;18408;8443
359;16862;4042
360;18123;3502
361;18269;8587
362;17656;2188
363;16986;703
364;17950;1990
365;16805;4078
366;17519;7399
367;16945;658
368;17558;3340
369;17647;4024
370;19019;7894
371;17871;2017
372;18281;2602
373;18778;2926
374;18432;8677
375;17798;3124
376;17074;2584
377;18306;8596
378;18613;5338
379;18120;9010
380;16782;8056
381;18035;4870
382;18096;4825
383;16931;2800
384;16857;2035
385;18158;1486
386;18669;8254
387;18318;3547
388;18084;6796
389;18702;5212
390;17685;6184
391;17817;7885
392;17758;3952
393;17006;4942
394;17539;5365
395;17048;7768
396;18682;8227
397;18451;3439
398;18478;6373
399;17413;6499
400;17699;4330
401;17290;352
402;18277;8893
403;17115;4492
404;18534;7372
405;17511;4411
406;17850;7057
407;18677;6247
408;18454;5500
409;17581;1369
410;16737;6166
411;16487;4456
412;18258;3457
413;17836;1108
414;17212;5689
415;17137;3700
416;16994;631
417;18287;6634
418;17860;7039
419;18709;6265
420;18805;8101
421;16879;8299
422;17264;397
423;17709;3214
424;17459;2179
425;16748;2215
426;17854;3871
427;17058;3889
428;17775;5068
429;18440;6472
430;17870;1828
431;18555;4357
432;17259;7696
433;18099;7822
434;18230;3655
435;16754;2206
436;18602;3052
437;17502;2404
438;16810;865
439;18058;4861
440;17419;226
441;17338;7570
442;17878;7210
443;17327;289
444;18351;8551
445;17449;5482
446;19009;5932
447;18360;6544
448;18088;5815
449;18047;3862
450;18127;2791
451;18605;3106
452;17713;6130
453;18291;5581
454;17305;6598
455;17026;5896
456;17703;7174
457;17134;3754
458;17224;3673
459;17406;5536
460;17917;6976
461;18578;1036
462;17236;361
463;17462;451
464;18673;8236
465;18033;1639
466;16602;1324
467;17436;5437
468;16837;4105
469;16996;748
470;17141;3790
471;16587;6328
472;17090;4537
473;17444;163
474;17989;1936
475;17118;5824
476;18805;8110
477;19003;199
478;18093;7066
479;18037;6832
480;18671;8218
481;17698;7588
482;18708;8155
483;18503;8362
484;18780;1099
485;17854;7030
486;18629;1270
487;18480;6409
488;17830;2125
489;17227;433
490;17529;5311
491;16735;8326
492;17706;7165
493;17230;415
494;18577;6301
495;17123;532
496;19046;7840
497;18120;3772
498;17610;7516
499;17477;7354
500;18121;8740
501;18479;8560
