#Mode:;3
#Device:;sk9620
#Button:;44
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10838;298
1;12153;4996
2;10522;5419
3;10588;8272
4;9493;3412
5;10368;2782
6;9754;7057
7;9553;4141
8;11336;8569
9;11194;8677
10;11683;5455
11;9309;586
12;8845;6796
13;11302;8605
14;9802;3322
15;9093;3745
16;9679;3169
17;12050;1864
18;8713;4438
19;9180;6445
20;11647;5491
21;10158;973
22;9659;226
23;10885;244
24;9599;3583
25;9198;3691
26;11600;2305
27;11531;8344
28;11504;8398
29;10852;6220
30;10869;2836
31;9963;3979
32;10170;6940
33;10254;2890
34;10955;1936
35;10833;3025
36;10306;8785
37;9996;5707
38;9516;6193
39;10342;6841
40;10457;2647
41;10014;2908
42;9848;5851
43;11368;5833
44;8634;4555
45;11364;1558
46;9975;5680
47;10968;6211
48;11643;5563
49;11045;6058
50;9543;4150
51;10104;3763
52;8885;4204
53;10187;5554
54;9820;5896
55;9685;1396
56;10801;2386
57;11719;7102
58;10667;8200
59;9744;7354
60;9810;1378
61;10386;8731
62;10933;1945
63;9655;1540
64;11863;5347
65;8452;7453
66;8899;721
67;11846;7975
68;12507;4591
69;10967;2179
70;10969;4654
71;9974;1099
72;10031;3070
73;8986;6760
74;10725;3151
75;11950;5257
76;8769;4321
77;12043;811
78;11695;2224
79;11815;5338
80;10994;4906
81;9303;6346
82;9399;7768
83;12306;4798
84;12647;4456
85;11429;1702
86;9344;1756
87;9065;892
88;9619;3286
89;11444;2440
90;11289;8668
91;8699;1162
92;11089;1774
93;9318;3880
94;9114;514
95;10719;2233
96;12407;4780
97;10323;8884
98;10935;8011
99;9111;523
100;12127;5050
101;9719;3385
102;11466;1450
103;10756;2197
104;10101;1045
105;11033;4852
106;10341;2593
107;9758;7381
108;11477;1693
109;10897;4726
110;10662;2188
111;11041;181
112;11313;7876
113;10972;4663
114;10995;1954
115;11159;6040
116;10928;8974
117;9609;3520
118;9164;478
119;8854;4222
120;10821;2071
121;10763;2134
122;10990;172
123;11035;6094
124;10657;208
125;11132;6049
126;12455;4744
127;10540;2557
128;9704;3088
129;10821;3079
130;11707;1468
131;10257;5329
132;11085;8839
133;9927;3907
134;8771;4303
135;9608;3268
136;10486;6661
137;9599;3574
138;9553;136
139;10629;5059
140;11506;2431
141;8918;982
142;10607;5041
143;9653;1531
144;12614;4501
145;11658;7525
146;9633;3277
147;9586;7543
148;11965;5203
149;10032;3133
150;10571;2377
151;10662;6481
152;8600;4627
153;11617;7282
154;8847;6832
155;10623;6490
156;9699;7399
157;12219;7660
158;12134;4951
159;11078;5869
160;11059;6103
161;11911;1963
162;9722;3493
163;11063;4528
164;9672;7516
165;9430;7705
166;8671;1189
167;10687;8263
168;10368;2494
169;9861;7273
170;11847;5266
171;10778;5077
172;11059;4600
173;10350;784
174;12578;4573
175;10906;8245
176;10534;5068
177;10530;3295
178;11480;8407
179;11691;1513
180;8874;775
181;11209;5968
182;11336;8497
183;12103;5023
184;9429;6463
185;8767;6859
186;10119;3772
187;8818;1081
188;11241;4402
189;10448;3439
190;9146;4078
191;9313;3646
192;11205;4474
193;10892;235
194;10664;5212
195;11927;883
196;11459;2485
197;10626;550
198;9097;7723
199;10799;9037
200;9826;4060
201;11476;1612
202;10337;2575
203;9339;7804
204;10584;613
205;11485;4375
206;11067;1855
207;10409;649
208;10093;2953
209;11350;1549
210;10924;2917
211;10390;8695
212;11496;1423
213;10932;4735
214;9921;4015
215;8769;4294
216;9085;6580
217;10829;4843
218;10737;442
219;11087;6067
220;11261;2350
221;10103;3709
222;10226;6913
223;11040;4897
224;11698;3952
225;11543;8353
226;11532;8416
227;9973;1225
228;9657;6319
229;10771;8164
230;10308;5437
231;11970;1918
232;12375;4699
233;11525;7624
234;11249;7696
235;11068;1738
236;10645;487
237;9159;757
238;11073;2872
239;11758;8155
240;9728;3421
241;9706;5941
242;11584;8326
243;11016;6112
244;11509;5581
245;11492;7669
246;8801;910
247;10897;6229
