#Mode:;3
#Device:;sunplus
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16789;100
1;17459;2494
2;16620;343
3;15998;7912
4;19302;532
5;16522;1432
6;17571;307
7;17857;7129
8;17178;3736
9;15797;2116
10;19401;6472
11;19324;3565
12;17481;3439
13;15768;5104
14;18128;802
15;17662;244
16;16583;1324
17;18896;6031
18;19304;604
19;17359;7525
20;16576;7309
21;17891;4051
22;18337;6535
23;18822;8146
24;17629;5293
25;18956;3934
26;19388;6598
27;16714;1189
28;17397;7516
29;18465;3430
30;18390;577
31;18096;2854
32;17836;1054
33;17438;4501
34;17375;541
35;17242;7642
36;18794;1135
37;18996;8911
38;19026;4897
39;18422;1540
40;14993;7903
41;17620;7219
42;17382;3511
43;19462;8524
44;15970;6958
45;18950;2890
46;17694;8227
47;19171;8785
48;17975;2899
49;18375;1531
50;17160;3799
51;17189;5680
52;18436;1486
53;19015;5896
54;17895;3016
55;16715;4195
56;17740;4105
57;18768;2170
58;18039;1873
59;18072;1846
60;19563;8362
61;19486;7381
62;18463;4411
63;18441;1414
64;18042;1819
65;17118;8830
66;17709;3124
67;19552;3403
68;18729;217
69;19303;631
70;19425;586
71;16965;1936
72;17433;5419
73;14958;5941
74;19636;8281
75;18917;5995
76;17161;8758
77;15094;5842
78;17350;4627
79;19133;8794
80;18980;1882
81;18479;2422
82;17767;1216
83;17739;6157
84;18722;4258
85;16194;2683
86;16859;8092
87;18144;5770
88;17948;7012
89;18520;1405
90;18476;1441
91;17970;5914
92;16937;982
93;19153;8740
94;16743;8191
95;17122;4798
96;14964;2935
97;18424;523
98;17569;6328
99;17477;415
100;17456;7453
101;19220;2674
102;18883;2017
103;16909;4024
104;18178;4762
105;16793;4123
106;18413;6436
107;17052;6922
108;19066;5851
109;16966;6004
110;16815;4141
111;17101;1801
112;18499;4384
113;18009;1909
114;16482;4402
115;18035;856
116;19640;3223
117;16906;4042
118;19557;5356
119;16770;6184
120;16816;1099
121;16112;4780
122;18383;3520
123;17004;883
124;16157;1765
125;18913;3061
126;17719;172
127;16722;5185
128;17764;1207
129;19412;1495
130;17216;8668
131;17218;6697
132;19445;451
133;17892;3079
134;18162;4789
135;15390;8578
136;17216;5716
137;17164;757
138;17080;3826
139;18962;8947
140;19459;406
141;17919;2008
142;16238;1684
143;17494;2458
144;19374;4483
145;17814;8083
146;17951;5950
147;16795;3043
148;18463;2467
149;17737;6175
150;19259;658
151;16751;1162
152;16977;4960
153;18683;7165
154;17182;5698
155;19514;1369
156;15419;460
157;17195;5743
158;19363;4474
159;18210;6706
160;17259;1657
161;16702;2188
162;18814;2071
163;17070;5833
164;19406;5509
165;17500;5455
166;17316;3628
167;15579;2359
168;18915;1000
169;17524;5428
170;15240;2647
171;17036;1864
172;17888;8002
173;19770;3106
174;18895;1009
175;16563;3385
176;18493;2341
177;15796;136
178;19551;361
179;17156;6742
180;19779;3178
181;17672;5203
182;19286;6616
183;18139;2791
184;16915;1999
185;18361;6607
186;17529;2395
187;18042;4807
188;16844;4015
189;18239;676
190;18655;4285
191;19255;6634
192;15865;5014
193;18477;7417
194;17571;3367
195;19339;2548
196;17211;8695
197;18752;4159
198;18430;8506
199;17924;7975
200;17282;3655
201;18807;7093
202;18203;1693
203;17551;1360
204;17297;2557
205;17429;5536
206;17968;9019
207;16595;8326
208;15383;5581
209;17499;7408
210;18351;2584
211;17250;4672
212;16614;8317
213;18464;6418
214;17641;3295
215;18322;568
216;19081;2782
217;17174;3745
218;18413;1513
219;17339;1504
220;17382;4582
221;17405;2539
222;16350;4600
223;18592;325
224;18226;8686
225;17312;7597
226;15560;8416
227;18052;6841
228;18641;2242
229;16233;1675
230;18903;6013
231;19818;3070
232;17891;6022
233;17166;766
234;16955;1945
235;18739;7147
236;17000;7885
237;15273;8632
238;16965;2998
239;18984;7921
240;19174;694
241;16801;5068
242;19101;3790
243;18335;7561
244;17349;3583
245;18721;3151
246;17648;4213
247;19476;5374
248;15321;5626
249;19100;2818
250;17052;811
251;17092;2800
252;17920;8974
253;17358;4564
254;17828;5050
255;15861;8047
256;18328;1585
257;17323;7543
258;17831;154
259;15685;5167
260;18712;7174
261;18984;4933
262;19486;442
263;16771;4150
264;17223;1666
265;17140;838
266;17063;3862
267;16839;8101
268;18390;5545
269;19767;6139
270;16713;208
271;18407;1522
272;16365;8479
273;17254;6724
274;17884;7021
275;18765;7138
276;18089;5797
277;17357;7507
278;18880;4096
279;17585;2332
280;17576;3340
281;16920;946
282;18056;3916
283;16549;4393
284;17255;3682
285;19149;6751
286;18253;4609
287;18230;7705
288;16929;3988
289;18805;6085
290;19257;3709
291;18449;8389
292;18710;4204
293;19367;550
294;19128;5860
295;19520;7354
296;19210;3664
297;15387;5563
298;18909;9010
299;16908;3952
300;16451;433
301;17276;2611
302;16944;5977
303;17755;8173
304;18568;6337
305;16819;3142
306;19135;5788
307;17189;3754
308;15951;7894
309;19386;8488
310;17994;3943
311;16984;928
312;15264;8659
313;17239;5644
314;17422;6490
315;16845;6067
316;17660;4267
317;16756;2143
318;17931;7939
319;19076;3844
320;18091;1855
321;18271;649
322;18477;3484
323;17692;1225
324;18220;3637
325;18047;2845
326;16121;2728
327;16503;2431
328;17591;6292
329;19060;3817
330;15769;5158
331;17170;4753
332;17298;4591
333;16384;4546
334;17340;8614
335;18966;991
336;17428;7489
337;15525;5320
338;18900;6058
339;18315;7624
340;16984;8929
341;19338;3574
342;18584;4294
343;16515;397
344;17464;2449
345;16717;2206
346;16439;5482
347;18914;6994
348;19484;3412
349;18904;1018
350;19078;8812
351;19390;1567
352;18316;4663
353;17738;5212
354;17795;1072
355;18528;2368
356;16542;7363
357;17989;4969
358;17611;5347
359;19082;3880
360;17321;6544
361;18436;3493
362;19089;8857
363;19068;4771
364;17566;1333
365;19236;2746
366;17870;5032
367;19286;3610
368;16822;7066
369;19333;3547
370;18903;4978
371;18455;3457
372;17536;3331
373;18326;6562
374;17962;5932
375;16919;3007
376;19371;3556
377;18438;4429
378;18204;8641
379;18466;7435
380;15370;2512
381;17823;1090
382;19580;1342
383;17282;3673
384;17526;4339
385;18116;7714
386;18114;1810
387;15041;5923
388;16982;1918
389;18871;6076
390;16000;4888
391;18886;6976
392;17311;7579
393;16912;9037
394;16219;7669
395;18945;8902
396;19143;8776
397;18214;4699
398;18947;6931
399;18167;8749
400;18296;6580
401;17401;8542
402;18149;6787
403;15216;5617
404;18462;4492
405;18930;1963
406;15961;4906
407;17299;2602
408;18225;2629
409;16819;8164
410;17431;6553
411;17240;7678
412;18775;5149
413;17297;2620
414;16677;7291
415;17791;8128
416;18626;2350
417;17423;4537
418;15971;4951
419;17639;7264
420;18672;4168
421;19182;8722
422;18621;1288
423;18288;1639
424;17173;6769
425;16896;1027
426;19084;5761
427;17653;3268
428;17170;2737
429;18622;3232
430;19069;8821
431;17536;5392
432;18052;6850
433;16602;352
434;18530;4366
435;19128;712
436;17383;5527
437;18857;3052
438;18907;2962
439;16122;7786
440;16850;8038
441;17394;5473
442;18095;5734
443;17461;8470
444;16470;7471
445;19190;730
446;17655;6310
447;18183;2755
448;18638;3241
449;18266;1576
450;17075;5806
451;16325;7534
452;17554;8398
453;18957;901
454;18560;6382
455;17197;3718
456;19456;8461
457;19051;820
458;19144;2719
459;16498;1450
460;19276;3619
461;18171;5707
462;17765;5140
463;17374;6526
464;16724;2197
465;18785;4078
466;16769;4177
467;19035;5878
468;17898;5059
469;17544;3322
470;16132;1738
471;18112;7822
472;19422;4438
473;17575;5365
474;16945;3997
475;17065;7867
476;17676;289
477;17202;5689
478;18680;1243
479;18687;4222
480;19512;4420
481;19811;8056
482;16780;127
483;19305;5572
484;18001;3889
485;15343;8560
486;18024;1828
487;18538;8434
488;17621;8335
489;16078;1891
490;18016;6904
491;18719;6166
492;18380;2485
493;15854;5086
494;19300;8587
495;17594;3286
496;17270;2638
497;17618;5257
498;16691;5176
499;17432;6463
500;16333;1594
501;18664;262
502;17536;8407
503;17878;5023
504;16267;7651
505;18923;8983
506;18170;4744
507;17433;5491
508;16966;1954
509;18150;6778
510;16906;7003
511;15318;2656
512;16717;5194
513;16867;7030
514;19117;793
515;15654;5311
516;18580;253
517;18360;6508
518;17020;3871
519;17162;2710
520;17048;8866
521;16662;5266
522;16728;190
523;18850;3088
524;18064;6814
525;15907;5041
526;16883;5095
527;18852;1981
528;16074;1900
529;18761;6148
530;17633;5239
531;17650;6301
532;16690;2215
533;16739;8137
534;19185;739
535;16834;8074
536;15812;3133
537;18032;6913
538;18494;5410
539;17286;4654
540;19129;784
