#Mode:;3
#Device:;tramani_wired
#Button:;298
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6736;2107
1;9648;271
2;8879;1054
3;4032;5761
4;4863;5032
5;8601;1297
6;11697;8236
7;6954;2926
8;7239;2692
9;8300;1612
10;3953;5968
11;5260;4627
12;11554;7327
13;4909;4996
14;12738;7147
15;8659;1261
16;5314;3583
17;11293;8623
18;9306;595
19;8502;1369
20;10729;8209
21;13375;6490
22;11471;8461
23;6763;2161
24;7770;2044
25;6019;3853
26;13955;5941
27;7713;2170
28;9221;667
29;6700;3196
30;11872;8038
31;4996;4780
32;12968;6778
33;7962;1837
34;12364;6562
35;11543;8371
36;12392;7507
37;6001;2737
38;13395;6472
39;7000;2809
40;9598;325
41;6520;2359
42;7334;2566
43;5017;4726
44;8890;1018
45;10896;7993
46;6304;3601
47;11294;8614
48;12365;7525
49;7577;2341
50;6985;2827
51;5018;4816
52;6979;2908
53;11973;7894
54;9362;523
55;11889;8020
56;5463;3448
57;12507;7363
58;12216;7696
59;5426;4474
60;7952;1963
61;9012;721
62;5504;4411
63;8946;946
64;7688;1171
65;7002;2836
66;4225;5671
67;6730;3106
68;10198;8704
69;11348;8479
70;13800;6157
71;4984;3943
72;3835;6076
73;9633;253
74;6730;3160
75;12386;6499
76;6480;3421
77;5596;4312
78;11743;8101
79;7234;2665
80;7753;2179
81;7043;2800
82;5017;4771
83;3765;5050
84;8372;1486
85;7358;2548
86;5655;4240
87;4228;5680
88;3969;5959
89;8211;1693
90;13075;7129
91;11900;6940
92;8282;1594
93;6296;3619
94;9384;514
95;11680;7237
96;3615;6283
97;8061;1711
98;12261;7651
99;3790;6067
100;4472;5428
101;8519;1387
102;5520;4366
103;3743;5104
104;12507;7399
105;12244;7678
106;5998;3889
107;5006;4789
108;4330;5590
109;9007;766
110;6516;3412
111;8260;1621
112;7537;2368
113;11998;7903
114;5372;4501
115;6878;2998
116;4195;5725
117;7436;2476
118;4207;5707
119;6528;2233
120;8743;1126
121;7911;1990
122;4031;5716
123;8393;487
124;11367;8551
125;12496;7390
126;7013;2890
127;5709;4186
128;6713;3169
129;6842;3007
130;4314;5581
131;4435;4465
132;11741;8128
133;4561;5356
134;13068;6931
135;4354;5545
136;12074;7723
137;12884;7012
138;3679;6202
139;7718;2152
140;12942;6958
141;5934;3907
142;8548;1315
143;7588;2269
144;7673;2242
145;6501;3439
146;10578;8344
147;13300;6661
148;6899;3034
149;7926;1972
150;6428;3484
151;12243;7669
152;6909;2971
153;11799;7111
154;6014;3718
155;7055;2773
156;13036;6688
157;7000;2899
158;8535;1378
159;13038;6805
160;7363;2539
161;11404;8416
162;8012;1873
163;12360;7561
164;10962;8938
165;8621;1270
166;6039;3772
167;8022;1729
168;11501;8407
169;5045;4681
170;4407;5482
171;9600;316
172;4201;5689
173;5914;3988
174;4045;5779
175;9010;712
176;6522;2386
177;12438;7444
178;12781;7084
179;3785;5149
180;6676;3232
181;11796;8074
182;13296;6607
183;5949;3961
184;5694;4204
185;5528;4402
186;5946;3952
187;6966;1864
188;8249;1630
189;8604;1306
190;7265;2629
191;11258;7660
192;7251;2584
193;9736;172
194;7570;2323
195;6287;2602
196;3777;6175
197;13396;6508
198;6579;3358
199;6967;1927
200;4991;4906
201;9057;847
202;6575;3331
203;12098;6742
204;11321;8560
205;5608;4231
206;10289;8641
207;3941;5986
208;5482;4420
209;7609;2278
210;8358;1459
211;4479;5410
212;5720;4213
213;11288;8587
214;13079;5833
215;11378;8533
216;6764;3115
217;9777;100
218;6175;2647
219;9497;397
220;8845;1072
221;9745;163
222;11274;7633
223;7287;2710
224;5876;4042
225;13914;5977
226;12619;7282
227;13014;6877
228;5715;4159
229;11320;7588
230;6382;3511
231;8619;1279
232;12851;6049
233;7010;2791
234;12988;6949
235;7036;2746
236;8262;613
237;8901;1009
238;4848;5059
239;3983;5788
240;11380;7480
241;9468;442
242;13633;6274
243;4736;5113
244;4261;4663
245;6001;3844
246;4407;5491
247;4485;5401
248;5749;3151
249;6951;2935
250;11482;8434
251;13277;6625
252;8691;1243
253;11416;8497
254;8034;1792
255;9036;703
256;9356;532
257;11002;8803
258;5995;3763
259;5016;4861
260;6346;3547
261;12741;7183
262;13741;6130
263;5009;4834
264;11189;8695
265;11971;7930
266;6936;2062
267;3907;5950
268;8643;1252
269;9023;874
270;8330;1504
271;7469;2422
272;13035;6841
273;5025;4717
274;4903;3979
275;9742;154
276;11482;8425
277;5854;4051
278;6592;2287
279;4757;5122
280;12964;6886
281;11500;8398
282;6848;3061
283;12720;7174
284;13549;6337
285;4252;4654
286;12020;7759
287;10933;9082
288;12763;6211
289;8209;1603
290;11200;8686
291;4722;5212
292;3898;6031
293;7345;2530
294;7979;1891
295;12013;7831
296;9251;658
297;4596;5311
298;4533;5392
299;6829;3070
300;5002;3916
301;6348;3556
302;4019;5869
303;11541;8362
304;7370;2557
305;10901;9001
306;11034;8857
307;8008;784
308;8618;1351
309;8728;1108
310;5736;4168
311;9829;127
312;12267;7642
313;6466;3430
314;12625;7273
315;3480;6418
316;5896;4006
317;7389;2485
318;5471;4447
319;5995;2854
320;12710;7201
321;9440;460
322;4290;5617
323;7592;1324
324;10935;8992
325;12911;7003
326;8583;1333
327;12603;7300
328;6383;3457
329;6523;3376
330;6995;1747
331;7888;1999
332;6737;3187
333;12975;6895
334;3872;5005
335;6452;3394
336;4235;5653
337;7934;1981
338;11991;6769
339;5835;4078
340;5919;3970
341;13488;6436
342;4233;4699
343;12914;7075
344;12619;7264
345;4030;4888
346;4721;5176
347;4605;5248
348;6050;3727
349;5816;4069
350;8725;1144
351;8361;1540
352;8006;1882
353;8398;1477
354;6575;2251
355;9510;343
356;8204;1576
357;7006;2755
358;7737;1189
359;13017;6733
360;9565;352
361;10994;8920
362;4421;5455
363;9432;451
364;3991;5824
365;11987;7921
366;4694;5185
367;9030;829
368;8060;1720
369;12382;7516
370;4849;5041
371;7202;2620
372;4848;5068
373;7197;2719
374;3685;6220
375;6228;3682
376;7462;2431
377;4301;5608
378;8451;469
379;5557;4321
380;6274;3637
381;11158;8749
382;7214;1684
383;6904;3025
384;12067;7732
385;6951;2953
386;7890;1045
387;3713;6193
388;5408;4375
389;8004;1774
390;6013;2872
391;3535;6364
392;3763;6121
393;6661;3223
394;10371;8488
395;7007;2683
396;13456;6463
397;8923;973
398;6645;2260
399;12442;7453
400;11364;8515
401;10726;8092
402;12234;7687
403;9327;577
404;12380;6544
405;3586;6319
406;11409;8470
407;9630;289
408;11905;6967
409;5827;4060
410;6196;3709
411;8884;1027
412;7973;775
413;5603;4303
414;5996;3862
415;6971;2881
416;4820;4096
417;9017;802
418;4011;5923
419;6963;2944
420;5558;4348
421;8717;1180
422;12018;7750
423;10960;8956
424;8049;748
425;5908;3997
426;4786;5077
427;5010;4807
428;13040;5914
429;4987;4798
430;12594;7345
431;7732;2125
432;4668;5302
433;8839;1081
