#Mode:;3
#Device:;trust_oni_wireless
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12217;2710
1;13857;1009
2;12357;2521
3;12869;1981
4;22938;7030
5;24601;5095
6;25326;4312
7;11170;3646
8;23474;6139
9;14213;658
10;13502;1387
11;11200;3628
12;25788;5185
13;13105;1765
14;12558;2368
15;21570;8083
16;24608;5041
17;25165;4501
18;12736;2179
19;23848;5806
20;12812;2107
21;11956;2899
22;24619;6310
23;24489;4465
24;23896;6040
25;12960;1954
26;24066;5545
27;11830;3106
28;24178;5446
29;23972;5671
30;22233;7453
31;24928;5968
32;13578;1333
33;20800;8101
34;11102;4105
35;22533;7120
36;21274;8317
37;12482;2485
38;14265;649
39;13702;1207
40;12618;2305
41;22061;7606
42;12649;2215
43;10207;4654
44;24294;6589
45;12442;2467
46;12648;2197
47;23711;5878
48;13854;1045
49;24190;5455
50;20861;8785
51;22712;6958
52;24924;5923
53;23554;5392
54;25225;5662
55;14618;316
56;11690;3223
57;22057;7633
58;14107;829
59;23892;5770
60;14174;694
61;24422;5248
62;24146;6697
63;12836;2062
64;12051;2818
65;14094;892
66;25112;4573
67;13692;1198
68;24301;5428
69;13792;1081
70;24052;5617
71;10742;4186
72;10983;3889
73;23222;7732
74;20980;7894
75;14661;1018
76;21039;8542
77;25573;4168
78;12510;2404
79;11506;3367
80;22386;7192
81;12680;2269
82;21360;8272
83;13071;1792
84;11587;3358
85;13147;1783
86;21896;8983
87;24791;4861
88;11662;3250
89;21147;8524
90;10694;4213
91;21613;8056
92;13776;1027
93;22824;8065
94;12355;2539
95;22003;6913
96;13690;1999
97;12755;2143
98;13878;1054
99;11799;3025
100;23550;6103
101;25119;4528
102;23909;5707
103;11561;3385
104;24561;6328
105;14252;631
106;20609;8209
107;13503;1612
108;22849;6805
109;13308;1513
110;13720;1108
111;21542;8074
112;13090;1864
113;11416;3511
114;13639;1270
115;14492;406
116;26015;4915
117;13298;1585
118;14579;325
119;14487;424
120;12690;2161
121;21734;7858
122;24597;5023
123;23420;6256
124;22491;7174
125;22167;7552
126;11777;3160
127;14614;289
128;12796;2134
129;24763;6202
130;22023;7660
131;21561;8137
132;24157;5473
133;22716;6886
134;13795;1162
135;12858;1990
136;11097;3817
137;21903;9019
138;22567;6301
139;11482;4150
140;12295;2611
141;21891;7687
142;13119;1810
143;21325;8326
144;12446;2449
145;22003;7696
146;11099;3772
147;23729;7201
148;23243;5608
149;22074;8758
150;22584;7066
151;23070;6517
152;14068;793
153;13614;1261
154;12160;2692
155;24880;4717
156;24331;5365
157;14244;703
158;26142;4780
159;22408;7246
160;11273;3619
161;20833;8875
162;13217;1693
163;14618;280
164;12542;2287
165;20758;8911
166;22653;7003
167;25440;5491
168;20982;7975
169;14073;856
170;23398;6526
171;25494;4141
172;23944;5689
173;11599;3241
174;22697;6940
175;12535;2332
176;20663;8947
177;12419;2494
178;24402;6445
179;21781;7093
180;25584;5320
181;22084;7579
182;11332;3574
183;11977;2971
184;24948;4636
185;12146;2746
186;13657;1225
187;21460;8182
188;14271;604
189;23786;7075
190;12253;2620
191;25334;4366
192;20799;8821
193;11909;2980
194;13439;1432
195;12930;2008
196;13183;1720
197;22854;6850
198;20644;9046
199;25980;4924
200;11694;3268
201;12650;2242
202;11780;3133
203;25526;4132
204;24285;5437
205;11501;3349
206;20940;8749
207;11246;3700
208;13763;1135
209;25569;5383
210;23114;5833
211;14577;397
212;22221;7741
213;21857;7804
214;23903;5716
215;13171;1702
216;22905;6751
217;22460;7147
218;22510;8344
219;14366;496
220;11492;3376
221;20848;8830
222;24876;4789
223;24390;5338
224;12394;2557
225;23195;6409
226;12994;1918
227;25125;4537
228;14200;721
229;22467;8470
230;12191;2683
231;11508;3412
232;23833;5842
233;13290;1639
234;12910;1972
235;23761;5905
236;13076;1873
237;23008;6643
238;23386;7525
239;13617;1279
240;24314;4591
241;14537;622
242;21124;8533
243;14707;199
244;12591;2278
245;11866;3043
246;23707;5959
247;22295;7354
248;14059;838
249;25350;5581
250;23974;4942
251;25614;5302
252;20719;8902
253;22876;6796
254;13284;1684
255;23786;5932
256;23258;6391
257;20809;8776
258;21987;8920
259;22355;6535
260;23460;7444
261;12011;2908
262;24371;5257
263;11438;3466
264;22195;7471
265;21930;7759
266;13369;1540
267;20624;9055
268;11519;3331
269;11956;2944
270;25573;5374
271;12330;2593
272;12006;2917
273;24866;4807
274;14589;361
275;11468;3448
276;13117;1801
277;23543;6157
278;26048;4870
279;14558;352
280;13289;1630
281;12206;2701
282;11452;3457
283;25380;4285
284;24219;5464
285;10874;4042
286;22931;6769
287;12865;2053
288;24446;5158
289;26159;4753
290;12193;2773
291;11390;3502
292;12611;2233
293;11352;3592
294;22709;6967
295;11360;3538
296;22370;7300
297;20581;9073
298;24359;5311
299;22284;8659
300;13697;1180
301;25616;4087
302;21412;8245
303;23203;6463
304;21016;8596
305;21257;8416
306;23095;6508
307;13470;1396
308;23712;7102
309;23248;5680
310;12547;3079
311;22938;6706
312;25474;4204
313;12990;1936
314;14728;136
315;22444;7228
316;14740;181
317;14429;460
318;11587;3340
319;23405;7489
320;11196;3709
321;22763;6904
322;12701;2152
323;13458;1531
324;11098;3736
325;20717;8848
326;23859;5815
327;11692;3142
328;13305;1594
329;24606;6265
330;24845;4825
331;13197;1711
332;25372;4294
333;24117;5572
334;14802;100
335;21944;7723
336;21537;8128
337;10596;4321
338;11020;3808
339;24791;6130
340;24844;4069
341;25541;4402
342;11710;3169
343;12186;2755
344;10965;3916
345;11929;2989
346;25112;4555
347;21781;7876
348;14718;244
349;10645;4276
350;22926;7984
351;25699;4006
