#Mode:;3
#Device:;unicomp
#Button:;21
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10284;6571
1;8197;2710
2;7181;8704
3;10181;5428
4;14180;1423
5;16873;316
6;15297;1891
7;8175;9028
8;5839;5329
9;11479;5410
10;11965;5212
11;9933;5950
12;13291;2305
13;14405;1270
14;12989;4204
15;16568;631
16;14678;2467
17;10002;1135
18;14645;2242
19;13080;2782
20;11089;4555
21;12728;2899
22;15278;262
23;12715;4393
24;13359;3781
25;13675;3439
26;9327;1585
27;16482;640
28;8255;8956
29;9935;5968
30;12836;2800
31;12338;3286
32;10133;5527
33;11129;4519
34;8018;7705
35;12497;4591
36;16900;253
37;12260;4870
38;9908;1000
39;12461;4654
40;9667;6166
41;7038;8605
42;8325;7291
43;16189;847
44;6174;4906
45;10732;6247
46;12859;4240
47;8634;7264
48;10984;4690
49;12130;3556
50;13457;2215
51;10882;6175
52;14747;2332
53;12586;4465
54;11552;5572
55;8828;2053
56;16405;676
57;8824;7057
58;14206;1477
59;9317;6346
60;12304;4816
61;13350;3709
62;11730;5356
63;6977;8785
64;16459;478
65;14403;1486
66;12291;3412
67;10970;4708
68;13182;3880
69;17001;100
70;13046;4051
71;10082;802
72;13435;3682
73;11706;5401
74;12483;3385
75;14053;1621
76;13087;2584
77;9001;8101
78;16827;280
79;8952;8137
80;8908;6769
81;12966;2701
82;13865;1747
83;14528;1108
84;11725;3943
85;11798;5347
86;11091;6049
87;15117;2035
88;8085;1549
89;14004;1603
90;8085;7543
91;9593;6058
92;14249;1378
93;12362;4771
94;8199;8920
95;13196;3925
96;11662;5473
97;10378;6724
98;5936;4951
99;14492;1396
100;14583;1081
101;8501;7174
102;13909;1828
103;10727;6400
104;8420;8686
105;9216;433
106;10634;5014
107;11863;3772
108;13294;2350
109;13946;1693
110;9483;6139
111;14007;3133
112;13281;3853
113;7804;3259
114;6784;8857
115;13815;1819
116;7428;8245
117;14789;838
118;12613;3007
119;9450;7687
120;12552;4600
121;16390;739
122;9294;7822
123;7426;3664
124;7098;8560
125;8294;7372
126;10282;5311
127;9806;7300
128;15350;1774
129;8553;7381
130;5219;5644
131;9836;5806
132;12028;3610
133;14496;2647
134;16534;595
135;14683;2458
136;8654;8506
137;15700;1441
138;9216;1657
139;7887;8011
140;8245;7363
141;15050;604
142;9388;7759
143;9996;7129
144;12678;4420
145;5864;5257
146;6788;8848
147;15027;622
148;7832;7849
149;13365;3790
150;9933;7183
151;12541;4573
152;9344;7777
153;15193;1927
154;16708;424
155;13086;4042
156;7724;8164
157;8109;2791
158;13768;1873
159;11611;4006
160;8380;8776
161;14959;2206
162;13764;3358
163;10651;6508
164;10184;6940
165;16297;829
166;10442;658
167;9783;7111
168;11837;4069
169;11473;4168
170;11096;4564
171;12160;4960
172;13265;3826
173;13147;3952
174;8429;7453
175;5801;5059
176;10894;4744
177;8404;7156
178;13271;2341
179;14693;2431
180;16689;442
181;10257;6895
182;10393;748
183;13460;2152
184;10925;4726
185;10436;6688
186;15156;1981
187;13672;3475
188;8179;8983
189;11388;4429
190;9017;6643
191;9835;1036
192;13587;2080
193;14290;2818
194;8700;8389
195;16618;505
196;8205;7651
197;6745;8929
198;7457;8182
199;9955;937
200;9384;6265
201;9535;7588
202;15181;1945
203;11738;4159
204;10713;4924
205;14492;1126
206;9346;1540
207;12573;3043
208;13756;1864
209;12029;3592
210;15820;1324
211;9584;7561
212;9797;6085
213;6950;8713
214;13546;2125
215;8341;2530
216;6718;8938
217;15176;469
218;9698;7426
219;11350;5770
220;15478;415
221;6765;8884
222;5900;4978
223;8491;7147
224;14728;928
225;14483;1045
226;11020;6121
227;11231;5896
228;14789;1099
229;10774;4798
230;6020;4843
231;15060;532
232;13721;1846
233;11762;5383
234;11694;5482
235;12411;3493
236;8414;7201
237;10317;5284
238;9326;6274
239;7521;8074
240;11820;4969
241;11644;5500
242;14588;1333
243;12950;2593
244;9689;5905
245;5808;5086
246;15829;1360
247;10201;6967
248;15090;2089
249;11612;4276
250;14129;1468
251;14362;1234
252;5668;5230
253;13230;3961
254;15579;1612
255;10643;6517
256;10063;7030
257;15667;1495
258;12204;3700
259;9480;6157
260;11441;4186
261;11243;4402
262;8455;2692
263;11792;5077
264;10340;6760
265;16548;568
266;14386;1504
267;11648;3979
268;13681;1972
269;8855;6697
270;7803;7858
271;8611;2278
272;9953;7336
273;9847;7273
274;13615;3520
275;13245;3907
276;12811;3070
277;12110;3538
278;13848;1765
279;10283;874
280;11175;5734
281;16806;271
282;9288;7804
283;10378;5455
284;9103;6535
285;13036;2602
286;14463;1171
287;10091;892
288;14670;2422
289;8378;7498
290;11188;4501
291;12000;3637
292;9702;6004
293;13756;3304
294;10530;6616
295;9730;1180
296;13713;2179
297;9481;6202
298;14968;730
299;16585;523
300;15391;1720
301;11839;5221
302;7794;7903
303;8086;7606
304;10630;5068
305;7057;8614
306;11570;5509
307;14275;2809
308;7447;3646
309;13370;3529
310;9104;7975
311;14899;982
312;12345;3340
313;11228;4447
314;14372;1315
315;7080;8542
316;14319;2773
317;14785;2323
318;9531;1351
319;10031;5878
320;14921;1990
321;11513;5590
322;9000;6877
323;9291;6337
324;12271;3367
325;11156;4474
326;15205;1936
327;9836;7309
328;8504;2629
329;9153;7741
330;10355;6778
331;12115;3736
332;8470;7192
333;6522;9091
334;14706;946
335;14799;856
336;12485;3151
337;9394;7732
338;8680;8443
339;7082;8569
340;12540;4366
341;9793;7318
342;13791;3313
343;16957;181
344;10781;5113
345;8559;7093
346;6647;9010
347;10209;6904
348;5708;5176
349;14006;3124
350;14650;2494
351;13577;3574
352;11785;4096
353;9920;5716
354;12562;3061
355;8079;8974
356;10517;5140
357;8900;6733
358;11388;4303
359;13213;2440
360;14506;1153
361;15211;1918
362;12497;4582
363;13123;3988
364;8905;2296
365;7966;8902
366;8047;9082
367;11219;5977
368;9658;6220
369;11932;3727
370;15084;586
371;8717;6922
372;10237;6841
373;15459;1675
374;10348;541
375;12463;4672
376;10470;6661
377;9593;6319
378;11772;3844
379;7983;7642
380;16367;694
381;12314;4852
382;10240;6886
383;5318;5815
384;7246;8398
385;11557;4105
386;7832;7840
387;16965;154
388;14958;2251
389;6061;4987
390;9286;6391
391;13975;1684
392;10638;6472
393;16100;1018
394;12675;4438
395;8351;7534
396;8800;8092
397;15424;217
398;13835;1792
399;12279;3349
400;8487;7138
401;7107;8515
402;10780;6373
403;16655;406
404;16114;1009
405;12594;4546
406;5321;5833
407;9525;6148
408;11007;4645
409;12180;3466
410;14373;2755
411;16308;820
412;10326;5536
413;10509;379
414;13049;2611
415;9893;5626
416;13801;1837
417;9152;6481
418;16831;307
419;16723;397
420;11104;6031
421;7461;8461
422;10551;6328
423;8678;6949
424;8141;7480
425;7592;8020
426;12520;3115
427;8572;8587
428;16782;298
429;8419;8470
430;10238;883
431;14020;1630
432;9540;6094
433;10950;4735
434;13068;4033
435;11145;5959
436;8536;8551
437;12832;4285
438;15802;1306
439;13828;3268
440;10031;5860
441;10755;136
442;12347;3295
443;7938;7696
444;9513;6112
445;12539;4609
446;13272;3889
447;10716;6436
448;8503;7399
449;7888;2989
450;9090;6544
451;11423;4213
452;12608;2971
453;16904;163
454;13326;2314
455;13692;3430
456;16513;613
457;7210;8668
458;10446;6427
459;12831;2836
460;10858;4807
461;10492;6706
462;11589;5680
463;12544;3322
464;7277;8326
465;10715;190
466;7908;7678
467;8209;7417
468;9851;5752
469;8064;9073
470;16266;919
471;10556;6625
472;8470;8641
473;8399;7507
474;9112;7768
475;13092;2476
476;9433;7723
477;13407;3763
478;15706;1459
479;9229;6652
480;9549;6022
481;8018;8893
482;8384;7237
483;12854;2746
484;12733;4483
485;8011;7921
486;9630;5986
487;12515;3088
488;10008;5599
489;8001;2881
490;8531;7066
491;9025;8128
492;16513;685
493;8390;7516
494;13563;2017
495;9867;5725
496;14329;1279
497;11752;3862
498;9088;6553
499;7436;8200
500;5751;5158
501;7522;8119
502;10762;4879
503;9578;7570
504;8816;8335
