#Mode:;3
#Device:;wingman
#Button:;288
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13;5950
1;10;3106
2;1074;5941
3;481;5410
4;818;100
5;652;3268
6;966;2008
7;1089;1828
8;1877;7111
9;1303;1603
10;1382;4519
11;1077;8875
12;1085;7795
13;782;7120
14;1284;1621
15;625;172
16;979;7939
17;1056;6841
18;2285;7615
19;1372;5554
20;1050;748
21;1241;3637
22;1207;694
23;472;3403
24;670;1306
25;527;5365
26;1211;1693
27;1001;2899
28;1037;8866
29;1009;8902
30;849;1054
31;831;4078
32;719;4177
33;1312;3592
34;1053;829
35;527;1351
36;1339;4564
37;1025;3907
38;1101;6805
39;1552;6319
40;2258;622
41;1354;2548
42;1133;6751
43;589;7300
44;1208;2674
45;743;7138
46;1447;8488
47;725;2098
48;919;991
49;1085;7822
50;884;7021
51;2304;5599
52;1289;5743
53;547;7363
54;1028;730
55;1135;6742
56;791;1108
57;723;2170
58;939;7975
59;574;1378
60;700;5158
61;861;109
62;461;2440
63;1355;4555
64;881;2962
65;1957;946
66;1331;6580
67;517;3367
68;1068;7921
69;1283;6625
70;782;3079
71;1440;8443
72;1103;757
73;474;1405
74;713;7183
75;1984;2917
76;1075;6859
77;781;2116
78;1408;7507
79;370;8524
80;770;1072
81;1205;2728
82;1124;6760
83;1237;8659
84;1025;2872
85;742;8092
86;1794;7084
87;678;8227
88;1078;2827
89;954;5959
90;755;4150
91;835;7066
92;1452;3457
93;972;2953
94;1065;5815
95;617;2260
96;777;8155
97;636;3232
98;1752;3160
99;913;3007
100;831;5068
101;991;2908
102;1213;703
103;1284;604
104;1316;3601
105;1448;7345
106;670;2305
107;1192;6715
108;933;4969
109;1032;3880
110;1214;6688
111;2130;1756
112;1399;6508
113;705;4006
114;589;7318
115;470;406
116;1288;2638
117;576;5302
118;1405;7453
119;1241;676
120;1010;892
121;1363;532
122;1010;5869
123;1047;2854
124;1029;1873
125;537;7327
126;1105;1774
127;1270;5608
128;1312;3583
129;1277;6643
130;531;334
131;1155;2719
132;845;2053
133;1400;1504
134;781;2107
135;1037;6868
136;1970;8956
137;1332;4933
138;921;6985
139;476;2395
140;951;955
141;1101;6814
142;812;5095
143;1474;1432
144;1312;1585
145;859;2017
146;746;1135
147;1287;631
148;1245;8677
149;1282;8623
150;781;5104
151;683;208
152;475;4402
153;1017;1882
154;665;244
155;691;6202
156;1000;1909
157;2302;2629
158;1167;2710
159;1040;4861
160;1290;5617
161;849;2035
162;872;3025
163;599;1288
164;474;2377
165;769;8209
166;1495;2413
167;1225;685
168;976;3934
169;1258;5671
170;981;2836
171;966;937
172;2060;6850
173;1365;6535
174;432;7480
175;1161;4726
176;448;8452
177;1227;8668
178;1107;2746
179;651;5266
180;1243;5653
181;760;1117
182;1289;6616
183;856;4033
184;494;6832
185;548;325
186;879;5023
187;1215;8686
188;809;6058
189;872;7012
190;2462;388
191;1326;1594
192;1016;2863
193;1040;7867
194;1453;3430
195;652;6256
196;646;7255
197;1160;7732
198;1085;3808
199;1309;8596
200;474;4429
201;734;5167
202;816;7093
203;1017;7912
204;666;235
205;651;6247
206;880;8002
207;1379;6499
208;383;3502
209;476;5392
210;1427;4474
211;767;4942
212;1258;6652
213;1374;2539
214;1331;1567
215;998;1900
216;1398;8398
217;1449;6454
218;1163;4717
219;1344;1558
220;1254;2647
221;464;2422
222;1137;7741
223;622;1279
224;1392;523
225;450;2458
226;466;397
227;1012;5887
228;1327;3574
229;588;3304
230;1133;4762
231;1227;6679
232;1080;4834
233;431;6472
234;475;8416
235;1033;2881
236;834;2062
237;1299;6607
238;1075;820
239;523;4348
240;517;6355
241;681;2215
242;861;9037
243;490;1495
244;535;2341
245;1178;2701
246;1495;7381
247;664;4231
248;1122;3790
249;1118;7804
250;941;2935
251;624;3277
252;1389;3511
253;1229;3655
254;468;5329
255;1394;4510
256;1289;7624
257;1410;6490
258;1429;496
259;1192;4753
260;662;2287
261;368;6463
262;1390;5518
263;1290;4609
264;771;6130
265;493;8407
266;1062;4843
267;1156;8749
268;2002;5905
269;703;3205
270;1369;6553
271;940;3988
272;581;5275
273;934;1963
274;892;8020
275;1434;1531
276;1238;7651
277;1215;7687
278;1106;5860
279;682;3214
280;1297;2665
281;718;6121
282;1244;1639
283;528;8326
284;514;3394
285;2174;7714
286;923;8974
287;514;3439
288;482;6445
289;432;451
290;1033;3853
291;2213;6670
292;1093;7831
293;1377;7516
294;568;5356
295;687;2224
296;1593;8281
297;861;2044
298;921;7993
299;707;5185
300;1416;487
301;540;1297
302;842;4051
303;1095;5806
304;1229;4645
305;642;3241
306;578;8299
307;1216;3691
308;2309;3610
309;1118;2845
310;1402;8497
311;1100;1864
312;840;163
313;702;8218
314;841;3052
315;611;8353
316;1137;6778
317;502;6391
318;1012;7903
319;478;424
320;863;7030
321;871;6022
322;1065;2800
323;772;5131
324;807;8065
325;923;7984
326;611;2350
327;1044;1810
328;719;271
329;567;4303
330;1310;6589
331;416;4483
332;1491;5482
333;1442;8461
334;505;7390
335;1135;1765
336;471;7435
337;718;6175
338;2164;739
339;1961;928
340;979;4888
341;1267;4636
342;996;6877
343;1588;8290
344;518;6364
345;811;3070
346;765;8128
347;1056;7858
348;1073;1783
349;1721;6148
350;1253;4627
351;915;5995
352;976;3169
353;613;1198
354;1083;8821
355;998;5842
356;910;8992
357;921;6976
358;1081;8812
359;682;2161
360;737;262
361;1439;8434
362;753;5077
363;1342;568
364;1217;5707
365;1181;1657
366;1861;6040
367;547;217
368;683;7201
369;502;1414
370;1404;5572
371;1076;3736
372;1057;4798
373;776;4195
374;844;4042
375;1143;4771
376;686;3223
377;664;6238
378;1257;5680
379;1074;5752
380;840;5059
381;631;8371
382;738;2125
