#Mode:;3
#Device:;xbox360_wired
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10961;8965
1;6630;5275
2;8525;7408
3;7602;325
4;7075;856
5;7265;658
6;3989;7957
7;6422;1486
8;5840;6076
9;6678;1225
10;5059;2908
11;7257;4663
12;12320;3601
13;4413;3538
14;6959;964
15;8114;7831
16;7780;4177
17;7666;226
18;3800;4114
19;6510;5464
20;12672;3304
21;8019;3844
22;7356;4564
23;13416;2566
24;8642;7264
25;5059;6850
26;8772;3142
27;13182;2728
28;8111;7867
29;6735;5167
30;9211;2710
31;6240;1657
32;7174;4789
33;11035;8839
34;8872;3007
35;10878;5041
36;11704;4204
37;8873;3052
38;8782;3124
39;12347;3556
40;6597;1315
41;5933;5932
42;10026;5914
43;5680;2233
44;7693;217
45;7692;8155
46;5512;6346
47;5850;2125
48;11619;4312
49;8604;3313
50;6351;1522
51;12440;7525
52;10938;8974
53;4601;7318
54;5344;6580
55;6600;1306
56;11433;8479
57;4677;7201
58;9519;2377
59;6930;9010
60;9675;6202
61;8846;3070
62;6348;5527
63;10016;5896
64;7485;451
65;8743;3223
66;7014;910
67;8772;3106
68;9510;2440
69;11440;4483
70;7768;172
71;6768;5122
72;7187;721
73;11512;8434
74;8419;3529
75;7182;784
76;11457;4546
77;10178;1774
78;7604;307
79;8462;7471
80;7524;469
81;5761;2206
82;9095;2800
83;8932;6985
84;6928;8803
85;9708;2161
86;6667;1180
87;7841;100
88;3877;8011
89;9188;6742
90;10334;5599
91;10961;928
92;6592;1351
93;7695;8263
94;11056;8866
95;11991;7975
96;10635;1297
97;9790;2152
98;11744;4168
99;8026;7912
100;6378;5536
101;7448;4447
102;7005;8947
103;4977;2962
104;3041;8857
105;12563;3376
106;8264;7714
107;4819;7174
108;8439;7426
109;6318;1576
110;6767;1162
111;9031;6895
112;12340;7606
113;9392;2557
114;5978;5887
115;6813;1153
116;12064;7813
117;5073;6877
118;5494;6454
119;6839;1090
120;8609;3277
121;9615;2269
122;9954;5950
123;6160;1792
124;9703;2251
125;7009;883
126;6587;5383
127;8515;3394
128;12894;3079
129;10143;5752
130;7495;4420
131;7094;829
132;10209;5716
133;3907;8047
134;7089;4780
