#Mode:;3
#Device:;xbox360_wireless
#Button:;304
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11433;4078
1;12794;2917
2;9541;6742
3;9925;604
4;10844;4834
5;12807;2899
6;16349;1540
7;11868;4033
8;9763;6148
9;13507;2161
10;12457;8758
11;13653;523
12;12311;3826
13;10161;7939
14;10322;7858
15;12931;2692
16;14015;379
17;9322;6526
18;9538;1333
19;12584;3592
20;11951;3529
21;12462;2557
22;11828;1774
23;9508;6652
24;13229;289
25;10851;5320
26;9088;1468
27;12714;5473
28;9456;163
29;9348;1072
30;9499;100
31;13474;1855
32;12025;3889
33;8186;1765
34;11489;6661
35;12489;3214
36;10926;4564
37;9271;1189
38;10697;6490
39;9253;1621
40;10332;271
41;12796;3349
42;10690;3304
43;10200;6184
44;12125;7048
45;10653;7219
46;10359;8776
47;12798;5122
48;11332;4573
49;11228;2872
50;8513;6922
51;12273;4222
52;11173;4492
53;10361;7498
54;9778;757
55;13688;1954
56;11239;2719
57;12895;8767
58;13458;766
59;10437;5977
60;11992;4915
61;13240;8479
62;14345;7570
63;7989;7291
64;9289;1144
65;10345;8281
66;10579;136
67;9808;8785
68;12273;3160
69;10122;8020
70;9222;8686
71;11545;4069
72;12059;2269
73;13830;8317
74;12400;1495
75;12147;2197
76;15512;586
77;11171;4474
78;12123;1378
79;10209;3115
80;9341;6247
81;12344;5797
82;10413;5185
83;10484;5644
84;12347;4204
85;8000;7237
86;10913;7507
87;11052;4231
88;13138;712
89;13008;8902
90;11605;4285
91;8411;2494
92;13674;2458
93;7699;217
94;11792;5572
95;12180;3502
96;10239;6211
97;11036;4600
98;9528;6355
99;11582;6562
100;12078;5788
101;10168;325
102;9643;937
103;11829;3664
104;14717;8056
105;11011;2620
106;10418;5869
107;11812;7399
108;8689;8605
109;9676;5842
110;11299;4312
111;10429;5752
112;9528;8668
113;9833;8866
114;11671;4060
115;13387;8335
116;12885;3259
117;11448;4807
118;11642;2278
119;10527;5653
120;10144;7138
121;11736;4771
122;10793;4924
123;13024;4897
124;10205;5437
125;14159;199
126;9370;6778
127;9788;8839
128;12981;8929
129;12293;4042
130;11008;7678
131;11340;7300
132;10329;8272
133;13299;2800
134;13209;964
135;11909;4582
136;11629;7030
137;12467;3187
138;9167;6445
139;12640;5905
140;12163;3754
141;9216;1270
142;10576;4663
143;11275;2701
144;9598;6328
145;15353;8560
146;17591;6544
147;16767;6625
148;18154;6499
149;10922;4339
150;13751;8452
151;11916;4249
152;12837;2782
153;14240;1018
154;17276;7525
155;13496;2710
156;18404;5527
157;13647;2548
158;13987;2503
159;13052;2575
160;16641;7210
161;11781;4330
162;11587;5311
163;11575;4150
164;14795;910
165;14983;1396
166;11784;4447
167;14170;1738
168;18418;6400
169;12948;3484
170;9392;5995
171;12125;3601
172;11525;4159
173;14970;1585
174;15637;874
175;11497;4888
176;12009;4816
177;17154;7021
178;15248;1594
179;12332;3286
180;12945;3853
181;10763;4555
182;10274;5383
183;12631;3862
184;12784;3070
185;13047;9037
186;15825;8911
187;8340;7282
188;10568;5149
189;11239;5482
190;9284;1108
191;11365;5041
192;8936;7885
193;10992;2413
194;9325;7120
195;10829;7408
196;9446;1153
197;12616;3025
198;9009;7417
199;12824;658
200;11373;5050
201;15050;3142
202;17489;6706
203;11235;2755
204;11911;2485
205;9198;6985
206;13355;2296
207;11998;1882
208;11359;2764
209;11519;4357
210;13560;2107
211;11998;4726
212;9981;181
213;8630;928
214;12180;3475
215;12680;919
216;12073;3610
217;12567;2683
218;12724;3709
219;13213;3682
220;10400;5806
221;10474;8443
222;12779;2953
223;8703;7705
224;11196;4384
225;10871;5194
226;10327;7732
227;9594;8569
228;9664;802
229;13341;2323
230;9483;6940
231;12175;6472
232;10015;172
233;11834;4546
234;13457;8461
235;13854;7435
236;10933;5599
237;11680;3961
238;11517;3934
239;13585;2989
240;13760;8227
241;13145;9082
242;11986;1927
243;12015;2332
244;10468;5914
245;11073;4537
246;12146;2062
247;9691;6733
248;11881;3790
249;11172;4393
250;11217;4483
251;12551;4006
252;9704;262
253;9113;478
254;10645;5023
255;11439;2035
256;11690;4429
257;12972;8992
258;11873;1603
259;11418;2728
260;11956;4456
261;9280;1252
262;11639;4528
263;8883;7273
264;10554;6310
265;8879;6580
266;10571;5608
267;10896;5275
268;11702;6040
269;12379;3331
270;10941;2971
271;9240;6238
272;14528;2377
273;13240;154
274;9452;6517
275;11667;7066
276;10137;5815
277;13097;1099
278;8771;7615
279;10014;559
280;10446;5230
281;13802;8965
282;13241;685
283;13812;2386
284;12907;5590
285;13592;2071
286;9858;5680
287;11981;3673
288;13525;3223
289;11594;5392
290;12268;1162
291;11054;2350
292;11293;2638
293;11050;2467
294;12684;1522
295;16290;7354
296;9127;1288
297;8891;6715
298;12976;2944
299;10165;4798
300;16322;1900
301;11086;5113
302;12060;3655
303;12421;1684
304;13252;2368
305;13768;3043
306;11576;6166
307;13720;2881
308;13507;2116
309;10406;5401
310;14825;1117
311;14944;568
312;14539;3574
313;13933;2170
314;11263;5221
315;9311;5959
316;12188;3637
317;9734;6454
318;15305;8632
319;14982;2998
320;13150;6427
321;11638;4501
322;10605;5635
323;10873;4420
324;9671;5626
325;12055;4240
326;13659;1567
327;10040;6265
328;15159;145
329;14480;9091
330;12666;3250
331;11702;3736
332;11849;4051
333;10440;4996
334;15182;739
335;12038;3241
336;9049;7336
337;12624;3439
338;13453;2629
339;14741;1504
340;14577;8407
341;14587;1324
342;14886;1027
343;8800;7093
344;13160;3052
345;14015;1549
346;9617;6274
347;9355;6103
348;11971;3322
349;9195;6976
350;13968;2143
351;9892;5581
352;10093;5266
353;13107;2827
354;9588;5698
355;15815;280
356;10729;5212
357;10324;4951
358;14392;1936
359;9816;5491
360;8821;7579
361;13526;4609
362;8009;1891
363;16295;2809
364;9238;253
365;8544;7363
366;12703;3196
367;8868;703
368;15724;7309
369;11644;4258
370;8653;1801
371;10345;4933
