#Mode:;3
#Device:;xboxone_wireless
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5452;2008
1;5929;1648
2;5860;1684
3;5537;8380
4;7355;172
5;8129;7084
6;10095;4951
7;11950;3187
8;7742;6238
9;9348;5815
10;9841;6679
11;5039;2458
12;7248;334
13;6317;1270
14;4398;3124
15;10862;4366
16;11587;3709
17;5360;2116
18;5066;2413
19;6776;8416
20;5433;2062
21;9570;5581
22;6106;1477
23;7816;7318
24;11693;3448
25;10974;2935
26;6785;748
27;10512;4627
28;7424;7777
29;6209;1207
30;11257;3853
31;11441;3718
32;10945;4213
33;11080;4123
34;10882;4267
35;11139;2827
36;11931;3241
37;7402;127
38;4791;9082
39;4553;2926
40;11824;3331
41;9619;5401
42;10378;4816
43;12454;2746
44;6205;8983
45;14546;6859
46;7185;361
47;12004;3196
48;6467;991
49;5655;1846
50;5250;2287
51;7418;7741
52;4104;3475
53;10761;4438
54;6787;739
55;5433;2071
56;5044;2557
57;7035;505
58;8173;5779
59;10487;4717
60;5896;1621
61;10582;4645
62;8364;6778
63;4979;8902
64;7207;7948
65;5549;1990
66;4935;2629
67;7130;433
68;9250;5851
69;6464;1117
70;5728;1801
71;9726;5374
72;10219;5014
73;8188;6976
74;5805;8146
75;6820;8227
76;12282;2917
77;5701;1864
78;6868;8263
79;12069;3106
80;4973;2575
81;18105;4456
82;10265;4915
83;6299;8839
84;11836;1981
85;5745;8110
86;11056;4159
87;10102;5041
88;4587;2944
89;6407;1216
90;7704;7489
91;9328;5770
92;9421;5788
93;6128;7714
94;6572;8551
95;7997;7111
96;7028;8209
97;9889;5257
98;8938;4969
99;5654;1927
100;7226;7894
101;10588;4573
102;10958;4186
103;5064;1171
104;8878;6319
105;6484;8650
106;6864;730
107;7450;7723
108;11323;3862
109;5710;1819
110;10215;4897
111;10905;3061
112;5147;2395
113;4873;2611
114;9455;4447
115;4547;3007
116;12280;2899
117;11065;2791
118;5064;2449
119;5367;2170
120;5602;8281
121;4835;2692
122;9920;5131
123;6101;1405
124;4677;2809
125;11812;3304
126;4755;2755
127;22491;7687
128;11617;3583
129;9496;5689
130;9135;5995
131;6485;1054
132;6947;523
133;5702;1828
134;6679;3547
135;6226;1261
136;10602;4555
137;5718;559
138;7129;8056
139;6859;8317
140;6195;1306
141;6385;1072
142;5908;1567
143;8894;5032
144;7525;7651
145;6006;1558
146;5249;2269
147;6118;1450
148;5661;1792
149;12799;7273
150;6398;1126
151;6154;1387
152;5433;2179
153;8678;6562
154;6794;793
155;10384;4708
156;11608;3502
157;10210;3700
158;11822;3358
159;7709;7453
160;24021;6094
161;4800;2728
162;9906;5275
163;10174;5023
164;13810;7633
165;4561;1720
166;6031;1504
167;12139;3088
168;7429;6490
169;8792;6436
170;6011;1468
171;4594;2845
172;8565;6580
173;6776;766
174;10110;3727
175;11619;3493
176;10095;3817
177;8135;7075
178;7147;8011
179;11641;3466
180;11929;4591
181;8303;5410
182;6854;757
183;10006;5176
184;10569;4672
185;4891;2593
186;8189;6958
187;5246;2242
188;11574;3520
189;6469;7435
190;5261;2350
191;5626;1900
192;10695;3232
193;6007;1513
194;13852;6346
195;4803;2773
196;9641;5572
197;6569;8614
198;5824;1666
199;9041;6130
200;7989;5878
201;10313;4771
202;12140;3043
203;6115;1342
204;5526;2098
205;5529;1954
206;11333;2566
207;8028;7120
208;6410;7516
209;6735;784
210;8691;6373
211;10586;3169
212;6755;8398
213;11140;4087
214;4502;3025
215;9129;6013
216;6264;1288
217;10180;5059
218;9265;5914
219;9491;5707
220;10395;4762
221;6585;901
222;8385;5563
223;4453;3070
224;5365;2251
225;5739;8182
226;8586;6553
227;9428;5725
228;5260;2314
229;12661;8740
230;9804;4132
231;24696;5473
232;5752;1729
233;8339;5545
234;5167;2476
235;9048;6112
236;4774;1603
237;9993;5095
238;10967;4141
239;6367;8731
240;4879;2647
241;6764;838
242;10986;2800
243;11163;3988
244;6742;7156
245;11069;4042
246;7341;163
247;6617;919
248;10007;5140
249;8577;6544
250;6504;973
251;9719;5392
252;15824;4330
253;6284;8884
254;9638;5509
255;6255;1225
256;4883;2602
257;6884;631
258;10781;3034
259;7159;7939
260;9910;5347
261;8695;6463
262;5737;1765
263;15157;7525
264;7563;7579
265;12115;3016
266;10657;4546
267;4865;2665
268;7803;7264
269;7801;7408
270;9832;5338
271;5390;8488
272;5942;1486
273;6895;694
274;11431;2521
275;5498;2044
276;11081;4114
277;6393;1090
278;9649;5491
279;12010;8119
280;10452;4609
281;11733;3421
282;7165;352
283;6153;9019
284;6966;658
285;10594;4582
286;6461;8632
287;6183;109
288;7025;496
289;9354;5797
290;9437;4420
291;8698;6445
292;6264;1333
293;9246;5959
294;9624;5482
295;6868;7066
296;11634;4888
297;6015;1585
298;6897;640
299;7713;7399
300;12132;2971
301;6984;604
302;5344;2188
303;8403;6688
304;16870;4465
305;8765;6391
306;11858;3385
307;6175;8911
308;5623;1909
309;7077;442
310;5891;7930
311;6298;8866
312;9158;5896
313;11365;3754
314;6298;1189
315;5371;8506
316;5141;2440
317;10455;4726
318;10149;3682
319;8680;6481
320;10060;5158
321;9864;5248
322;10957;4177
323;7402;6508
324;5546;1936
325;13720;181
326;8113;7030
327;4850;2638
328;11344;3916
329;9246;5806
330;11157;3943
331;7637;6247
332;11642;3511
333;10854;4348
334;7835;7255
335;8126;7021
336;10728;3151
337;12009;3160
338;11270;3889
339;11152;3997
340;9913;5266
341;5432;847
342;6694;883
343;9916;5230
344;11644;2278
345;9365;5734
346;11053;4195
347;6200;8956
348;12301;2854
349;4682;2782
350;7298;316
351;10316;4879
352;10675;4510
353;10580;4393
354;7806;7363
355;8714;6400
356;7184;415
357;8857;5050
358;9082;6022
359;10783;4375
360;5347;2224
361;10115;5068
362;5037;2431
363;9615;5518
364;7175;406
365;13903;6256
366;11723;3439
367;6619;8587
368;7072;451
369;10883;4339
370;7915;7183
371;7423;7786
372;11073;4078
373;9647;4258
374;10880;4294
375;7501;7669
376;7938;7192
377;5267;2233
378;10443;4690
379;6594;8623
380;12264;2890
381;9053;4924
382;11337;3871
383;9347;4501
384;5840;1738
385;24735;5455
386;10012;3844
387;7401;100
388;9820;6715
389;5900;1630
390;7711;7462
391;6941;541
392;8681;5221
393;9029;6103
394;10402;4681
395;8588;6571
396;11310;3880
397;9361;4564
398;9909;5329
399;6133;1369
400;8955;5005
401;7252;307
402;6108;9010
403;6080;8992
404;9513;5644
405;6098;7804
406;9815;5428
407;6682;8515
408;10669;4402
409;6481;8659
410;5513;1945
411;11728;3376
412;7054;8083
413;5266;1081
414;10301;4843
415;10313;4834
416;11749;3412
417;10991;4204
418;7248;6661
419;9346;5842
420;6471;1045
421;8007;7129
422;11351;3799
423;9663;4231
424;7818;7336
425;5894;1576
426;9554;4303
427;6791;8362
428;7054;8299
429;6212;8920
430;6200;9046
431;4767;1522
432;11916;3295
433;11855;3340
434;6098;1441
435;10672;4492
436;5811;1774
437;7032;460
438;7363;217
439;7399;136
440;10669;3205
441;16391;6274
442;7053;8101
443;8038;7201
444;7809;7300
445;9902;3979
446;10956;4222
447;16010;4150
448;5367;2206
449;7410;7759
450;10095;3745
451;6293;1324
452;10103;4978
453;8219;6868
454;5161;2422
455;8588;5320
456;9238;5905
457;7430;7732
458;8126;8407
459;6572;955
460;8201;5680
461;8286;6886
462;6670;865
463;9052;4933
464;5991;1549
465;4945;2503
466;9057;4807
467;9045;6202
468;9286;5923
469;8094;7012
470;4972;2512
471;8331;6877
472;6784;8344
473;6102;1432
474;5714;8200
475;6102;1423
476;9902;6634
477;7261;280
478;6496;1099
479;6482;8704
480;11705;3394
481;9626;5464
482;5061;1234
483;8947;6229
484;6315;8803
485;4109;3457
486;16591;5941
487;6199;8947
488;10884;4285
489;9331;5869
490;6498;7372
491;10186;4996
492;7325;208
493;6469;7498
494;9898;5302
495;7245;298
496;6463;1027
497;6935;532
498;8944;6265
499;8570;6598
500;7954;7219
501;6765;820
502;7244;7903
503;5525;2053
504;11518;2377
505;8109;7003
506;12511;2701
507;9820;5239
508;13397;388
509;7556;6328
510;25249;4906
511;5062;2539
512;8114;5752
513;9796;5311
514;11365;3781
515;5644;1882
516;5898;1657
517;5180;2368
518;5930;7993
519;9801;5356
520;7367;6589
521;6297;1243
522;8288;6805
523;11454;2494
524;8488;6616
525;8956;6184
526;6194;8965
527;7219;7858
528;13155;7093
529;9054;6139
530;9331;4528
531;22093;469
532;10488;4618
533;8743;6409
534;5826;1711
535;7870;7237
536;5630;1963
537;6390;1180
538;12007;3115
539;7061;6787
540;8274;6922
541;11803;8254
542;6955;613
543;12167;2962
544;6565;7354
545;6490;1063
546;9606;5500
547;7813;6085
548;7436;199
549;6601;937
550;9523;4411
551;11904;3250
552;11080;4033
553;6766;8434
554;9818;5419
555;6914;568
556;6177;9028
557;6882;8218
558;12601;8830
559;4876;2656
560;6271;7642
561;9068;6040
562;10272;4825
563;7058;8137
564;5349;2134
565;5698;1783
566;4287;3277
567;9928;5212
568;11335;2584
569;5536;2026
570;10292;4852
571;7992;8335
572;5353;2215
573;7350;7840
574;5438;8443
575;7294;244
576;10783;4429
577;9138;5977
578;6487;1018
579;9816;5383
580;7108;8020
581;11836;3349
582;10393;3565
583;12022;3079
584;6334;8767
585;5046;2485
586;6100;1315
587;10462;4699
588;6395;8758
589;5130;2404
590;11126;2836
591;9981;5185
592;10865;4321
593;7237;289
594;8838;6301
595;8757;5122
596;7432;7822
597;7278;226
598;9099;4798
599;5407;2152
600;8572;6526
601;6695;910
