#Mode:;3
#Device:;6312kw
#Button:;21
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;63947;7939
1;36558;3340
2;62777;9091
3;64237;7678
4;38691;1207
5;41715;6202
6;63237;8677
7;63073;8830
8;30400;1495
9;65033;6841
10;62934;8974
11;34035;5842
12;29205;2710
13;63882;8011
14;30241;1684
15;64756;7183
16;43693;4222
17;64152;7750
18;68276;3628
19;45164;2782
20;38827;1027
21;66399;5509
22;36761;3151
23;31030;874
24;37245;2647
25;43214;4771
26;41626;6292
27;68132;3763
28;64432;7543
29;37703;2206
30;67007;4951
31;37733;2179
32;45098;2800
33;39629;244
34;67260;4672
35;36288;3619
36;65093;6733
37;38423;1486
38;66628;5284
39;42959;4978
40;33836;6058
41;44355;3574
42;38538;1405
43;30538;1360
44;66523;5392
45;66587;5311
46;42341;5554
47;36713;3169
48;39751;154
49;64654;7228
50;65560;6382
51;70859;9082
52;30977;928
53;36171;3808
54;43102;4852
55;36955;2944
56;29912;1990
57;67957;3862
58;43530;4411
59;35262;4600
60;67321;4573
61;36043;3772
62;31150;766
63;67084;4888
64;66667;5176
65;39182;730
66;64095;7813
67;34785;5086
68;64496;7363
69;39326;568
70;43437;4546
71;37740;2170
72;65502;6400
73;65233;6706
74;38315;1585
75;36938;3025
76;67814;4060
77;42174;5689
78;34307;5563
79;42793;5104
80;35726;4159
81;64214;7687
82;38206;1702
83;30317;1531
84;67194;4681
85;64598;7300
86;63057;8911
87;46565;1252
88;66475;5365
89;37135;2737
90;63763;8137
91;35468;4384
92;65552;6472
93;37856;2044
94;45610;2359
95;66204;5698
96;35730;4150
97;64725;7192
98;38717;1225
99;31779;136
100;31812;100
101;39910;7957
102;68081;3853
103;43641;4267
104;36226;3700
105;67262;4645
106;36685;3205
107;63850;8047
108;42207;5680
109;36443;3367
110;30066;1909
111;68562;3376
112;42783;5122
113;35379;4519
114;63839;8065
115;39762;127
116;63076;8821
117;35125;4780
118;66595;5338
119;37441;2449
120;30521;1369
121;67506;4375
122;31459;424
123;46120;1792
124;62991;8893
125;41627;6265
126;40769;7075
127;69210;2692
128;30252;1648
129;69741;2251
130;30099;1801
131;69808;2089
132;30601;1297
133;64449;7498
134;31011;865
135;47407;505
136;30767;1036
137;36171;3727
138;36419;3439
139;65922;5878
140;35302;4582
141;30393;1549
142;34567;5329
143;36121;3781
144;65539;6355
145;38480;1468
146;30384;1558
147;34800;5113
148;43057;4825
149;40068;7804
150;67633;4276
151;64874;7093
152;36552;3331
153;65617;6247
154;62848;9046
155;68086;3817
156;66451;5428
157;63927;8083
158;64749;7156
159;31760;118
160;63775;8200
161;29255;2575
162;68834;3070
163;42976;4960
164;37218;2728
165;30046;1873
166;68423;3484
167;63490;8479
168;37934;1981
169;45555;2404
170;39192;703
171;68098;3799
172;37829;2071
173;66309;5581
174;42079;5806
175;36465;3511
176;29911;1999
177;46524;1432
178;63269;8632
179;36674;3223
180;65329;6643
181;63466;8416
182;68989;2899
183;66042;5959
184;39112;793
185;66575;5383
186;36810;3088
187;63546;8353
188;41547;6418
189;38001;1900
190;39293;613
191;45998;1954
192;31400;523
193;46603;1243
194;45355;2557
195;38968;991
196;68363;3547
197;64361;7606
198;39880;8038
199;65921;5986
200;63358;8533
201;38029;1828
202;44546;3358
203;41847;6085
204;37152;2818
205;64265;7570
206;35948;3898
207;65592;6301
208;39613;235
209;37403;2431
210;64777;7120
211;42926;4969
212;39252;658
213;66737;5185
214;41368;6616
215;39750;280
216;64291;7615
217;37221;2674
218;63472;8344
219;43154;4744
220;35934;3979
221;29058;2791
222;69595;2296
223;30352;1567
224;66419;5473
225;65633;6184
226;34909;4987
227;30741;1171
228;63883;8029
229;63697;8254
230;37557;2332
231;64670;7309
232;37111;2773
233;43965;3943
234;36726;3196
235;29932;1918
236;69271;2683
237;31241;694
238;47648;298
239;66826;5068
240;36545;3394
241;45681;2242
242;31587;271
243;31491;334
244;37395;2521
245;63572;8371
246;63243;8587
247;67772;4123
248;43642;4258
249;38228;1639
250;65221;6688
251;41898;5995
252;33473;6490
253;37038;2890
254;67335;4555
255;35955;3961
256;44817;3052
257;29572;2413
258;45536;2323
259;64723;7138
260;64362;7525
261;64733;7165
262;44791;3160
263;39058;838
264;30730;1135
265;70912;9019
266;66801;5131
267;36066;3889
268;45635;2260
269;63451;8443
270;37126;2764
271;62907;8992
272;41048;6931
273;68301;3601
274;44611;3286
275;43296;4609
276;34300;5653
277;63651;8227
278;40415;7534
279;46999;982
280;46290;1630
281;65029;6877
282;34721;5140
283;44056;3871
284;35358;4537
285;30242;1666
286;39156;8740
287;64731;7210
288;65838;6148
289;33522;6328
290;64581;7273
291;36436;3538
292;63939;7975
293;33826;6067
294;39763;172
295;30765;1153
296;39713;8218
297;69355;2485
298;44200;3709
299;35847;4087
300;66585;5401
301;63212;8686
302;39640;190
303;68301;3583
304;65005;6904
305;41028;6778
306;46287;1675
307;67448;4393
308;41342;6571
309;62980;8866
310;31099;784
311;33682;6229
312;64776;7129
313;39088;883
314;63673;8281
315;37040;2953
316;64031;7867
317;36102;3835
318;37761;2161
319;66985;4906
320;63500;8398
321;65370;6607
322;66904;5041
323;62895;9010
324;69238;2620
325;45073;2827
326;38645;1288
327;67385;4528
328;38302;1576
329;45932;1972
330;66092;5824
331;36213;3691
332;44019;3844
333;41357;6562
334;33444;6463
335;43573;4330
336;39569;388
337;31285;631
338;63244;8623
339;65895;6013
340;63861;8092
341;46526;1396
342;43872;4042
343;38270;1603
344;44959;3007
345;62797;9073
346;41216;6697
347;35814;4024
348;65180;6724
349;38138;1747
350;39732;163
351;30146;1729
352;68510;3421
353;64604;7372
354;42411;5482
355;40198;7759
356;46280;1621
357;64036;7885
358;39638;289
359;63315;8650
360;37840;2134
361;44269;3637
362;30538;1342
363;63454;8506
364;43550;4321
365;36151;3754
366;66532;5455
367;36007;3826
368;64221;7723
369;35829;4141
370;42926;4942
371;38122;1846
372;28914;3016
373;67360;4501
374;30731;1162
375;31368;541
376;36840;2998
377;64556;7390
378;70782;9028
379;67308;4627
380;36196;3673
381;65738;6157
382;37971;1891
383;67798;4105
384;64103;7768
385;35804;4096
386;36193;3655
387;67959;3880
388;36288;3646
389;45890;2035
390;64671;7237
391;35958;3997
392;31096;802
393;68973;2908
394;44018;3952
395;38335;1504
396;63087;8884
397;34936;4933
398;29664;2215
399;66644;5302
400;63799;8101
401;41711;6220
402;39837;8074
403;46885;1018
404;65692;6283
405;63141;8758
406;67995;3907
407;65911;6040
408;39573;343
409;67215;4654
410;35727;4186
411;43850;4078
412;43164;4735
413;41893;5968
414;65275;6661
415;31801;109
416;65074;6868
417;65016;6958
418;42694;5212
419;40609;7327
420;63628;8299
421;65957;5950
422;63231;8641
423;65392;6481
424;42945;5032
425;41584;6319
426;35916;4006
427;43463;4465
428;37604;2314
429;63942;7921
430;37847;2062
431;66225;5716
432;63051;8803
433;67157;4816
434;64065;7840
435;40795;7066
436;39549;8380
437;31633;325
438;33724;6193
439;44023;3934
440;37871;2008
441;65566;6409
442;40726;7111
443;34275;5662
444;41467;6427
445;41093;6796
446;67141;4753
447;30153;1720
448;69275;2638
449;29941;2053
450;68834;3061
451;30210;1693
452;64471;7489
453;64014;7912
454;37556;2233
455;63021;8794
456;64088;7894
457;68224;3682
458;31281;622
459;67986;3916
460;31647;253
461;64258;7660
462;31543;370
463;63229;8614
464;29050;2809
465;65767;6103
466;64000;7858
467;35280;4636
468;64512;7345
469;36912;2989
470;63531;8389
471;63306;8605
472;46413;1540
473;65578;6256
474;42733;5167
475;36891;3034
476;65831;6112
477;36989;2935
478;64913;6913
479;39338;559
480;39481;442
481;31282;640
482;39197;748
483;43532;4339
484;34707;5203
485;66227;5644
486;34349;5599
487;44558;3313
488;42854;5050
489;41276;6634
490;47222;685
491;66260;5635
492;42156;5734
493;39689;8272
494;46993;919
495;64345;7561
496;39488;496
497;44182;3718
498;43172;4690
499;34953;4897
500;29959;1927
501;69744;2197
502;64336;7579
503;64557;7354
504;47468;406
505;66625;5266
506;64082;7831
507;38910;1009
508;63742;8146
509;33177;6760
510;65041;6859
511;34112;5788
512;64200;7705
513;39054;829
514;38643;1216
515;44487;3385
516;64621;7255
517;38789;1099
518;28647;3214
519;62994;8956
520;64139;7795
521;35804;4051
522;42453;5491
523;37517;2368
524;63906;7993
525;40526;7408
526;39775;8110
527;45658;2287
528;44645;3250
529;65103;6805
530;35544;4348
531;42068;5815
532;37604;2305
533;66480;5410
534;34371;5572
535;30619;1198
536;63194;8776
537;63204;8767
538;37008;2872
539;43741;4168
540;64195;7714
541;64914;6985
542;30556;1333
543;47302;649
544;66279;5617
545;36756;3097
546;64904;7048
547;42175;5752
548;35662;4231
549;43150;4798
550;42016;5932
551;34413;5518
552;42428;5545
553;35234;4591
554;28958;2926
555;64628;7219
556;64454;7453
557;36479;3403
558;31350;577
559;64837;7057
560;42699;5194
561;36275;3592
562;43590;4303
563;38356;1594
564;66001;5860
565;39489;469
566;63451;8515
567;38546;1414
568;44809;3133
569;44577;3241
570;37078;2881
571;30624;1234
572;64300;7552
573;65144;6679
574;41131;6814
575;38933;1000
576;65312;6517
577;36252;3610
578;37153;2656
579;65978;5923
580;63239;8668
581;40559;7336
582;69056;2845
583;31223;712
584;66864;5059
585;63618;8290
586;41871;6022
587;46840;1090
588;31270;676
589;38673;1261
590;38875;1045
591;31808;145
592;33268;6625
593;43474;4492
594;36845;3043
595;44096;3736
596;35670;4213
597;63194;8704
598;39484;487
599;64240;7642
600;37442;2395
601;66328;5608
602;38110;1855
603;45541;2377
604;63904;7984
605;36461;3466
606;43117;4762
607;39757;199
608;42941;5005
609;38875;1054
610;63004;8938
611;36179;3745
612;63914;8002
613;41141;6769
614;33462;6436
615;42620;5275
616;41255;6652
617;34085;5761
618;37191;2584
619;30211;1756
620;35096;4726
621;41956;5905
622;37533;2440
623;64411;7507
624;33509;6391
625;62948;8929
626;38593;1351
627;42366;5536
628;39691;226
629;29866;2080
630;62934;8965
631;65417;6445
632;40980;7021
633;69556;2341
634;30149;1837
635;46452;1441
636;64847;7003
637;64485;7399
638;34703;5221
639;39645;181
640;31249;595
641;36987;2962
642;39525;397
643;64484;7444
644;64111;7849
645;40233;7696
646;63435;8470
647;63649;8317
648;38819;1081
649;43629;4312
650;38502;1387
651;63574;8326
652;35675;4177
653;45383;2548
654;64640;7291
655;40516;7435
656;65737;6139
657;29512;2350
658;67200;4717
659;43015;4861
660;63811;8182
661;47541;433
662;63201;8749
663;65606;6274
664;39479;8434
665;65520;6508
666;31160;739
667;66312;5500
668;64398;7426
669;36528;3277
670;29240;2602
671;63643;8236
672;65584;6238
673;36658;3187
674;43467;4438
675;63787;8119
676;47398;550
677;64767;7201
678;43452;4447
679;36269;3565
680;30729;1144
681;66411;5590
682;65070;6787
683;63703;8209
684;45700;2224
685;67496;4456
686;38095;1819
687;64918;6994
688;42481;5374
689;36967;2980
690;35620;4240
691;63429;8488
692;42539;5347
693;40194;7741
694;64152;7786
695;44400;3520
696;63361;8695
697;38968;955
698;64773;7174
699;35211;4708
700;39553;352
701;31133;775
702;34803;5077
703;41670;6175
704;34493;5419
705;29070;2836
706;68737;3178
707;44019;3790
708;37326;2593
709;43910;3988
710;41786;6031
711;34182;5743
712;66394;5464
713;62968;9001
714;64051;7948
715;43422;4483
716;39170;721
717;30632;1279
718;63002;8857
719;30446;1450
720;65172;6742
721;65109;6832
722;41466;6454
723;39608;307
724;63209;8659
725;40593;7318
726;68833;3079
727;43464;4429
728;64353;7588
729;63211;8722
730;44439;3457
731;36949;2917
732;63926;7966
733;65129;6850
734;39336;8596
735;63558;8407
736;64874;7012
737;38414;1513
738;66290;5671
739;36558;3349
740;63026;8947
741;39859;8020
742;63060;8785
743;66238;5707
744;38240;1657
745;67055;4870
746;63704;8173
747;47024;964
748;65001;6886
749;38921;946
750;63797;8155
751;35421;4510
752;30128;1765
753;34111;5779
754;42391;5527
755;40440;7417
756;67354;4564
757;65182;6751
758;38802;1117
759;67033;4843
760;36364;3556
761;43776;4114
762;64653;7246
763;37463;2494
764;42566;5293
765;40945;6940
766;67054;4789
767;64829;7084
768;40634;7264
769;40031;7876
770;64236;7732
771;64517;7381
772;40323;7651
773;62857;9055
774;64393;7471
775;41218;6670
776;33322;6544
777;37888;2026
778;45433;2422
779;28880;3106
780;67826;4033
781;29334;2566
782;63087;8812
783;30153;1810
784;63020;8875
785;29411;2512
786;64391;7516
787;30206;1711
788;67271;4618
789;63655;8245
790;37030;2863
791;30385;1522
792;65524;6364
793;31052;847
794;63601;8308
795;64224;7633
796;39230;667
797;31000;910
798;68235;3664
799;43802;4069
800;35636;4294
801;66466;5446
802;63534;8335
803;69381;2611
804;31477;415
805;63314;8578
806;30779;1072
807;67756;4204
808;29410;2476
809;66168;5770
810;65095;6823
811;39640;217
812;65763;6121
813;35033;4879
814;64101;7822
815;63857;8056
816;46442;1378
817;67465;4474
818;63713;8191
819;66303;5626
820;63766;8164
821;38582;1324
822;30437;1459
823;62931;8983
824;31505;361
825;63639;8263
826;31416;478
827;47533;379
828;64073;7903
829;64924;7030
830;40114;7777
831;66031;5833
832;31521;451
833;65938;5914
834;29834;2098
835;65398;6526
836;30732;1189
837;68771;3115
838;42748;5158
839;36922;2971
840;63395;8497
841;63326;8560
842;69219;2629
843;65864;6004
844;39049;892
845;66015;5896
846;38865;1108
847;43958;3970
848;37220;2701
849;31589;316
850;38462;1423
851;36534;3412
852;30945;937
853;37417;2503
854;37811;2116
855;63046;8920
856;37542;2467
857;30350;1612
858;38929;973
859;38578;1306
860;45295;2665
861;43758;4195
862;36545;3322
863;43585;4285
864;36629;3295
865;45418;2458
866;30669;1270
867;45950;1945
868;66992;4924
869;36341;3529
870;66592;5257
871;63055;8902
872;46738;1126
873;31313;604
874;38091;1783
875;38191;1774
876;64987;6895
877;39589;262
878;44455;3502
879;43134;4834
880;63401;8524
881;66695;5248
882;63485;8461
883;64254;7669
884;69209;2746
885;63795;8128
886;36419;3493
887;65349;6580
888;34752;5149
889;31007;901
890;66224;5725
891;31381;532
892;68838;3142
893;30024;1882
894;65688;6310
895;63403;8452
896;40331;7597
897;37551;2386
898;37238;2755
899;30803;1180
900;34552;5356
901;42437;5437
902;40429;7462
903;66866;5023
904;29603;2278
905;45857;1963
906;65943;5941
907;35497;4357
908;65367;6553
909;37728;2107
910;44688;3232
911;29154;2719
912;31339;586
913;33710;6211
914;65411;6535
915;33781;6166
916;31161;811
917;67634;4249
918;63222;8731
919;39576;8362
920;45781;2125
921;63426;8551
922;64005;7930
923;39458;460
924;41915;5977
925;39358;514
926;64450;7480
927;35763;4132
928;64298;7624
929;35026;4915
930;65406;6499
931;37965;1936
932;64880;7039
933;39128;856
934;63060;8839
935;34047;5869
936;65508;6337
937;37936;1864
938;43444;4366
939;37697;2152
940;65620;6373
941;41200;6715
942;39475;8425
943;63406;8542
944;37051;2854
945;65786;6130
946;43280;4663
947;35570;4420
948;43132;4807
949;35912;3925
950;66790;5095
951;42964;4996
952;37723;2188
953;64927;6967
954;34011;5851
955;43529;4402
956;40594;7282
957;36446;3448
958;38147;1738
959;65750;6076
960;62822;9037
961;39149;757
962;42096;5797
963;40881;6976
964;62937;9064
965;65855;6049
966;35195;4699
967;44795;3124
968;42569;5320
969;37755;2143
970;64779;7147
971;40901;6949
972;46601;1315
973;45622;2269
974;65796;6094
