#Mode:;3
#Device:;adns5700
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;39200;550
1;37960;1900
2;32063;7840
3;31436;8425
4;31592;8326
5;31337;514
6;37844;2071
7;38586;1315
8;35684;4213
9;37838;2062
10;33835;6076
11;36200;3700
12;38586;1333
13;32419;7489
14;32811;433
15;33165;7768
16;35456;4519
17;37798;2188
18;38334;1567
19;35121;4798
20;35284;4573
21;32078;7858
22;30239;1612
23;32932;7003
24;31075;8803
25;31228;685
26;30088;1756
27;27733;4150
28;37419;2476
29;36726;3142
30;37738;2179
31;36015;3862
32;30337;1585
33;30705;1207
34;32386;7525
35;33864;6067
36;29740;2242
37;29713;2206
38;39174;2332
39;32452;7462
40;33964;5950
41;32011;7930
42;32886;7066
43;32758;7147
44;28919;2953
45;36576;3385
46;35713;4123
47;35477;4510
48;35459;4492
49;38293;1621
50;37494;2431
51;30556;1351
52;37419;2494
53;31589;298
54;31126;793
55;32418;7480
56;32218;7732
57;34732;5203
58;32233;7714
59;31364;523
60;35762;5113
61;34216;5662
62;32208;7705
63;37834;2080
64;33952;208
65;32150;892
66;31840;8056
67;37560;2386
68;36723;3151
69;39421;8443
70;29396;2557
71;31481;8389
72;36976;2944
73;38206;2656
74;38244;1648
75;32107;7822
76;38529;1387
77;35283;4627
78;38746;1180
79;29653;2233
80;37162;2647
81;36542;3331
82;36200;3709
83;35020;4834
84;37297;2593
85;36288;3574
86;33019;6868
87;40411;802
88;36078;3925
89;35625;4222
90;34434;5464
91;31021;8875
92;30279;1657
93;32489;7426
94;34104;5788
95;34582;5320
96;30488;1396
97;32028;7912
98;33250;6598
99;35862;4078
100;31571;235
101;29109;2818
102;30080;1810
103;34158;5752
104;39352;532
105;32859;7039
106;38747;1171
107;27938;3970
108;37294;2566
109;37450;2395
110;35557;4366
111;36334;3547
112;34293;5635
113;35213;4762
114;33675;6238
115;33989;5923
116;33233;6661
117;33938;6004
118;31492;325
119;32243;7651
120;30880;9010
121;37503;2350
122;38279;1594
123;37518;2368
124;39765;154
125;38815;973
126;32039;7939
127;32599;7228
128;27977;3898
129;34461;5446
130;34541;5374
131;33488;6400
132;31330;8578
133;35721;4177
134;37033;2890
135;32769;7138
136;28002;3916
137;35035;4861
138;38770;1144
139;38517;1441
140;36126;3781
141;39194;730
142;38616;1288
143;36281;3664
144;34424;5482
145;33451;6490
146;32295;8605
147;31017;865
148;31414;469
149;36098;5554
150;37082;2791
151;37112;2827
152;30875;1027
153;39542;8371
154;31583;1558
155;38147;1774
156;35710;4186
157;32600;8398
158;32129;7777
159;32323;7516
160;31770;8155
161;31497;8353
162;40441;820
163;31512;1378
164;34755;5122
165;34739;5194
166;32595;7309
167;36723;3223
168;39152;8794
169;35085;4816
170;37248;2611
171;35469;4456
172;33470;6436
173;30992;8947
174;31597;8308
175;33768;6148
176;32631;7264
177;34076;5833
178;29443;2449
