#Mode:;3
#Device:;apple1152
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;31742;8128
1;38382;1522
2;31084;793
3;35540;4339
4;31471;8488
5;36604;3295
6;34876;5032
7;35727;4186
8;31964;7939
9;35905;4006
10;30559;1333
11;38420;1441
12;32203;7777
13;33582;6274
14;36548;3340
15;36336;3574
16;38474;1423
17;31156;8731
18;34054;5842
19;36935;2917
20;31193;748
21;35812;4096
22;34999;4843
23;31071;8776
24;37342;2557
25;37138;2809
26;36787;3160
27;31740;8146
28;38497;1360
29;31278;8614
30;33738;6166
31;33381;6508
32;31801;8137
33;37679;2242
34;35086;4717
35;31639;8173
36;33099;6751
37;32302;7606
38;38210;1630
39;38272;1603
40;31199;703
41;31268;8623
42;34242;5671
43;31542;8371
44;33336;6553
45;31473;442
46;36958;2944
47;30473;1396
48;34849;5023
49;38977;8911
50;37347;2539
51;35392;4483
52;31996;7912
53;31083;8749
54;31352;8515
55;38110;1702
56;31523;8335
57;32807;7156
58;37086;2773
59;37888;2089
60;34646;5221
61;32109;7813
62;31560;271
63;36380;3520
64;37905;2017
65;36016;3907
66;33554;6319
67;31750;226
68;37817;2062
69;36926;2971
70;38880;9046
71;37129;2845
72;38744;1144
73;32785;7093
74;31334;8605
75;34156;5716
76;33739;6121
77;31730;136
78;38301;1594
79;36872;3016
80;33793;6103
81;32965;6877
82;32254;7624
83;35918;4024
84;32936;6985
85;30486;1414
86;30897;1000
87;31344;514
88;36840;3007
89;33460;6427
90;37349;2530
91;32094;7795
92;37561;2323
93;38888;8992
94;35537;4384
95;36559;3358
96;37442;2449
97;33586;6328
98;37009;2863
99;31450;469
100;31150;757
101;33236;6670
102;31174;658
103;38611;1279
104;36647;3196
105;31708;253
106;34887;4978
107;34000;5905
108;32515;7399
109;33078;6769
110;34579;5329
111;36395;3511
112;33184;6697
113;30656;1234
114;32508;7435
115;34500;5392
116;38596;1306
117;32695;7129
118;34267;5680
119;36786;3088
120;38226;1639
121;34015;5869
122;31033;8920
123;31691;217
124;36159;3736
125;31762;208
126;32873;7021
127;31314;568
128;32128;7759
129;36779;3106
130;35449;4438
131;38011;1936
132;34582;5311
133;34237;5608
134;38844;1063
135;37369;2521
136;33238;6661
137;35518;4375
138;34102;5806
139;34498;5401
140;37820;1972
141;33199;6760
142;38610;1216
143;35775;4150
144;37153;2782
145;31378;8542
146;33856;6094
147;37726;2107
148;35743;4195
149;33843;6085
150;37534;2386
151;31646;244
152;31841;8092
153;37156;2683
154;33852;6049
155;33350;6562
156;34458;5428
157;36646;3241
158;38801;9082
159;37772;2170
160;30922;8875
161;36327;3556
162;31948;7984
163;35287;4663
164;38000;1801
165;38619;1342
166;38107;1774
167;37522;2377
168;37260;2638
169;35177;4744
170;38310;1549
171;31258;649
172;36014;3925
173;36345;3592
174;33349;6544
175;35299;4582
176;35352;4546
177;30953;883
178;33928;5959
179;34696;5185
180;34429;5374
181;33343;6598
182;32495;7372
183;32443;7453
184;34629;5239
185;32380;7489
186;38224;1729
187;38189;1711
188;33465;6472
189;34631;5275
190;35727;4213
191;32246;7714
192;31307;8578
193;33682;6265
194;31301;640
195;32991;6868
196;33656;6202
197;35311;4609
198;36524;3439
199;32201;7669
200;37656;2260
201;34577;5284
202;36014;3862
203;31176;694
204;33494;6355
205;35950;3943
206;36319;3565
207;30958;8893
208;37152;2746
209;33642;6247
210;31178;8767
211;34904;4987
212;34395;5500
213;38666;1270
214;32959;6958
215;36784;3097
216;36449;3493
217;38681;1153
218;33355;6580
219;38719;1108
220;31740;8155
221;30967;973
222;33167;6715
223;32268;7633
224;33126;6796
225;37272;2620
226;34405;5410
227;38378;1513
228;31157;739
229;33161;6706
230;31884;100
231;37038;2854
232;31625;316
233;38197;1657
234;35858;4033
235;35788;4069
236;33770;6157
237;37552;2287
238;31657;8209
239;34529;5347
240;31447;451
241;37015;2926
242;35441;4411
243;34227;5662
244;31129;8785
245;37346;2503
246;33442;6454
247;38773;1117
248;35090;4861
249;34832;5077
250;31929;7930
251;37279;2566
252;31477;307
253;34387;5518
254;34496;5356
255;35702;4204
256;32618;7291
257;31830;8074
258;34561;5365
259;34932;4888
260;37525;2440
261;33592;6292
262;35923;3979
263;30863;9037
264;36363;3601
265;38052;1837
266;31748;127
267;37911;1990
268;32175;7741
269;37301;2575
270;31783;8110
271;32783;7102
272;32568;7309
273;36691;3178
274;36225;3655
275;35901;3988
276;31730;181
277;34788;5086
278;32016;7903
279;36049;3889
280;34898;4996
281;38868;1027
282;35737;4168
283;38107;1855
284;36603;3286
285;32862;7030
286;35532;4402
287;34149;5734
288;34147;5779
289;33775;6130
290;32016;7894
291;38279;1531
292;37491;2359
293;36811;3124
294;32468;7426
295;36747;3223
296;36802;3115
297;36958;2935
298;32767;7138
299;32951;6994
300;35370;4528
301;36540;3313
302;35285;4618
303;32401;7462
304;38452;1486
305;37001;2962
306;31574;334
307;34574;5338
308;31594;8272
309;36520;3385
310;34366;5554
311;38518;1432
312;31264;8587
313;38550;1351
314;32416;7534
315;35015;4870
316;31756;109
317;35039;4852
318;36230;3718
319;38638;1243
320;36622;3268
321;38670;1189
322;33239;6625
323;31433;8452
324;37851;2044
325;34258;5599
326;33041;6841
327;31792;154
328;37440;2494
329;33937;5941
330;32018;7876
331;35848;4051
332;34040;5896
333;31339;8551
334;35080;4771
335;34107;5833
336;31010;829
337;33030;6859
338;33049;6823
339;35927;3961
340;37736;2134
341;31043;8839
342;32647;7300
343;36619;3277
344;37920;1981
345;32903;7012
346;38218;1612
347;31555;280
348;38532;1387
349;32859;7066
350;38455;1459
351;35688;4114
352;31907;7921
353;35668;4141
354;35268;4681
355;31051;892
356;37619;2332
357;36858;2953
358;36086;3772
359;33153;6688
360;31367;8470
361;36476;3430
362;37739;2197
363;31645;8281
364;34967;4915
365;32778;7111
366;33532;6382
367;31501;361
368;38062;1783
369;32613;7273
370;34781;5059
371;32248;7651
372;35685;4249
373;36265;3619
374;31644;8227
375;35429;4447
376;37823;2071
377;38278;1567
378;33510;6364
379;34649;5302
380;32257;7579
381;32558;7381
382;36557;3331
383;33392;6445
384;35997;3934
385;34310;5572
386;35450;4465
387;31470;8362
388;35814;4087
389;38712;1180
390;36233;3727
391;33896;6013
392;38193;1648
393;34630;5212
394;32791;7075
395;39095;784
396;32977;6886
397;36795;3052
398;38875;982
399;32685;7120
400;32081;7750
401;37649;2179
402;37563;2341
403;34790;5104
404;35356;4537
405;38118;1810
406;31954;7957
407;31251;8713
408;31015;865
409;31537;8398
410;31829;8083
411;35032;4879
412;33902;6076
413;30692;1162
414;31742;163
415;32658;7210
416;36694;3232
417;36209;3709
418;33943;5950
419;33666;6139
420;36438;3421
421;35151;4690
422;35566;4357
423;31568;352
424;36911;2899
425;35733;4159
426;34762;5158
427;33353;6571
428;31013;8857
429;31574;8245
430;31537;8308
431;31349;559
432;33287;6643
433;35612;4294
434;35159;4699
435;38955;8956
436;38091;1819
437;34204;5707
438;35133;4726
439;31652;262
440;35240;4672
441;35578;4321
442;36497;3448
443;31529;424
444;34746;5149
445;32859;7048
446;35056;4798
447;34864;5041
448;31379;532
449;36006;3871
450;33533;6310
451;33983;5860
452;36770;3169
453;33739;6193
454;31683;8236
455;31726;8218
456;32346;7561
457;33362;6526
458;35651;4240
459;31505;8407
460;31147;8695
461;36629;3205
462;31063;8848
463;33748;6238
464;32214;7642
465;30956;8929
466;34270;5635
467;38730;1171
468;32984;6913
469;37938;1927
470;37286;2593
471;36516;3376
472;37337;2548
473;38144;1747
474;37026;2791
475;36159;3826
476;36821;3061
477;32776;7039
478;32011;7822
479;38896;1090
480;34430;5482
481;33433;6463
482;31314;622
483;33735;6112
484;35205;4645
485;33528;6373
486;37960;1918
487;37656;2233
488;32441;7408
489;35072;4780
490;34781;5113
491;34986;4942
492;34091;5743
493;38418;1495
494;31615;8263
495;38321;1576
496;34159;5788
497;34005;5878
498;30688;1198
499;35380;4555
500;31997;7948
501;38048;1846
502;36785;3133
503;37097;2755
504;36903;3043
505;37064;2818
506;30608;1252
507;31657;8254
508;31460;388
509;38389;1504
510;33906;5977
511;34058;5824
512;35666;4222
513;38266;1666
514;31401;8497
515;36645;3250
516;35066;4825
517;33744;6148
518;33700;6184
519;36487;3403
520;31145;775
521;32230;7678
522;32331;7570
523;36074;3844
524;36675;3187
525;32426;7444
526;35858;3970
527;33938;6031
528;31768;8119
529;33406;6490
530;35934;3916
531;34231;5617
532;34380;5536
533;33345;6517
534;36974;2872
535;36033;3898
536;34779;5167
537;35566;4303
538;35326;4564
539;33123;6814
540;38455;1468
541;31908;7975
542;31239;667
543;37688;2152
544;33875;6058
545;30876;964
546;36126;3754
547;33536;6400
548;31816;8029
549;31452;8479
550;37788;2143
551;33522;6409
552;38864;9028
553;32569;7327
554;34404;5491
555;31117;811
556;32894;6940
557;34666;5248
558;34416;5563
559;35853;4042
560;38550;1369
561;37103;2800
562;30974;937
563;32521;7354
