#Mode:;3
#Device:;dualshock3_wired
#Button:;290
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;9640;307
1;13763;6157
2;15231;4690
3;15625;4330
4;9450;532
5;7438;2485
6;15824;4033
7;12801;7120
8;11104;8830
9;11492;8434
10;7224;2782
11;12101;7795
12;9730;199
13;14716;5158
14;9468;460
15;14667;5239
16;13990;5959
17;14147;5833
18;9761;181
19;7750;2206
20;7670;2287
21;9103;757
22;16834;3088
23;14641;5221
24;16661;3259
25;7679;2242
26;13422;6544
27;9490;370
28;13404;6517
29;8092;1765
30;8534;1441
31;7499;2377
32;15758;4177
33;14246;5644
34;7227;2737
35;7491;2431
36;16107;3817
37;13890;6040
38;7931;1936
39;13224;6715
40;15081;4771
41;13866;5986
42;12395;7498
43;8212;1702
44;8781;1135
45;14733;5257
46;8348;1639
47;7780;2179
48;8437;1486
49;8693;1297
50;9704;154
51;14492;5428
52;11626;8272
53;8553;1360
54;13666;6256
55;9408;577
56;9105;793
57;13092;6814
58;11602;8353
59;8963;955
60;12695;7192
61;12187;7714
62;16033;3844
63;7607;2269
64;14016;5887
65;13506;6418
66;15906;3961
67;15490;4375
68;15076;4879
69;14977;4933
70;8525;1396
71;16706;3241
72;15375;4501
73;14170;5797
74;10929;8965
75;8942;973
76;8340;1603
77;8474;1432
78;13714;6175
79;7930;1972
80;16368;3520
81;15481;4456
82;12944;6958
83;9052;919
84;14206;5716
85;15200;4681
86;16008;3943
87;9335;640
88;13853;6076
89;16730;3196
90;8950;982
91;7987;1891
92;15161;4753
93;11509;8479
94;12783;7183
95;15228;4708
96;7666;2260
97;7833;2044
98;11510;8389
99;13471;6445
100;14326;5617
101;15515;4429
102;8712;1216
103;15012;4906
104;16364;3547
105;8258;1684
106;16802;3079
107;7331;2566
108;13726;6184
109;7222;2692
110;15464;4438
111;16498;3475
112;12822;7048
113;12567;7345
114;14752;5149
115;9381;514
116;8373;1576
117;14137;5761
118;9540;343
119;12443;7426
120;16946;2935
121;8856;1072
122;13760;6211
123;12155;7759
124;16634;3286
125;16376;3583
126;14520;5392
127;16916;3016
128;7616;2350
129;11490;8425
130;14020;5851
131;7796;2098
132;8832;1144
133;12941;7012
134;7830;2125
135;16456;3457
136;9837;127
137;11011;8911
138;12893;7057
139;16545;3421
140;7820;2080
141;16278;3601
142;11423;8461
143;16216;3628
144;15736;4231
145;15936;3970
146;9637;226
147;12586;7336
148;9201;703
149;12006;7894
150;16417;3511
151;13648;6202
152;13630;6247
153;12125;7813
154;12832;7138
155;7827;2053
156;9664;289
157;15122;4834
158;8164;1783
159;11153;8776
160;15716;4159
161;12254;7660
162;17222;2629
163;12100;7804
164;8447;1468
165;8352;1621
166;9404;559
167;11247;8677
168;12873;7102
169;15836;4123
170;7764;2170
171;13124;6841
172;17259;2638
173;16909;3061
174;14236;5689
175;9230;730
176;15698;4240
177;11391;8488
178;16535;3340
179;13535;6382
180;11471;8452
181;7432;2467
182;11013;8875
183;7525;2359
184;7514;2413
185;16097;3889
186;14848;5104
187;9779;118
188;16267;3664
189;13598;6355
190;14130;5860
191;13126;6787
192;11261;8704
193;17227;2656
194;16305;3682
195;14870;5059
196;13330;6571
197;16642;3313
198;7908;2026
199;15589;4366
200;9697;262
201;9197;667
202;8358;1540
203;14561;5365
204;14983;4987
205;15510;4411
206;7928;1963
207;8856;1036
208;14915;4951
209;17067;2872
210;9739;190
211;13598;6373
212;11237;8614
213;11332;8524
214;10921;8992
215;13083;6796
216;14352;5563
217;11961;7948
218;14133;5734
219;11599;8308
220;14943;4960
221;13992;6004
222;17235;2719
223;8812;1108
224;15125;4825
225;15651;4267
226;15936;3979
227;13045;6868
228;12449;7480
229;8968;964
230;16978;2944
231;9124;766
232;13295;6670
233;12107;7822
234;14895;5032
235;8460;1450
236;17217;2764
237;15899;4015
238;8702;1261
239;12796;7093
240;13796;6139
241;15780;4087
242;16155;3745
243;14583;5302
244;13672;6238
245;13792;6094
246;16491;3439
247;7568;2395
248;13330;6580
249;10910;9037
250;10852;9046
251;15283;4654
252;13587;6319
253;9645;298
254;14020;5932
255;15235;4699
256;12047;7867
257;12242;7642
258;15912;3952
259;16465;3493
260;14173;5752
261;14417;5482
262;13079;6832
263;7634;2278
264;12521;7381
265;13774;6166
266;13260;6607
267;15323;4591
268;13126;6805
269;8606;1306
270;14469;5509
271;11086;8812
272;11751;8164
273;11080;8884
274;12449;7471
275;12444;7444
276;14014;5905
277;16489;3358
278;15582;4303
279;16406;3529
280;15644;4276
281;16498;3448
282;16006;3907
283;11111;8803
284;14897;5023
285;7389;2476
286;15241;4735
287;15162;4726
288;12602;7246
289;14099;5788
290;16236;3646
291;12697;7174
292;8447;1459
293;8534;1414
294;9377;523
295;13498;6427
296;9323;604
297;9716;217
298;14808;5086
299;15058;4915
300;16140;3835
301;15235;4663
302;12851;7039
303;8240;1666
304;14056;5869
305;16714;3205
306;7109;2809
307;8178;1675
308;7418;2440
309;12454;7507
310;15851;4114
311;16331;3691
312;9284;613
313;12928;6994
314;7088;2890
315;12705;7300
316;13112;6778
317;13744;6193
318;16260;3754
319;15459;4528
320;7807;2089
321;15459;4474
322;9784;163
323;13243;6634
324;7241;2683
325;11451;8497
326;13633;6274
327;9229;658
328;16356;3556
329;12290;7678
330;15435;4546
331;16251;3637
332;15826;4105
333;7438;2494
334;15831;4051
335;14418;5518
336;13847;6130
337;9397;487
338;15513;4384
339;13316;6589
340;15536;4357
341;12211;7732
342;7840;2134
343;8129;1864
344;12365;7570
345;15756;4186
346;10982;8929
347;11814;8047
348;9537;334
349;13022;6877
350;12526;7363
351;7838;2062
352;16268;3592
353;16156;3763
354;7714;2251
355;14936;5005
356;9890;109
357;14609;5329
358;12449;7489
359;12905;7066
360;14648;5248
361;8446;1531
362;8441;1522
363;12886;7003
364;12226;7696
365;11516;8407
366;14406;5536
367;7225;2674
368;11493;8416
369;15978;3988
370;9368;568
371;16242;3673
372;11320;8632
373;8655;1279
374;8728;1252
375;12380;7534
376;13629;6310
377;8121;1837
378;9397;550
379;12957;6886
380;15609;4285
381;13561;6337
382;14398;5527
383;15147;4717
384;14902;5050
385;14317;5635
386;7266;2647
387;11539;8362
388;11364;8515
389;12473;7417
390;8204;1738
391;15098;4798
392;14912;4969
393;15091;4852
394;14508;5491
395;16798;3160
396;15323;4618
397;9021;838
398;11089;8857
399;13198;6652
400;8193;1756
401;11191;8794
402;15543;4393
403;7783;2107
404;12530;7390
405;12463;7516
406;13156;6751
407;15254;4600
408;15003;4924
409;13825;6049
410;16098;3790
411;11738;8209
412;13454;6454
413;15895;3997
414;7343;2530
415;17120;2773
416;9108;811
417;16166;3772
418;8867;1018
419;14550;5320
420;17032;2926
421;9533;397
422;13140;6742
423;9288;676
424;15714;4168
425;12471;7525
426;8734;1153
427;8920;1009
428;11684;8281
429;14175;5815
430;8629;1288
431;16702;3250
432;8071;1828
433;8737;1180
434;14700;5275
435;15617;4294
436;9661;280
437;17205;2728
438;12633;7309
439;7941;1990
440;13332;6562
441;11821;8101
442;10906;8974
443;15044;4897
444;14496;5401
445;14832;5122
446;7940;2035
447;13431;6499
448;9028;901
449;10910;9001
450;13833;6085
451;16748;3124
452;7465;2422
453;11766;8128
454;12254;7624
455;9110;775
456;11856;8065
457;13832;6103
458;11883;8083
459;12583;7318
460;10832;9055
461;11778;8155
462;12116;7876
463;17432;2557
464;11951;7930
465;16236;3718
466;11295;8641
467;12802;7147
468;12794;7129
469;17058;2881
470;12899;7030
471;10808;9082
472;15488;4402
473;15842;4141
474;13596;6364
475;8354;1567
476;8178;1747
477;8353;1558
478;12017;7921
479;11934;7993
480;17331;2575
481;7601;2332
482;8692;1243
483;14107;5824
484;7842;2071
485;11491;8380
486;9257;694
487;13026;6895
488;12190;7741
489;9019;910
490;9654;271
491;8040;1882
492;8796;1171
493;12869;7111
494;8123;1792
495;11602;8335
496;14828;5113
497;12958;6985
498;12966;6949
499;12967;6976
500;16091;3799
501;14745;5185
502;11572;8344
503;16962;2980
504;11182;8740
505;14082;5806
506;11884;7984
507;12633;7282
508;13975;5950
509;13146;6769
