#Mode:;3
#Device:;intelli_new
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5729;7093
1;6289;532
2;6327;6535
3;5820;2044
4;5733;172
5;6585;8209
6;6397;415
7;5908;7021
8;6147;721
9;6466;2431
10;6382;7525
11;5662;3232
12;5836;7966
13;5648;1234
14;6571;6364
15;6137;4771
16;6375;1567
17;6325;8623
18;6378;4465
19;6216;631
20;5889;4942
21;6290;4564
22;6007;8857
23;5746;5122
24;6294;1522
25;6096;1702
26;5946;2953
27;6138;3718
28;5716;1171
29;6229;622
30;5987;1900
31;6570;6247
32;6624;1261
33;6200;568
34;6569;5275
35;5848;4132
36;6489;6346
37;6014;6841
38;6132;4726
39;5902;982
40;6383;3466
41;6086;6814
42;6137;811
43;6203;4699
44;6609;298
45;5822;9064
46;6234;1630
47;6039;6877
48;6401;7462
49;6221;7705
50;5910;3979
51;6309;7570
52;6588;2296
53;6137;802
54;6128;6760
55;6209;5734
56;6614;3268
57;6107;7840
58;6043;4816
59;6312;3583
60;5916;8020
61;6522;2395
62;5999;5950
63;5815;1090
64;5732;3196
65;6484;433
66;6428;451
67;6587;4384
68;6323;4582
69;5721;3223
70;5937;2935
71;5824;1063
72;6503;5428
73;6295;2647
74;6663;1144
75;5828;8065
76;6590;6301
77;6332;2575
78;6410;7498
79;6518;3313
80;6685;1189
81;5812;154
82;5996;1819
83;6140;5680
84;6110;4798
85;6719;2152
86;6312;2593
87;6309;4591
88;5994;5815
89;6630;7318
90;5953;910
91;6500;2377
92;6579;8326
93;5997;7867
94;6690;7210
95;6512;370
96;6385;2521
97;6588;2305
98;5934;5968
99;6040;2827
100;6604;1279
101;5796;991
102;6685;1252
103;5963;8974
104;6302;8632
105;6217;4735
106;6018;4825
107;6316;3529
108;6639;7219
109;6702;2206
110;6245;658
111;6131;3736
112;5933;5977
113;6198;4843
114;6079;3799
115;6106;5761
116;5925;5986
117;6645;307
118;5849;9019
119;6166;793
120;5917;3997
121;6239;6679
122;6322;5590
123;5925;1972
124;6516;8335
125;6391;5572
126;6320;6553
127;6620;2332
128;6099;6796
129;6692;1207
130;5864;9046
131;6209;2719
132;5924;2062
133;6491;4366
134;6336;7480
135;6394;2485
136;6197;7741
137;6129;766
138;6402;8506
139;5925;973
140;6806;1135
141;6191;3664
142;5995;8947
143;6504;4438
144;6488;1396
145;6805;2089
146;6028;2899
147;6765;8164
148;5864;4006
149;6337;7561
150;6324;4636
151;6325;5563
152;6485;2458
153;6111;3754
154;6224;1711
155;6609;5302
156;6495;3394
157;6285;3619
158;6303;7534
159;6236;1675
160;5947;3907
161;6398;5446
162;6499;3439
163;6217;1594
164;5944;5923
165;6804;5113
166;6107;3844
167;5914;4996
