#Mode:;3
#Device:;intelli_og
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;21490;2278
1;18768;5023
2;17940;5806
3;17747;6049
4;23719;8056
5;21615;2233
6;20084;3673
7;20382;3439
8;14791;973
9;17905;6004
10;20068;3853
11;15033;8785
12;13630;2188
13;16090;7732
14;18364;5464
15;20981;2773
16;17279;6508
17;22294;1567
18;16134;7678
19;21741;2107
20;16735;7102
21;14942;8911
22;20523;3295
23;15544;316
24;20245;3574
25;18722;5068
26;22935;901
27;15576;8263
28;15863;7957
29;15380;478
30;17740;6103
31;23203;622
32;17631;6175
33;17515;6310
34;14127;1684
35;18458;5347
36;20177;3700
37;22369;1441
38;20956;2917
39;18353;5500
40;21422;2431
41;14890;8974
42;21323;2512
43;18253;5545
44;20172;3619
45;20487;3421
46;14610;1126
47;23183;667
48;19926;3925
49;15949;7894
50;22110;1702
51;17611;6256
52;16562;7282
53;18032;5815
54;22371;1468
55;23480;361
56;17206;6607
57;14805;1099
58;19501;4366
59;15242;8632
60;22011;1810
61;22291;1540
62;19065;4816
63;21588;2287
64;15802;8146
65;15421;8470
66;22762;928
67;17175;6715
68;18613;5275
69;21832;2080
70;21238;2656
71;16428;7606
72;16945;6940
73;19064;4780
74;16127;7750
75;21794;2089
76;16560;7318
77;18460;5428
78;15645;226
79;15599;289
80;20752;3133
81;23049;820
82;20981;2899
83;22357;1522
84;15733;172
85;20013;3835
86;20676;3178
87;18964;4906
88;15837;8002
89;21282;2584
90;15125;739
91;22261;1621
92;18157;5707
93;22838;1054
94;21326;2566
95;20983;2881
96;21657;2224
97;22037;1891
98;18970;4897
99;19184;4681
100;19421;4429
101;19430;4438
102;14914;8965
103;18975;4915
104;17997;5878
105;16430;7435
106;14281;1630
107;14816;9055
108;18260;5608
109;23739;118
110;22074;1828
111;13363;2530
112;20193;3691
113;21814;2053
114;21556;2323
115;18685;5266
116;14924;8956
117;17942;5950
118;17061;6796
119;22818;1063
120;17063;6805
121;22443;1432
122;14559;1297
123;18930;4924
124;22162;1729
125;14872;8983
126;22090;1801
127;22481;1180
128;15960;7903
129;15341;8479
130;16626;7255
131;21244;2665
132;20668;3214
133;14416;1504
134;19959;3961
135;20742;3151
136;19105;4753
137;16956;6904
138;21359;2494
139;20399;3475
140;21911;1954
141;18385;5482
142;19165;4717
143;17198;6679
144;16164;7714
145;21871;2035
146;15204;8569
147;20424;3448
148;20620;3250
149;22650;1234
150;20451;3394
151;19595;4285
152;23558;325
153;19136;4735
154;21231;2647
155;16156;7723
156;16998;6868
157;20892;2953
158;21453;2413
159;15014;8857
160;19067;4744
161;21487;2368
162;20107;3763
163;18923;4852
164;17303;6571
165;23202;685
166;20839;3016
167;16858;6994
168;18187;5671
169;19548;4303
170;21638;2197
171;21794;2098
172;15114;8758
173;21991;1900
174;15408;8452
175;21223;2638
176;16053;7813
177;17657;6220
178;18803;5086
179;17615;6346
180;16881;6985
181;14858;9001
182;20560;3313
183;20494;3403
184;17602;6319
185;21586;2152
186;15956;7912
187;19374;4510
188;15962;7930
189;20002;3871
190;22390;1477
191;22635;1243
192;15933;7939
193;16313;7480
194;19358;4501
195;20627;3241
196;20697;3187
197;21696;2134
198;21907;1990
199;19652;4222
200;16411;7471
201;20510;3349
202;17306;6553
203;20809;3070
204;18141;5743
205;19803;4006
206;20316;3529
207;18760;5077
208;19724;4096
209;22775;1072
210;15139;766
211;19576;4321
212;16017;7840
213;21223;2674
214;18147;5716
215;18747;5059
216;18973;4996
217;16259;7651
218;17353;6517
219;21366;2503
220;16991;6877
221;14249;1639
222;21242;2629
223;15649;217
224;17961;5905
225;21398;2485
226;26335;5554
227;19954;3907
228;21073;2791
229;16812;7057
230;15103;793
231;16664;7228
232;23489;388
233;20979;2890
234;20612;3358
235;17038;6760
236;15625;271
237;17487;6400
238;19762;4024
239;22184;1666
240;18235;5653
241;17876;6040
242;19458;4402
243;22992;874
244;16974;6886
245;14692;1198
246;14328;1531
247;21902;1963
248;17710;6166
249;18753;5140
250;18679;5212
251;17373;6499
252;17545;6328
253;17108;6751
254;21352;2539
255;22151;1711
256;15374;8488
257;18715;5149
258;19673;4213
259;22549;1387
260;17954;5914
261;15801;8074
262;14235;1657
263;18946;4942
264;17177;6706
265;19232;4564
266;19313;4546
267;17219;6652
268;20008;3880
269;14971;8902
270;17456;6436
271;15778;8101
272;21479;2404
273;19325;4555
274;15238;631
275;19133;4600
276;20088;3772
277;19394;4492
278;17886;5977
279;17222;6832
280;16516;7363
281;22594;1279
282;20922;2980
283;17736;6148
284;20979;2908
285;18554;5356
286;18035;5842
287;20346;3538
288;19596;4276
289;15474;406
290;22280;1585
291;16175;7705
292;16575;7309
293;20350;3556
294;18558;5338
295;15262;604
296;16929;6949
297;18439;5392
298;19592;4267
299;15595;8245
300;20664;3205
301;14935;946
302;21628;2260
303;18484;5401
304;16839;7021
305;23194;721
306;20601;3286
307;15343;8542
308;22021;1846
309;23749;136
310;17257;6562
311;16750;7147
312;17740;6121
313;16535;7345
314;15190;8650
315;21054;2818
316;16673;7210
317;14903;964
318;16218;7660
319;22675;1207
320;16422;7579
321;21889;1981
322;17501;6355
323;17510;6373
324;19767;4042
325;23691;307
326;15616;8353
327;21004;2872
328;20132;3727
329;16528;7381
330;20853;3034
331;17489;6364
332;17259;6625
333;14813;1108
334;19332;4483
335;19188;4699
336;20297;3565
337;20524;3340
338;15477;8362
339;16341;7534
340;20098;3781
341;18219;5644
342;16180;7624
343;20734;3142
344;19648;4231
345;21018;2854
346;22336;1558
347;18918;4969
348;19755;4150
349;17312;6598
350;14138;1774
351;14801;9064
352;19230;4636
353;20503;3367
354;18572;5293
355;15590;280
356;15237;8623
357;18133;5734
358;15717;8227
359;20724;3160
360;16368;7507
361;16830;7030
362;17037;6814
363;23106;757
364;23163;712
365;21793;2071
366;15272;8596
367;17393;6463
368;20579;3277
369;18305;5572
370;19243;4627
371;14846;9028
372;19802;4015
373;21176;2701
374;18634;5230
375;17344;6526
376;17946;5932
377;18117;5788
378;22312;1576
379;16004;7885
380;18203;5662
381;20709;3115
382;21064;2809
383;15813;8011
384;18647;5221
385;16696;7174
386;22746;1144
387;22388;1486
388;19347;4537
389;19628;4240
390;16265;7633
391;15203;8659
392;20206;3655
393;15211;658
394;19257;4618
395;20744;3124
396;22810;1135
397;22855;1018
398;17790;6058
399;15125;8821
400;18533;5320
401;22830;1027
402;23115;748
403;18657;5194
404;14108;1738
405;15323;8560
406;19277;4654
407;19001;4870
408;19863;3997
409;14836;9037
410;19668;4195
411;19969;3889
412;15515;8344
413;14898;8947
414;18281;5626
415;19541;4348
416;15462;424
417;19215;4663
418;18056;5833
419;22794;1189
420;21763;2125
421;16917;6958
422;20809;3088
423;18964;4861
424;22541;1288
425;15744;8128
426;15554;343
427;19808;4069
428;20260;3592
429;16751;7111
430;21264;2602
431;23293;541
432;16072;7822
433;14958;910
434;18624;5239
435;22437;1459
436;17675;6301
437;15141;649
438;15774;8083
439;21687;2206
440;19736;4132
441;20558;3412
442;22051;1792
443;14497;1369
444;19746;4123
445;17186;6688
446;19962;3943
447;20064;3826
448;15026;8875
449;14639;1261
450;15610;8272
451;21605;2305
452;18945;4933
453;16800;7075
454;20807;3079
455;16424;7453
456;19121;4798
457;15947;7921
458;19299;4591
459;22372;1495
460;21772;2116
461;16957;6931
462;16163;7741
463;16805;7066
464;17651;6247
465;15915;7993
466;20598;3304
467;23141;730
468;16184;7669
469;21968;1927
470;16311;7561
471;19073;4807
472;21187;2710
473;18187;5698
474;20170;3718
475;19254;4690
476;18913;4978
477;18252;5617
478;20326;3547
479;20379;3502
480;21599;2242
481;17601;6265
482;15034;847
483;15397;469
484;14814;9082
485;23473;415
486;18805;5050
487;15376;8506
488;18467;5410
489;21851;2044
490;21286;2593
491;17776;6094
492;16697;7183
493;19110;4762
494;19469;4384
495;16337;7516
496;17279;6580
497;18464;5419
498;17570;6292
499;17251;6643
500;17594;6283
501;21820;1945
502;23210;676
503;16359;7570
504;14900;991
505;17018;6859
506;22513;1360
507;21893;1972
508;18570;5329
509;20829;3061
510;22720;1162
511;18422;5437
512;20241;3628
513;22525;1324
514;17928;5959
515;20217;3664
516;20931;2935
517;17417;6472
518;17295;6589
519;22013;1873
520;15709;190
521;21539;2332
522;16204;7795
523;16504;7372
524;22114;1765
525;18361;5509
526;15195;703
527;17659;6211
528;21774;2062
529;17123;6778
530;21213;2728
531;19370;4420
532;15203;8668
533;15820;8047
534;18582;5284
535;23025;856
536;19494;4375
537;17760;6031
538;20284;3583
539;17674;6193
540;19583;4294
541;17067;6823
542;16348;7552
543;15325;550
544;15348;8533
545;16642;7237
546;16906;6976
547;15688;8290
548;18763;5104
549;14788;9091
550;16643;7219
551;15712;8173
552;22938;892
553;18677;5167
554;21741;2170
555;19747;4141
556;19226;4645
557;17049;6841
558;16005;7867
559;15292;595
560;21403;2458
561;17722;6139
562;20976;2998
563;22539;1342
564;14142;1747
565;15387;442
566;23430;433
567;20479;3430
568;17277;6616
569;23627;235
570;21627;2251
571;17694;6184
572;15899;7975
573;18839;5014
574;18886;5005
575;18279;5590
576;21264;2683
577;21545;2341
578;21963;1918
579;20777;3007
580;23213;694
581;16898;6913
582;18612;5302
583;16690;7201
584;16987;6895
585;15478;8398
586;21500;2395
587;16747;7129
588;19553;4339
589;15264;8605
590;18523;5365
591;18027;5851
592;20870;2971
593;19970;3898
594;19086;4789
595;19625;4249
596;15626;8236
597;15470;8380
598;16046;7831
599;16757;7120
600;23221;577
601;22652;1252
602;17195;6697
603;21447;2476
604;21869;2026
605;21699;2179
606;16919;6922
607;18002;5824
608;19372;4528
609;19748;4105
610;18938;4960
611;23696;145
612;16555;7336
613;21467;2422
614;20087;3799
615;15542;8308
616;17896;5986
617;22878;1009
618;18013;5860
619;21023;2863
620;17154;6742
621;23764;127
622;15549;8317
623;19969;3862
624;15430;460
625;19763;4087
626;16130;7759
627;22542;1333
628;15044;8812
629;18353;5518
630;15761;8092
631;15516;379
632;19696;4168
633;16519;7354
634;23016;883
635;14457;1423
636;15258;640
637;17851;6013
638;17906;5941
639;15735;8110
640;17437;6427
641;16006;7849
642;15061;8830
643;17605;6229
644;21358;2467
645;17126;6724
646;21094;2827
647;19775;4051
648;18976;4888
649;20718;3106
650;15036;8839
651;17882;5995
652;16527;7327
653;14781;9073
654;23545;334
655;15886;7966
656;20392;3457
657;18830;5032
658;21991;1882
659;19910;3934
660;16429;7426
661;17099;6733
662;15916;7948
663;17774;6067
664;16448;7417
665;17308;6544
666;16705;7156
667;22738;1117
668;17600;6274
669;20358;3493
670;22023;1837
671;19706;4159
672;20914;2926
673;15278;8587
674;15782;8065
675;21157;2737
676;23651;163
677;23330;487
678;17097;6769
679;20595;3259
680;22824;1045
681;19651;4204
682;14940;8938
683;19882;3970
684;16859;7012
685;19375;4474
686;18723;5131
687;21097;2755
688;16790;7084
689;23751;109
690;21086;2764
691;20715;3169
692;21739;2161
693;22222;1603
694;20601;3268
695;23235;613
696;15708;8137
697;15343;8515
698;17411;6445
699;15019;8848
700;17358;6490
701;20140;3709
702;21078;2782
703;19831;4033
704;22692;1171
705;14986;8866
706;19157;4726
707;14528;1315
708;18484;5374
709;19512;4258
710;15128;8713
711;22842;1000
712;14604;1225
713;15515;8326
714;15134;8722
715;23516;352
716;20859;3097
717;18105;5761
718;16083;7777
719;20865;2962
720;20064;3790
721;16222;7615
722;23093;784
723;18161;5680
724;15066;802
725;22229;1594
726;19419;4447
727;15336;8551
728;22902;865
729;22237;1396
730;15102;8767
731;22186;1675
732;17969;5887
733;19285;4573
734;20210;3637
735;17928;5923
736;15611;8254
737;21581;2269
738;22893;982
739;21080;2692
740;16388;7498
741;15621;244
742;20807;3052
743;15041;8803
744;18334;5527
745;21861;2008
746;21166;2611
747;16058;7804
748;17039;6967
749;23376;559
750;19511;4330
751;17701;6157
752;21713;2143
753;20169;3682
754;21311;2548
755;15885;7984
756;19096;4771
757;22775;1081
758;16778;7093
759;23035;829
760;17844;5968
761;18255;5581
762;16864;7003
763;18311;5563
764;19675;4177
765;21136;2719
766;20811;2944
767;16823;7039
768;22179;1513
769;15648;8209
770;17987;5869
771;21466;2386
772;23526;397
773;14771;9046
774;16128;7687
775;16113;7696
776;20068;3745
777;18930;4834
778;16542;7300
779;22543;1306
780;14816;8992
781;22150;1720
782;21839;2017
783;17972;5896
784;17264;6661
785;19983;3817
786;15651;8200
787;17643;6202
788;18723;5122
789;15553;8299
790;18223;5635
791;22296;1549
792;21498;2359
793;22174;1693
794;15179;8686
795;17318;6535
796;16310;7543
797;21101;2746
798;21039;2836
799;18726;5158
800;15356;505
801;16423;7399
802;23366;532
803;15200;8749
804;21382;2449
805;18565;5311
806;20327;3511
807;21293;2575
808;20659;3196
809;15671;8191
810;20249;3601
811;22084;1783
812;18607;5257
813;15079;8776
814;22955;955
815;17821;6022
816;15117;8731
817;22425;1351
818;19457;4393
819;15493;8371
820;21335;2521
821;23351;514
822;16818;7165
823;16728;7138
824;19777;4060
825;19208;4672
826;16611;7264
827;21996;1864
828;19946;3916
829;20543;3331
830;19419;4456
831;20663;3223
832;22874;919
833;16246;7642
834;15176;8794
835;14859;9019
836;23079;811
837;17751;6130
838;15840;8038
839;18665;5185
840;17405;6454
841;23743;154
842;19492;4465
843;23430;451
844;17190;6670
845;15651;8218
846;20358;3520
847;19257;4609
848;21433;2440
849;15521;370
850;18117;5770
851;15532;8407
852;21059;2800
853;21523;2350
854;19703;4186
855;14467;1414
856;16102;7768
857;20487;3385
858;23030;838
859;15601;8281
860;20138;3736
861;20644;3232
862;17455;6382
863;22876;1036
864;20222;3646
865;17480;6418
866;20002;3844
867;16428;7462
868;16528;7273
869;15431;8425
870;19356;4519
871;15697;199
872;18755;5113
873;18782;5095
874;18877;4987
875;20592;3322
876;17562;6337
877;15575;298
878;18145;5752
879;15545;8335
880;21684;2215
881;18522;5383
882;17250;6634
883;15433;8443
884;19516;4357
885;14971;8929
886;18382;5455
887;19766;4114
888;19063;4825
889;19867;3988
890;22260;1612
891;22730;1153
892;20847;3025
893;15589;8155
894;15261;8740
895;21567;2314
896;19430;4411
897;15294;8578
898;23711;181
899;16612;7291
900;16009;7876
901;21966;1909
902;15187;8677
903;21024;2845
904;15149;8695
905;15360;496
906;20058;3808
907;17062;6787
908;18818;5041
909;23309;568
910;18088;5797
911;20853;3043
912;15324;8524
913;20342;3610
914;16292;7588
915;20444;3484
916;22473;1405
917;17467;6409
918;20114;3754
919;19766;4078
920;20417;3466
921;17779;6085
922;15662;208
923;15358;8497
924;23041;775
925;21878;1999
926;14127;1756
927;15759;100
928;20883;2989
929;15527;8389
930;16774;7048
931;15996;7858
