#Mode:;3
#Device:;k120
#Button:;18
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;23551;8065
1;19633;4222
2;16895;7003
3;24248;7642
4;22995;910
5;22357;1513
6;16169;7777
7;25007;6949
8;21795;1990
9;23392;505
10;23185;694
11;20160;3691
12;21840;1981
13;21895;2008
14;14922;9010
15;16367;7525
16;22480;1396
17;17131;6724
18;18526;5023
19;16488;7570
20;16833;7237
21;23206;847
22;20900;3061
23;17828;6193
24;20608;3421
25;22808;1198
26;23704;415
27;23779;289
28;22046;2044
29;21838;2170
30;19229;4852
31;19768;4105
32;23686;217
33;20923;2971
34;18773;5122
35;25270;6535
36;15456;8443
37;23504;406
38;16668;7183
39;22587;1306
40;22986;892
41;15755;8146
42;17810;6103
43;20386;3466
44;17548;6301
45;21727;2179
46;22147;1747
47;22701;1207
48;23707;145
49;23071;838
50;19226;4726
51;20671;3223
52;19039;4753
53;23079;829
54;20404;3493
55;18447;5401
56;21544;2350
57;18956;4978
58;22548;1360
59;21142;2746
60;20688;3160
61;17397;6499
62;14954;8938
63;19954;3826
64;21754;2134
65;15773;8128
66;23322;586
67;17130;6670
68;25333;6652
69;16176;7732
70;19244;4663
71;18784;5140
72;15303;8542
73;19091;4834
74;24558;7345
75;21940;1954
76;19207;4681
77;16401;7498
78;22481;1414
79;19816;4078
80;15662;8236
81;21687;2215
82;16755;7165
83;24836;7066
84;21051;2944
85;16451;7462
86;20571;3367
87;20273;3610
88;21239;2656
89;19270;4627
90;20258;3628
91;22257;1630
92;14887;1027
93;18558;5329
94;21664;2728
95;22521;1000
96;23608;361
97;20210;3583
98;20504;3394
99;21555;2251
100;15874;8020
101;21658;2125
102;22439;1459
103;20084;3817
104;23181;730
105;16670;7210
106;21318;2566
107;18118;5860
108;22589;1369
109;16111;7786
110;19746;4141
111;21173;2701
112;19449;4492
113;18550;5356
114;21259;2647
115;19815;4132
116;23396;8488
117;21372;2584
118;23102;802
119;22171;1702
120;21922;2026
121;21298;2557
122;21190;2710
123;17783;6121
124;17964;5959
125;20985;2953
126;18920;4942
127;22285;1612
128;17873;5914
129;20107;3862
130;25421;6445
131;22272;1621
132;18064;5743
133;16057;7813
134;21589;2305
135;18420;5527
136;22485;1405
137;20265;3637
138;17293;6607
139;23133;8758
140;16158;7759
141;23439;424
142;16501;7399
143;20225;3673
144;23723;199
145;18838;5050
146;22781;1090
147;17001;6814
148;20146;3718
149;21417;2512
150;18998;4897
151;23558;343
152;19688;4258
153;18275;5608
154;21814;2089
155;23339;496
156;21090;2782
157;22878;964
158;21213;2665
159;23690;262
160;15306;8578
161;23516;8389
162;18607;5284
163;19835;4006
164;16255;7660
165;21347;2575
166;21622;2278
167;18885;4951
168;23546;388
169;22665;1225
170;23818;8137
171;15022;8902
172;22246;1585
173;22156;1774
174;19643;4267
175;22737;1162
176;17956;5932
177;20279;3619
178;26342;5563
179;20420;3475
180;20705;3196
181;18089;5788
182;15851;8047
183;23607;8308
184;19556;4420
185;17119;6697
186;23541;280
187;22925;883
188;23828;100
189;22922;8974
190;17881;6013
191;14809;9037
192;23360;532
193;18330;5572
194;22064;1828
195;22748;1135
196;16755;7129
197;22522;1423
198;21053;2899
199;21453;2449
200;15360;8551
201;21568;2341
202;18467;5419
203;19562;4339
204;15152;8749
205;19801;4051
206;21346;2485
207;16954;6985
208;23249;8596
209;22751;1144
210;19318;4573
211;15196;8704
212;21118;2791
213;23662;244
214;16779;7138
215;25014;6877
216;21793;2098
217;21492;2440
218;22809;1153
219;26425;5428
220;21158;2737
221;23320;577
222;16284;7624
223;16622;7282
224;21133;2818
225;20161;3772
226;20349;3538
227;15665;8182
228;22577;1387
229;14972;946
230;16840;7102
231;24741;7192
232;19097;4825
233;20527;3349
234;20987;2845
235;18113;5824
236;23869;7984
237;19424;4483
238;20294;3655
239;18059;5851
240;25308;6598
241;17043;6895
242;20960;2980
243;20861;3052
244;15559;8362
245;15674;235
246;17778;6130
247;18671;5257
248;20530;3295
249;23214;613
250;22049;1837
251;14831;1063
252;18788;5104
253;24037;7858
254;22909;1045
255;21828;2017
256;18020;5887
257;18003;5869
258;18397;5581
259;21806;2107
260;21348;2539
261;20112;3799
262;16220;7687
263;21435;2476
264;15500;8344
265;20731;3205
266;15624;370
267;16004;7939
268;23699;208
269;17547;6355
270;24476;7480
271;23380;514
272;23766;118
273;22079;1801
274;17314;6571
275;22952;8983
276;20563;3322
277;20700;3232
278;23140;739
279;21687;2224
280;18999;4969
281;21419;2404
282;19658;4204
283;21595;2323
284;24605;7336
285;18415;5491
286;19868;4015
287;20082;3853
288;24025;7885
289;15964;7921
290;17766;6157
291;20732;3169
292;25540;6337
293;22909;919
294;22083;1810
295;19755;4123
296;16655;7246
297;22988;865
298;16780;7120
299;22171;1720
300;16480;7426
301;18383;5518
302;18674;5185
303;23292;604
304;18661;5221
305;15867;8011
306;22894;8992
307;15953;7930
308;22625;1270
309;19291;4600
310;20969;2917
311;19170;4699
312;20220;3664
313;22891;9001
314;18156;5761
315;15820;8074
316;25007;6886
317;21943;1909
318;16029;7822
319;19556;4357
320;19963;3970
321;14957;8920
322;25254;6634
323;18072;5905
324;19762;4087
325;21802;2071
326;25105;6769
327;20596;3286
328;21558;2314
329;18658;5230
330;16732;7084
331;18457;5446
332;19701;4177
333;15379;8506
334;19101;4789
335;21025;2872
336;24978;6904
337;22097;1783
338;23756;136
339;20918;2935
340;19838;4042
