#Mode:;3
#Device:;logilink0043
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;26085;5815
1;27878;4051
2;27167;4735
3;28041;3934
4;28260;3673
5;31724;226
6;27711;4204
7;28384;3529
8;27841;4069
9;28294;3619
10;28206;3637
11;30212;1738
12;33377;6526
13;30057;1855
14;29991;1927
15;29699;2215
16;26726;5248
17;30792;1162
18;26958;4951
19;29712;2197
20;29111;2827
21;27268;4645
22;29272;2602
23;31203;8704
24;30167;1693
25;23733;181
26;30942;982
27;30017;1900
28;28914;2998
29;29300;2584
30;29849;2062
31;30833;9046
32;23688;8191
33;27015;4843
34;30551;1369
35;25507;6346
36;23430;8407
37;29172;2701
38;30329;1549
39;29257;2647
40;29199;2710
41;31106;811
42;31619;8299
43;24889;7021
44;31128;8785
45;25399;6508
46;27913;3997
47;30463;1459
48;31280;8614
49;27221;4690
50;29392;2512
51;29807;2098
52;26829;5077
53;23866;8092
54;27272;4636
55;30458;1423
56;25294;6535
57;27089;4825
58;31199;721
59;25418;6499
60;28740;3214
61;27738;4168
62;26207;5743
63;31461;8452
64;28152;3772
65;25885;5977
66;29964;1945
67;26631;5365
68;28365;3547
69;31307;613
70;31711;8200
71;31314;8596
72;30668;1279
73;24961;6958
74;26114;5806
75;25806;6067
76;32385;7534
77;26395;5527
78;27578;4339
79;28555;3349
80;23723;190
81;31780;136
82;28887;3007
83;26880;5041
84;25179;6724
85;28628;3223
86;26871;5050
87;29636;2269
88;31429;487
89;31020;892
90;27894;4015
91;26890;5068
92;29753;2152
93;28397;3502
94;28514;3385
95;28747;3160
96;31076;838
97;25646;6229
98;25745;6211
99;31591;352
100;31081;847
101;31402;514
102;26557;5320
103;25784;6121
104;23341;577
105;27703;4213
106;31274;631
107;30802;1117
108;28741;3106
109;28527;3376
110;33194;6715
111;26215;5698
112;30093;1792
113;29408;2548
114;26597;5311
115;29400;2467
116;31103;766
117;31814;109
118;25168;6742
119;31388;8551
120;28405;3511
121;31045;8866
122;24726;7192
123;30593;1288
124;28725;3268
125;27676;4240
126;26664;5257
127;25259;6652
128;25639;6265
129;29228;2683
130;29994;1990
131;23727;8173
132;26887;5014
133;26724;5149
134;25436;6472
135;31561;8371
136;27974;3898
137;27134;4744
138;28417;3493
139;28243;3646
140;26516;5446
141;24787;7129
142;30202;1720
143;28751;3196
144;30073;1837
145;27727;4177
146;26055;5860
