#Mode:;3
#Device:;nixdorf
#Button:;35
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3120;4744
1;10986;4960
2;8335;7561
3;12156;3736
4;15210;8740
5;12480;3403
6;12510;3385
7;14075;1810
8;15913;7993
9;4404;3466
10;7519;8344
11;9347;6535
12;15320;577
13;10570;5329
14;8288;7669
15;14127;1720
16;8499;7345
17;11706;4204
18;18452;5446
19;18544;5338
20;5312;2620
21;8270;7624
22;11305;4537
23;15053;802
24;13599;2305
25;14970;919
26;3899;4006
27;8944;6958
28;14225;1684
29;9643;6265
30;12748;3169
31;4664;3232
32;7956;8020
33;8530;7282
34;15180;811
35;8135;7786
36;11138;4825
37;15347;8605
38;17455;6445
39;4233;3655
40;12480;3412
41;14238;1666
42;14481;1432
43;10835;5050
44;16888;6976
45;7138;775
46;12557;3358
47;8792;7093
48;13137;2755
49;10923;4978
50;10514;5410
51;7195;721
52;6085;1819
53;8106;7813
54;14701;1252
55;9085;6823
56;15259;8641
57;11166;4726
58;7830;127
59;10967;5005
60;7299;604
61;14753;1153
62;17754;6139
63;16330;7570
64;16558;7327
65;14293;1612
66;4421;3475
67;11882;4015
68;12228;3646
69;15105;820
70;13584;2314
71;16364;7534
72;6829;1081
73;10028;5860
74;11453;4447
75;10385;5509
76;8146;7795
77;11922;4060
78;17199;6670
79;5286;2701
80;6824;1054
81;11040;4942
82;15489;8308
83;13542;2404
84;6951;955
85;13023;2908
86;14371;1531
87;7379;8470
88;8385;7498
89;11539;4366
90;15326;8569
91;16864;7039
92;5975;1936
93;10333;5590
94;11797;4159
95;9577;6310
96;15221;685
97;3143;4735
98;13033;2863
99;6576;1315
100;12143;3772
101;11173;4780
102;17556;6283
103;5371;2521
104;9771;6076
105;10101;5698
106;13016;2881
107;11807;4078
108;18862;5023
109;10093;5761
110;10067;5833
111;12167;3700
112;13119;2764
113;11006;4852
114;15462;442
115;4589;3313
116;13373;2503
117;7202;712
118;8580;7318
119;15871;8029
120;13294;2602
121;10842;5059
122;7098;8794
123;10628;5284
124;13404;2494
125;15242;8776
126;11715;4231
127;12474;3538
128;17990;5932
129;6075;1954
130;11563;4330
131;12551;3340
132;9350;6553
133;13125;2773
134;7457;550
135;9877;6058
136;14473;1423
137;13367;2530
138;16545;7354
139;18010;5878
140;14663;1234
141;5833;2062
142;13253;2575
143;11585;4303
144;7768;8128
145;14969;8929
146;9799;6094
147;4651;3250
148;13536;2359
149;10574;5320
150;14609;1261
151;12923;2980
152;5745;2143
153;7692;226
154;7375;8515
155;12968;2935
156;15978;7921
157;17357;6589
158;17552;6373
159;16454;7444
160;4392;3439
161;7078;8821
162;7511;397
163;17126;6733
164;10349;5545
165;15692;8200
166;6121;1774
167;11845;4051
168;10977;4924
169;12613;3286
170;10073;5824
171;14565;1369
172;18655;5248
173;8980;6931
174;10846;5041
175;14015;1882
176;7139;8785
177;10163;5743
178;15626;316
179;5393;2512
180;8723;7219
181;7320;586
182;15347;8560
183;8286;7525
184;14984;928
185;18518;5275
186;8383;7426
187;12986;2899
188;9745;6220
189;10990;4618
190;14425;1486
191;13771;2116
192;4884;3016
193;7544;379
194;15029;829
195;12887;3043
196;14896;8974
197;10210;5662
198;19568;4321
199;8644;7264
200;7408;496
201;9653;6247
202;7732;8173
203;11014;4879
204;14991;8956
205;17747;6148
206;17457;6436
207;7437;478
208;12384;3511
209;6952;9010
210;13920;1945
211;15332;8488
212;17598;6301
213;13312;2593
214;5284;2638
215;10995;4897
216;7218;676
217;10799;5095
218;13835;2026
219;16706;7192
220;6557;1342
221;13856;2044
222;11859;4033
223;13494;2377
224;12749;3151
225;3822;4087
226;6439;1441
227;12711;3178
228;13188;2710
229;17811;6085
230;15543;370
231;14926;8965
232;16101;7876
233;19183;4717
234;4670;3133
235;6859;9037
236;12108;3790
237;13578;2332
238;14922;8902
239;15948;7957
240;14972;874
241;6159;1711
242;10378;5518
243;14115;1792
244;15797;118
245;12333;3565
246;11515;4375
247;8707;7237
248;12776;3115
249;11702;4195
250;14213;1675
251;9767;6130
252;15611;8317
253;13254;2692
254;16645;7246
255;4790;3079
256;11503;4438
257;7567;8335
258;11084;4771
259;14228;1657
260;5645;2269
261;6961;856
262;10667;5230
263;11151;4672
264;16794;7102
265;14656;1243
266;3508;4411
267;9491;6400
268;12795;3097
269;12305;3601
270;15150;8749
271;14138;1702
272;17306;6607
273;17100;6751
274;18767;5122
275;4386;3520
276;13269;2629
277;13046;2854
278;7258;8623
279;13675;2233
280;14743;1144
281;19509;4393
282;7755;136
283;13596;2287
284;7480;352
285;15098;8839
286;3106;4789
287;5607;2224
288;12266;3556
289;14920;8992
290;9510;6346
291;17019;6922
292;14945;8938
293;13900;2008
294;17030;6877
295;16070;7903
296;10162;5671
297;11089;4816
298;13419;2476
299;7895;8011
300;14982;8911
301;13061;2827
302;17534;6355
303;17548;6418
304;15444;451
305;5314;2611
306;10422;5482
307;9361;6472
308;10098;5797
309;16513;7381
310;17307;6616
311;19001;4888
312;16148;7750
313;14830;9064
314;14833;9073
315;3962;3970
316;6577;1306
317;11236;4663
318;12572;3322
319;7807;109
320;10269;5653
321;9162;6742
322;14866;1036
323;11281;4636
324;14894;1009
325;5360;2539
326;9385;6598
327;10918;4987
328;14380;1513
329;11982;3916
330;15630;280
331;6937;991
332;7255;649
333;12502;3394
334;17607;6238
335;16844;7030
336;4010;3853
337;13179;2746
338;10921;5014
339;13249;2674
340;11683;4240
341;13480;2413
342;17263;6643
343;18929;4996
344;4101;3808
345;6533;1333
346;8348;7543
347;10127;5788
348;2971;4915
349;11395;4501
350;7560;8362
351;15023;838
352;15600;8290
353;13347;2548
354;13438;2458
355;6297;1540
356;8881;7021
357;12076;3754
358;7668;8227
359;12036;3862
360;16166;7741
361;15684;8209
362;18698;5203
363;17867;6022
364;3752;4141
365;9254;6652
366;7225;8695
367;7702;8245
368;12878;3007
369;17698;6211
370;16728;7129
371;5249;2647
372;12662;3277
373;7734;172
374;14232;1576
375;17111;6724
376;17803;6157
377;4924;2971
378;10419;5473
379;10727;5185
380;11495;4402
381;15810;8092
382;15755;163
383;4054;3844
384;13515;2395
385;9471;6427
386;15724;181
387;10879;5032
388;17985;5905
389;18223;5689
390;18257;5635
391;15525;8371
392;17949;5950
393;4055;3835
394;9090;6814
395;7804;100
396;16634;7273
397;6256;1639
398;5470;2422
399;8243;7633
400;10565;5266
401;17992;5887
402;5036;2926
403;8334;7489
404;10988;4906
405;14003;1801
406;13899;1999
407;13613;2296
408;6599;1297
409;13156;2818
410;13335;2557
411;15086;757
412;13927;1963
413;7287;613
414;9554;6319
415;9394;6544
416;14501;1405
417;10602;5293
418;15177;730
419;4130;3763
420;10446;5455
421;10399;5491
422;13721;2170
423;14111;1765
424;17332;6580
425;6920;982
426;12323;3592
427;12112;3781
428;7028;8866
429;12675;3214
430;17922;5977
431;12173;3817
432;16646;7174
433;7494;415
434;10954;4951
435;10100;5734
436;12051;3871
437;9799;6004
438;17901;5986
439;18345;5554
440;17142;6760
441;15150;8758
442;4270;3628
443;9682;6184
444;10117;5779
445;14808;1090
446;15200;667
447;3478;4420
448;5974;1927
449;11523;4348
450;10654;5239
451;14378;1522
452;16219;7687
453;3289;4609
454;7309;505
455;13977;2017
456;8692;7111
457;15147;847
458;16763;7147
459;7273;631
460;13564;2341
461;13674;2206
462;13797;2098
463;9708;6166
464;15467;8443
465;4424;3448
466;6610;1288
467;9463;6463
468;14848;9082
469;11372;4519
470;17114;6841
471;16111;7777
472;15040;8857
473;16188;7804
474;15913;7885
475;3464;4429
476;5516;2386
477;11217;4699
478;9735;6067
479;17572;6229
480;16916;7057
481;7390;469
482;6534;1360
483;11674;4222
484;10358;5464
485;17092;6805
486;5892;1972
487;10424;5437
488;12741;3142
489;12056;3826
490;9935;5968
491;15643;262
492;16610;7291
493;19335;4555
494;19199;4753
495;7728;190
496;9680;6274
497;13775;2125
498;11174;4690
499;15132;766
500;4942;2953
501;7109;8875
502;14271;1549
503;13104;2791
504;8193;7660
505;9051;6868
506;9903;5995
507;15774;8155
508;15503;8398
509;13707;2188
510;4406;3493
511;12628;3295
512;6729;1171
513;8305;7615
514;12601;3259
515;16703;7210
516;15268;8632
517;18191;5707
518;16313;7579
519;6091;1756
520;7780;8119
521;15288;514
522;14703;1198
523;10450;5419
524;18019;5815
525;15963;7894
526;15735;8083
527;14809;9046
528;4823;3052
529;11445;4456
530;7768;8146
531;7730;8164
532;16364;7552
533;15085;8830
534;16565;7363
535;10755;5131
536;18555;5374
537;18140;5752
538;15463;8434
539;4303;3583
540;7386;8506
541;14096;1747
542;12974;2917
543;11858;4042
544;3792;4096
545;6683;1225
546;14775;1126
547;8756;7156
548;12604;3196
549;3527;4294
550;9857;6013
551;7604;298
552;15230;8677
553;16134;7768
554;17215;6625
555;18556;5356
556;3766;4114
557;12477;3421
558;7414;8461
559;14107;1828
560;14966;910
561;10318;5572
562;6178;1729
563;7574;8326
564;12810;3088
565;8076;7831
566;11936;3952
567;3611;4267
568;10230;5770
569;7579;244
570;15478;334
571;15969;7840
572;13058;2845
573;3905;3997
574;5714;2107
575;7870;7984
576;13439;2467
577;13018;2836
578;5792;2035
579;13607;2278
580;11972;3934
581;10180;5716
582;12469;3430
583;7238;8668
584;6541;1387
585;15120;784
586;15132;703
587;12780;3106
588;16891;7012
589;7585;325
590;8400;7507
591;11190;4762
592;7973;7912
593;12217;3709
594;12559;3304
595;14879;8947
596;14947;865
597;5928;1918
598;7860;7966
599;8922;6985
600;14217;1693
601;15648;8236
602;14762;1135
603;15421;487
604;17413;6481
605;6862;1000
606;10034;5869
607;8178;7732
608;9127;6769
609;10301;5599
610;4341;3547
611;7082;793
612;13278;2683
613;8938;6967
614;15702;208
615;3959;3943
616;8832;7048
617;13453;2449
618;12418;3619
619;15060;8722
620;15660;8353
621;15024;8767
622;15756;154
623;17066;6832
624;15606;8389
625;5012;2809
626;12687;3205
627;11293;4600
628;15655;253
629;11342;4546
630;17243;6661
631;17875;6049
632;16137;7759
633;18545;5365
634;16879;7003
635;5641;2215
636;9373;6526
637;9784;6112
638;14855;1045
639;14323;1558
640;11722;4177
641;19620;4285
642;11742;4150
643;6255;1648
644;12214;3682
645;11848;4024
646;12842;3070
647;5658;2242
648;12674;3223
649;7515;8380
650;9388;6517
651;9603;6292
652;16512;7399
653;15370;8533
654;6155;1738
655;6699;1207
656;8160;7705
657;10567;5392
658;10762;5158
659;7656;307
660;11239;4654
661;8188;7714
662;9447;6454
663;15227;694
664;14021;1873
665;3513;4384
666;9050;6859
667;6999;9001
668;14949;964
669;16325;7435
670;5838;2071
671;12512;3484
672;11337;4564
673;15474;433
674;12651;3241
675;11121;4870
676;15340;8659
677;16946;6949
678;16712;7165
679;17998;5896
680;9486;6364
681;5726;2179
682;11538;4357
683;11390;4510
684;10605;5311
685;16260;7642
686;15359;8542
687;7376;532
688;8400;7462
689;12058;3898
690;7621;8218
691;10802;5077
692;15384;8524
693;5355;2566
694;12899;2998
695;12548;3349
696;14509;1396
697;10835;5068
698;13033;2944
699;4992;2989
700;7620;289
701;7772;8110
702;12705;3268
703;16387;7516
704;17116;6787
705;11032;4843
706;7195;8704
707;6057;1846
708;9215;6688
709;11943;3925
710;14823;1063
711;6273;1630
712;8985;6850
713;9369;6562
714;8635;7300
715;15530;8407
716;13007;2890
717;17275;6634
718;16419;7480
719;3294;4591
720;11891;4069
721;11729;4168
722;15437;388
723;8689;7201
724;17665;6256
725;6341;1495
726;11395;4465
727;11764;4123
728;10102;5725
729;14800;1099
730;16397;7471
731;12889;3034
732;10493;5401
733;11053;4834
734;12148;3745
735;14452;1450
736;8607;7309
737;17203;6697
738;3396;4492
739;7695;235
740;7210;8686
741;9222;6715
742;12047;3907
743;15857;8101
744;11272;4645
745;8495;7417
746;10137;5806
747;10318;5581
748;10594;5302
749;16895;6994
750;6101;1783
751;7925;7939
752;10502;5383
753;12238;3637
754;9823;6031
755;15250;640
756;5634;2251
757;7351;8551
758;8971;6940
759;7747;8137
760;10516;5347
761;7142;748
762;13043;2800
763;7367;541
764;13409;2485
765;15878;8047
766;14872;9028
767;15540;361
768;15550;8263
769;4104;3880
770;8444;7408
771;8427;7390
772;10756;5140
773;11032;4861
774;15271;8614
775;5526;2368
776;11783;4105
777;7807;8065
778;12523;3376
779;10723;5176
780;16230;7696
781;16182;7723
782;16070;7849
783;2795;5104
784;6874;9019
785;12161;3727
786;15319;568
787;15690;199
788;16705;7183
789;6405;1468
790;10676;5212
791;13175;2728
792;11205;4681
793;13450;2440
794;17052;6796
795;15354;460
796;5991;1909
797;6513;1378
798;14014;1891
799;14589;1324
800;7395;523
801;12701;3124
802;6610;1216
803;15506;424
804;13910;1981
805;16608;7255
806;19218;4708
807;17714;6175
808;19638;4258
809;5875;2089
810;7005;892
811;14338;1567
812;16931;7075
813;6425;1477
814;13131;2782
815;11550;4339
816;13725;2152
817;15249;8650
818;8369;7597
819;15142;8848
820;14771;9091
821;14258;1594
822;5155;2719
823;6553;1351
824;10348;5536
825;14787;1108
826;6329;1504
827;12457;3502
828;13469;2431
829;7442;8452
830;15320;8578
831;11335;4573
832;12471;3457
833;18783;5113
834;10737;5167
835;5845;2080
836;7103;8803
837;15112;8731
838;11406;4483
839;10490;5428
840;18222;5608
841;4629;3331
842;6408;1585
843;9961;5941
844;15834;8056
845;9567;6328
846;15291;658
847;7555;343
848;6802;1018
849;7638;8254
850;10637;5257
851;18387;5500
852;3410;4474
853;9448;6490
854;14074;1837
855;7425;8497
856;15466;8425
857;16085;7822
858;8466;7453
859;15143;8713
860;7673;217
861;7771;8002
862;11077;4807
863;13786;2053
864;12120;3889
865;14691;1189
866;17694;6202
867;17458;6382
868;19489;4312
869;4429;3367
870;6930;973
871;13700;2197
872;14488;1414
873;17767;6121
874;16763;7138
875;6269;1621
876;11763;4132
877;12101;3799
878;10361;5527
879;9196;6706
880;10807;5086
881;16225;7678
882;4359;3529
883;8820;7084
884;14772;1162
885;14452;1459
886;11954;3961
887;18711;5194
888;17007;6895
889;4704;3187
890;11707;4213
891;6891;8983
892;14875;9055
893;14614;1279
894;11404;4582
895;17504;6391
896;17761;6040
897;18126;5680
898;14946;8884
899;3893;3988
900;11646;4249
901;9709;6193
902;15504;406
903;15283;622
904;16254;7651
905;15589;8299
906;15437;8587
907;15091;8812
908;10248;5644
909;4197;3691
910;9317;6679
911;9973;5923
912;9005;6904
913;8526;7372
914;9501;6409
915;18155;5563
916;3360;4528
917;8560;7336
918;8328;7606
919;8311;7588
920;8779;7120
921;15118;739
922;3532;4276
923;10749;5149
924;9932;5959
925;13878;1990
926;15833;8074
927;10276;5617
928;10949;4969
929;8051;7858
930;12207;3664
931;7014;883
932;15620;8281
933;12736;3160
934;14049;1855
935;6926;1027
936;7429;8479
937;6966;937
938;15729;8182
939;16037;7867
940;16659;7228
941;17352;6571
942;10313;5626
943;15022;8893
944;6778;1117
945;6229;1603
946;7296;8596
947;13533;2350
948;17992;5914
949;10963;4933
950;7776;145
951;13575;2323
952;7366;559
953;17368;6499
954;14961;901
955;4292;3574
956;7868;8038
957;7958;7975
958;7645;8272
959;12833;2962
960;11971;3979
961;6049;1864
962;13241;2665
963;13651;2260
964;12870;3025
965;13771;2134
966;14958;8920
967;16832;7066
968;13238;2656
969;16984;6913
970;19085;4798
971;17003;6886
972;15909;7930
973;19233;4627
974;9122;6778
975;5358;2584
976;12306;3610
977;12198;3718
978;17551;6337
979;17995;5851
980;18663;5221
981;6973;946
982;11735;4186
983;13744;2161
984;13159;2737
985;9403;6508
986;15735;8191
987;15487;8416
988;7636;271
989;12740;3061
990;7958;7948
991;15367;595
992;14004;1900
993;13037;2872
994;4230;3673
995;9797;6103
996;14651;1270
997;14714;1180
998;10036;5842
999;14851;1072
