#Mode:;3
#Device:;rapoo
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;26380;1072
1;46521;8569
2;22801;7237
3;20157;6157
4;19531;8047
5;19553;8020
6;21723;8308
7;26607;883
8;23337;2944
9;23165;4294
10;25273;2278
11;21665;5815
12;23028;4384
13;25631;640
14;23076;5716
15;47055;7957
16;25998;4042
17;48278;6760
18;48766;4987
19;25835;4222
20;47354;7597
21;26010;1504
22;22770;4690
23;23145;4303
24;26207;1360
25;25397;2152
26;26118;1405
27;25858;1657
28;25634;1828
29;21365;8632
30;48022;7021
31;47524;7516
32;26704;3295
33;20910;6517
34;22991;4582
35;25275;2251
36;21611;7138
37;22472;3790
38;22780;4681
39;23481;4177
40;24418;4375
41;23374;4204
42;45082;8830
43;23754;3898
44;22960;4429
45;23451;4015
46;25502;1936
47;25106;1207
48;22942;4618
49;25569;1810
50;22018;6670
51;23675;3844
52;23271;3034
53;25259;2260
54;27276;190
55;24809;2719
56;26809;730
57;22727;4798
58;21475;6004
59;22984;4456
60;46298;8641
61;22725;4807
62;21917;5599
63;24777;2782
64;26461;1126
65;26044;1486
66;20750;6814
67;25106;2359
68;24151;3367
69;26481;1090
70;47564;7480
71;25622;1981
72;20987;6544
73;24577;2935
74;24417;4339
75;47810;7255
76;23690;5167
77;46705;8389
78;24137;3349
79;21430;6031
80;26845;721
81;21472;4789
82;22427;7561
83;22874;4600
84;20409;7102
85;19072;8443
86;24130;2080
87;24043;3574
88;24038;3439
89;23331;4231
90;24970;2548
91;20905;5293
92;19817;7714
93;18583;8875
94;25077;2467
95;24603;2917
96;24667;2890
97;23133;4438
98;25916;1441
99;47254;7786
100;24029;3421
101;22870;4654
102;19263;8263
103;26855;622
104;24596;2980
105;25636;1819
106;24805;2665
107;24512;2998
108;25895;1630
109;49197;5752
110;22402;3916
111;25715;1765
112;23068;4447
113;25997;1567
114;25371;2107
115;44892;8947
116;25091;2422
117;23360;4159
118;20315;7192
119;27229;262
120;46095;7741
121;23462;4060
122;24872;2620
123;25157;2323
124;27067;370
125;22920;5842
126;24075;3340
127;27139;433
128;25571;1954
129;23757;6265
130;26069;1450
131;27146;379
132;25241;2332
133;22584;6175
134;24177;3412
135;23846;3673
136;24799;2701
137;25298;3502
138;47065;8002
139;24963;5023
140;22981;4546
141;25296;2314
142;26344;1135
143;26471;1027
144;23271;4348
145;22141;5473
146;20790;6679
147;21357;7462
148;23382;4033
149;21489;4771
150;23955;3565
151;20285;8470
152;26342;1153
153;27172;316
154;22520;3754
155;24115;4699
156;46902;8092
157;21550;8434
158;46300;8677
159;22149;4114
160;24992;2440
161;25293;2269
162;20064;7399
163;26090;1396
164;24408;1792
165;26846;685
166;19368;8200
167;22306;7840
168;47108;7948
169;26571;973
170;22691;4834
171;18802;8659
172;24766;2827
173;23439;6571
174;20790;6778
175;20529;7075
176;22671;4825
177;25469;2035
178;26087;1513
179;26887;586
180;22096;5374
181;25258;2206
182;22667;4780
183;23269;3043
184;25438;2116
185;22059;6634
186;27000;541
187;26958;658
188;18243;8029
189;23292;5536
190;47636;7345
191;26662;802
192;26233;1234
193;21268;4915
194;22577;4843
195;26670;874
196;48972;6076
197;25048;4978
198;24136;2098
199;23135;4420
200;21198;6373
201;25334;2242
202;47093;7849
203;25270;2341
204;26030;1558
205;23185;4330
206;23911;4816
207;48033;6940
208;25043;4933
209;24967;2476
210;18948;8524
211;22101;5401
212;21655;7084
213;46117;8893
214;47721;7327
215;23460;6535
216;26590;955
217;24511;3052
218;21076;6490
219;25834;4132
220;25710;1846
221;22197;5239
222;20298;5968
223;20992;7687
224;22475;4960
225;22189;5338
226;25752;1747
227;19828;7804
228;24223;3286
229;22855;4627
230;21269;6292
231;26390;1180
232;25299;901
233;46127;8956
234;24336;3124
235;26886;595
236;27119;388
237;21381;7435
238;23374;4195
239;23734;3763
240;23585;3988
241;24780;3979
242;24277;3241
243;46209;8776
244;21264;6247
245;25821;1684
246;22971;4537
247;25543;1999
248;27378;100
249;24305;3223
250;21351;6121
251;27154;271
252;26775;703
253;27357;127
254;24200;3322
255;25129;2404
256;46587;7129
257;25727;1801
258;21633;5833
259;18557;8911
260;26669;892
261;23338;3025
262;25269;2197
263;23549;3970
264;26875;559
265;26286;1225
266;22273;4078
267;19817;7732
268;26968;568
269;25522;3268
270;23264;4249
271;45250;8605
272;24297;3160
273;20691;6805
274;25344;2134
275;25505;4510
276;24696;2872
277;22989;4492
278;22023;5545
279;24805;3961
280;46893;8155
281;22105;7903
282;21383;6085
283;20949;6562
284;22203;5257
285;26524;3475
286;21247;6328
287;22428;5005
288;23179;4357
289;25085;4924
290;24949;2503
291;23466;4141
292;27076;361
293;25233;2179
294;25447;2062
295;23604;2638
296;25448;2161
297;19739;9010
298;48014;7066
299;26792;694
300;45816;7939
301;22314;5311
302;24880;2647
303;24795;2629
304;25002;3880
305;48554;5266
306;24976;2530
307;46784;8227
308;46656;8290
309;25918;4123
310;46590;8362
311;23808;3682
312;45938;9055
313;23571;4006
314;27251;280
315;20891;6625
316;26348;3655
317;46789;8254
318;49107;5860
319;21987;7993
320;20625;6886
321;27187;307
322;26377;1162
323;25975;4087
324;26078;1414
325;21707;5779
326;20637;6877
327;25083;2449
328;48348;6769
329;21500;7300
330;20638;6868
331;24881;2656
332;20575;6967
333;23846;6238
334;46300;7489
335;23899;3646
336;26588;847
337;26309;1315
