#Mode:;3
#Device:;rival
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7520;3475
1;8072;8542
2;7703;7993
3;8700;3988
4;8143;8686
5;7718;7165
6;9086;6553
7;7427;5257
8;8260;433
9;9540;5302
10;9686;3187
11;9366;6670
12;8614;8272
13;8923;7921
14;8836;6184
15;7271;1558
16;6358;6760
17;8000;8803
18;7452;4384
19;8346;1450
20;9392;2521
21;7975;739
22;9635;3070
23;8768;5923
24;10677;5005
25;8553;7399
26;8648;397
27;9299;6733
28;7826;1045
29;7693;8983
30;9175;8659
31;10004;1603
32;7927;6058
33;9159;8884
34;8993;3043
35;8546;4285
36;7769;3844
37;8388;3223
38;6324;1513
39;10687;1351
40;8096;784
41;8822;2215
42;9528;5509
43;10013;4672
44;7471;6589
45;6144;1891
46;8623;253
47;9044;8812
48;8532;7030
49;10348;1783
50;9852;8776
51;8471;3583
52;10297;5635
53;7637;1225
54;6979;3835
55;10224;2404
56;8759;8083
57;10563;4141
58;9777;5059
59;8530;3259
60;6194;1837
61;9744;7309
62;8578;6265
63;8241;8623
64;7266;7588
65;8126;2737
66;10138;2971
67;9774;3097
68;9183;8839
69;9494;5410
70;8273;6445
71;8489;5221
72;6798;5887
73;7410;3403
74;6668;4420
75;10140;4555
76;9024;6499
77;5968;1486
78;6866;1999
79;8488;2332
80;9633;7435
81;8830;5734
82;8835;4780
83;8384;3682
84;8524;8299
85;7871;2683
86;9846;4042
87;10913;4879
88;7200;6724
89;6158;7633
90;10385;7489
91;7011;802
92;6289;8209
93;6693;3898
94;9147;1684
95;8543;2008
96;7268;1594
97;10798;5050
98;7062;7795
99;9552;1297
100;6541;1252
101;7018;2701
102;8139;1477
103;7696;172
104;7034;4537
105;7973;622
106;8045;4087
107;8339;3664
108;7289;3601
109;7182;4861
110;9852;5527
111;7960;1360
112;8185;3871
113;9019;6580
114;8531;3088
115;9066;3448
116;7567;514
117;10261;9073
118;8531;334
119;8749;4132
120;9564;2296
121;8336;5014
122;8542;3025
123;6498;2377
124;7408;1468
125;7270;4609
126;8764;2854
127;7240;4438
128;9678;7930
129;7630;928
130;8017;6490
131;9439;5176
132;9618;2728
133;8009;1378
134;7136;685
135;7460;1909
136;7544;7300
137;9034;2575
138;6949;7885
139;8622;4969
140;9946;5392
141;7906;7201
142;6991;8614
143;9004;6346
144;9361;2773
145;7419;3997
146;6795;4717
147;7156;2629
148;8690;2242
149;8757;343
150;7983;6877
151;8523;3313
152;7763;7102
153;9513;5590
154;7489;3574
155;7758;7003
156;8515;8893
157;6814;2251
158;8895;3196
159;9019;2827
160;9783;5815
161;6784;100
162;9882;4888
163;9247;9082
164;8633;3250
165;7148;5428
166;9842;4771
167;7920;2656
168;8367;496
169;7691;937
170;6399;8704
171;9165;5896
172;8605;1729
173;6903;6652
174;7881;6706
175;9567;559
176;7534;4978
177;7907;1153
178;9187;5932
179;8655;6175
180;8609;8767
181;7879;1198
182;7248;1135
183;8945;3376
184;7251;2557
185;7281;4060
186;9146;6454
187;8972;7219
188;8138;883
189;9147;3718
190;7609;6958
191;8389;6436
192;8853;6211
193;8151;3907
194;10056;2530
195;7633;4708
196;9468;9091
197;7193;5437
198;7577;4987
199;8416;6634
200;9256;5095
201;8476;6157
202;7677;3358
203;9620;2746
204;10715;4150
205;7029;3817
206;10145;7669
207;9202;8911
208;8878;7687
209;7144;703
210;9770;2278
211;8664;2881
212;9566;1459
213;7289;1000
214;8800;5977
215;9695;2413
216;8138;910
217;9460;8074
218;10167;8182
219;7006;1774
220;7782;7057
221;9507;5599
222;9684;5680
223;9945;8497
224;7437;5104
225;8998;3115
226;7079;7273
227;8905;2179
228;8158;6625
229;8517;6337
230;8704;8470
231;8161;3700
232;9157;8344
233;8738;4105
234;7694;3826
235;10737;1405
236;7704;3862
237;8506;2341
238;9492;5356
239;7721;8119
240;7978;2836
241;9979;5878
242;8676;1189
243;9849;2998
244;7328;541
245;6540;3304
246;8946;8173
247;7912;919
248;10437;4429
249;7741;829
250;6375;5464
251;6390;2143
252;6361;6535
253;7792;5941
254;8849;5986
255;9489;8362
256;8059;3781
257;7988;865
258;8723;2395
259;7653;4195
260;8535;4312
261;7338;3547
262;8182;6382
263;9831;8164
264;8027;2782
265;7329;550
266;7796;1063
267;9369;8488
268;8518;379
269;7457;1333
270;8323;1144
271;8561;4303
272;8371;7183
273;9961;4897
274;8153;6697
275;9189;2386
276;8716;3151
277;10597;1234
278;9707;8155
279;9716;2458
280;9574;1270
281;8474;5122
282;9147;2620
283;7400;3385
284;9681;109
285;7790;6067
286;8768;2323
287;9879;5644
288;9563;6949
289;10050;5707
290;9012;3124
291;9908;4834
292;7829;3943
293;7518;3367
294;7675;7255
295;8214;3241
296;8284;7498
297;7299;1441
298;10313;5842
299;7567;7264
300;8144;1630
301;7429;1423
302;7691;1396
303;6997;3565
304;9820;6022
305;10734;7939
306;9462;5113
307;6855;6661
308;7972;3142
309;7895;2602
310;8319;1810
311;9826;4267
312;6164;7336
313;5921;4726
314;7905;946
315;7469;9019
316;7693;6967
317;10315;5473
318;9048;6607
319;8630;6976
320;8575;8065
321;9616;8128
322;8650;6400
323;7587;7426
324;8278;8929
325;8357;1504
326;9395;6256
327;7296;7534
328;6843;5032
329;6638;2206
330;6761;1900
331;8983;5860
332;9185;676
333;8652;6427
334;8425;3421
335;6991;847
336;9103;5752
337;7724;1126
338;7021;7786
339;7492;4564
340;8210;3430
341;8531;3322
342;9772;298
343;9801;5041
344;9775;4033
345;7384;7777
346;6573;4753
347;7609;4762
348;8175;7849
349;6690;4654
350;9646;5239
351;7290;7543
352;8755;424
353;7589;1261
354;9424;2917
355;6647;4213
356;8477;3160
357;8395;8947
358;10132;4870
359;8616;2269
360;6279;7084
361;8165;3610
362;8076;3763
363;9272;2152
364;7770;4249
365;7863;4483
366;8519;5329
367;9973;1657
368;8941;2512
369;9723;5995
370;9845;5851
371;8195;982
372;8820;7048
373;8545;640
374;8115;748
375;7656;4186
376;8983;5869
377;9491;8875
378;7645;4177
379;7733;7174
380;6708;7606
381;6515;856
382;6547;7642
383;7980;8722
384;9519;5284
385;8259;1108
386;7926;5419
387;7954;1315
388;9309;1576
389;9380;8398
390;8637;2926
391;7715;5338
392;8331;6679
393;9792;5518
394;8399;6904
395;7962;3880
396;8375;757
397;8623;8434
398;8777;7831
399;6003;7552
400;9329;8524
401;7994;3394
402;8491;7129
403;8015;4294
404;7090;2053
405;7529;2944
406;8274;5788
407;8844;2980
408;7230;7579
409;7930;6913
410;8377;469
411;8283;6571
412;7766;4069
413;9798;8245
414;7521;7345
415;7431;4627
416;8826;586
417;8093;1540
418;8962;1171
419;8743;3592
420;6598;4258
421;7767;7381
422;7193;4690
423;7441;7192
424;9932;4699
425;9099;5482
426;7595;8785
427;7548;838
428;9392;4951
429;9622;6130
430;9889;3529
431;9530;2368
432;8927;3655
433;8951;5662
434;7863;4240
435;8986;6616
436;7067;2566
437;9698;2899
438;9117;8380
439;10243;4924
440;7832;1585
441;8432;2953
442;7308;5131
443;9121;3286
444;7710;6148
445;9713;4825
446;7561;4339
447;7613;4006
448;8580;3556
449;8935;5716
450;10029;2359
451;8347;793
452;8031;2800
453;8803;3232
454;7746;8092
455;9068;2314
456;10027;4591
457;6883;1162
458;8339;3709
459;9527;8281
460;8841;2035
461;8872;5212
462;9878;1936
463;7086;1243
464;9330;8713
465;8235;6247
466;9145;3754
467;10261;4744
468;8136;8920
469;10375;5500
470;7511;1324
471;7912;6985
472;7848;7741
473;6423;8191
474;7134;6922
475;8865;8011
476;10217;5365
477;9487;388
478;7366;5248
479;9889;5725
480;8180;3619
481;8560;3340
482;8827;5293
483;9790;1279
484;8115;6751
485;8671;190
486;7458;1369
487;8942;667
488;8400;3412
489;7130;1666
490;6479;6103
491;6793;7759
492;10175;8425
493;8383;487
494;9726;1099
495;6679;1180
496;8102;4015
497;8465;4402
498;8073;7012
499;9211;5617
500;9266;4816
501;10247;7570
502;9194;2638
503;8862;6994
504;9372;5491
505;7507;1342
506;6945;5914
507;9748;3106
508;8183;3628
509;9961;7903
510;7924;7660
511;9547;8002
512;8780;9064
513;7338;9055
514;7185;5806
515;8529;2539
516;6960;6193
517;9248;6310
518;9042;6814
519;8479;6472
520;9540;8308
521;8118;2755
522;8540;6238
523;9395;5194
524;10486;8137
525;8283;6274
526;7216;6409
527;7424;4393
528;8142;3934
529;8315;505
530;7161;8443
531;10717;8146
532;8128;2476
533;7133;5968
534;7951;118
535;10170;4510
536;8279;5545
537;9029;5536
538;8423;2197
539;8014;694
540;8281;7516
541;7704;6931
542;9786;4231
543;9874;8965
544;6911;4681
545;9162;2647
546;9264;2584
547;6167;1621
548;8529;2989
549;10704;4123
550;7274;6805
551;8237;7327
552;6686;8200
553;6902;7111
554;9475;8335
555;8720;2116
556;7827;7975
557;8758;5275
558;7523;6031
559;9359;5446
560;7072;8479
561;9572;5347
562;8059;7444
563;8739;2125
564;8526;6013
565;8577;3502
566;7718;2845
567;7630;478
568;7954;6886
569;9525;8020
570;7482;2611
571;9461;5086
572;9365;5455
573;9525;6328
574;8186;6850
575;10310;8848
576;8232;613
577;6643;226
578;9962;3889
579;6271;7912
580;8356;6787
581;8603;217
582;9453;649
583;5881;8227
584;7302;523
585;8837;2674
586;7184;1090
587;8284;2233
588;8713;8407
589;7061;1306
590;6899;6940
591;6543;811
592;8068;7021
593;6894;4321
594;9380;145
595;8088;604
596;7887;5266
597;8274;8551
598;6753;2098
599;9051;1207
600;9810;3538
601;9685;3745
602;9301;3511
603;10101;5950
604;7170;8677
605;7134;7876
606;8762;3808
607;8876;6283
608;9118;5743
609;9858;2719
610;9052;9037
611;7683;4051
612;8495;370
613;8827;568
614;9406;3466
615;9588;8263
616;9004;5905
617;8479;6643
618;7973;7453
619;8979;7120
620;10158;2890
621;7022;1567
622;7472;7390
623;8873;2665
624;7764;7822
625;7026;8740
626;8597;1432
627;7850;289
628;9315;5770
629;9499;3295
630;8003;6220
631;8899;8956
632;7819;1963
633;10143;7417
634;8030;7075
635;7621;6823
636;9994;5563
637;9463;6094
638;7237;5311
639;7255;262
640;7594;964
641;9201;2908
642;8840;8587
643;7888;2134
644;9685;6715
645;7205;4330
646;6287;1549
647;8492;316
648;7097;7750
649;8075;6778
650;8613;7561
651;6737;4573
652;7237;4411
653;8998;8821
