#Mode:;3
#Device:;sunplus
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;21286;2575
1;18595;5266
2;19744;4141
3;23689;262
4;22720;1171
5;23214;703
6;24776;7120
7;19681;4204
8;23773;118
9;23197;712
10;22718;1180
11;18534;5356
12;23488;424
13;25086;6805
14;23608;298
15;21417;2467
16;20062;3826
17;21334;2548
18;17744;6157
19;25445;6418
20;22121;1774
21;24634;7255
22;19077;4816
23;18584;5311
24;17267;6625
25;23000;910
26;22803;1099
27;23617;8281
28;23067;8857
29;20270;3601
30;24043;7858
31;21499;2395
32;20015;3916
33;19499;4384
34;19657;4231
35;23662;8236
36;18599;5293
37;24349;7552
38;19825;4105
39;25887;5977
40;24385;7516
41;20716;3178
42;21197;2701
43;23355;8488
44;24738;7147
45;21676;2224
46;21376;2530
47;22960;973
48;19301;4546
49;21435;2476
50;18395;5491
51;16567;7336
52;23266;640
53;23002;883
54;19599;4276
55;18064;5842
56;24211;7687
57;23523;8371
58;18948;4942
59;18177;5617
60;23419;8479
61;22179;1729
62;21673;2215
63;23528;379
64;23469;442
65;18311;5581
66;25712;6184
67;18591;5302
68;20879;3124
69;20889;2989
70;18844;5050
71;22512;1369
72;15960;7939
73;23165;8749
74;23648;8254
75;22332;1567
76;16151;7795
77;20463;3421
78;23326;514
79;22987;838
80;22642;1261
81;20845;3052
82;23752;8146
83;19676;4222
84;20078;3835
85;25389;6490
86;18266;5635
87;20975;2917
88;23895;8002
89;24519;7372
90;22440;1387
91;24103;7759
92;19882;4006
93;21524;2386
94;17673;6220
95;23158;8731
96;23365;496
97;24269;7633
98;22589;1288
99;19541;4357
100;23766;145
101;22884;9019
102;18513;5374
103;26133;5770
104;19896;3997
105;18808;5086
106;23815;8092
107;21246;2746
108;20191;3709
109;24254;7642
110;24139;7750
111;24962;6922
112;21348;2557
113;22047;1855
114;20743;3160
115;22987;8920
116;20835;3061
117;20539;3349
118;22711;1252
119;22116;1783
120;22626;1234
121;16692;7201
122;23508;316
123;23138;775
124;23927;7984
125;26339;5563
126;18957;4924
127;18700;5212
128;22871;1090
129;20647;3241
130;25273;6616
131;23242;8641
132;20372;3529
133;23555;325
134;25885;6067
135;21752;2152
136;24359;7534
137;23010;8821
138;19082;4807
139;22233;1675
140;24501;7363
141;21058;2863
142;23680;226
143;21400;2440
144;22656;1216
145;20561;3331
146;23817;8065
147;23073;829
148;21493;2413
149;22837;1009
150;26244;5653
151;24005;7894
152;23691;8209
153;17896;6004
154;20225;3673
155;23580;8272
156;22229;1666
157;23741;8155
158;23109;8785
159;23121;730
160;23733;172
161;17782;6139
162;19942;3952
163;19608;4285
164;18124;5779
165;21196;2683
166;19579;4213
167;24157;7822
168;21833;2062
169;23026;8866
170;20302;3574
171;23042;856
172;22587;1315
173;24597;7264
174;22761;1144
175;21814;2080
176;23687;8182
177;22808;9082
178;21125;2782
179;25010;6967
180;17512;6373
