#Mode:;3
#Device:;tramani_wired
#Button:;298
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12323;3592
1;13210;2692
2;11089;4825
3;12896;3016
4;12128;3790
5;12690;3250
6;15535;388
7;15300;8632
8;26298;5608
9;15755;109
10;15717;208
11;23892;8020
12;22848;1072
13;25353;6526
14;20165;3754
15;21012;2899
16;24713;7210
17;21452;2458
18;23253;658
19;20111;3799
20;23783;154
21;15412;505
22;14376;1549
23;12709;3214
24;23877;8065
25;12723;3178
26;10725;5167
27;23251;8695
28;23333;8560
29;15974;7939
30;17499;6436
31;16894;7021
32;17832;6094
33;13189;2719
34;13266;2701
35;13508;2485
36;12579;3331
37;19528;4402
38;14760;1171
39;15184;730
40;26404;5518
41;11457;4456
42;14568;1351
43;14136;1792
44;12989;2926
45;15533;406
46;16671;7255
47;24945;6976
48;20628;3295
49;23995;7849
50;20921;2989
51;21364;2557
52;24846;7084
53;23431;469
54;16229;7696
55;18174;5752
56;23000;964
57;20895;3007
58;10790;5140
59;23744;8173
60;17994;5914
61;21137;2773
62;23055;8866
63;23338;8524
64;20517;3394
65;23630;271
66;22410;1459
67;21542;2359
68;22868;9073
69;23178;8758
70;18308;5536
71;20027;3889
72;20300;3637
73;19251;4654
74;20651;3268
75;23763;8155
76;18381;5491
77;20100;3817
78;19383;4519
79;23278;640
80;18183;5743
81;17427;6490
82;20358;3556
83;15224;703
84;11010;4933
85;14037;1882
86;13643;2269
87;17047;6877
88;24339;7570
89;22942;982
90;23847;8074
91;16538;7381
92;23947;7930
93;16985;6913
94;18556;5383
95;23576;8335
96;23485;487
97;20997;2881
98;22425;1486
99;16746;7120
100;21916;1999
101;19813;4105
102;18842;5077
103;24855;7057
104;23453;8479
105;23816;118
106;21984;1936
107;17820;6103
108;22649;1288
109;18811;5095
110;19893;4060
111;21974;1963
112;25018;6922
113;23678;262
114;19580;4339
115;24216;7741
116;21901;2053
117;23182;8731
118;22321;1621
119;18611;5302
120;19607;4312
121;22188;1720
122;24897;7030
123;21338;2647
124;21304;2629
125;23667;8281
126;17793;6130
127;16001;7858
128;22261;1657
129;18816;5113
130;23893;8038
131;18267;5734
132;23144;784
133;23100;838
134;17675;6193
135;21498;2395
136;11634;4258
137;14072;1837
138;24813;7102
139;20821;3115
140;23809;8101
141;19531;4411
142;23148;775
143;22835;9091
144;21688;2224
145;22019;1900
146;20602;3322
147;24635;7354
148;18444;5419
149;21907;2017
150;16693;7237
151;20220;3691
152;22073;1855
153;11702;4285
154;13842;2125
155;12959;2962
156;13679;2242
157;19739;4177
158;23464;8452
159;21785;2143
160;19994;3925
161;25596;6346
162;23664;8263
163;17613;6373
164;18989;4924
165;22950;973
166;20776;3160
167;17326;6589
168;17969;5950
169;15284;622
170;11084;4834
171;15591;334
172;26891;5023
173;13292;2620
174;14215;1711
175;23495;8416
176;23143;8821
177;18097;5815
178;18637;5311
179;20836;3070
180;21405;2512
181;21777;2152
182;10918;5005
183;12906;2944
184;11839;4087
185;11834;3403
186;15518;8398
187;14962;955
188;13375;2539
189;26606;5329
190;14919;991
191;13606;2323
192;15245;667
193;15167;739
194;14975;8947
195;10370;5554
196;26553;5365
197;21180;2737
198;24952;6967
199;23751;8227
200;23033;883
201;19285;4636
202;21836;2080
203;24325;7597
204;17100;6796
205;18226;5770
206;17447;6481
207;17377;6535
208;22178;1738
209;22706;1207
210;23469;8470
211;16302;7642
