#Mode:;3
#Device:;trust_oni_wireless
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;22016;1738
1;26658;5167
2;28309;3529
3;29025;2827
4;27380;4456
5;24654;7183
6;23984;7867
7;18299;5554
8;26569;5203
9;24314;7525
10;14821;1009
11;29789;2080
12;29531;2296
13;23564;8290
14;30743;1000
15;26294;5563
16;24076;7768
17;28259;3583
18;26536;5230
19;18944;4897
20;27463;4375
21;22785;9055
22;28308;3628
23;27750;4087
24;22611;1216
25;31381;442
26;26619;5194
27;26112;5743
28;26686;5131
29;27062;4771
30;23041;8794
31;23401;8389
32;28913;2935
33;19584;4258
34;26769;4978
35;26630;5221
36;30026;1810
37;30521;1324
38;15600;244
39;29535;2287
40;15630;8227
41;25839;6004
42;31245;604
43;26212;5653
44;24506;7336
45;17530;6301
46;31084;712
47;30411;1432
48;15275;568
49;31448;370
50;26938;4906
51;23704;8146
52;18559;5329
53;14720;1126
54;28054;3799
55;21507;2431
56;29027;2818
57;31472;388
58;26896;4942
59;28083;3781
60;21096;2854
61;30658;1180
62;20147;3700
63;29270;2575
64;23619;8209
65;28858;2980
66;25880;5941
67;15575;8254
68;26455;5419
69;31655;199
70;14719;1108
71;23191;8650
72;28015;3826
73;29636;2188
74;28753;3088
75;29702;2107
76;25475;6454
77;13631;2134
78;30116;1747
79;23900;7912
80;29017;2809
81;30955;856
82;26558;5257
83;26896;4987
84;21170;2701
85;23471;8380
86;30941;901
87;29567;2278
88;23494;8344
89;23472;8371
90;23873;7966
91;15297;8533
92;27796;4069
93;27224;4636
94;23090;8776
95;23087;8821
96;16134;7714
97;30784;1054
98;30621;1234
99;29831;2008
100;30327;1522
101;24743;7084
102;25963;5887
103;23084;766
104;27243;4609
105;28031;3817
106;25682;6076
107;23873;7993
108;21840;2017
109;25639;6211
110;22886;8983
111;24431;7435
112;26072;5779
113;28975;2899
114;23658;8182
115;17336;6508
116;23306;8560
117;29248;2611
118;14458;1297
119;22915;8974
120;23134;703
121;15377;496
122;29679;2071
123;17655;6202
124;27961;3907
125;26959;4915
126;28023;3790
127;27907;3970
128;23564;316
129;27166;4672
130;31689;190
131;28668;3178
132;27726;4123
133;23522;334
134;25286;6607
135;29387;2494
136;15381;505
137;23940;7930
138;19301;4555
139;29488;2386
140;23609;8218
141;26161;5725
142;26024;5860
143;15519;8353
144;28427;3448
145;30872;991
146;26907;4960
147;31511;280
148;19823;4042
149;22842;9019
150;25832;6040
151;27432;4420
152;29542;2305
153;25803;6094
154;30394;1477
155;18527;5356
156;23564;8317
157;16327;7552
158;15182;685
159;24863;7012
160;22113;1711
161;29111;2764
162;26398;5464
163;27060;4798
164;31555;298
165;22111;1675
166;27471;4411
167;26919;4951
168;24640;7228
169;24444;7444
170;14210;1657
171;27026;4852
172;25194;6679
173;27917;3961
174;23885;8002
175;14236;1630
176;29976;1891
177;30710;1171
178;28834;3052
179;28210;3682
180;26300;5590
181;27361;4483
182;26810;5059
183;23639;8245
184;15988;7885
185;14384;1486
186;28662;3214
187;17365;6553
188;23399;8524
189;27346;4519
190;27036;4843
191;23737;8164
192;19238;4645
193;28263;3619
194;26368;5500
195;28645;3133
196;26696;5185
197;15769;118
198;27182;4681
199;26336;5536
200;25627;6247
201;27165;4573
202;14457;1396
203;24870;6994
204;23773;100
205;29049;2908
206;28163;3727
207;24826;7057
208;23482;8479
209;21675;2170
210;25988;5905
211;31287;586
212;24962;6913
213;29567;2260
214;16590;7255
215;14920;946
216;27178;4663
217;21073;2800
218;26485;5392
219;24533;7309
220;24755;7039
221;30504;1369
222;15460;415
223;28723;3142
224;29759;2125
225;25220;6661
226;28526;3340
227;28455;3421
228;28506;3223
229;14798;9082
230;29289;2593
231;23837;8047
232;26279;5680
233;25400;6499
234;28889;2953
235;27380;4492
236;19708;4159
237;15406;478
238;26066;5824
239;23490;352
240;15102;730
241;29010;2836
242;29196;2728
243;29934;1945
244;18577;5275
245;29232;2620
246;26117;5752
247;29541;2395
248;28717;3169
249;15613;8416
250;30290;1576
251;24460;7426
252;26187;5671
253;27645;4222
254;29024;2845
255;24859;7129
256;23012;865
257;28068;3754
258;23841;8038
259;24479;7390
260;25072;6805
261;19190;4699
262;23167;8713
263;25060;6814
264;26574;5266
265;29948;1819
266;14611;1252
267;31126;739
268;27476;4402
269;30501;1468
270;31491;397
271;24295;7561
272;27884;3997
273;15657;226
274;15273;595
275;30206;1639
276;28947;2926
277;25192;6688
278;20134;3745
279;30391;1378
280;30762;1099
281;24436;7417
282;29218;2647
283;19716;4177
284;27993;3889
285;30970;910
286;27266;4564
287;27637;4231
288;24388;7489
289;30241;1648
290;15971;7894
291;24485;7399
292;25461;6436
293;24365;7507
294;22980;8992
295;18657;5212
296;27834;4033
297;23756;8092
298;26465;5455
299;24648;7219
300;29234;2638
301;29015;2863
302;19552;4330
303;29230;2683
304;27264;4600
305;29487;2476
306;23237;8641
307;26386;5482
308;26727;5095
309;15392;8488
310;25730;6148
311;29527;2323
312;28437;3439
313;29019;2872
314;22437;1513
