#Mode:;3
#Device:;xbox360_wired
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;9324;6589
1;8022;7930
2;9860;2062
3;5436;6562
4;12561;3367
5;7385;532
6;7099;4834
7;10797;5131
8;7784;145
9;3772;8209
10;6867;1081
11;5928;5986
12;7699;226
13;7369;8533
14;6946;4960
15;7369;541
16;5108;2791
17;7850;4078
18;9533;6391
19;10357;5563
20;4101;7858
21;4857;7075
22;8272;7651
23;7363;595
24;9392;2539
25;5858;2035
26;6370;5545
27;8372;7543
28;5195;2719
29;7977;3925
30;10711;5185
31;10096;5851
32;7958;3952
33;6854;5122
34;9425;6544
35;6605;1315
36;5105;6805
37;5772;2116
38;8704;3196
39;9897;1999
40;12739;3178
41;8628;7273
42;9203;2701
43;3934;8038
44;12109;3835
45;5096;2818
46;8119;3853
47;7348;586
48;4516;7399
49;3519;8461
50;12548;3376
51;5522;2440
52;5614;6319
53;6024;1936
54;8361;3610
55;6943;4951
56;6768;1144
57;4962;6949
58;11282;4654
59;7040;8857
60;6857;5086
61;7505;433
62;7095;838
63;10252;1675
64;12562;3358
65;8138;7777
66;9256;2674
67;5631;6256
68;12894;3025
69;7584;352
70;4625;7264
71;9271;6697
72;9815;6049
73;3268;631
74;8506;7444
75;5947;1963
76;9043;2809
77;6923;1000
78;5689;6166
79;4436;7498
80;7774;8227
81;11795;4069
82;3762;208
83;6930;928
84;4857;7093
85;5266;6706
86;8301;7624
87;3766;4132
88;11212;4717
89;5927;1918
90;6439;5527
91;6866;1036
92;10672;1288
93;7697;4222
94;12135;3790
95;4521;3385
96;10460;1468
97;11774;4141
98;6441;1486
99;4337;7588
100;9562;6337
101;6688;1252
102;4918;6994
103;9538;6382
104;11066;4852
105;11872;8011
106;4519;7354
107;7501;415
108;7357;8605
109;3019;910
110;12471;3439
111;7766;163
112;7785;4123
113;6784;1117
114;10288;1639
115;5023;6886
116;5631;2341
117;10038;1891
118;6345;1540
119;10151;5770
120;6359;5608
121;7274;8587
122;11212;4690
123;9198;2710
124;4769;7138
125;10038;5878
126;4775;3151
127;7018;4897
128;7380;505
129;7865;4042
130;7526;379
131;6924;9001
132;7613;4285
133;4020;7912
134;9267;6625
135;6447;1477
136;6936;4969
137;7696;8164
138;10721;5203
139;11209;8677
140;5774;6157
141;6300;5680
142;12703;3241
143;10791;5104
144;4210;7768
145;4939;7012
146;5525;2386
147;8211;3709
148;5774;2143
149;5942;1981
150;6935;1027
151;10684;1234
152;6527;5437
153;13547;2377
154;12192;3655
155;5943;5977
156;6355;5626
157;12713;3205
158;6353;1585
159;7721;4159
160;13177;2728
161;6543;1333
162;7113;4789
163;5855;1990
164;5836;6094
165;6780;5167
166;12846;3133
167;10550;5383
168;6679;5257
169;3184;8812
170;7594;343
171;5510;6373
172;7446;496
173;5761;2197
174;9429;2485
175;6444;1504
176;8109;3754
177;7123;856
178;7199;8659
179;7622;4240
180;11046;4816
181;12403;3511
182;8285;3592
183;9385;2467
184;12315;3529
185;9640;6292
186;11046;8929
187;10432;1450
188;9617;2314
189;12183;3736
190;11441;4474
191;3458;478
192;12641;3304
193;8870;7039
194;12146;7759
195;8456;3466
196;6446;5455
197;10372;5482
198;4966;2926
199;7003;901
200;7429;487
201;9859;2107
202;6138;1765
203;6170;5779
204;7136;739
205;5133;2755
206;9355;2611
207;12657;3223
208;11136;4726
209;4733;7120
210;7760;8092
211;6821;1099
212;10315;1603
213;10205;5788
214;5943;1945
215;9308;2602
216;10086;5761
217;5608;2332
218;9644;2323
219;13294;2557
220;8703;7291
221;12013;7831
222;9280;2692
223;6755;5158
224;6767;1153
225;5195;6679
226;3454;8452
227;10947;4987
228;9186;6733
229;7670;4204
230;7428;4519
231;5194;2683
232;10791;1126
233;4107;7795
234;6526;1378
235;5781;6121
236;3176;8767
237;10379;5509
238;11195;4762
239;7790;136
240;10633;5302
241;7503;4456
242;4020;7921
243;7113;865
244;11152;829
245;6948;4978
246;7368;604
247;9056;2863
248;7871;4105
249;10872;5050
250;7863;8056
251;3773;199
252;13109;2746
253;6227;1756
254;9297;2548
255;12746;3214
256;5167;2737
257;9854;2089
258;8200;7714
259;4356;3538
260;9408;2431
261;11703;4231
262;7676;8272
263;5316;6571
264;6782;5113
265;5364;2521
266;8962;2935
267;3627;8263
268;11755;4213
269;9457;6436
270;4517;7372
271;8793;7129
272;5708;2179
273;7266;4699
274;11456;4465
275;6872;9064
276;10296;1630
277;6780;5194
278;12785;3142
279;6521;1396
280;6767;5221
281;11933;3988
282;8534;7390
283;8511;3412
284;7951;3970
285;7197;8740
286;5279;2575
287;4603;7309
288;7252;640
289;11632;8308
290;5580;6328
291;6703;5212
292;5176;2764
293;7288;4609
294;6762;1162
295;8705;7210
296;6600;5347
297;8267;3700
298;9452;6463
299;10235;5662
300;9119;2782
301;7103;820
302;11487;8425
303;10972;8920
304;5938;5995
305;3606;8299
306;12867;3061
307;11754;4168
308;8008;3916
309;4334;7642
310;9828;6031
311;8366;7615
312;8916;3052
313;8107;3781
314;6285;1648
315;6184;5734
316;7505;4420
317;6200;1711
318;4182;7741
319;3932;7966
320;6116;1810
321;3506;424
322;12697;3268
323;6361;1522
324;5027;6868
325;10882;5032
326;4437;3502
327;7598;325
328;8793;7102
329;7957;3979
330;5686;2233
331;4855;7021
332;3771;8146
333;5687;2188
334;7030;4843
335;8851;3088
336;10046;5842
337;9114;6814
338;9530;2395
339;8094;3826
340;8199;7660
341;9372;6481
342;8619;3295
343;9942;1972
344;5696;2278
345;5779;6211
346;5940;6013
347;12555;3331
348;4271;3673
349;6532;5428
350;7120;8821
351;9845;6085
352;10681;1189
353;7054;4861
354;7195;721
355;4018;7885
356;7950;3961
357;11208;4708
358;6853;1072
359;9089;6823
360;5532;2350
361;4515;7435
362;11171;4744
363;9615;6346
364;7536;4393
365;4294;7597
366;7505;460
367;6744;5149
368;3630;8317
369;8934;6967
370;7846;8029
371;3370;559
372;12887;3034
373;9690;6193
374;10548;1405
375;6314;1567
376;10021;5869
377;7078;4879
378;7259;676
379;5728;2206
380;7512;442
381;7865;8020
382;3539;406
383;6156;1729
384;4656;7282
385;5403;6490
386;7658;8236
387;11736;4186
388;9943;2017
389;10622;5293
390;11235;4672
391;9690;2224
392;4460;7471
393;5809;2098
394;12374;7552
395;10109;1792
396;3816;8065
397;8870;7111
398;10895;5014
399;4730;7237
400;9020;2845
401;6916;1018
402;12204;7723
403;5825;6103
404;7168;748
405;9540;6427
406;4203;7687
407;6339;5572
408;9698;6229
409;9514;6472
410;10970;946
411;5072;6787
412;7016;8902
413;11387;4501
414;3725;172
415;6534;1351
416;8039;3880
417;7625;298
418;7786;8110
419;7366;4537
420;11241;4681
421;4772;3106
422;6967;937
423;4773;3160
424;7028;874
425;7195;703
426;8290;3646
427;12930;2989
428;6361;1549
429;9396;2503
430;10537;5374
431;11627;4294
432;3430;514
433;6467;1441
434;6106;5824
435;7618;271
436;7694;262
437;6261;5617
438;11286;4663
439;10624;5275
440;10199;1783
441;4854;7066
442;7514;451
443;6348;5536
444;7598;4267
445;5607;2359
446;9087;2836
447;5268;6643
448;7452;8407
449;7757;8173
450;9367;2593
451;12187;3772
452;5012;2899
453;9021;2881
454;6687;1216
455;6420;5518
456;6268;5653
457;7280;8632
458;9005;6940
459;9040;2854
460;6216;5689
461;13272;2665
462;4921;2998
463;8279;3628
464;6089;1828
465;9643;2260
466;7007;4933
467;9962;5941
468;9290;6616
469;11445;8497
470;10558;1360
471;10947;8983
472;3008;8947
473;5773;2161
474;4770;7147
475;7865;4060
476;5515;2404
477;7613;4366
478;7445;4546
479;10926;5005
480;4938;6976
481;5947;5968
482;7860;8002
483;7751;127
484;6610;1324
485;5836;2044
486;7693;235
487;11572;4330
488;5106;6778
489;9007;2917
490;6194;1720
491;6078;5887
492;4693;7219
493;8528;7453
494;10783;5176
495;5613;6274
496;6760;1180
497;7768;8155
498;7385;4510
499;6448;5473
500;12375;3547
501;11668;4258
502;5002;6913
503;9956;2008
504;9698;6265
505;7697;154
506;7363;4555
507;9978;6004
508;6111;1738
509;7117;4807
510;9620;6283
511;8724;3259
512;7353;4573
513;6635;1342
514;8292;3619
515;10205;1693
516;8347;7525
517;9201;6751
518;6612;5320
519;6158;5752
520;6516;1423
521;11460;8434
522;11958;7948
523;4712;7183
524;5580;6310
525;11542;4411
526;4482;3457
527;7836;4114
528;10104;5833
529;7744;181
530;7844;109
531;11530;4429
532;11546;8353
533;8840;3079
534;3604;8326
535;7231;8686
536;7893;7993
537;2799;1171
538;11986;3934
539;5495;2458
540;9013;6841
541;7620;8389
542;8182;3763
543;6411;5500
544;10618;5284
545;7173;8731
546;7822;4024
547;5722;6202
548;11812;4087
549;4545;3313
550;6483;1387
551;6919;991
552;8181;3727
553;7589;289
554;7739;4150
555;10781;9073
556;4645;7246
557;7163;8776
558;8508;7408
559;8920;2980
560;6161;5725
561;11630;4303
562;9607;6238
563;7068;4906
564;7147;4798
565;5832;2134
566;11330;8623
567;4548;7381
568;7593;307
569;11122;8803
570;5606;6355
571;10370;1558
572;8065;7867
573;7275;8578
574;11134;8866
575;8556;3394
576;4361;7570
577;8127;7876
578;6448;1459
579;7305;4582
580;6952;973
581;12115;7804
582;5853;6067
583;6612;1297
584;4801;3097
585;10127;1801
586;6947;8956
587;8098;7840
588;4863;7003
589;6112;5797
590;5535;2368
591;4275;7669
592;9428;2494
593;6884;1009
594;4042;7939
595;6439;5419
596;12482;3475
597;8587;7300
598;10223;1747
599;7215;784
600;3685;244
601;7193;8794
602;9532;6400
603;6278;5698
604;3596;8254
605;6442;1531
606;5432;6418
607;8783;3187
608;5944;1900
609;9530;2476
610;5253;6607
611;5696;2296
612;9846;2071
613;4340;7579
614;9954;5959
615;8576;7327
616;7920;4006
617;5360;6517
618;8730;7174
619;10865;5041
620;6693;5230
621;4439;7462
622;6523;1369
623;5933;6022
624;4424;7507
625;5428;2530
626;10686;1261
627;9524;6364
628;7026;892
629;7528;4384
630;7617;8281
631;10272;5671
632;5108;6796
633;10962;8938
634;5133;6832
635;12644;3277
636;7945;7975
637;7783;4177
638;3934;7984
639;10025;5905
640;4935;3043
641;4708;7255
642;7543;8380
643;6035;1909
644;6269;5644
645;8185;7786
646;7196;8713
647;6359;5554
648;3515;8371
649;9881;6058
650;7848;8074
651;5277;6661
652;9128;2773
653;6268;1666
654;4943;6958
655;5023;6904
656;10515;5401
657;6845;5068
658;9683;2269
659;7504;388
660;11129;811
661;6286;5635
662;6886;9046
663;7950;7903
664;11239;8668
665;5945;5923
666;6371;5599
667;9256;6598
668;9197;6769
669;5783;6139
670;9018;2944
671;11984;3898
672;5029;2953
673;7434;4483
674;11368;4636
675;6469;1414
676;5717;6184
677;5513;2422
678;9259;2656
679;7623;316
680;7201;712
681;7270;4627
682;10123;5815
683;8169;7705
684;5467;6445
685;7365;8560
686;10978;4924
687;10306;1612
688;8844;3070
689;11869;4051
690;8952;6931
691;4773;7192
692;7199;730
693;9869;6040
694;10628;1270
695;10213;1684
696;8101;7822
697;4764;3169
698;5454;6454
699;12060;3907
700;11924;4015
701;3691;280
702;7181;667
703;4443;7480
704;7357;4564
705;11218;4771
706;7459;523
707;5227;6634
708;5749;2215
709;11707;8245
710;8776;3115
711;7314;649
712;11564;4348
713;6498;5446
714;7073;4870
715;7681;253
716;4717;7201
717;8393;7534
718;6670;1243
719;11064;8848
720;10892;9010
721;6694;1225
722;7139;8749
723;11818;8101
724;5341;6580
725;9006;2908
726;11886;4033
727;9513;6409
728;6451;5464
729;5189;6715
730;10540;5311
731;10349;5581
732;11067;883
733;3465;8506
734;7448;469
735;6593;5356
736;8340;3583
737;8452;7516
738;7949;7957
739;7094;4825
740;3608;8290
741;7516;370
742;8458;3484
743;11664;4312
744;12310;3574
745;8336;3601
746;7418;4492
747;6356;1576
748;11305;8614
749;10830;1063
750;10950;8974
751;7707;4195
752;9794;6112
753;10594;5338
754;11160;793
755;4687;7228
756;9974;5932
757;7296;694
758;4507;7417
759;11851;4096
760;6402;1495
761;6946;964
762;5945;2026
763;5356;6526
764;12429;3493
765;8606;7318
766;3259;658
767;11456;4528
768;7368;8470
769;6664;5329
770;5358;6535
771;6027;1864
772;5389;6508
773;9187;6742
774;7195;8704
775;11804;8119
776;7130;4753
777;3773;8137
778;7354;577
779;10821;9055
780;8526;3421
781;10869;9019
782;4854;7057
783;8592;7363
784;7110;8839
785;10725;1207
786;8871;2971
787;10621;5248
788;9035;6859
789;6184;5743
790;6185;1702
791;9059;6877
792;7202;4780
793;3774;8200
794;7170;8758
795;8188;7750
796;6944;5023
797;7641;4276
