#Mode:;3
#Device:;xbox360_wireless
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10040;3835
1;6526;3358
2;9287;6886
3;10600;3853
4;14920;6976
5;9643;4060
6;7837;352
7;10609;2818
8;9141;6445
9;7950;7984
10;10292;4123
11;11452;5311
12;9427;4528
13;12258;2062
14;11025;3529
15;7110;1045
16;11183;5041
17;10775;3592
18;11694;2233
19;11118;3727
20;9927;4249
21;7099;8497
22;12121;1972
23;12281;2179
24;7174;9001
25;9889;4033
26;10520;6256
27;11357;2602
28;11281;3214
29;7936;8245
30;8872;7264
31;10407;3241
32;8869;6733
33;9547;4150
34;9866;5653
35;10876;5896
36;10596;7579
37;12059;4735
38;10035;8155
39;8966;6931
40;9466;3943
41;10790;4213
42;8881;7948
43;7187;2350
44;7615;8713
45;7006;919
46;10275;5869
47;6123;937
48;7018;8821
49;11955;2530
50;9364;4564
51;10860;3979
52;11538;2386
53;7120;604
54;9447;7048
55;10672;5518
56;8484;4537
57;10167;3079
58;9858;6031
59;7237;964
60;9820;3619
61;13371;1468
62;6516;1909
63;8070;7453
64;7048;883
65;11367;3061
66;7327;8596
67;9027;7147
68;7526;8065
69;7190;991
70;10297;6274
71;7414;2026
72;12396;1270
73;10502;3421
74;10216;3763
75;12190;1756
76;11407;5410
77;8935;6499
78;7282;955
79;11535;2404
80;7348;1081
81;10452;3718
82;12552;3187
83;11376;2791
84;11868;2368
85;7607;289
86;11039;5725
87;8087;2836
88;12788;8551
89;8525;217
90;11349;4843
91;9025;7282
92;9786;6436
93;6958;8677
94;6460;1459
95;10782;4663
96;9277;6643
97;12753;1162
98;10592;5104
99;11096;5473
100;10092;3826
101;10249;6130
102;11173;5428
103;8422;4996
104;12349;2476
105;8667;6859
106;14341;2089
107;13211;2782
108;7179;8164
109;8855;6814
110;9375;4294
111;9107;6472
112;11869;4897
113;11035;5113
114;10450;5995
115;9439;7057
116;7167;1207
117;8661;7768
118;11923;3961
119;9690;3970
120;13026;2899
121;12115;4636
122;12369;1774
123;7876;8686
124;11283;2638
125;10521;3340
126;13303;2431
127;13357;2521
128;12372;4402
129;14437;1072
130;7767;7903
131;9930;5581
132;12110;1810
133;6626;8470
134;11169;4375
135;6528;8812
136;13625;1999
137;14040;2548
138;12577;1333
139;12597;3574
140;14007;1981
141;9420;6517
142;9246;6688
143;12197;1954
144;7664;541
145;12087;3583
146;13496;1936
147;9203;6058
148;7507;1018
149;10116;5797
150;11020;4501
151;13681;2539
152;12293;2071
153;10618;5788
154;9873;4285
155;11865;4717
156;12619;3556
157;10957;3520
158;13531;3259
159;8949;7273
160;11483;5032
161;7850;478
162;12338;3169
163;10663;6175
164;15128;8794
165;11274;5149
166;11207;2692
167;8025;793
168;12459;2647
169;11931;3736
170;9529;7039
171;9080;7669
172;7857;7777
173;8152;7795
174;12786;4015
175;13604;1990
176;14689;2161
177;6687;2701
178;13486;1945
179;14337;1198
180;10603;6220
181;11493;4087
182;13350;3403
183;7838;7759
184;14514;2242
185;7186;739
186;14318;2188
187;14361;1558
188;10107;6328
189;9692;7129
190;11408;5464
191;8841;6616
192;8946;6148
193;13086;3412
194;9531;4420
195;8593;7597
196;8774;7714
197;13953;2809
198;14272;1927
199;13138;2377
200;11394;4267
201;13950;2557
202;9191;6949
203;9626;6112
204;12754;2008
205;8232;7219
206;11707;5086
207;11278;4204
208;13771;2152
209;8703;6967
210;9024;7543
211;14539;2305
212;10622;5347
213;8027;8272
214;7949;7786
215;9630;6526
216;8688;7831
217;8672;1873
218;7341;559
219;10273;3898
220;10264;5905
221;10425;3511
222;11348;4573
223;7356;1054
224;11176;5266
225;8930;6742
226;10997;3151
227;12844;1513
228;12764;3160
229;9532;6382
230;10675;3925
231;11422;2998
232;6105;865
233;11287;2413
234;9353;6319
235;8112;163
236;10286;5446
237;8155;316
238;13943;2854
239;13705;3124
240;6685;8875
241;9535;4312
242;12368;1801
243;10810;4861
244;12084;1882
245;10704;4960
246;10949;5221
247;7945;244
248;10860;5950
249;10975;3277
250;14118;1486
251;7354;829
252;11697;4222
253;11640;2260
254;11231;2449
255;10782;5203
256;9961;3691
257;10863;3016
258;8110;7192
259;11003;4681
260;12238;1477
261;7168;100
262;9180;4753
263;7664;712
264;6696;1792
265;9959;3133
266;6765;568
267;7674;7912
268;9751;4672
269;10694;4987
270;8094;667
271;12117;2044
272;11003;3367
273;8025;7309
274;10529;3637
275;9947;3115
276;9534;6022
