#Mode:;3
#Device:;xboxone_wireless
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12260;2890
1;5639;1954
2;4918;2647
3;7505;7597
4;10632;4555
5;8581;6652
6;5411;8542
7;4367;3196
8;10610;4582
9;9027;4888
10;11868;3349
11;7155;379
12;8261;6895
13;9448;5689
14;7080;370
15;11286;3934
16;8594;6562
17;5494;8407
18;16776;4618
19;6591;7327
20;6580;964
21;9703;5509
22;6253;7651
23;9439;5707
24;7779;7228
25;4804;2791
26;4891;2638
27;7269;298
28;5579;1990
29;11230;3997
30;6698;865
31;6146;9073
32;10704;4456
33;4560;1702
34;23348;6832
35;4637;2854
36;5475;8398
37;9220;5950
38;12578;1243
39;10970;4150
40;6310;8893
41;5500;8461
42;9610;5608
43;9040;6139
44;6999;8218
45;4792;2746
46;6575;982
47;6500;1117
48;6225;8911
49;8847;6310
50;6004;1513
51;10781;4294
52;5823;1738
53;8825;6391
54;8123;7048
55;16183;3943
56;6481;1009
57;8264;6931
58;11039;2872
59;10207;4924
60;11192;3961
61;8356;6805
62;10300;4906
63;7011;6994
64;11457;3727
65;6615;910
66;5242;2314
67;8941;6193
68;11294;3907
69;6542;8623
70;7095;478
71;10634;3322
72;6314;8875
73;12243;2998
74;8600;6580
75;6860;8308
76;5137;8821
77;9999;5095
78;6161;1423
79;22019;6904
80;9689;5401
81;11484;3637
82;7179;7993
83;9467;5761
84;10940;1603
85;6920;8281
86;7186;433
87;11045;2863
88;6835;730
89;6922;694
90;10979;2836
91;9362;5788
92;11963;3214
93;5319;2224
94;8863;6355
95;8353;6850
96;7432;154
97;6988;523
98;6899;640
99;8360;6760
100;15014;6409
101;5224;1144
102;8355;6823
103;7764;7417
104;6612;8533
105;5582;1981
106;6067;7813
107;6918;667
108;8933;6220
109;10355;2206
110;6203;1441
111;19113;3421
112;4718;1612
113;9777;5338
114;5815;1729
115;11226;2656
116;11478;3700
117;8857;6319
118;5996;1585
119;7328;7714
120;12369;2737
121;4489;3052
122;11547;3574
123;8434;5500
124;6987;604
125;7435;136
126;7156;6769
