#Mode:;3
#Device:;intelli_og_adapter_chesen1
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16045;8380
1;19972;6931
2;10738;2098
3;17509;8164
4;20971;4717
5;10277;2638
6;8662;4222
7;10593;2305
8;10282;2620
9;11243;1666
10;9461;3439
11;12045;847
12;18864;8119
13;19096;6571
14;18221;7489
15;11413;1486
16;20216;5446
17;18755;6868
18;18839;8056
19;20694;4123
20;9631;3997
21;11119;1693
22;17194;8416
23;11735;1171
24;17816;7903
25;19548;6085
26;12339;622
27;18150;8740
28;20353;5284
29;10984;1936
30;20093;5581
31;9087;3808
32;11079;1792
33;20865;4798
34;16631;9055
35;22183;4726
36;16307;8632
37;10405;3277
38;9375;3520
39;9072;3781
40;20299;5248
41;12712;280
42;11529;1360
43;20952;4636
44;11373;1468
45;18039;8866
46;10388;2431
47;11597;1333
48;12386;532
49;17096;8623
50;11869;1081
51;17045;8650
52;9815;3097
53;18981;7930
54;18578;6337
55;20784;5158
56;20458;5230
57;18910;6760
58;20557;5122
59;10094;2800
60;19197;7777
61;18940;6040
62;13543;127
63;12277;595
64;19506;6184
65;20695;4978
66;11308;1594
67;9288;3610
68;18429;7210
69;18639;8272
70;11844;1063
71;20941;4663
72;17409;8209
73;10482;2404
74;10119;2782
75;9004;3844
76;8670;4186
77;18380;8578
78;20566;4330
79;12137;1513
80;21225;4438
81;16824;8812
82;20416;5266
83;9918;2980
84;8594;4267
85;19483;7408
86;9209;3754
87;11282;1630
88;20585;5068
89;16697;8920
90;17544;8047
91;11300;1585
92;20776;4834
93;19844;7120
94;10419;2476
95;20046;5626
96;19493;6166
97;20924;4708
98;10494;2413
99;8684;4276
100;9573;3322
101;20555;6355
102;15936;9001
103;18667;8227
104;17553;8173
105;17110;8533
106;11825;1054
107;9194;3691
108;17178;8389
109;17202;8434
110;21779;5113
111;9195;3727
112;18106;7516
113;17475;8200
114;18688;6994
115;11290;1621
116;12210;694
117;22045;4825
118;16643;8254
119;11959;1720
120;16624;9064
121;9513;3412
122;20887;4735
123;11410;1495
124;11258;1648
125;10388;2485
126;8215;4618
127;21424;5464
128;21714;3898
129;8965;3934
130;11705;1189
131;12212;712
132;19887;5725
133;19354;6292
134;9423;3484
135;10394;2503
136;20397;6490
137;18344;7309
138;9957;2944
139;19836;5779
140;8789;4141
141;11328;1567
142;17077;8587
143;11437;1504
144;12488;451
145;9017;4645
146;9808;3025
147;19066;6643
148;10449;2449
149;21215;4348
150;9634;3259
151;21820;5077
152;9355;3466
153;11132;1756
154;9820;3079
155;11200;1702
156;19805;5932
157;12539;289
158;9225;3637
159;9469;3448
160;11099;1801
161;19745;7147
162;16686;8191
163;9047;4546
164;11662;1252
165;21240;4411
166;21224;4393
167;11821;1099
168;16985;8686
169;18640;8263
170;21147;4528
171;12232;604
172;18591;7084
173;21346;4366
174;17848;7849
175;16919;8704
176;12681;208
177;20422;6436
178;10361;2557
179;9591;3340
180;17469;8146
181;18981;6688
182;10637;2332
183;10362;2512
184;18316;7273
185;20379;6517
186;18257;7345
187;20622;5005
188;12092;829
189;8807;4024
190;20718;4942
191;10718;2161
192;9014;3799
193;11257;1639
194;8458;4402
195;10815;2908
196;12283;667
197;17311;8290
198;20144;5572
199;17127;8515
200;18799;6886
201;20023;6895
202;10631;2224
203;10043;2881
204;19400;6238
205;12377;541
206;20002;5662
207;10317;2593
