#Mode:;3
#Device:;sk9620_adapter_chesen
#Button:;44
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10394;5275
1;10094;1054
2;9631;3466
3;9226;505
4;10683;424
5;11267;1891
6;9253;1864
7;11547;1693
8;11073;4573
9;9250;361
10;10467;6706
11;11786;1396
12;9166;3736
13;10313;3682
14;11219;2017
15;10586;8308
16;11788;1063
17;10249;892
18;8792;4303
19;9987;2890
20;10346;730
21;11207;1945
22;11118;1783
23;11964;5140
24;10689;478
25;10198;6625
26;10029;1099
27;9379;532
28;9066;550
29;11755;5464
30;11581;1567
31;11129;7795
32;11529;7327
33;9654;1450
34;11493;5581
35;11176;7903
36;11246;4438
37;11768;1198
38;10392;6796
39;11307;1801
40;10291;2647
41;10118;946
42;11467;1702
43;10763;2143
44;9822;1342
45;10009;7102
46;10831;2350
47;10791;6382
48;10471;6715
49;11659;5536
50;9708;6112
51;9877;5833
52;9149;4726
53;10268;6841
54;9737;6229
55;9759;3160
56;9949;1126
57;10629;8515
58;8980;676
59;11300;2620
60;10608;460
61;10014;3628
62;11685;8254
63;11884;1990
64;9216;685
65;9180;6436
66;10689;3169
67;11494;1612
68;8777;6895
69;11919;7039
70;11536;5545
71;10290;2809
72;10643;8236
73;8997;6580
74;9953;5662
75;10665;3214
76;11043;6130
77;8867;1027
78;11587;2323
79;12324;4852
80;9776;7345
81;10527;343
82;10172;6931
83;10563;2584
84;10457;2467
85;10000;5671
86;12107;1846
87;9103;811
88;9103;631
89;11453;8497
90;11853;5302
91;9704;3493
92;9565;6049
93;10843;6220
94;10924;2251
95;11425;4186
96;10963;7939
97;11486;8488
98;10584;6652
99;9102;4033
100;11619;7246
101;9390;6274
102;9643;7507
103;11546;5599
104;11014;6103
105;10566;5392
106;10968;1981
107;9489;1621
108;11081;2089
109;10442;5230
110;10065;1180
111;9956;7273
112;9218;6688
113;10821;4771
114;9850;4024
115;10915;9055
116;9475;406
117;11650;3943
118;11124;8794
119;10971;226
120;11389;1765
121;9637;3259
122;10646;2485
123;11226;7723
124;11143;1738
125;9359;4564
126;11149;5977
127;9036;4168
128;11284;1648
129;9766;1351
130;10831;8299
131;10015;8902
132;11528;4141
133;9775;1324
134;10982;2215
135;11606;4051
136;10515;8371
137;11635;5500
138;9911;7219
139;9025;4150
140;10452;2458
141;9891;1279
142;12384;4762
143;11038;2107
144;9630;4312
145;9327;3763
146;10516;2440
147;10777;4897
148;10626;3277
149;9980;3205
150;10585;5104
151;10763;4951
152;11647;5563
153;9287;3808
154;9792;5824
155;10669;5041
156;11018;8929
157;9588;1522
158;9871;3322
159;9570;6085
160;10256;883
161;10978;2098
162;9407;298
163;9658;7453
164;11033;8101
165;10886;2026
166;9720;3115
167;11618;2269
168;9636;7561
169;10142;757
170;11377;8470
171;10933;6265
172;10796;2404
173;10148;5527
174;10183;6967
175;11355;2557
176;12229;4861
177;11435;4483
178;11231;7669
179;11877;8047
180;10758;3079
181;8757;4384
182;8994;3898
183;11366;5761
184;11261;8641
185;12406;4708
186;11037;4870
187;11143;1774
188;11660;8227
189;10969;2224
190;10259;5347
191;9868;3052
192;11429;8389
193;11158;8740
194;10525;2575
195;10714;8191
196;11007;7894
197;9684;3223
198;12133;5023
199;12593;4555
200;11144;4735
201;10254;5401
202;10519;658
203;9816;7381
204;11622;7552
205;11847;7057
206;10398;2476
207;9839;3313
208;11396;1441
209;10092;8839
210;9787;1315
211;10457;2611
212;9364;307
213;10616;541
214;10057;9064
215;9773;3133
216;10790;4834
217;10590;604
218;10234;6940
219;9801;7129
220;9690;3232
221;10031;1153
222;11556;7597
223;10374;2521
224;9883;7300
225;9964;7192
226;8846;4294
227;8951;748
228;9547;4330
229;10223;2854
230;10615;8281
231;11490;4222
232;11049;109
233;8777;1162
234;10533;2314
235;9618;1576
236;10283;8911
237;10612;5014
238;10872;352
239;10764;379
240;10370;3268
241;10424;3520
242;12089;7759
243;11439;5644
244;9383;1468
245;11086;8812
246;11360;5770
247;8648;4474
248;11643;1333
249;10657;433
250;11667;5518
251;9076;3988
252;9230;4663
253;9975;7120
254;12141;4969
255;8867;7984
256;10075;2818
257;10523;2638
258;10517;2377
259;11094;4537
260;9654;7489
261;9562;7534
262;11636;5572
263;8949;6949
264;10314;8569
265;10985;154
266;9824;118
267;9668;5941
268;9351;7741
269;12042;5122
270;9855;3340
271;9362;316
272;9618;4276
273;9052;4159
274;9108;6544
275;10015;3916
276;9857;1225
277;10622;3088
278;9810;4105
279;9922;1171
280;10541;6364
281;9138;559
282;11138;6031
283;11008;4888
284;10229;5338
285;10750;3187
286;10544;2692
287;10878;8011
288;10168;2737
289;11989;1900
290;10544;649
291;11226;8380
292;9411;181
293;10405;2773
294;10895;4780
295;9928;2971
296;9882;4078
297;9305;3817
298;9060;6553
299;10746;4915
300;9686;4204
301;11164;5950
302;10660;5221
303;9332;3583
304;10063;1081
305;10084;3070
306;10742;4906
307;10732;415
308;10917;6202
309;11781;1360
310;10359;784
311;10979;163
312;11221;2386
313;10021;7111
314;9605;3511
315;9536;190
316;9635;1459
317;8688;4411
318;11662;1252
319;11011;8884
320;10237;3673
321;9625;3502
322;10330;8551
323;9566;3367
324;9800;7336
325;11458;5608
326;9620;6238
327;10012;8830
328;9965;2926
329;9802;1405
330;11268;4645
331;9545;6121
332;10187;3718
333;11823;8002
334;10156;8965
335;9927;5788
336;11589;1369
337;11725;5419
338;11486;5635
339;9367;6535
340;10703;8263
341;9866;8956
342;9404;7714
343;11151;6040
344;10754;8398
345;10470;5185
346;9212;6454
347;11970;5212
348;10962;2179
349;10532;6373
350;9578;4042
351;10402;802
352;9605;3529
353;10001;2899
354;10483;6598
355;12235;4942
356;12045;5113
357;9603;1378
358;9203;4672
359;8813;4429
360;11565;7264
361;10387;5257
362;9326;4627
363;12056;5158
364;11081;4798
365;11249;7633
366;10343;2602
367;11300;5842
368;9759;3376
369;9013;703
370;11294;5806
371;9824;7318
372;10246;8857
373;8844;6805
374;11908;982
375;12214;4933
376;8725;1234
377;10060;2845
378;10257;3655
379;9397;3790
380;11278;1603
381;9391;7750
382;10358;6832
383;9076;4123
384;8844;6814
385;10754;6346
386;11695;5437
387;10991;8110
388;10020;5689
389;9486;3412
390;9769;1423
391;11007;8119
392;8865;6751
393;10011;5698
394;12026;5176
395;10938;6256
396;8692;4510
397;10344;2512
398;10716;6445
399;10865;2332
400;10717;4978
401;10969;1936
402;10123;1036
403;10523;8560
404;10355;8596
405;10394;8506
406;9310;6391
407;9770;4087
408;10201;2980
409;9691;5932
410;9143;496
411;10173;2953
412;10289;5329
413;9299;6319
414;9717;7417
415;9576;7615
416;9664;3430
417;9910;8992
418;11179;1720
419;10762;6355
420;11476;1657
421;11557;7399
422;10638;8272
423;10771;6328
424;9964;7165
425;8664;4519
426;8967;6661
427;9369;3484
428;9329;3826
429;11707;5239
430;10555;9073
431;9595;6094
432;10349;6868
433;11066;6157
434;9102;4096
435;9422;199
436;9722;7408
437;10583;2539
438;9332;370
439;12160;4987
440;11119;8803
441;9198;721
442;9922;5779
443;11803;5365
444;9036;4132
445;9613;3295
446;9198;3709
447;10157;7030
448;10238;6913
449;8664;7255
450;9497;3385
451;11995;1873
452;11073;8083
453;10484;5194
454;11164;7678
455;8802;6859
456;9214;7948
457;9434;7696
458;9489;6409
