#Mode:;3
#Device:;sk9620_adapter_chesen2
#Button:;44
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10848;298
1;9497;433
2;10019;1117
3;10746;6382
4;10858;5050
5;10735;8191
6;11338;7606
7;12030;5068
8;12082;7840
9;9430;3754
10;10247;8686
11;11058;1828
12;11461;8452
13;10945;262
14;11582;1522
15;10077;5581
16;10085;1099
17;9743;3457
18;10046;2809
19;12032;1873
20;11646;1495
21;11665;7246
22;10238;5428
23;10392;3520
24;8887;1000
25;11309;1603
26;11783;5347
27;9786;1351
28;11419;8236
29;10870;8065
30;9859;1288
31;10735;361
32;11233;5671
33;11846;2017
34;11010;145
35;11274;7912
36;9405;190
37;9557;3502
38;12626;4285
39;9484;7408
40;10261;8659
41;11786;8137
42;11860;1963
43;10488;6652
44;11754;7372
45;10788;8101
46;11209;4465
47;10771;3133
48;10763;6328
49;11177;4717
50;9423;6238
51;12167;4951
52;10662;2467
53;11076;7768
54;10444;2539
55;11657;5563
56;11190;1999
57;8670;6940
58;8862;6751
59;10006;3862
60;9962;7147
61;10838;8308
62;9042;6598
63;8871;6841
64;10038;7075
65;9024;4132
66;10057;8830
67;9008;3826
68;9168;4690
69;10363;2791
70;10522;8434
71;11690;1207
72;12226;4942
73;11863;5158
74;10492;6697
75;9746;3898
76;11256;8641
77;12246;4870
78;12296;4843
79;11061;4852
80;9102;505
81;9579;1576
82;9212;3871
83;11072;1837
84;12184;4960
85;11531;1621
86;8955;757
87;10249;6859
88;9339;3781
89;10912;4735
90;10226;2683
91;9624;7579
92;11718;5482
93;10208;5680
94;11177;1747
95;11791;5374
96;11161;6004
97;8861;1036
98;10446;8479
99;9844;4060
100;9281;3817
101;11748;1162
102;10107;3736
103;11292;1810
104;8801;4105
105;10272;5365
106;9698;4204
107;8606;4492
108;10085;2782
109;10302;6832
110;12073;5005
111;12355;4816
112;9763;226
113;9462;4519
114;9880;1198
115;11103;8605
116;11260;1612
117;9716;1432
118;9523;6373
119;9015;6661
120;10558;3358
121;8969;4231
122;10886;1954
123;10165;2710
124;10672;6454
125;10817;6346
126;10545;2584
127;10967;2998
128;9584;1594
129;10820;5131
130;9807;3088
131;10813;2368
132;11419;5491
133;11505;5338
134;11329;7507
135;11595;2314
136;9925;1171
137;10035;865
138;10437;6715
139;9025;4159
140;10571;8353
141;10869;2044
142;11671;8227
143;10253;2908
144;10590;2296
145;9964;2917
146;11369;2548
147;10767;8380
148;11604;7336
149;8990;712
150;9748;7345
151;9747;1477
152;10294;586
153;9332;4573
154;9072;4042
155;10364;8470
156;10904;4771
157;9772;7390
158;11549;5635
159;9773;3349
160;9468;3430
161;10814;3052
162;12436;4780
163;11548;1657
164;9443;244
165;10904;6220
166;10076;9082
167;10679;2197
168;10472;6670
169;10785;6319
170;11413;7777
171;11068;7831
172;10684;4969
173;8977;658
174;11086;2134
175;8797;928
176;11034;1864
177;10425;6688
178;11323;7858
179;8891;4078
180;10974;4609
181;11566;2377
182;11095;8002
183;9953;2899
184;10329;8542
185;10427;6724
186;9444;7705
187;8667;1261
188;10613;5014
189;10536;604
190;10407;2764
191;10387;2512
192;10203;3655
193;9725;7417
194;11397;5788
195;10295;568
196;10109;7084
197;11463;1729
198;11883;1054
199;11794;5410
200;9754;1369
201;10452;2665
202;10247;2719
203;9508;7660
204;8616;4546
205;10627;4987
206;11955;991
207;9254;3943
208;11613;5311
209;9132;1855
210;9379;4510
211;9282;613
212;9572;3331
213;11003;8947
214;10736;469
215;10420;8695
216;9434;280
217;10040;3106
218;12065;4879
219;10556;3196
220;9753;1333
221;10282;2818
222;9464;6202
223;10302;3610
224;10785;6310
225;11488;7633
226;10331;2638
227;10291;2692
228;10540;6562
229;8591;1297
230;9631;5986
231;9917;1252
232;8633;1279
233;10954;1909
234;9729;7480
235;10788;9028
236;10247;2881
237;10157;5536
238;10929;2944
239;10032;1189
240;11366;2350
241;11382;2566
242;11148;5995
243;10792;8335
244;10642;8281
245;9749;5968
246;10126;982
247;9117;775
248;9752;5896
249;10503;3385
250;11366;8623
251;8583;1315
252;9289;3619
253;11875;5293
254;11097;2062
255;11194;1702
256;10654;3250
257;10863;8992
258;10523;6616
259;10206;5644
260;9860;5815
261;10395;676
262;10335;2773
263;9258;424
264;10376;3547
265;9486;3664
266;8809;6904
267;10975;136
268;11697;8218
269;10012;3160
270;11214;4402
271;9106;4798
272;9000;4195
273;11379;4249
274;11366;4366
275;11071;6013
276;10482;2575
277;10299;2620
278;11464;4150
279;11718;2170
280;9590;7516
281;10104;3016
282;9852;5770
283;10065;3835
284;10274;2872
285;9194;496
286;9288;7822
287;9362;3790
288;11193;1675
289;11699;5500
290;10268;3628
291;11070;2080
292;10090;2827
293;12005;5176
294;8598;4555
295;11481;1423
296;9639;3295
297;9462;1639
298;10891;2224
299;11324;4339
300;11659;5527
301;10136;7030
302;8613;7282
303;8961;667
304;10101;7039
305;11305;5869
306;8802;7111
307;10135;5509
308;9227;4681
309;10374;6706
310;11104;7975
311;9984;2980
312;11075;8866
313;10298;6886
314;8766;4384
315;10040;5590
316;10252;5356
317;10363;3484
318;8647;4564
319;11354;4276
320;10585;8317
321;10602;523
322;10380;6796
323;8853;4321
324;9352;3592
325;10752;2305
326;9202;514
327;9299;6427
328;11035;2854
329;12072;5086
330;8854;7048
331;11412;4312
332;10496;694
333;10114;9037
334;11095;7795
335;10285;8614
336;9930;8965
337;10644;3259
338;11967;7939
339;11484;5707
340;8832;1009
341;11335;2485
342;8826;4267
343;9577;6148
344;11985;910
345;11362;8551
346;9640;3439
347;9574;3304
348;9335;6409
349;9907;4006
350;9720;7471
351;11248;4663
352;11646;7264
353;10038;1108
354;9256;3997
355;9635;6076
356;11372;4213
357;11754;2107
358;9500;3583
359;9576;6085
360;11269;7642
361;11765;2116
362;10211;2926
363;10905;4726
364;10977;4645
365;9594;4258
366;9171;3979
367;9715;3232
368;11240;5932
369;10945;235
370;9680;3466
371;11264;1630
372;9980;3241
373;12263;4618
374;9359;7552
375;10786;451
376;10019;7066
377;10531;5302
378;11947;973
379;9650;1486
