#Mode:;3
#Device:;6312kw
#Button:;21
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;29125;2791
1;46451;1459
2;67251;4636
3;36965;2971
4;30096;1765
5;65695;6166
6;65293;6670
7;41602;6292
8;35288;4627
9;31363;586
10;30747;1153
11;37489;2422
12;66255;5644
13;40247;7759
14;47054;856
15;67116;4735
16;38310;1603
17;63969;7939
18;35949;3961
19;31482;442
20;33770;6175
21;63062;8920
22;36957;2935
23;39718;127
24;63839;8056
25;65676;6265
26;37868;2008
27;38491;1405
28;65701;6247
29;38695;1225
30;65128;6724
31;62985;8938
32;37772;2080
33;37596;2260
34;68543;3430
35;65508;6400
36;35534;4393
37;43369;4546
38;36862;3034
39;63748;8173
40;34518;5410
41;43429;4474
42;36091;3826
43;65700;6211
44;38293;1594
45;65567;6274
46;63563;8398
47;36072;3835
48;37091;2800
49;67091;4888
50;64559;7345
51;39135;721
52;38713;1162
53;30410;1576
54;38025;1873
55;38433;1531
56;45230;2692
57;63766;8155
58;38850;1045
59;63020;8839
60;37196;2674
61;64747;7129
62;39176;712
63;43275;4609
64;36409;3457
65;44982;2962
66;65776;6121
67;39095;829
68;37089;2845
69;30703;1207
70;37518;2386
71;43388;4519
72;35013;4933
73;30677;1243
74;68438;3502
75;64768;7165
76;40410;7426
77;37070;2863
78;42834;5068
79;41385;6607
80;67975;3898
81;44141;3763
82;42366;5599
83;36080;3808
84;43141;4798
85;36514;3421
86;44569;3385
87;43663;4330
88;37455;2476
89;64948;6949
90;40641;7237
91;38495;1441
92;42967;4978
93;38920;991
94;63837;8074
95;35529;4366
96;44141;3853
97;64684;7291
98;63970;7858
99;43497;4411
100;36261;3592
101;30337;1558
102;40278;7615
103;65981;5941
104;65940;5878
105;37574;2332
106;64509;7399
107;40542;7372
108;66803;5095
109;44779;3151
110;31109;838
111;65993;5851
112;42420;5473
113;42126;5761
114;38978;9001
115;45678;2170
116;29862;2053
117;64270;7660
118;44378;3583
119;64944;6868
120;34826;5005
121;64651;7264
122;39726;181
123;64863;7021
124;36968;2881
125;43627;4258
126;36746;3142
127;64608;7246
128;38061;1900
129;30464;1486
130;63478;8506
131;65386;6517
132;41786;6112
133;38044;1864
134;35970;3907
135;46024;1981
136;43850;4051
137;38549;1432
138;64582;7309
139;36703;3223
140;43429;4483
141;37947;1927
142;65734;6184
143;42952;4924
144;41236;6679
145;69292;2629
146;30383;1477
147;47718;190
148;31799;109
149;39201;658
150;30638;1279
151;44742;3115
152;63732;8101
153;36570;3412
154;64607;7228
155;39671;208
156;66846;5050
157;34821;5131
158;65664;6238
159;63516;8389
160;67323;4582
161;66324;5563
162;63588;8299
163;68240;3673
164;63226;8668
165;39211;667
166;45309;2719
167;42100;5806
168;39945;7894
169;68750;3133
170;65968;5932
171;37286;2602
172;31335;577
173;64866;7003
174;44088;3871
175;36758;3169
176;66606;5257
177;64681;7219
178;37127;2809
179;31113;739
180;31739;217
181;35597;4249
182;30818;1081
183;46327;1540
184;65186;6706
185;38569;1387
186;44312;3619
187;39821;172
188;66747;5167
189;65116;6850
190;38071;1792
191;36418;3538
192;30736;1180
193;37760;2161
194;43505;4402
195;40231;7633
196;69268;2638
