#Mode:;3
#Device:;adns5700
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;32727;7129
1;34221;5635
2;32816;7057
3;38792;9091
4;32743;7147
5;38013;1900
6;38905;973
7;33533;6355
8;29398;2395
9;34183;5707
10;31556;325
11;36399;3565
12;32466;7327
13;30144;1738
14;34757;5131
15;32823;7165
16;33859;6040
17;36642;3232
18;36525;3367
19;31303;604
20;29034;2845
21;29696;2197
22;38294;1594
23;39451;424
24;37547;2224
25;31669;8200
26;35727;4159
27;31396;8497
28;26850;4924
29;36251;3619
30;36598;3295
31;33014;6877
32;38909;865
33;32399;7507
34;32560;7291
35;35367;4501
36;27574;4240
37;36068;3898
38;31828;8119
39;37768;2107
40;38503;1450
41;38016;1891
42;36016;3880
43;36606;3286
44;38565;1342
45;36776;3079
46;27665;4204
47;31431;8470
48;33685;6220
49;32458;7480
50;32077;7885
51;36776;3133
52;36154;3745
53;38452;1423
54;33919;5977
55;34128;5743
56;28894;3088
57;35611;4357
58;31194;658
59;31631;8191
60;32115;7723
61;35697;4141
62;34708;5140
63;32514;7354
64;30939;919
65;33782;6130
66;36554;3322
67;29408;2467
68;29486;2404
69;33894;5995
70;36429;3502
71;31112;8758
72;36218;3664
73;31069;8830
74;29236;2629
75;31491;8407
76;30897;892
77;31054;901
78;34932;4942
79;28956;2890
80;36730;3241
81;38734;1108
82;36851;3043
83;36510;3385
84;29168;2719
85;30813;1063
86;29495;2377
87;30289;1603
88;34329;5554
89;37514;2359
90;39345;433
91;37300;2575
92;35427;4366
93;31041;838
94;33618;6301
95;31941;7849
96;30889;991
97;31093;793
98;32718;7174
99;30534;1360
100;32180;7696
101;31748;8065
102;38030;1846
103;33210;6661
104;30770;1126
105;31717;163
106;32421;7489
107;34087;5797
108;36034;3853
109;34630;5293
110;31597;199
111;37801;2008
112;33983;5806
113;31169;730
114;30316;1540
115;33312;6580
116;33083;6814
117;31685;208
118;35123;4753
119;30900;8983
120;37814;2089
121;35220;4663
122;29426;2458
123;35261;4609
124;35562;4303
125;31841;8038
126;31688;181
127;32765;7138
128;39407;8461
129;38575;1315
130;34938;4933
131;32008;7894
132;33386;6499
133;31665;217
134;33116;6778
135;33168;6679
136;32176;7678
137;37965;1927
138;34965;4834
139;36523;3268
140;35506;4330
141;33405;6463
142;27406;4420
143;32593;7237
144;32668;7210
145;35496;4402
146;39120;784
147;33194;6607
148;30797;9073
149;35711;4195
150;27559;4393
151;35903;3970
152;38526;1351
153;37352;2521
154;37010;2872
155;34569;5302
156;31221;8722
157;31850;8002
158;38099;1783
159;33256;6616
160;28359;3394
161;31428;460
162;31607;271
163;33686;6193
164;30254;1639
165;33759;6013
166;30734;9037
167;38836;1045
168;37950;1909
169;37073;2809
170;30804;9046
171;31768;118
172;37592;2269
173;32219;7660
174;34530;5311
175;37626;2242
176;34699;5077
177;33247;6553
178;35444;4348
179;32342;7543
180;26689;5158
181;30828;9082
182;31837;7984
183;35447;4411
184;31618;8290
185;31951;7939
186;36964;2899
187;36364;3493
188;28062;3817
189;34882;4996
190;32258;7606
191;38359;1522
192;37329;2530
193;31370;505
194;31387;487
195;29173;2701
196;35425;4492
197;38657;1234
198;29318;2557
199;36623;3313
200;31005;856
201;31820;145
202;29934;1945
203;34867;4987
204;33100;6859
205;35353;4510
206;31604;8272
207;31188;8677
208;31941;8020
209;33110;6760
210;32967;6931
211;29581;2251
212;35944;3952
213;31773;8137
214;33508;6373
215;37210;2665
216;31577;8299
217;28854;3016
218;36045;3907
219;32867;7084
220;36900;3025
221;36926;2953
222;38379;1504
223;38437;1459
224;34068;5833
225;37687;2170
226;34101;5878
227;27754;4105
228;34262;5617
229;36044;3844
230;38700;1252
231;38867;1018
232;34283;5608
233;32114;7768
234;34105;5698
235;33091;6796
236;34368;5536
237;32482;7408
238;32853;7021
239;27788;4087
240;36355;3610
241;35183;4672
242;34427;5401
243;35609;4258
244;34990;4888
245;31315;550
246;38213;1693
247;31003;8875
248;33117;6769
249;31454;406
250;35175;4762
251;29609;2215
252;29262;2611
253;37128;2746
254;33811;6256
255;27557;4222
256;35262;4627
257;31475;8371
258;34114;5761
259;38971;910
260;36401;3475
261;32240;7615
262;38574;1324
263;38582;1288
264;29101;2674
265;32591;7282
266;35114;4735
267;32256;7624
268;36324;3520
269;33827;5986
270;34036;5851
271;37143;2764
272;38122;1630
273;36807;3178
274;27599;4312
275;31029;8848
276;37071;2881
277;32162;7552
278;39217;676
279;37057;2836
280;30971;8884
281;30861;9019
282;39790;100
283;29574;2305
284;35937;3997
285;33812;6067
286;38065;1819
287;31321;568
288;29743;2116
289;27581;4285
290;36673;3187
291;36405;3448
292;34192;5680
293;27913;3979
294;33427;6445
295;35753;4123
296;31469;8398
297;33616;6247
298;35198;4681
299;34357;5527
300;39779;172
301;38059;1801
302;31741;8128
303;31278;622
304;36167;3709
305;34848;5095
306;33970;5914
307;31378;8506
308;33439;6436
309;30980;8893
310;36273;3601
311;31486;8425
