#Mode:;3
#Device:;apple1152
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;32943;6895
1;34183;5743
2;32208;7615
3;37082;2818
4;30583;1306
5;36816;3088
6;31432;460
7;36430;3511
8;33374;6517
9;31124;784
10;33587;6274
11;37358;2494
12;35759;4096
13;36769;3115
14;31288;685
15;33444;6526
16;35519;4375
17;37091;2809
18;36529;3358
19;38896;9037
20;37957;1882
21;31702;262
22;38414;3133
23;35408;4456
24;30979;865
25;31870;8020
26;36472;3376
27;35341;4564
28;32828;7084
29;33291;6589
30;31847;8047
31;33089;6832
32;33489;6400
33;38100;1765
34;34952;4924
35;31335;559
36;36731;3106
37;31462;8452
38;32747;7129
39;39003;883
40;33691;6157
41;37975;1846
42;37882;2035
43;37418;4195
44;35834;4024
45;31554;352
46;34846;4978
47;35312;4501
48;37989;1864
49;34561;5356
50;38421;1441
51;32877;6985
52;36964;2926
53;37192;2701
54;35882;4015
55;36851;3007
56;35793;4105
57;31612;298
58;35994;3907
59;32858;7093
60;31397;487
61;36515;3394
62;33685;6220
63;33519;6373
64;33152;8344
65;35817;4060
66;33771;6130
67;38272;1675
68;31639;307
69;37265;2629
70;35031;4870
71;33342;6553
72;36543;3385
73;33136;6787
74;33891;5986
75;35288;4618
76;34784;5104
77;31131;829
78;35463;4366
79;31708;145
80;36737;3142
81;37873;2017
82;33494;6418
83;36261;3655
84;35983;3961
85;41528;7993
86;31581;316
87;38199;1693
88;31336;8506
89;37378;2503
90;38518;1360
91;33334;6562
92;37696;2152
93;34730;5122
94;35892;4033
95;30911;964
96;35380;4438
97;35864;4114
98;31583;8326
99;34826;5077
100;35243;4672
101;36412;3502
102;36928;2935
103;36946;2944
104;37461;2467
105;35221;4681
106;32425;7462
107;34924;4969
108;37646;2314
109;37414;2458
110;31354;514
111;37980;1909
112;34109;5779
113;37653;2296
114;31828;8074
115;37289;2611
116;37594;2305
117;35924;3952
118;33159;6751
119;37652;2134
120;36863;3034
121;31491;8362
122;36347;3538
123;34586;5266
124;34126;5833
125;37448;2440
126;33928;5995
127;32208;7660
128;35180;4717
129;35056;4852
130;37130;2764
131;32153;7768
132;36986;2917
133;32460;7480
134;32181;7786
135;34881;4960
136;36409;3484
137;34131;5725
138;36845;3079
139;34497;5419
140;36114;3754
141;38644;1261
142;36433;3466
