#Mode:;3
#Device:;arduino
#Button:;290
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13;1585
1;10;1882
2;11;8317
3;12;3925
4;12;3520
5;14;6823
6;11;3043
7;10;1162
8;10;8677
9;10;4843
10;10;2035
11;10;8344
12;10;2971
13;10;6688
14;10;5581
15;10;4042
16;11;3214
17;10;7579
18;10;4798
19;12;5455
20;10;1945
21;9;5833
22;10;3853
23;17;7381
24;10;2791
25;9;307
26;10;3286
27;10;1450
28;10;1072
29;10;1504
30;10;5203
31;11;4924
32;11;2440
33;11;4753
34;10;2656
35;10;1891
36;12;4681
37;9;5923
38;10;3025
39;10;7948
40;13;8794
41;10;7786
42;11;4132
43;10;1261
44;11;5041
45;10;1846
46;9;7696
47;9;676
48;12;7993
49;10;3232
50;10;6589
51;10;388
52;11;2602
53;12;1207
54;13;8884
55;12;1837
56;11;5500
57;11;2548
58;11;3718
59;11;6031
60;10;703
61;12;3889
62;11;6544
63;11;5968
64;10;2053
65;12;1954
66;12;8947
67;12;7300
68;13;4546
69;12;3997
70;12;1369
71;14;3880
72;12;3709
73;12;5338
74;12;2737
75;12;6733
76;12;2143
77;13;1711
78;11;3124
79;12;7912
80;12;1756
81;12;8164
82;12;7237
83;12;3700
84;13;8695
85;12;865
86;13;3862
87;13;5095
88;12;1549
89;12;1018
90;13;2611
91;11;1864
92;12;4807
93;11;5815
94;72;7930
95;12;8182
96;12;4438
97;11;1612
98;11;2710
99;12;3502
100;14;5014
101;39;8758
102;11;1288
103;12;7534
104;12;4996
105;11;3781
106;12;4231
107;12;6157
108;12;8416
109;12;3763
110;12;6211
111;11;7120
112;11;1000
113;12;1234
114;12;4213
115;11;5599
116;11;1270
117;11;8461
118;13;4771
119;13;6832
120;10;280
121;11;1189
122;12;7318
123;13;6652
124;12;1306
125;11;1333
126;12;5248
127;13;8254
128;12;4600
129;12;3682
130;12;4672
131;12;8614
132;542;451
133;10;6643
134;11;7813
135;12;8263
136;11;4717
137;11;6472
138;12;2512
139;12;4348
140;12;8605
141;12;9073
142;11;3610
143;12;7048
144;12;8146
145;11;2494
146;11;6715
147;11;6229
148;12;2953
149;11;2728
150;12;5383
151;12;7336
152;12;6328
153;12;8056
154;11;1729
155;11;2098
156;12;3295
157;11;5032
158;12;6139
159;12;5743
160;12;1081
161;11;4708
162;11;6598
163;11;2152
164;10;2782
165;11;3079
166;11;1279
167;11;4285
168;12;7660
169;11;6220
170;31;3070
171;13;4654
172;12;1540
173;11;8308
174;12;2575
175;11;5977
176;11;2917
177;11;7444
178;12;3808
179;12;8200
180;12;3898
181;32;4726
182;10;4366
183;12;2260
184;35;4186
185;12;7831
186;13;2458
187;12;2323
188;13;6193
189;14;2755
190;12;1441
191;12;4024
192;12;4699
193;12;3835
194;12;4735
195;12;7957
196;11;4564
197;904;109
198;11;1783
199;12;5590
200;11;5473
201;11;8839
202;11;2242
203;37;6841
204;11;8668
205;276;784
206;11;2809
207;821;964
208;279;748
209;11;2017
210;12;4879
211;12;3403
212;11;3178
213;12;4339
214;12;4429
215;11;7012
216;12;6310
217;13;8542
218;11;5275
219;1224;136
220;11;3088
221;1157;244
222;11;5077
223;11;4276
224;12;4861
225;12;8704
226;11;2719
227;485;1090
228;11;3574
229;11;3646
230;12;3340
231;12;4519
232;11;2251
233;11;6436
234;12;8227
235;550;910
236;12;5545
237;12;8812
238;11;6724
239;11;991
240;12;8002
241;12;2224
242;407;433
243;11;2962
244;857;766
245;11;721
246;12;4780
247;12;6373
248;12;2296
249;11;2701
250;178;1243
251;12;1693
252;12;1468
253;10;3817
254;800;532
255;11;5824
256;13;8533
257;13;6706
258;12;2638
259;12;4393
260;18;4015
261;15;4195
262;14;8749
263;13;5257
264;12;6283
265;12;3133
266;12;2179
267;11;6481
268;12;7705
269;12;3772
270;12;5608
271;923;271
272;11;1792
273;11;3799
274;12;3790
275;10;5230
276;11;5428
277;12;2269
278;12;2521
279;12;5194
280;12;955
281;11;6580
282;11;2827
283;13;5068
284;13;7102
285;12;8236
286;12;6274
287;12;3007
288;12;7903
289;12;8425
290;11;2584
291;12;3745
292;12;4492
293;11;838
294;14;4330
295;13;1045
296;13;3142
297;911;289
298;12;6922
299;12;7633
300;12;3565
301;12;2854
302;12;3637
303;590;874
304;12;1477
305;11;5086
306;12;5329
307;11;4384
308;11;4645
309;12;4222
310;11;2278
311;12;6130
312;884;226
313;13;3655
314;13;5419
315;12;6616
316;13;9001
317;13;8623
318;12;4789
319;222;1558
320;11;7021
321;13;1702
322;12;9064
323;11;7435
324;11;7327
325;11;4114
326;13;3970
327;12;7210
328;1177;559
329;308;586
330;10;3259
331;12;6751
332;12;3169
333;12;5311
334;11;3961
335;11;2404
336;11;7507
337;12;1396
338;11;6067
339;11;8515
340;12;7291
341;12;6409
342;11;6760
343;11;6040
344;1316;325
345;389;496
346;13;3826
347;13;6913
348;12;8830
349;12;2926
350;12;7615
351;11;7264
352;812;658
353;11;1900
354;12;4069
355;12;6490
356;13;2341
357;11;8209
358;40;8371
359;11;4915
360;11;4267
361;12;4483
362;13;3304
363;12;7984
364;11;5752
365;12;2467
366;12;5725
367;39;5995
368;11;7975
369;12;5797
370;11;4942
371;12;2116
372;698;127
373;11;3205
374;11;3097
375;12;2233
376;12;5365
377;10;7219
378;199;802
379;12;6670
380;11;4060
381;11;6265
382;12;5941
383;454;1216
384;12;7138
385;12;5059
386;11;3034
387;12;8038
388;12;6094
389;12;6499
390;12;2980
391;12;1594
392;11;1036
393;11;7498
394;13;3475
395;12;1990
396;11;8731
397;13;5185
398;11;1765
399;316;424
400;13;2008
401;12;3547
402;12;5122
403;13;6868
404;11;8857
405;12;8245
406;11;2332
407;11;5509
408;1322;199
409;12;7174
410;11;2026
411;11;4051
412;11;2215
413;12;4906
414;11;2539
415;12;3511
416;11;6931
417;11;8434
418;11;7795
419;13;4375
420;10;6085
421;11;2989
422;12;6553
423;11;3439
424;12;7750
425;49;3421
426;12;3115
427;11;2872
428;12;4177
429;49;4501
430;12;4762
431;11;8092
432;12;8326
433;12;8524
434;889;145
435;200;595
436;10;8389
437;12;7804
438;193;856
439;13;7363
440;11;5176
441;12;5878
442;12;6256
443;11;7183
444;12;7894
445;11;1486
446;11;4141
447;11;6364
448;11;6049
449;12;1774
450;12;4816
451;12;5950
452;11;5293
453;12;8956
454;12;5932
455;11;1918
