#Mode:;3
#Device:;bt58
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13252;2575
1;12674;3151
2;13506;2359
3;13702;2143
4;11426;4411
5;8414;7435
6;12567;3304
7;11002;4870
8;13664;2197
9;9648;6211
10;13909;1972
11;9973;5851
12;10458;5491
13;7282;8596
14;12973;2872
15;14566;1324
16;7507;8353
17;15162;613
18;13667;2188
19;12331;3529
20;15287;568
21;11116;4654
22;9474;6382
23;7134;8713
24;13513;2341
25;10567;5266
26;12058;3799
27;8563;7318
28;12335;3502
29;14742;1135
30;13856;2008
31;7549;8335
32;12781;3061
33;11583;4267
34;10448;5428
35;12482;3367
36;14310;1549
37;11160;4618
38;6966;8974
39;8970;6886
40;10964;4897
41;11326;4555
42;10318;5527
43;14555;1288
44;11252;4600
45;7557;8299
46;8240;7624
47;12918;2926
48;12889;2980
49;10345;5509
50;11240;4627
51;15678;199
52;14760;1072
53;7389;8308
54;9854;5950
55;8188;7651
56;12520;3286
57;11122;4825
58;12517;3277
59;9456;6391
60;12589;3250
61;10080;5779
62;9540;6373
63;12582;3241
64;15571;289
65;11045;4834
66;13091;2764
67;8062;7831
68;11609;4240
69;10773;5086
70;7900;7948
71;8909;6949
72;12904;2917
73;14893;964
74;14172;1684
75;8211;7669
76;12603;3331
77;12488;3376
78;14727;1045
79;15762;100
80;15059;8794
81;10480;5392
82;11043;4807
83;11905;3934
84;16006;7768
85;10684;5131
86;12771;3043
87;8393;7471
88;11286;4564
89;13294;2557
90;10168;5698
91;12716;3088
92;15493;8209
93;11385;4465
94;14028;1855
95;12298;3592
96;13752;2098
97;7444;8434
98;17892;5977
99;17180;6688
100;9726;6130
101;8507;7354
102;7735;8200
103;14546;1297
104;8702;7084
105;15249;586
106;9318;6526
107;7675;8173
108;10709;5140
109;13631;2233
110;11309;4546
111;13326;2548
112;8348;7525
113;11037;4816
114;9094;6787
115;10773;5095
116;14032;1819
117;14671;1198
118;8646;7201
119;13292;2458
120;11658;4177
121;14522;1360
122;10345;5662
123;14976;8893
124;13253;2593
125;16047;7777
126;10230;5608
127;16228;7759
128;7875;7939
129;14802;1027
130;10484;5347
131;13489;2314
132;14506;1351
133;14622;1189
134;15565;334
135;12559;3205
136;11291;4573
137;15487;388
138;8770;7075
139;9172;6679
140;12074;3772
141;10791;5041
142;11374;4447
143;15204;8623
144;11912;3925
145;11328;4519
146;12897;3052
147;15107;8758
148;13791;2053
149;10688;5176
150;15798;8056
151;7955;7687
152;7606;8245
153;15429;433
154;13739;2116
155;11130;4951
156;9669;6103
157;14349;1513
158;12313;3565
159;13573;2287
160;9930;5932
161;12872;2989
162;8153;7678
163;14496;1396
164;7024;8668
165;10484;5257
166;14246;1612
167;15745;127
168;11725;4213
169;15086;775
170;8634;7192
171;9023;6832
172;11968;3826
173;13675;2152
174;12104;3709
175;10092;5761
176;12664;3016
177;13330;2521
178;9344;6517
179;8377;7480
180;8982;6868
181;13763;2080
182;7476;8371
183;15559;307
184;9419;6445
185;14851;1018
186;10858;4996
187;10333;5518
188;7441;8506
189;13694;2134
190;8617;7102
191;9690;6175
192;15197;478
193;11015;4852
194;9318;6490
195;9348;6589
196;15241;8614
197;17698;6157
198;12285;3583
199;13136;2710
200;14141;1738
201;10827;5023
202;13746;2107
203;15693;172
204;12760;3097
205;14747;1117
206;10361;5482
207;9486;6355
208;15233;631
209;12964;2899
210;12711;3196
211;13239;2602
212;13423;2440
213;14593;1270
214;8805;7048
215;12443;3421
216;14622;1261
217;12881;2953
218;9284;6571
219;8907;6967
220;15653;208
221;13525;2323
222;15274;595
223;13784;2089
224;15312;550
225;15751;118
226;14893;8992
227;6867;8983
228;12400;3448
229;13482;2350
230;10940;4915
231;9658;6292
232;14162;1720
233;8967;6877
234;7424;8407
235;14970;8911
236;12383;3475
237;14976;892
238;12033;3880
239;17587;6085
240;14389;1486
241;15309;8569
242;15119;739
243;15771;8083
244;15046;8812
245;12115;3736
246;8211;7660
247;8750;7120
248;7948;7921
249;15087;784
250;9013;6841
251;8730;7138
252;10414;5464
253;12583;3214
254;12074;3781
255;11564;4285
256;9766;6148
257;12404;3457
258;11972;3889
259;10889;4960
260;14249;1630
261;11857;4006
262;10759;5113
263;15311;541
264;10015;5842
265;10675;5185
266;12942;2908
267;9933;5905
268;14245;1639
269;13961;1900
270;12988;2890
271;14746;1126
272;8574;7372
273;10788;5077
274;7792;8065
275;7725;8074
276;11427;4420
277;11267;4501
278;12422;3439
279;7999;7858
280;8605;7219
281;13636;2224
282;8064;7795
283;8897;6940
284;9510;6364
285;13899;1936
286;9864;5986
287;11732;4132
288;15516;8344
289;14630;1162
290;15583;8272
291;14458;1414
292;16482;7381
293;13470;2377
294;12260;3601
295;14928;937
296;11480;4375
297;8961;6895
298;8219;7642
299;14093;1558
300;8453;7273
301;14977;883
302;10641;5239
303;7435;8425
304;14108;1621
305;13824;2035
306;11989;3952
307;15332;532
308;12448;3547
309;14431;1432
310;14075;1792
311;10628;5230
312;9772;6013
313;10157;5653
314;14318;1504
315;9357;6454
316;10938;4879
317;13318;2476
318;14284;1540
319;10419;5401
320;10249;5689
321;11855;3988
322;9926;5914
323;13782;2071
324;12548;3106
325;14486;1387
326;11954;3943
327;8662;7147
328;10501;5356
329;12171;3682
330;13548;2296
331;13038;2818
332;12239;3619
333;9541;6310
334;14409;1441
335;8792;7246
336;12170;3673
337;9202;6670
338;10883;4978
339;14092;1774
340;13767;2161
341;11478;4384
342;12068;3808
343;10858;5059
344;11605;4249
345;11632;4231
346;15216;640
347;10095;5707
348;13891;1945
349;13032;2845
350;10238;5617
351;11153;4708
352;11967;3898
353;11981;3862
354;15127;685
355;8307;7552
356;9883;5968
357;15175;676
358;15389;487
359;14692;1180
360;9952;5896
361;12249;3610
362;15004;838
363;15709;154
364;15809;7957
365;17760;6094
366;10191;5563
367;11361;4528
368;11774;4060
369;9472;6400
370;15327;730
371;10388;5473
372;11129;4726
373;8924;6958
374;15357;8515
375;12920;2944
376;7722;8119
377;13376;2494
378;11993;3871
379;12737;3133
380;14364;1495
381;14963;928
382;11679;4015
383;8519;7345
384;7754;8137
385;13656;2170
386;11812;4096
387;9258;6598
388;14296;1567
389;14132;1729
390;15005;847
391;15011;856
392;7086;8767
393;8997;6859
394;10735;5122
395;15350;514
396;7936;7903
397;11414;4438
398;12143;3718
399;11280;4591
400;11563;4294
401;7859;8002
402;15298;577
403;11778;4087
404;8686;7156
405;8195;7750
406;13811;2062
407;7847;8011
408;13295;2566
409;14783;1081
410;7847;8020
411;15123;757
412;11214;4636
413;12709;3142
414;9050;6814
415;7163;8686
416;11448;4402
417;15648;217
418;14112;1765
419;14883;991
420;8598;7183
421;11868;4024
422;13611;2251
423;15139;721
424;11878;3970
425;15598;352
426;9218;6625
427;12477;3394
428;8266;7588
429;11495;4357
430;12116;3754
431;15486;8380
432;12569;3295
433;15038;829
434;10636;5203
435;13177;2683
436;12291;3574
437;15361;8470
438;13688;2179
439;15272;604
440;9534;6337
441;12813;3034
442;16428;7444
443;11373;4474
444;10169;5680
445;13051;2800
446;8621;7228
447;8934;6904
448;14717;1225
449;14549;1315
450;13120;2728
451;7105;8731
452;11730;4123
453;11685;4195
454;7639;8218
455;10440;5410
456;7197;8659
457;13961;1810
458;15177;694
459;10465;5365
460;14328;1522
461;11705;4105
462;13143;2719
463;8573;7291
464;7371;8488
465;12695;3160
466;13730;2125
467;14728;1099
468;11093;4762
469;7606;8254
470;12503;3340
471;10087;5770
472;9228;6616
473;9692;6076
474;7181;8605
475;10864;4987
476;7312;8542
477;9895;5941
478;13202;2665
479;13183;2656
480;14250;1603
481;14781;1090
482;14973;901
483;9289;6562
484;13075;2773
485;7321;8524
486;15518;343
487;13220;2638
488;14191;1675
489;7417;8317
490;8523;7336
491;15474;415
492;8347;7516
493;8603;7264
494;9135;6715
495;15456;406
496;11712;4150
497;9121;6733
498;9981;5806
499;12583;3232
500;14851;9001
501;11536;4276
502;18089;5734
503;15269;622
504;10269;5554
505;10992;4843
506;11714;4114
507;11171;4663
508;15886;7930
509;15352;523
510;8853;6994
511;9767;6067
512;7223;8533
513;14696;1234
514;17140;6751
515;13981;1882
516;16313;7561
517;15622;226
518;9649;6184
519;13448;2395
520;8274;7606
521;15061;8785
522;15034;8830
523;16165;7696
524;7506;8362
525;15603;253
526;9863;6004
527;14107;1747
528;9534;6328
529;10121;5743
530;11151;4681
531;15045;802
532;9795;6049
533;14024;1828
534;14372;1477
535;9590;6265
536;11711;4141
537;9406;6409
538;9631;6247
539;10969;4906
540;9050;6805
541;12845;2998
542;7147;8704
543;9513;6346
544;11661;4204
545;10884;4969
546;12363;3538
547;14194;1648
548;14559;1333
549;9195;6634
550;9940;5878
551;9220;6607
552;8036;7822
553;10220;5671
554;13548;2305
555;6989;8839
556;14495;1369
557;10365;5581
558;7847;7993
559;14014;1873
560;6895;8956
561;9081;6778
562;8464;7408
563;13609;2431
564;10417;5437
565;15779;109
566;10546;5320
567;12281;3520
568;7124;8722
569;14875;1000
570;7265;8578
571;12217;3691
572;9770;6112
573;8017;7849
574;12406;3412
575;14839;8866
576;11271;4582
577;15670;8182
578;9691;6166
579;10245;5626
580;14332;1531
581;13776;1990
582;12367;3493
583;9106;6742
584;12577;3259
585;13589;2269
586;12453;3403
587;15106;748
588;14068;1801
589;8142;7732
590;14603;1243
591;15543;8326
592;13171;2701
593;15885;7975
594;12279;3556
595;11520;4339
596;11646;4222
597;14403;1459
598;12391;3322
599;16025;7804
600;15161;8677
601;16783;7066
602;16222;7633
603;12485;3358
604;6781;9073
605;14018;1846
606;14482;1378
607;15264;667
608;12614;3187
609;15397;442
610;6818;9010
611;8516;7327
612;6998;8848
613;14907;955
614;15396;469
615;7997;7867
616;11222;4609
617;8826;7030
618;13970;1918
619;11214;4645
620;12215;3646
621;12111;3745
622;9986;5860
623;7057;8803
624;15581;280
625;8330;7507
626;10832;5005
627;7978;7885
628;9024;6823
629;13957;1909
630;14461;1405
631;14583;1279
632;8997;6850
633;13304;2539
634;11151;4699
635;14951;910
636;14981;874
637;15157;703
638;13000;2863
639;12883;2962
640;13927;1927
641;13091;2746
642;13392;2467
643;12982;2881
644;8931;6913
