#Mode:;3
#Device:;diamondback_lmb
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6302;1567
1;5210;2656
2;7352;541
3;5731;2206
4;5708;2152
5;7625;280
6;9466;6526
7;7386;8488
8;6699;1207
9;12945;2944
10;12409;3484
11;7652;253
12;13165;2728
13;11230;4708
14;6626;1270
15;9059;6841
16;13273;2638
17;11452;4384
18;12490;3421
19;6753;1054
20;12773;3043
21;7667;217
22;11768;4096
23;10798;5149
24;10715;5158
25;9482;6337
26;7205;604
27;5357;2494
28;6682;1216
29;9576;6328
30;11438;4393
31;7032;928
32;12926;2953
33;6914;991
34;9708;6256
35;11709;4141
36;6754;1171
37;6533;1351
38;7882;8074
39;12681;3205
40;7959;7930
41;6997;964
42;8219;7678
43;12205;3709
44;10026;5878
45;7006;8848
46;11203;4618
47;11735;4150
48;6395;1495
49;7954;7948
50;10002;5869
51;8121;7777
52;9223;6724
53;12835;3097
54;8840;6994
55;9876;6031
56;7013;892
57;10905;4960
58;9165;6715
59;9313;6670
60;10509;5356
61;12533;3367
62;7268;8551
63;10260;5599
64;13330;2566
65;12014;3808
66;6993;946
67;13176;2674
68;9389;6490
69;10997;4906
70;10762;5086
71;6662;1252
72;7582;8263
73;6389;1477
74;11045;4870
75;7849;8020
76;11516;4402
77;7586;8335
78;12261;3592
79;8840;7066
80;6418;1486
81;6712;1198
82;12453;3412
83;9071;6778
84;5931;1981
85;11457;4474
86;12554;3295
87;9940;5950
88;12048;3898
89;7356;514
90;13574;2350
91;9740;6130
92;9638;6175
93;8284;7633
94;5763;2134
95;8150;7714
96;8672;7210
97;7474;8416
98;7544;8326
99;7771;8155
100;6212;1702
101;11754;4087
102;12382;3529
103;10941;4924
104;7246;8632
105;13486;2467
106;6881;9019
107;9587;6310
108;6824;9091
109;10503;5401
110;7360;8569
111;8337;7579
112;6932;8956
113;12523;3403
114;7206;8668
115;7420;496
116;8661;7255
117;13015;2872
118;6065;1855
119;6253;1657
120;8922;7003
121;9015;6850
122;6044;1819
123;5757;2044
124;6350;1540
125;6027;1873
126;5930;1954
127;6750;1108
128;7525;289
129;12815;3016
130;9719;6103
131;9634;6193
132;11879;4024
133;5999;1891
134;10650;5185
135;8883;7075
136;10803;5122
137;7385;532
138;6328;1531
139;6561;1324
140;7031;8857
141;7404;487
142;8781;7111
143;10016;5824
144;7814;118
145;12730;3196
146;6074;1792
147;10292;5590
148;9099;6787
149;12933;2890
150;6258;1639
151;9317;6580
152;7890;8011
153;12111;3745
154;10331;5572
155;7216;712
156;10207;5698
157;11298;4663
158;6993;901
159;11446;4465
160;11527;4285
161;12988;2809
162;6156;1801
163;5922;1936
164;11196;4681
165;11824;4006
166;9078;6805
167;7182;730
168;12210;3637
169;12103;3718
170;12948;2935
171;11869;4015
172;6990;982
173;6203;1693
174;11143;4762
175;12414;3439
176;11023;4816
177;9433;6463
178;7326;577
179;11778;4051
180;6378;1522
181;11557;4321
182;11931;3952
183;11265;4582
184;7384;505
185;11236;4672
186;8361;7498
187;13165;2737
188;9744;6166
189;11021;4825
190;6910;9010
191;11689;4213
192;7764;190
193;5587;2251
194;9963;5842
195;6618;1225
196;5645;2269
197;12528;3349
198;10764;5131
199;10806;5104
200;7200;775
201;6505;1459
202;11033;4798
203;7686;163
204;11958;3934
205;7162;694
206;11386;4510
207;8113;7822
208;7233;640
209;8147;7696
210;5717;2143
211;11992;3871
212;9830;6094
213;6053;1828
214;8185;7669
215;6020;1864
216;10858;5077
217;5725;2197
218;7698;136
219;5375;2521
220;5650;2287
221;12393;3466
222;6126;1720
223;5984;1909
224;12446;3475
225;5602;2296
226;8210;7642
227;11438;4447
228;11731;4168
229;11491;4483
230;8014;7876
231;4704;3160
232;8330;7615
233;9285;6688
234;11463;4348
235;6889;9082
236;10230;5581
237;7375;460
238;8579;7219
239;8540;7291
240;12598;3304
241;8775;7165
242;11756;4132
243;6332;1576
244;5457;2503
245;9079;6742
246;9553;6301
247;9475;6400
